identifier,name,popularity,Wikipedia
0z0nO670n6IcJkb5XuXx3r,Roy Gardner (businessman),5,Roy%20Gardner%20%28businessman%29
0z3B0JrzhLRfRERkeykAO6,Hilton Schlosberg,7,Hilton%20Schlosberg
0zIoFLTrxdadJurMdjzNUs,Anthony Wood,5,Anthony%20Wood
0zMve1K5ekJcglp8HbyI2E,David Rubenstein Fellow,1,David%20Rubenstein%20Fellow
0zWx5hplO99be1PxFWVfsN,Peter Grauer,14,Peter%20Grauer
11I5yI6h6SpddyjEjsNXzB,Speccy Git,1,Speccy%20Git
11T8KQS9LqgbWscn6szoGn,Douglas M. Baker Jr.,5,Douglas%20M.%20Baker%20Jr.
11p4ji5c8VAe6r7iroZHNi,Tucker,1,Tucker
12JMFqIzRC5d9f7q5cDpIH,Serge_Weinberg,1,Serge_Weinberg
12TduFWNuwycA6HnSdanqU,Jim Umpleby,16,Jim%20Umpleby
12Zlxs5Tb4tfPxuz8BeZkq,Andrey Leonidovich Kostin,1,Andrey%20Leonidovich%20Kostin
12w2mqBEybIfNgWVydmk36,Roger A. Krone,1,Roger%20A.%20Krone
133gKREv0lWetdOzJ9L8pK,Stephen Cooper (businessman),3,Stephen%20Cooper%20%28businessman%29
13P3IgtLq4dfrbD2OBxvf0,Robert McCann,2,Robert%20McCann
14AjCvhg9pYdGv6e7HltTt,O'Byrne,12,O%27Byrne
14PVqJyMlVpdN5yn6ZrRio,Herbert Simon,50,Herbert%20Simon
14WMfpVId0layBM4iEIG8s,Ed Stack,2,Ed%20Stack
15A7R5uq3vvag8tcxFnq0n,McDonnell,1,McDonnell
15Gtct6PZt9dfOv0WytG86,Groupe Arnault,2,Groupe%20Arnault
15NshJ7XTJSePeQhzjnJKO,John C. Dugan,12,John%20C.%20Dugan
15lwD8934ZTfnnvGFtD4XE,Andrew Wilson,15,Andrew%20Wilson
15yGiXhHxbZdBeUzD9mHJ6,"Michael Dell (CEO and Founder, Dell Inc.)",1,Michael%20Dell%20%28CEO%20and%20Founder%2C%20Dell%20Inc.%29
16NlzmHUlsfaUjwAu6jZrs,J. Patrick Gallagher Jr,2,J.%20Patrick%20Gallagher%20Jr
16ilBTgnqtRcv4uWNGYTRM,Jeremy Stoppleman,1,Jeremy%20Stoppleman
178Boa6U61pbuolf4PGGvn,Ralf Speth,18,Ralf%20Speth
17ETUVRFnDle7Bq1KlhTdQ,Brad Tilden,16,Brad%20Tilden
17VHjo4uHQ6fBQTwGavBJR,Susan Wagner,11,Susan%20Wagner
189QwUCg1NWbhFNVgOB5Ih,Tom Kennedy,1,Tom%20Kennedy
18WZsAqCstQac3ZEi6zy5j,"Lawrence, James",1,Lawrence%2C%20James
19MuJOUqIsOcfyj6FrEeUN,John Williams (composer),1,John%20Williams%20%28composer%29
19kQnA061sNe1J2dVBXpHF,Richard Li Tzar Kai,2,Richard%20Li%20Tzar%20Kai
1A7crRqCYondKmc1TA30yN,Robert Bradway,1,Robert%20Bradway
1ARrwCCh9EBdWZxQDpPDlW,France,1,France
1AqliZnBjC7bxeP2aAXZ9k,Michael Chaney,30,Michael%20Chaney
1Bp9N9XTaXneavlcm65adh,Quinn,3,Quinn
1CoJ9jsEVJ4eiwDQsNULmw,Ronald Aylmer Fisher,2,Ronald%20Aylmer%20Fisher
1CqLLuhZJnhdBpzYjkxexI,Robin Hayes,90,Robin%20Hayes
1DgMx9y3iwDfZkimAzagdV,Martel,6,Martel
1EF58iJBDJHcWge6n3eDlz,"Moritz, Michael",3,Moritz%2C%20Michael
1ESddFR98GGf6qfvSwHC6V,Sir Ronald A. Fisher,3,Sir%20Ronald%20A.%20Fisher
1F1RUuSF7bBaa1mZIFe9sp,Teresa H. Meng,1,Teresa%20H.%20Meng
1FUnBjQDtSqazUbBlWD1t0,James_Lawrence,1,James_Lawrence
1Fvi8XtcsKNfR1kJYsnAGK,Henry Kravis,95,Henry%20Kravis
1H53H75MqTZe2VzU8wxBAG,Rodger Lawson,1,Rodger%20Lawson
