guid,location_name,coordinates,lat,lon,Dupe,,,,,Coord - Rounded1,Coord - Rounded2,lat - Rounded1,lat - Rounded2,Mismatch Check,,
037f6fd4bcfeb6e41cf30d7fe3ea842d,"New York, NY, USA","40.7127753, -74.0059728",40.7127753,-74.0059728,1,,,,,40.713,-74.006,40.713,-74.006,Match,,
03ac26ec204a2152efd65b8517254eb0,"Dallas, TX, USA","32.7766642, -96.7969879",32.7766642,-96.7969879,1,,,,,32.777,-96.797,32.777,-96.797,Match,,
03b5a3ccd7d899254a9f250e3f935207,"Carnival HQ, Miami, FL, USA","25.8068316, -80.3355508",25.8068316,-80.3355508,1,,,,,25.807,-80.336,25.807,-80.336,Match,,
03c02166ce6a0a2a586a1a187cc6f2f0,"Kimberly Clark HQ, Irving, TX, USA","32.8693839, -96.9499046",32.8693839,-96.9499046,1,,,,,32.869,-96.95,32.869,-96.95,Match,,
041139abc43b78c68ca56ce5581d9c5d,"Merrimack, NH, USA","42.8678693, -71.4948322",42.8678693,-71.4948322,1,,,,,42.868,-71.495,42.868,-71.495,Match,,
0411603925d4b22c6ed2c61377e2dbff,"Salt Lake City, UT, USA","40.7607793, -111.8910474",40.7607793,-111.8910474,1,,,,,40.761,-111.891,40.761,-111.891,Match,,
0418a0a4e040c32094e32322b411955d,"Homeland War 61, 21000 Split","43.5081323, 16.4401935",43.5081323,16.4401935,1,,,,,43.508,16.44,43.508,16.44,Match,,
042ba59ad9ae707a01a50031af51c318,"Oxford, MA, USA","42.1167606, -71.8647577",42.1167606,-71.8647577,1,,,,,42.117,-71.865,42.117,-71.865,Match,,
043c6c0ca0591407e1957884dcebe9a8,"Edgewood, NY, USA","42.140367, -74.2123659",42.140367,-74.2123659,1,,,,,42.14,-74.212,42.14,-74.212,Match,,
04481aaa97083d138e7b99c935d410e8,"Jericho, NY, USA","40.7920441, -73.5398476",40.7920441,-73.5398476,1,,,,,40.792,-73.54,40.792,-73.54,Match,,
046301cda57342a1c23a1a1175221823,"Framingham, MA, USA","42.279286, -71.4161565",42.279286,-71.4161565,1,,,,,42.279,-71.416,42.279,-71.416,Match,,
04639d440b159a8785371ffaed882d8d,"Greensboro, NC, USA","36.0726354, -79.7919754",36.0726354,-79.7919754,1,,,,,36.073,-79.792,36.073,-79.792,Match,,
047d07d5577adaeb48cff0b6babc2182,"Vancouver, British Columbia, Canada","49.2827291, -123.1207375",49.2827291,-123.1207375,1,,,,,49.283,-123.121,49.283,-123.121,Match,,
049b68035e7536d851203340cb8acbd8,"Houston, TX, USA","29.7604267, -95.3698028",29.7604267,-95.3698028,1,,,,,29.76,-95.37,29.76,-95.37,Match,,
