name,labels,type,type_list,caption,wikipedia_url,wikidata_id,dbpedia_id,file_source,data_source,source_identifier,global_identifier,description,needs_human_review,human_review_reason,logo,image
Steven Kean,"[""AAEntity""]",AAEntity,,Kinder Morgan CEO Steven Kean,,,,crisk_keyword_to_guid_caption_name,mapping,Steven Kean,mapping__Steven Kean,,,,,
Kinder Morgan,"[""Organization""]",Organization,"[""Company"",""Business"",""Organisation"",""Agent"",""PublicCompany"",""Enterprise""]",Kinder Morgan,https://en.wikipedia.org/wiki/Kinder_Morgan,Q931032,http://dbpedia.org/resource/Kinder_Morgan,crisk_keyword_to_guid_caption_name,mapping,https://en.wikipedia.org/wiki/Kinder_Morgan,mapping__https://en.wikipedia.org/wiki/Kinder_Morgan,"Kinder Morgan, Inc. is one of the largest energy infrastructure companies in North America. The company specializes in owning and controlling oil and gas pipelines and terminals. Kinder Morgan owns an interest in or operates approximately 85,000 miles (137 000 km) of pipelines and 152 terminals. The company's pipelines transports natural gas, liquefied natural gas, ethanol, biodiesel, hydrogen, refined petroleum products, crude oil, carbon dioxide, and more. Kinder Morgan also stores or handles a variety of products and materials at their terminals such as gasoline, jet fuel, ethanol, coal, petroleum coke and steel. The company has approximately 72,000 miles (116,000 km) of natural gas pipelines and is the largest natural gas pipeline operator in the United States, moving about 40 percent of the natural gas consumed. The company previously had built a major presence in Canada with the Trans Mountain pipeline, but that infrastructure is now publicly owned and operated. The company's CO2 traditionally provides carbon dioxide (CO2) for enhanced oil recovery projects in North America, but also increasingly for carbon sequestration efforts.",,,"[""http://commons.wikimedia.org/wiki/Special:FilePath/KindermorganbuildingHouston.JPG?width=300""]",[]
Brian Cornell,"[""Person""]",Person,"[""Person"",""Human"",""Agent""]",Target CEO Brian Cornell,https://en.wikipedia.org/wiki/Brian_Cornell,Q20857886,http://dbpedia.org/resource/Brian_Cornell,crisk_keyword_to_guid_caption_name,mapping,https://en.wikipedia.org/wiki/Brian_Cornell,mapping__https://en.wikipedia.org/wiki/Brian_Cornell,Brian C. Cornell (born c. 1958) is an American businessman. Cornell serves as the Chairman and Chief Executive Officer (CEO) of the Target Corporation. He is also non-executive chairman of Yum! Brands.,,,[],[]
Michael McNamara,"[""Person""]",Person,"[""Human""]",Target executive Michael McNamara,,Q25710323,,crisk_keyword_to_guid_caption_name,mapping,Michael McNamara,mapping__Michael McNamara,,,,,
John Mulligan,"[""AAEntity""]",AAEntity,,Target COO John Mulligan,,,,crisk_keyword_to_guid_caption_name,mapping,John Mulligan,mapping__John Mulligan,,,,,
Melissa Kremer,"[""AAEntity""]",AAEntity,,Target executive Melissa Kremer,,,,crisk_keyword_to_guid_caption_name,mapping,Melissa Kremer,mapping__Melissa Kremer,,,,,
Don Liu,"[""Person""]",Person,"[""Human""]",Target executive Don Liu,,Q47121429,,crisk_keyword_to_guid_caption_name,mapping,Don Liu,mapping__Don Liu,,,,,
Stephanie Lundquist,"[""AAEntity""]",AAEntity,,Target executive Stephanie Lundquist,,,,crisk_keyword_to_guid_caption_name,mapping,Stephanie Lundquist,mapping__Stephanie Lundquist,,,,,
Laysha Ward,"[""AAEntity""]",AAEntity,,Target executive Laysha Ward,,,,crisk_keyword_to_guid_caption_name,mapping,Laysha Ward,mapping__Laysha Ward,,,,,
Target,"[""Organization""]",Organization,"[""Company"",""Organisation"",""Agent"",""PublicCompany"",""ECommerce"",""SupermarketChain""]",Target,https://en.wikipedia.org/wiki/Target_Corporation,Q1046951,http://dbpedia.org/resource/Target_Corporation,crisk_keyword_to_guid_caption_name,mapping,https://en.wikipedia.org/wiki/Target_Corporation,mapping__https://en.wikipedia.org/wiki/Target_Corporation,"Target Corporation is an American retail corporation. The eighth-largest retailer in the United States, it is a component of the S&P 500 Index. Target established itself as the discount division of the Dayton's Company of Minneapolis, Minnesota, in 1962; it began expanding the store nationwide in the 1980s (as part of the Dayton-Hudson Corporation), and introduced new store formats under the Target brand in the 1990s. The company has found success as a cheap-chic player in the industry. The parent company was renamed the Target Corporation in 2000, and divested itself of its last department-store chains in 2004. It suffered from a massive and highly publicized security breach of customer credit card data and the failure of its short-lived Target Canada subsidiary in the early 2010s, but experienced revitalized success with its expansion in urban markets within the United States. As of 2019, Target operated 1,844 stores throughout the United States. The company is ranked number 37 on 2020 Fortune 500 list of the largest United States corporations by total revenue. Their retail formats include the discount store Target, the hypermarket SuperTarget, and ""small-format"" stores previously named CityTarget and TargetExpress before being consolidated under the Target branding.",true,Disambiguated from https://en.wikipedia.org/wiki/Target,"[""http://commons.wikimedia.org/wiki/Special:FilePath/Target_Corporation_logo_(vector).svg?width=300"",""https://commons.wikimedia.org/wiki/File:Target_logo.svg"",""https://commons.wikimedia.org/wiki/File:Target_logo_(1968).png"",""https://commons.wikimedia.org/wiki/File:Target_old_logo.svg""]","[""https://commons.wikimedia.org/wiki/File:Target2398.jpg""]"
Daniel Amos,"[""Person""]",Person,,Aflac CEO Daniel Amos,,,,crisk_keyword_to_guid_caption_name,mapping,Daniel Amos,mapping__Daniel Amos,,,,,
Aflac,"[""Organization""]",Organization,"[""Company"",""Business"",""Organisation"",""Agent"",""PublicCompany""]",Aflac,https://en.wikipedia.org/wiki/Aflac,Q26311,http://dbpedia.org/resource/Aflac,crisk_keyword_to_guid_caption_name,mapping,https://en.wikipedia.org/wiki/Aflac,mapping__https://en.wikipedia.org/wiki/Aflac,"Aflac Inc. /ˈæflæk/ (American Family Life Assurance Company) is an American insurance company and is the largest provider of supplemental insurance in the United States. The company was founded in 1955 and is based in Columbus, Georgia. In the U.S., Aflac underwrites a wide range of insurance policies, but is perhaps more known for its payroll deduction insurance coverage, which pays cash benefits when a policyholder has a covered accident or illness. The company states it ""provides financial protection to more than 50 million people worldwide"". In 2009, Aflac acquired Continental American Insurance Company for $100 million; this enabled Aflac to sell supplemental insurance on both the individual and group platform. As of June 30, 2012, Aflac was represented by approximately 19,300 sales agencies in Japan, and 76,900 licensed sales associates in the U.S.",,,[],"[""https://commons.wikimedia.org/wiki/File:AFLAC_Tower_Columbus_Georgia.jpg""]"
