labels,type,type_list,variant,row_index,keyword,guid,caption_name,Secondary Terms,Join Type,Exclude Terms,Plural,Possessive,relate_column2,key_edit_time,Dupe,data_source,source_identifier,global_identifier
"[""NameVariant""]",NameVariant,"[""NameVariant""]",barnes and noble's,7596,barnes and noble's,,,,,,,,,,,mapping,aa7fa2fb1278e017705d82921083db9c,mapping__aa7fa2fb1278e017705d82921083db9c
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Skagerak,7597,,a4f24924ef3270f8fdf0b810ff4331f8,Skagerak,,,,,,,,1,mapping,1fc28c856a54a66ea428296c785c8575,mapping__1fc28c856a54a66ea428296c785c8575
"[""NameVariant""]",NameVariant,"[""NameVariant""]",skagerak,7597,skagerak,,,,,,,,,,,mapping,48456461047bacfb24f4c8d866fc69d3,mapping__48456461047bacfb24f4c8d866fc69d3
"[""NameVariant""]",NameVariant,"[""NameVariant""]",Skagerrak,-1,Skagerrak,,,,,,,,,,,mapping,ae2ce52d6f01a621404f99f224ced5c7,mapping__ae2ce52d6f01a621404f99f224ced5c7
"[""NameVariant""]",NameVariant,"[""NameVariant""]",Skager-Rack,-1,Skager-Rack,,,,,,,,,,,mapping,57e14e4b5f75d1cc39d9424a473fee52,mapping__57e14e4b5f75d1cc39d9424a473fee52
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Fjordkraft,7598,,a4f24924ef3270f8fdf0b810ff4331f8,Fjordkraft,,,,,,,,1,mapping,1644917a27e5116e0a9477a133ca8810,mapping__1644917a27e5116e0a9477a133ca8810
"[""NameVariant""]",NameVariant,"[""NameVariant""]",fjordkraft,7598,fjordkraft,,,,,,,,,,,mapping,91322be5702920e9b28888f040ed1429,mapping__91322be5702920e9b28888f040ed1429
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Skagerak Energi,7599,,a4f24924ef3270f8fdf0b810ff4331f8,Skagerak Energi,,,,,,,,1,mapping,7c3f941a5febbf92ee26561f8e0ac938,mapping__7c3f941a5febbf92ee26561f8e0ac938
"[""NameVariant""]",NameVariant,"[""NameVariant""]",skagerak energi,7599,skagerak energi,,,,,,,,,,,mapping,8e205195f5291bf17a636a9b6b787b61,mapping__8e205195f5291bf17a636a9b6b787b61
"[""NameVariant""]",NameVariant,"[""NameVariant""]",skagerakenergi,7600,skagerakenergi,,,,,,,,,,,mapping,690ca511a47114693f57f7e442bbdd85,mapping__690ca511a47114693f57f7e442bbdd85
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Statkraft CEO Christian Rynning-Tonnesen,7601,,a4f24924ef3270f8fdf0b810ff4331f8,Statkraft CEO Christian Rynning-Tonnesen,,,,,,,,1,mapping,498e4990424c022cb13c115cf7be3440,mapping__498e4990424c022cb13c115cf7be3440
"[""NameVariant""]",NameVariant,"[""NameVariant""]",christian rynning-tonnesen,7601,christian rynning-tonnesen,,,,,,,,,,,mapping,020d74f726bfe7adce3e27e04b337710,mapping__020d74f726bfe7adce3e27e04b337710
"[""NameVariant""]",NameVariant,"[""NameVariant""]",christian rynning-tã¸nnesen,7602,christian rynning-tã¸nnesen,,,,,,,,,,,mapping,0671e46130bbfbbda5a7aa8b3d7a874d,mapping__0671e46130bbfbbda5a7aa8b3d7a874d
"[""NameVariant""]",NameVariant,"[""NameVariant""]",christian wilhelm rynning-tã¸nnesen,7603,christian wilhelm rynning-tã¸nnesen,,,,,,,,,,,mapping,ff089b53b4bf2be16b4a569b548c27de,mapping__ff089b53b4bf2be16b4a569b548c27de
"[""NameVariant""]",NameVariant,"[""NameVariant""]",christian wilhelm rynning-tonnesen,7604,christian wilhelm rynning-tonnesen,,,,,,,,,,,mapping,693419594428ab16e47410b979e58a48,mapping__693419594428ab16e47410b979e58a48
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Kellogg Energy,7605,,83a6d68ef3070e05df03aead11ce0a63,Kellogg Energy,,,,,,,,1,mapping,528f12dfaadfd352c1a656115144e50b,mapping__528f12dfaadfd352c1a656115144e50b
"[""NameVariant""]",NameVariant,"[""NameVariant""]",kellogg energy,7605,kellogg energy,,,,,,,,,,,mapping,ec50a56de98e08a4c986f2df8650aa74,mapping__ec50a56de98e08a4c986f2df8650aa74
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Statkraft,7606,,a4f24924ef3270f8fdf0b810ff4331f8,Statkraft,,,,,,,,1,mapping,4434eceaeadd5fa7a38fbb0e01cc9088,mapping__4434eceaeadd5fa7a38fbb0e01cc9088
"[""NameVariant""]",NameVariant,"[""NameVariant""]",statkraft,7606,statkraft,,,,,,,,,,,mapping,ee6930f03a60be5c5dc0e97795121f49,mapping__ee6930f03a60be5c5dc0e97795121f49
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Orange and Rockland Utilities,7607,,a5193eecd7886c048c46988d22d78ebf,Orange and Rockland Utilities,,,,,,,,1,mapping,47690ff6636f00cbebcac7474c5f5f6b,mapping__47690ff6636f00cbebcac7474c5f5f6b
"[""NameVariant""]",NameVariant,"[""NameVariant""]",orange and rockland utilities,7607,orange and rockland utilities,,,,,,,,,,,mapping,f8c485d22f1fda61b33f9ddd073e1fc1,mapping__f8c485d22f1fda61b33f9ddd073e1fc1
"[""NameVariant""]",NameVariant,"[""NameVariant""]",Consolidated Edison,-1,Consolidated Edison,,,,,,,,,,,mapping,1d24511651bb873a46678581f2137e7d,mapping__1d24511651bb873a46678581f2137e7d
"[""NameVariant""]",NameVariant,"[""NameVariant""]","Consolidated Edison, Inc.",-1,"Consolidated Edison, Inc.",,,,,,,,,,,mapping,87c6afcd56ae6596a489b1d6c4ee8809,mapping__87c6afcd56ae6596a489b1d6c4ee8809
"[""NameVariant""]",NameVariant,"[""NameVariant""]",Con Edison,-1,Con Edison,,,,,,,,,,,mapping,5a4d25614615df7beffcdbf1c1c8fab0,mapping__5a4d25614615df7beffcdbf1c1c8fab0
"[""NameVariant""]",NameVariant,"[""NameVariant""]",Con Ed,-1,Con Ed,,,,,,,,,,,mapping,67b38d0663f12ed083e99fa04cfe172e,mapping__67b38d0663f12ed083e99fa04cfe172e
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Con Edison Transmission,7608,,a5193eecd7886c048c46988d22d78ebf,Con Edison Transmission,,,,,,,,1,mapping,407a9d875780d40038ad02ac2b850a20,mapping__407a9d875780d40038ad02ac2b850a20
"[""NameVariant""]",NameVariant,"[""NameVariant""]",con edison transmission,7608,con edison transmission,,,,,,,,,,,mapping,1e8de9403974f3baf184e5f58d1f0525,mapping__1e8de9403974f3baf184e5f58d1f0525
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Con Edison Clean Energy Businesses,7609,,a5193eecd7886c048c46988d22d78ebf,Con Edison Clean Energy Businesses,,,,,,,,1,mapping,8d0a49fbce75c22111996c78001eedf6,mapping__8d0a49fbce75c22111996c78001eedf6
"[""NameVariant""]",NameVariant,"[""NameVariant""]",con edison clean energy businesses,7609,con edison clean energy businesses,,,,,,,,,,,mapping,f9af3fbdca4cf4df6af993a8eedab421,mapping__f9af3fbdca4cf4df6af993a8eedab421
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",OCI Solar San Antonio 4,7610,,a5193eecd7886c048c46988d22d78ebf,OCI Solar San Antonio 4,,,,,,,,1,mapping,d7699d27c3376b135908afd305e873ff,mapping__d7699d27c3376b135908afd305e873ff
"[""NameVariant""]",NameVariant,"[""NameVariant""]",oci solar san antonio 4,7610,oci solar san antonio 4,,,,,,,,,,,mapping,47d112a5f9f5cb8e91497705155edab3,mapping__47d112a5f9f5cb8e91497705155edab3
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Consolidated Edison CEO John McAvoy,7611,,a5193eecd7886c048c46988d22d78ebf,Consolidated Edison CEO John McAvoy,,,,,,,,1,mapping,e68584158c003e44e570ac8a6a42f7fd,mapping__e68584158c003e44e570ac8a6a42f7fd
"[""NameVariant""]",NameVariant,"[""NameVariant""]",coned ceo mcavoy,7611,coned ceo mcavoy,,,,,,,,,,,mapping,6d1ca95461e9e47c091ee68d39b25295,mapping__6d1ca95461e9e47c091ee68d39b25295
"[""NameVariant""]",NameVariant,"[""NameVariant""]",con edison ceo mcavoy,7612,con edison ceo mcavoy,,,,,,,,,,,mapping,4c9c6de0c0f4c98d8d8cae505dfc161f,mapping__4c9c6de0c0f4c98d8d8cae505dfc161f
"[""NameVariant""]",NameVariant,"[""NameVariant""]",consolidated edison ceo mcavoy,7613,consolidated edison ceo mcavoy,,,,,,,,,,,mapping,43406347c1cbbc9aed2ac535edf564ad,mapping__43406347c1cbbc9aed2ac535edf564ad
"[""NameVariant""]",NameVariant,"[""NameVariant""]",John McAvoy,-1,John McAvoy,,,,,,,,,,,mapping,a99cb93142327905df76214b7d0d4385,mapping__a99cb93142327905df76214b7d0d4385
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Con Edison,7614,,a5193eecd7886c048c46988d22d78ebf,Con Edison,,,,,,,,1,mapping,6902f9742dd4eff24e81cd35d87e5c53,mapping__6902f9742dd4eff24e81cd35d87e5c53
"[""NameVariant""]",NameVariant,"[""NameVariant""]",consolidated edison,7614,consolidated edison,,,,,,,,,,,mapping,51b88f8faa2929db45caa2a9baa47f0c,mapping__51b88f8faa2929db45caa2a9baa47f0c
"[""NameVariant""]",NameVariant,"[""NameVariant""]","Consolidated Edison, Inc.",-1,"Consolidated Edison, Inc.",,,,,,,,,,,mapping,87c6afcd56ae6596a489b1d6c4ee8809,mapping__87c6afcd56ae6596a489b1d6c4ee8809
"[""NameVariant""]",NameVariant,"[""NameVariant""]",Con Ed,-1,Con Ed,,,,,,,,,,,mapping,67b38d0663f12ed083e99fa04cfe172e,mapping__67b38d0663f12ed083e99fa04cfe172e
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Consolidated Edison,7615,,a5193eecd7886c048c46988d22d78ebf,Consolidated Edison,,,,,,,,1,mapping,88617bb3114994efaa121f789eda5061,mapping__88617bb3114994efaa121f789eda5061
"[""NameVariant""]",NameVariant,"[""NameVariant""]",consolidatededison,7615,consolidatededison,,,,,,,,,,,mapping,803fca284e8cc5c0a6fe8afcfaca9aa8,mapping__803fca284e8cc5c0a6fe8afcfaca9aa8
"[""NameVariant""]",NameVariant,"[""NameVariant""]",consolidated edison co. of new york inc.,7616,consolidated edison co. of new york inc.,,,,,,,,,,,mapping,6ebfac36921d749272828444fa100379,mapping__6ebfac36921d749272828444fa100379
"[""NameVariant""]",NameVariant,"[""NameVariant""]","Consolidated Edison, Inc.",-1,"Consolidated Edison, Inc.",,,,,,,,,,,mapping,87c6afcd56ae6596a489b1d6c4ee8809,mapping__87c6afcd56ae6596a489b1d6c4ee8809
"[""NameVariant""]",NameVariant,"[""NameVariant""]",Con Edison,-1,Con Edison,,,,,,,,,,,mapping,5a4d25614615df7beffcdbf1c1c8fab0,mapping__5a4d25614615df7beffcdbf1c1c8fab0
"[""NameVariant""]",NameVariant,"[""NameVariant""]",Con Ed,-1,Con Ed,,,,,,,,,,,mapping,67b38d0663f12ed083e99fa04cfe172e,mapping__67b38d0663f12ed083e99fa04cfe172e
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Insl-x,7617,,a5d91bcc184582038da424d86dbfb176,Insl-x,,,,,,,,1,mapping,4b9c5a01f097ae22ba08a08f35c9a3af,mapping__4b9c5a01f097ae22ba08a08f35c9a3af
"[""NameVariant""]",NameVariant,"[""NameVariant""]",insl-x products corporation,7617,insl-x products corporation,,,,,,,,,,,mapping,1a4fff8399af72901aa8c36d5c0b2b4b,mapping__1a4fff8399af72901aa8c36d5c0b2b4b
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Rainbow State Paint,7618,,a5d91bcc184582038da424d86dbfb176,Rainbow State Paint,,,,,,,,1,mapping,0ea4cf473f11b6683ed241fb0d730b46,mapping__0ea4cf473f11b6683ed241fb0d730b46
"[""NameVariant""]",NameVariant,"[""NameVariant""]",rainbow state paint & decorating,7618,rainbow state paint & decorating,,,,,,,,,,,mapping,1e4dc8af483dc6870bff04f0ead9552d,mapping__1e4dc8af483dc6870bff04f0ead9552d
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Complementary Coatings,7619,,a5d91bcc184582038da424d86dbfb176,Complementary Coatings,,,,,,,,1,mapping,c845f011c7fd8d2e47d9824d7f6d0a08,mapping__c845f011c7fd8d2e47d9824d7f6d0a08
