source_global_identifier,destination_global_identifier,rel_type,rel_properties$
mapping__Robert Grubka,mapping__Voya,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Grubka,mapping__1032de7afefadee11e21e01247c419c9,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Grubka,mapping__46c1696ba7c3b8adb500da7cda214104,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert H. Kurnick Jr.,mapping__https://en.wikipedia.org/wiki/Penske_Automotive_Group,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert H. Kurnick Jr.,mapping__5f0e726696550aa191074660a421b064,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert H. Kurnick Jr.,mapping__b054e712768bb32ecd03ce8b4e66018c,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Hagemann,mapping__https://en.wikipedia.org/wiki/Zimmer_Biomet,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Hagemann,mapping__68a7fbc54b773d7c417dc4e54ad50caa,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Hagemann,mapping__253a2f3111f000a12abaf01ffc6e70aa,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Halliday,mapping__https://en.wikipedia.org/wiki/Applied_Materials,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Halliday,mapping__1a012dd0bb2a3474573fc0c006d3a84a,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Halliday,mapping__809675b55694de3b35ecdd967fe40df8,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Harding,mapping__https://en.wikipedia.org/wiki/First_Quantum_Minerals,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Harding,mapping__e949abb711203b8a644e85e2a1c50ef5,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Harding,mapping__4fc9920e7d32d8293dd6f598ae9d9117,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Hau,mapping__https://en.wikipedia.org/wiki/Fiserv,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Hau,mapping__cc2475e828d6b8024ed954b2c43ca71a,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Hau,mapping__fd3489db3f3b05bc4be109a93560742b,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Heidorn,mapping__https://en.wikipedia.org/wiki/CenterPoint_Energy,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Heidorn,mapping__d6235183433d4360c21b2b3de07d270b,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Heidorn,mapping__ed75873ac8524426ec3d07b3aab90fc0,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Hendrickson,mapping__https://en.wikipedia.org/wiki/RNDC_(Republic_National_Distributing_Company),ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Hendrickson,mapping__a2e16782f8d9f5ef9cda6d089d3ef63a,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Hendrickson,mapping__6e1e16d77fa16b783f87a194f72cb73d,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Henkel,mapping__https://en.wikipedia.org/wiki/Owens_&_Minor,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Henkel,mapping__c2717fec6e252b655fda7d8cb51feff4,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Henkel,mapping__e0dd1755c758e9f9124668b7316194c4,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Hsu,mapping__UNKNOWN,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Hsu,mapping__d2a0ac6ec1160422eaf32e94e235ded1,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Hsu,mapping__2b4aa739f75ff8539eb5fcf50feed425,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Hwang,mapping__https://en.wikipedia.org/wiki/Wistron,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Hwang,mapping__56d9bc51b4086225479700386124cea6,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Hwang,mapping__0f0f2e3dfd212a758c4b3fa5886de9f5,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert J. Bojdak,mapping__https://en.wikipedia.org/wiki/M&T_Bank,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert J. Bojdak,mapping__8310fdf4a18e7b8cd6712bd25432e34b,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert J. Bojdak,mapping__0e98121da979100b4c920a7dfd3198ae,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert J. Dwyer,KP__42f56b0327aabaac62e277e5e7325adf,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert J. Dwyer,mapping__b8cd93cc4a2a9868de852d11d87c63fb,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert J. Dwyer,mapping__edbc2cc2a5021360c7c9c553356e75fb,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
"mapping__Robert J. Perlmutter, PhD",mapping__https://en.wikipedia.org/wiki/Applied_Materials,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
"mapping__Robert J. Perlmutter, PhD",mapping__cd33bc9b497df43a2cd4034eb465bf93,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
"mapping__Robert J. Perlmutter, PhD",mapping__7b468cd1dcac8bd2f3424c4a0397d01c,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
"mapping__Robert J. Perlmutter, PhD",mapping__a5696c9bc8dc66afc7ff8b85c059ffc2,NAMEVARIANT,"{""from"":""external""}"
mapping__Robert Jeffrey Orr,mapping__https://en.wikipedia.org/wiki/Power_Corporation_of_Canada,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""CEO""}"
mapping__Robert Jeffrey Orr,mapping__08b1e7db5fc9e69dad3bdd183d6f086a,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Jeffrey Orr,mapping__09dcccce809c9485dc8dba6bf09d7a56,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
"mapping__Robert Jenkins, FSIP",mapping__UNKNOWN,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
"mapping__Robert Jenkins, FSIP",mapping__f748bfb90da898bec72708e22854028f,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
"mapping__Robert Jenkins, FSIP",mapping__349cd4030c622df0d0ca5763a6d618e2,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
