id,entity_type,relationship_type,relationship_self
0noU8y8GppEfXn7i3ao68Q,Person,NameVariant,"{'type': 'Mention', 'id': 'aC0QdaSA6KsbZ2YjfyEHOs', 'meta': {'mentionSupport': 3}}"
0noU8y8GppEfXn7i3ao68Q,Person,NameVariant,"{'type': 'Mention', 'id': 'aD59Uk3dMY8fFE5dupAycQ', 'meta': {'mentionSupport': 21}}"
0o0jsYYuvuefy6RAsu1PUb,Person,NameVariant,"{'type': 'Mention', 'id': 'bFs282YqsMaciGEUQY34ED', 'meta': {'mentionSupport': 3}}"
0oMtqgD5u8SbFpc0Y3rkTG,Person,NameVariant,"{'type': 'TwitterHandle', 'id': '55sMa0i1S2CbTsKH48jyP1', 'meta': {}}"
0oMtqgD5u8SbFpc0Y3rkTG,Person,NameVariant,"{'type': 'Mention', 'id': 'X8CXIypOVPvcOcOLdKrGh3', 'meta': {'mentionSupport': 15}}"
0rBMLQth97SfVHRNXO189T,Person,NameVariant,"{'type': 'TwitterHandle', 'id': '17ZZYDw5JDvc14Yg3jaX3e', 'meta': {}}"
0ry3hsKMe6eeo0NqDMKocW,Person,NameVariant,"{'type': 'Mention', 'id': '9R2r9pqcB6AebxVA3p5MLn', 'meta': {'mentionSupport': 5}}"
0ry3hsKMe6eeo0NqDMKocW,Person,NameVariant,"{'type': 'Mention', 'id': 'dgpAGPjyAJbd7Ud8ePjSls', 'meta': {'mentionSupport': 1}}"
0tsdgR2QGjNertSPnfEKX8,Person,NameVariant,"{'type': 'Mention', 'id': '3CddRuTK9gYbvsBkpGXc3u', 'meta': {'mentionSupport': 1}}"
0tsdgR2QGjNertSPnfEKX8,Person,NameVariant,"{'type': 'Mention', 'id': '5JvSNnUtATPeceAZtuP0O6', 'meta': {'mentionSupport': 1}}"
0tsdgR2QGjNertSPnfEKX8,Person,NameVariant,"{'type': 'TwitterHandle', 'id': '6trG4OEaZexe13BpT4uMFY', 'meta': {}}"
0tsdgR2QGjNertSPnfEKX8,Person,NameVariant,"{'type': 'Mention', 'id': '7dwDfJ7ILEubmGuMLHkcuP', 'meta': {'mentionSupport': 140}}"
0tsdgR2QGjNertSPnfEKX8,Person,NameVariant,"{'type': 'Mention', 'id': 'X5NN8M90WRefE5CJlif97V', 'meta': {'mentionSupport': 1}}"
0tsdgR2QGjNertSPnfEKX8,Person,NameVariant,"{'type': 'Mention', 'id': 'Yf1daxyhvR8bEzI4xGtPa7', 'meta': {'mentionSupport': 1}}"
0tsdgR2QGjNertSPnfEKX8,Person,NameVariant,"{'type': 'Mention', 'id': 'cdfhiviWYuBeJ7eHcPmNss', 'meta': {'mentionSupport': 1}}"
0v3TEBsgPvdc9xBS0nOCRH,Person,NameVariant,"{'type': 'Mention', 'id': 'ZArJKf4Jdb1bqK3FIk7CL2', 'meta': {'mentionSupport': 23}}"
0v3TEBsgPvdc9xBS0nOCRH,Person,NameVariant,"{'type': 'Mention', 'id': 'a3Z6wRtQhSLdvhyNoE849K', 'meta': {'mentionSupport': 2}}"
0vPdSsnfMlQfwR77sejoFh,Person,NameVariant,"{'type': 'TwitterHandle', 'id': '4NT6Qn6tJ62bcRqcthnE9N', 'meta': {}}"
0vPdSsnfMlQfwR77sejoFh,Person,NameVariant,"{'type': 'Mention', 'id': '7KOocfzj1ghe5tGg7QO29E', 'meta': {'mentionSupport': 7}}"
0vPdSsnfMlQfwR77sejoFh,Person,NameVariant,"{'type': 'Mention', 'id': 'AYmjgevt1m8bU0fOd1inbV', 'meta': {'mentionSupport': 2}}"
0vPdSsnfMlQfwR77sejoFh,Person,NameVariant,"{'type': 'Mention', 'id': 'Xe2jH8BlVYZcejNSL9m4W2', 'meta': {'mentionSupport': 2}}"
0waFWGe0yOpc5TkX0p1M5Y,Person,NameVariant,"{'type': 'TwitterHandle', 'id': '1I8L80vKUMMb41EzNZCrEI', 'meta': {}}"
0waFWGe0yOpc5TkX0p1M5Y,Person,NameVariant,"{'type': 'Mention', 'id': '6lyRyuCbOkgfvzwTCaKpBn', 'meta': {'mentionSupport': 1}}"
0waFWGe0yOpc5TkX0p1M5Y,Person,NameVariant,"{'type': 'Mention', 'id': '6w32kY5AxyKb0Wm7GujVY9', 'meta': {'mentionSupport': 2}}"
0waFWGe0yOpc5TkX0p1M5Y,Person,NameVariant,"{'type': 'Mention', 'id': 'WPdjtcyl2ZMdlKryEf7JCC', 'meta': {'mentionSupport': 3}}"
0waFWGe0yOpc5TkX0p1M5Y,Person,NameVariant,"{'type': 'Mention', 'id': 'f1QBtlgLXOXeXLcCmnmRFN', 'meta': {'mentionSupport': 21}}"
0yU2KP3RoXhdTAeUWWmBAw,Person,NameVariant,"{'type': 'Mention', 'id': 'Am2DFNa8EqBbhXfTZL0T3B', 'meta': {'mentionSupport': 25}}"
0yU2KP3RoXhdTAeUWWmBAw,Person,NameVariant,"{'type': 'Mention', 'id': 'W3EuBK6GYVheZmwsScvOy8', 'meta': {'mentionSupport': 1}}"
10CBFdSSLF8cgg0NFAohuI,Person,NameVariant,"{'type': 'Mention', 'id': '60BU2lFeM2EdZACszTOcmc', 'meta': {'mentionSupport': 8}}"
10R0x2znbCtdWLdDnA0nXP,Person,NameVariant,"{'type': 'Mention', 'id': '9fcHA8GnbC7d6oBC6xZTn4', 'meta': {'mentionSupport': 1}}"
10R0x2znbCtdWLdDnA0nXP,Person,NameVariant,"{'type': 'Mention', 'id': 'bjPnpSujCA0cWi6jiAlIjV', 'meta': {'mentionSupport': 39}}"
11TMqDB3ntqfFEGqNHHnJE,Person,NameVariant,"{'type': 'Mention', 'id': '4yBnTsaWcmTdAIoJxOBu7i', 'meta': {'mentionSupport': 7}}"
14M6hW5UBnjcm5Zz8soNS2,Person,NameVariant,"{'type': 'Mention', 'id': 'ciyRLjkuayzeePyzEkjquW', 'meta': {'mentionSupport': 14}}"
172CQrLIU08aUsUOmk8Xtf,Person,NameVariant,"{'type': 'Mention', 'id': '1cyDDpOVS6sd8Higw9g9VI', 'meta': {'mentionSupport': 255}}"
172CQrLIU08aUsUOmk8Xtf,Person,NameVariant,"{'type': 'Mention', 'id': 'Zf0afsCDyuubBVGZjOQ15A', 'meta': {'mentionSupport': 2}}"
18rgUhky5gxdzlgvRGFFpR,Person,NameVariant,"{'type': 'Mention', 'id': '6jdysDNavdFd6yYlvpdNoo', 'meta': {'mentionSupport': 1}}"
18rgUhky5gxdzlgvRGFFpR,Person,NameVariant,"{'type': 'Mention', 'id': '75x4wWKMG16d09sskY6FYY', 'meta': {'mentionSupport': 17}}"
18rgUhky5gxdzlgvRGFFpR,Person,NameVariant,"{'type': 'TwitterHandle', 'id': '8JxfgmKjQKjcij3ktdEyz3', 'meta': {}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': '08MmiMtBYeWdxeSGLxHU1G', 'meta': {'mentionSupport': 2}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': '0i3RCPLIEL2cocOew7Y9Qz', 'meta': {'mentionSupport': 154}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': '2w5MIYlfrgAda0ttqODxK3', 'meta': {'mentionSupport': 1}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': '38AfVGcOmvleABoKQkr8zk', 'meta': {'mentionSupport': 1559}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': '3WsInwdjr52biXUMLiRKLg', 'meta': {'mentionSupport': 1}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': '3iMSmlwkqxFfUxR8zvOWfg', 'meta': {'mentionSupport': 5}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': '5bGETEG1cn3ex4lY32KjBp', 'meta': {'mentionSupport': 2}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': '5knyXl86S6ccQBnvekRBnt', 'meta': {'mentionSupport': 1}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': '5qtacpsQoBtfAZ7r1C5c7d', 'meta': {'mentionSupport': 1}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': '6FUsU4s5jbebj8ndYckVob', 'meta': {'mentionSupport': 4}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': '8UKdSWKBbgTewYP6dJ1htz', 'meta': {'mentionSupport': 1}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': '9Lmbd1kzyo6bViH4MGGSwP', 'meta': {'mentionSupport': 1}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': 'Adkj3sMyTmec4nItSZN8ud', 'meta': {'mentionSupport': 36}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': 'V6beYkjftXfeEc1lFcZs2z', 'meta': {'mentionSupport': 3}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': 'W1aOrzJtZw2fNS53ASvxaQ', 'meta': {'mentionSupport': 3}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': 'YktfhrGimRie8jb8kWwO7c', 'meta': {'mentionSupport': 1}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': 'ZQLIqhAb9NQe1fwomtCVmk', 'meta': {'mentionSupport': 8}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': 'aaEEXRA9wR3da1HN96xfOK', 'meta': {'mentionSupport': 1}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': 'cIuFDRa6J73cOYkyhveC0L', 'meta': {'mentionSupport': 6}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': 'cMiGKc2zJqhf1OP45hRrjV', 'meta': {'mentionSupport': 4}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': 'clbxgDPf6j3fUaJ98xEePc', 'meta': {'mentionSupport': 1}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': 'd3EoHFKdVgiehJMFwXXCE9', 'meta': {'mentionSupport': 1}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'TwitterHandle', 'id': 'doSjDMZQga6eTSA10IVomu', 'meta': {}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': 'e91UTaXHixrfphA7ict0FV', 'meta': {'mentionSupport': 3}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': 'fDL4lIb0iORfdaWd1y6s1h', 'meta': {'mentionSupport': 1}}"
1AB9CWXLU3VeV2r15QCPYt,Person,NameVariant,"{'type': 'Mention', 'id': 'fhOrw5Ex4opfhXhldUpNSG', 'meta': {'mentionSupport': 21}}"
1BB9DiMULWdai8DYhgigqq,Person,NameVariant,"{'type': 'Mention', 'id': '54gKJaBexEYcD22uW5TzOQ', 'meta': {'mentionSupport': 5}}"
1BB9DiMULWdai8DYhgigqq,Person,NameVariant,"{'type': 'Mention', 'id': 'eplfH7oVj18aygrkUhTk0c', 'meta': {'mentionSupport': 36}}"
1KCSAkQkp3YfJmJGIwa15q,Person,NameVariant,"{'type': 'Mention', 'id': '7H0Vh5is2Wdcm37hoMQknn', 'meta': {'mentionSupport': 2}}"
1KCSAkQkp3YfJmJGIwa15q,Person,NameVariant,"{'type': 'Mention', 'id': 'a7F0bxzOuuradsmcF5YbRQ', 'meta': {'mentionSupport': 1}}"
1KCSAkQkp3YfJmJGIwa15q,Person,NameVariant,"{'type': 'Mention', 'id': 'clPYTelDurxaisTx7k4POv', 'meta': {'mentionSupport': 1}}"
1KCSAkQkp3YfJmJGIwa15q,Person,NameVariant,"{'type': 'Mention', 'id': 'eCnSla0CRD1dsWNieQq197', 'meta': {'mentionSupport': 1081}}"
1KTFrGBYRyAeeZA66IMoE3,Person,NameVariant,"{'type': 'Mention', 'id': '3dY02JaT3HndqVmxwP1TQC', 'meta': {'mentionSupport': 14}}"
1KTFrGBYRyAeeZA66IMoE3,Person,NameVariant,"{'type': 'Mention', 'id': '9fcHA8GnbC7d6oBC6xZTn4', 'meta': {'mentionSupport': 1}}"
1Kr48A10TXkd0fywDQuDeK,Person,NameVariant,"{'type': 'Mention', 'id': '1LxgefyKqjjepJc1wuvB96', 'meta': {'mentionSupport': 7}}"
1LKCKCkIARBfZr8fXEpDoa,Person,NameVariant,"{'type': 'Mention', 'id': '6OOgH6P2jTCbCBOhgNNuNE', 'meta': {'mentionSupport': 8}}"
1LKCKCkIARBfZr8fXEpDoa,Person,NameVariant,"{'type': 'Mention', 'id': 'VuLoNPI9wxLanyhBqBRF3M', 'meta': {'mentionSupport': 5}}"
1LqMCvbYsmZcmDuHCfKTam,Person,NameVariant,"{'type': 'Mention', 'id': '9ogYHj46pKLcIr29akC8KQ', 'meta': {'mentionSupport': 2}}"
1MS4lRv4OtnboAmPK5WcrN,Person,NameVariant,"{'type': 'Mention', 'id': '5SA3A3TkmHyfyeqI5BT0M6', 'meta': {'mentionSupport': 167}}"
1MS4lRv4OtnboAmPK5WcrN,Person,NameVariant,"{'type': 'Mention', 'id': 'WUkL6yFGvF2aYXWINkr2A4', 'meta': {'mentionSupport': 1}}"
1NKpPPmIaZjc00Z8VDI8Rr,Person,NameVariant,"{'type': 'Mention', 'id': 'XQJKMR60UB0bLOz1ZFmXfv', 'meta': {'mentionSupport': 7}}"
1NbLOhpHV6BdRLuBSyxvCE,Person,NameVariant,"{'type': 'Mention', 'id': '7istd9pfWD8bqbBwXeU4CE', 'meta': {'mentionSupport': 1}}"
1NbLOhpHV6BdRLuBSyxvCE,Person,NameVariant,"{'type': 'Mention', 'id': '82YIkbFgjOjcA7lnks6eGx', 'meta': {'mentionSupport': 2}}"
1P8wxacPNMdeMRqAInLFyB,Person,NameVariant,"{'type': 'TwitterHandle', 'id': '85TvBu1EdzJbZie7yLsMj5', 'meta': {}}"
1PJw9RX9tlQdSvAJ9B4jD7,Person,NameVariant,"{'type': 'Mention', 'id': 'dcQbncezlLIfG6xyYZzjvD', 'meta': {'mentionSupport': 1}}"
