source_global_identifier,destination_global_identifier,rel_type,rel_properties
mapping__https://en.wikipedia.org/wiki/LyondellBasell,mapping__f50af079faaa18ac27a703d7b2e7b2a3,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/LyondellBasell,mapping__465aad27090137664e76f6a316929917,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/LyondellBasell,mapping__355f781d3a4e3dd76bfb8fb4e5410afc,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/LyondellBasell,mapping__045b00cc90bae242b2c46cb5e72cbffd,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/LyondellBasell,mapping__78ba93898ecee41ce1def7a1ae9a433e,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/LyondellBasell,mapping__18dace092f79b8003e77fba770e6eee7,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Marathon_Oil,KP__143985134279cd43f9678633c8154038,SAMEAS,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Marathon_Oil,mapping__2f4f2888de4341b22aaaec1dec6949ac,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Marathon_Oil,mapping__9dca0f55220134a2dfdab7bb2aead47e,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Marathon_Oil,mapping__6c45a6617b42ca2e5b2aba89d2b6d57e,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Marathon_Oil,mapping__08da22479a9f9fe209cd0a1012c0e57b,NAMEVARIANT,"{""from"":""external""}"
