source_global_identifier,destination_global_identifier,rel_type,rel_properties
logo_classes__https://en.wikipedia.org/wiki/Aral_AG,logo_classes__66f51a6ae7ef337726bd691ec25bd1a1,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Aral_AG,logo_classes__d8e24eac4916e622f26c21d315aa2ec9,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Arby's,logo_classes__5abccb63753a188d6190e70c38b26068,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Arby's,logo_classes__8b8156457ffdbe915cbe6905bf70d002,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Armani,KP__bdef59c27a6c648a6351887a408c7069,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Armani,logo_classes__c11e371026863d7aa80f82d3063fc955,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Armani,logo_classes__c34bbed0af96bb1c57d2269d722ac707,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Armani,logo_classes__0358e05412c18c3b41b2b5a831426c12,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Armitron,logo_classes__fb15f18c88522d7f602164a8801ee139,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__aspirin,logo_classes__02183dad35a6be50dfddaba6ca4bacbb,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__aspirin,logo_classes__5d15dfe6ae0a0aa73c31f809e3104392,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Asus,KP__d594fa662e93d91163d42d310f2cce50,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Asus,logo_classes__392e3a38ee96f288ae5422cccef78dc9,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Asus,logo_classes__9e71e0127fa2d87a61f3b01de3581ea7,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Asus,logo_classes__1a7a183949c384c7e78f6561c6c18d9a,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Asus,logo_classes__59b46e5cb718ae0346689566c26dd6ed,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Asus,logo_classes__89b84599d6071f4b58d083d213680887,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/AT&T,KP__586219bdd08b80c336213860e5bc3c8b,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/AT&T,logo_classes__9653272016fbb0866cacd19962bef316,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/AT&T,logo_classes__e16a90465d4c0078f87aaeebe33ac0a5,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/AT&T,logo_classes__85395bbd25ddeee4e572c0f28176cd5f,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/AT&T,logo_classes__7b982ce6dd0ea433e1bb3c0fa6e29e0b,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/AT&T,logo_classes__181166db18b58b7e08327ca98a9ea4fe,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Athlon,logo_classes__e21506f0206e918e83e0d1803e01d175,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Athlon,logo_classes__c989fe33b9d20920c12dfa2bb60f8908,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Athlon,logo_classes__7f42c0a1c4d5ae04cfaf830d4aa8df9c,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Audi,KP__f449a8ec62c60096d771929048835ad8,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Audi,logo_classes__3b4e5ed7a2b037de7515203ebf685f1f,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Autodesk,KP__f449a8ec62c60096d771929048835ad8,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Autodesk,logo_classes__9beeaf1d8eb0556666134d9d00fc3c37,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Autodesk,logo_classes__745a30c39cf30b4b21418be715ef7c31,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/AutoNation,KP__e36d1e1d94f536e6e1729b0ce952b2b5,SAMEAS,"{""from"":""logo_classes""}"
