handle,caption_name,location,type,location_lower,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
5492443184,Chinese actor Wang Yibo,beijingbeijing,,beijingbeijing,,,Chinese actor Wang Yibo,,dgm_weibo_publicfigures_mentioner,b199bc2337ca3f17bb10efd43513be3d,dgm_weibo_publicfigures_mentioner__b199bc2337ca3f17bb10efd43513be3d
3623353053,Chinese singer Jackson Yee,beijingbeijing,,beijingbeijing,,,Chinese singer Jackson Yee,,dgm_weibo_publicfigures_mentioner,1dfc7fa047da72b170fe2b5900db7070,dgm_weibo_publicfigures_mentioner__1dfc7fa047da72b170fe2b5900db7070
1192329374,Chinese actor Xie Na,beijingbeijing,,beijingbeijing,,,Chinese actor Xie Na,,dgm_weibo_publicfigures_mentioner,35893be3da17e8d7c3f486e9d22994e9,dgm_weibo_publicfigures_mentioner__35893be3da17e8d7c3f486e9d22994e9
1195230310,Chinese TV presenter He Jiong,beijingbeijing,,beijingbeijing,,,Chinese TV presenter He Jiong,,dgm_weibo_publicfigures_mentioner,2a2c601a603623320538a92b5632e966,dgm_weibo_publicfigures_mentioner__2a2c601a603623320538a92b5632e966
1195242865,Chinese actor Yang Mi,beijingbeijing,,beijingbeijing,,,Chinese actor Yang Mi,,dgm_weibo_publicfigures_mentioner,de413b32d3162206f7430c1db0fc8cf4,dgm_weibo_publicfigures_mentioner__de413b32d3162206f7430c1db0fc8cf4
1642351362,Chinese singer Angelababy,beijingbeijing,,beijingbeijing,,,Chinese singer Angelababy,,dgm_weibo_publicfigures_mentioner,7bfcfb561b2d7044344fd8142e6dc255,dgm_weibo_publicfigures_mentioner__7bfcfb561b2d7044344fd8142e6dc255
1087770692,Chinese actor Chen Kun,beijingbeijing,,beijingbeijing,,,Chinese actor Chen Kun,,dgm_weibo_publicfigures_mentioner,264b7ef03bbb536164be58c51be8f6ee,dgm_weibo_publicfigures_mentioner__264b7ef03bbb536164be58c51be8f6ee
210926262,Chinese actor Zhao Yiling,beijingbeijing,,beijingbeijing,,,Chinese actor Zhao Yiling,,dgm_weibo_publicfigures_mentioner,707adc80e2cbb8f7e0d756050aa70249,dgm_weibo_publicfigures_mentioner__707adc80e2cbb8f7e0d756050aa70249
1656809190,Chinese actor Vicki Zhao,beijingbeijing,,beijingbeijing,,,Chinese actor Vicki Zhao,,dgm_weibo_publicfigures_mentioner,7e4d3f8166983ab1a185f18fdf6ff820,dgm_weibo_publicfigures_mentioner__7e4d3f8166983ab1a185f18fdf6ff820
1266321801,Chinese actor Yao Chen,beijingbeijing,,beijingbeijing,,,Chinese actor Yao Chen,,dgm_weibo_publicfigures_mentioner,ba5ed9c46c20b9f77b1d61d96f1e4b7b,dgm_weibo_publicfigures_mentioner__ba5ed9c46c20b9f77b1d61d96f1e4b7b
