german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
pfarrer-hess-weg,"Pfarrer-Hess-Weg in Berlin, Germany",52.4198413,13.5070621,1,,,,,,,,Consulates,"Pfarrer-Hess-Weg in Berlin, Germany",,german_fires_berlin_locations,5496c2c89d98c0b9eb4d16d072e0de82,german_fires_berlin_locations__5496c2c89d98c0b9eb4d16d072e0de82
pfarrer-hurtienne-platz,"Pfarrer-Hurtienne-Platz in Berlin, Germany",52.6083206,13.4340279,1,,,,,,,,Legislator,"Pfarrer-Hurtienne-Platz in Berlin, Germany",,german_fires_berlin_locations,9d0d04cbff6e2f31f55862cd6e0f759f,german_fires_berlin_locations__9d0d04cbff6e2f31f55862cd6e0f759f
pfarrer-jungklaus-strasse,"Pfarrer-Jungklaus-Strasse in Berlin, Germany",52.5604551,13.41982,1,,,,,,,,Wells,"Pfarrer-Jungklaus-Strasse in Berlin, Germany",,german_fires_berlin_locations,6fb2f8b4a49bbf05fe1ef5674ae2c8fc,german_fires_berlin_locations__6fb2f8b4a49bbf05fe1ef5674ae2c8fc
pfarrer-lenzel-strasse,"Pfarrer-Lenzel-Strasse in Berlin, Germany",52.5885622,13.3946977,1,,,,,,,,News,"Pfarrer-Lenzel-Strasse in Berlin, Germany",,german_fires_berlin_locations,ab5a4fd01a7c60e423a43950ee1b6136,german_fires_berlin_locations__ab5a4fd01a7c60e423a43950ee1b6136
pfarrer-lutkehaus-platz,"Pfarrer-Lutkehaus-Platz in Berlin, Germany",52.3864294,13.3980586,1,,,,,,,,ForeignMinister,"Pfarrer-Lutkehaus-Platz in Berlin, Germany",,german_fires_berlin_locations,cc2e6f7f4e3a412b2849322d50b3aaec,german_fires_berlin_locations__cc2e6f7f4e3a412b2849322d50b3aaec
pfarrer-theile-strasse,"Pfarrer-Theile-Strasse in Berlin, Germany",52.5258341,13.1467203,1,,,,,,,,CompanyKeyword,"Pfarrer-Theile-Strasse in Berlin, Germany",,german_fires_berlin_locations,fe795481325a722b277d2b99e26066b4,german_fires_berlin_locations__fe795481325a722b277d2b99e26066b4
pfarrer-vogelsang-weg,"Pfarrer-Vogelsang-Weg in Berlin, Germany",52.42167,13.4312913,1,,,,,,,,AAEntity,"Pfarrer-Vogelsang-Weg in Berlin, Germany",,german_fires_berlin_locations,5ec3fe4d45cec1a98a4e5370d55cf756,german_fires_berlin_locations__5ec3fe4d45cec1a98a4e5370d55cf756
pfarrer-wenke-weg,"Pfarrer-Wenke-Weg in Berlin, Germany",52.4140543,13.4228857,1,,,,,,,,Person,"Pfarrer-Wenke-Weg in Berlin, Germany",,german_fires_berlin_locations,829058a16f5fe8e7ee3378ec440a6b75,german_fires_berlin_locations__829058a16f5fe8e7ee3378ec440a6b75
pfarrhufenanger,"Pfarrhufenanger in Berlin, Germany",52.5188173,13.6255493,1,,,,,,,,DiplomaticFacilities,"Pfarrhufenanger in Berlin, Germany",,german_fires_berlin_locations,e9746c916ff6f8ec245b151f6db4ee31,german_fires_berlin_locations__e9746c916ff6f8ec245b151f6db4ee31
pfarrhufenweg,"Pfarrhufenweg in Berlin, Germany",52.5213824,13.6286434,1,,,,,,,,Person,"Pfarrhufenweg in Berlin, Germany",,german_fires_berlin_locations,9406d5ffb81375fd50b72b296b812951,german_fires_berlin_locations__9406d5ffb81375fd50b72b296b812951
pfarrlandstrasse,"Pfarrlandstrasse in Berlin, Germany",52.4144577,13.2608762,1,,,,,,,,FTO,"Pfarrlandstrasse in Berlin, Germany",,german_fires_berlin_locations,ea7265c4cd1b3db471afddc9184a14f8,german_fires_berlin_locations__ea7265c4cd1b3db471afddc9184a14f8
pfarrsiedlung,"Pfarrsiedlung in Berlin, Germany",52.4178405,13.5135856,1,,,,,,,,Pipeline,"Pfarrsiedlung in Berlin, Germany",,german_fires_berlin_locations,d333de80102abd859db4854e1c8d326c,german_fires_berlin_locations__d333de80102abd859db4854e1c8d326c
pfarrstrasse,"Pfarrstrasse in Berlin, Germany",52.5049411,13.4767182,1,,,,,,,,AAEntity,"Pfarrstrasse in Berlin, Germany",,german_fires_berlin_locations,cc5bd22156049f0e4564301b4048c8d1,german_fires_berlin_locations__cc5bd22156049f0e4564301b4048c8d1
pfarrwohrde,"Pfarrwohrde in Berlin, Germany",52.4229834,13.5301268,1,,,,,,,,FTO,"Pfarrwohrde in Berlin, Germany",,german_fires_berlin_locations,10c91ff8a95b96b4d23f563d90009948,german_fires_berlin_locations__10c91ff8a95b96b4d23f563d90009948
pfaueninsel,"Pfaueninsel in Berlin, Germany",52.434504,13.131111,1,,,,,,,,Pipeline,"Pfaueninsel in Berlin, Germany",,german_fires_berlin_locations,649af413d85751cfe4898872a16ca4af,german_fires_berlin_locations__649af413d85751cfe4898872a16ca4af
pfaueninselchaussee,"Pfaueninselchaussee in Berlin, Germany",52.4254193,13.1367325,1,,,,,,,,IndustryTerm,"Pfaueninselchaussee in Berlin, Germany",,german_fires_berlin_locations,0ac27f8c243d835992d40f0b655252de,german_fires_berlin_locations__0ac27f8c243d835992d40f0b655252de
pfauenkehre,"Pfauenkehre in Berlin, Germany",52.401912,13.4819369,1,,,,,,,,News,"Pfauenkehre in Berlin, Germany",,german_fires_berlin_locations,cd1a953be7afacaac4e7b92b1adb9a30,german_fires_berlin_locations__cd1a953be7afacaac4e7b92b1adb9a30
pfeddersheimer weg,"Pfeddersheimer Weg in Berlin, Germany",52.4271718,13.2089994,1,,,,,,,,Organization,"Pfeddersheimer Weg in Berlin, Germany",,german_fires_berlin_locations,8fbbbbcd90292acdb3762fed410830aa,german_fires_berlin_locations__8fbbbbcd90292acdb3762fed410830aa
pfefferminzweg,"Pfefferminzweg in Berlin, Germany",52.6050642,13.3812321,1,,,,,,,,ForeignMinister,"Pfefferminzweg in Berlin, Germany",,german_fires_berlin_locations,80eefebcea63d6577c71dfd14284e510,german_fires_berlin_locations__80eefebcea63d6577c71dfd14284e510
pfefferweg,"Pfefferweg in Berlin, Germany",52.5539109,13.1672931,1,,,,,,,,Media,"Pfefferweg in Berlin, Germany",,german_fires_berlin_locations,67cd64cf2c520d135c5824ec723b39bc,german_fires_berlin_locations__67cd64cf2c520d135c5824ec723b39bc
pfeiffergasse,"Pfeiffergasse in Berlin, Germany",52.446687,13.6236351,1,,,,,,,,space,"Pfeiffergasse in Berlin, Germany",,german_fires_berlin_locations,08a6db151517998276d8552e41c9fe4b,german_fires_berlin_locations__08a6db151517998276d8552e41c9fe4b
pfeilstrasse,"Pfeilstrasse in Berlin, Germany",52.573068,13.3961312,1,,,,,,,,Keyphrase,"Pfeilstrasse in Berlin, Germany",,german_fires_berlin_locations,52573c581f664ada6a0bcf63503a4b7c,german_fires_berlin_locations__52573c581f664ada6a0bcf63503a4b7c
pfennigkrautweg,"Pfennigkrautweg in Berlin, Germany",52.5200066,13.404954,1,,,,,,,,Shipping,"Pfennigkrautweg in Berlin, Germany",,german_fires_berlin_locations,085062c924b85e90b019a23e0f709d54,german_fires_berlin_locations__085062c924b85e90b019a23e0f709d54
pfifferlingweg,"Pfifferlingweg in Berlin, Germany",52.574938,13.3360572,1,,,,,,,,News,"Pfifferlingweg in Berlin, Germany",,german_fires_berlin_locations,d5555e07924a9dcfda1c5e9ce87444a9,german_fires_berlin_locations__d5555e07924a9dcfda1c5e9ce87444a9
pfingstberggasse,"Pfingstberggasse in Berlin, Germany",52.439825,13.5434159,1,,,,,,,,Diplomat,"Pfingstberggasse in Berlin, Germany",,german_fires_berlin_locations,d11cee1f48a7a77d7ac16e532e69586c,german_fires_berlin_locations__d11cee1f48a7a77d7ac16e532e69586c
pfingstrosenweg,"Pfingstrosenweg in Berlin, Germany",52.5030671,13.5745193,1,,,,,,,,DiplomaticFacilities,"Pfingstrosenweg in Berlin, Germany",,german_fires_berlin_locations,d5d2297e3f9ff8ead047c5692df6636c,german_fires_berlin_locations__d5d2297e3f9ff8ead047c5692df6636c
pfingstweg,"Pfingstweg in Berlin, Germany",52.5010147,13.5988505,1,,,,,,,,space,"Pfingstweg in Berlin, Germany",,german_fires_berlin_locations,b54d376f526f19ba55bfd24f662abd4f,german_fires_berlin_locations__b54d376f526f19ba55bfd24f662abd4f
pfirsichallee,"Pfirsichallee in Berlin, Germany",52.5481127,13.4131021,1,,,,,,,,IndustryTerm,"Pfirsichallee in Berlin, Germany",,german_fires_berlin_locations,72d99193841a898fb24ca182fc45e9b3,german_fires_berlin_locations__72d99193841a898fb24ca182fc45e9b3
pfirsichblutenweg,"Pfirsichblutenweg in Berlin, Germany",52.5962645,13.4229375,1,,,,,,,,ForeignMinister,"Pfirsichblutenweg in Berlin, Germany",,german_fires_berlin_locations,0c0cc6ae12ad799d3c453336edde5954,german_fires_berlin_locations__0c0cc6ae12ad799d3c453336edde5954
pfirsichweg,"Pfirsichweg in Berlin, Germany",52.4909367,13.1808129,1,,,,,,,,Diplomat,"Pfirsichweg in Berlin, Germany",,german_fires_berlin_locations,145ed50d2c18fa93780f63d06df6daaf,german_fires_berlin_locations__145ed50d2c18fa93780f63d06df6daaf
pflanzergasse,"Pflanzergasse in Berlin, Germany",52.5702342,13.5587215,1,,,,,,,,Shipping,"Pflanzergasse in Berlin, Germany",,german_fires_berlin_locations,62b45f24a8dbdce412c8c6e9ef566530,german_fires_berlin_locations__62b45f24a8dbdce412c8c6e9ef566530
pflanzgartenplatz,"Pflanzgartenplatz in Berlin, Germany",52.4708138,13.5831208,1,,,,,,,,Diplomat,"Pflanzgartenplatz in Berlin, Germany",,german_fires_berlin_locations,114644f4facee71be4bdc24ac2f978b1,german_fires_berlin_locations__114644f4facee71be4bdc24ac2f978b1
pflanzgartenstrasse,"Pflanzgartenstrasse in Berlin, Germany",52.470143,13.5856147,1,,,,,,,,LegislativeCommittee,"Pflanzgartenstrasse in Berlin, Germany",,german_fires_berlin_locations,180410100d89c974866b99691a9fcca1,german_fires_berlin_locations__180410100d89c974866b99691a9fcca1
pflaumenallee,"Pflaumenallee in Berlin, Germany",52.4480558,13.4132196,1,,,,,,,,LegislativeCommittee,"Pflaumenallee in Berlin, Germany",,german_fires_berlin_locations,feb93a6de6f6b8a37c3d10ec6d7b543c,german_fires_berlin_locations__feb93a6de6f6b8a37c3d10ec6d7b543c
