Keyword.1,Keyword.2,caption_name,guid,org_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
@aa.co.at,aa.co.at,American Airlines email credential for @aa.co.at,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Consulates,American Airlines email credential for @aa.co.at,,corp_email_mention,588bdff0a8acf23c39fce18ecc39ca39,corp_email_mention__588bdff0a8acf23c39fce18ecc39ca39
@aa.co.im,aa.co.im,American Airlines email credential for @aa.co.im,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Organization,American Airlines email credential for @aa.co.im,,corp_email_mention,d2fe77b381dcd7e68cc4be4e29d752ab,corp_email_mention__d2fe77b381dcd7e68cc4be4e29d752ab
@aa.co.uk,aa.co.uk,American Airlines email credential for @aa.co.uk,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Keyphrase,American Airlines email credential for @aa.co.uk,,corp_email_mention,5252a962cdd21097ead1012a82187d64,corp_email_mention__5252a962cdd21097ead1012a82187d64
@aa.com.kz,aa.com.kz,American Airlines email credential for @aa.com.kz,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,space,American Airlines email credential for @aa.com.kz,,corp_email_mention,212adea79ced38c4d150c4940ed90609,corp_email_mention__212adea79ced38c4d150c4940ed90609
@aa.com.lv,aa.com.lv,American Airlines email credential for @aa.com.lv,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Wells,American Airlines email credential for @aa.com.lv,,corp_email_mention,574d5f025b5cbcbb2e644b8fdf68f6f7,corp_email_mention__574d5f025b5cbcbb2e644b8fdf68f6f7
@aa.com.mx,aa.com.mx,American Airlines email credential for @aa.com.mx,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Shipping,American Airlines email credential for @aa.com.mx,,corp_email_mention,7b1211aff8938e81a8df2a640d97a7b1,corp_email_mention__7b1211aff8938e81a8df2a640d97a7b1
@aa.com.pe,aa.com.pe,American Airlines email credential for @aa.com.pe,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,IndustryTerm,American Airlines email credential for @aa.com.pe,,corp_email_mention,74535607c7de0784c9cb20c6d2c3fe41,corp_email_mention__74535607c7de0784c9cb20c6d2c3fe41
@aa.com.pt,aa.com.pt,American Airlines email credential for @aa.com.pt,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Pipeline,American Airlines email credential for @aa.com.pt,,corp_email_mention,41e5f9f6e14ef879cd4d86ce729d55ca,corp_email_mention__41e5f9f6e14ef879cd4d86ce729d55ca
@aa.com.ve,aa.com.ve,American Airlines email credential for @aa.com.ve,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,FTO,American Airlines email credential for @aa.com.ve,,corp_email_mention,d3ce8dd32a27255aafa3fe809025dddb,corp_email_mention__d3ce8dd32a27255aafa3fe809025dddb
@aa.creditunion,aa.creditunion,American Airlines email credential for @aa.creditunion,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,IndustryTerm,American Airlines email credential for @aa.creditunion,,corp_email_mention,8510245f41463219fdc9de16e8bc900b,corp_email_mention__8510245f41463219fdc9de16e8bc900b
@aa.deals,aa.deals,American Airlines email credential for @aa.deals,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,space,American Airlines email credential for @aa.deals,,corp_email_mention,cb59bac5b7d62dd8469ba2731a487c91,corp_email_mention__cb59bac5b7d62dd8469ba2731a487c91
@aa.flights,aa.flights,American Airlines email credential for @aa.flights,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,LegislativeCommittee,American Airlines email credential for @aa.flights,,corp_email_mention,2d0e4fde52c557618726a052d99162b4,corp_email_mention__2d0e4fde52c557618726a052d99162b4
@aa.gd,aa.gd,American Airlines email credential for @aa.gd,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Pipeline,American Airlines email credential for @aa.gd,,corp_email_mention,792dd45610f808768d01ffcca8947c1f,corp_email_mention__792dd45610f808768d01ffcca8947c1f
@aa.kz,aa.kz,American Airlines email credential for @aa.kz,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,ForeignMinistry,American Airlines email credential for @aa.kz,,corp_email_mention,6aec2af45892ef4490f49b63ff84b40f,corp_email_mention__6aec2af45892ef4490f49b63ff84b40f
