keyword,caption_name,address,coordinates,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
army.gov.au,Australian Army,"Russell Offices, Constitution Avenue, Russell, ACT, 2600 Australia","-35.2966725, 149.1519968",Exec,Australian Army,,shodan_ps_entities,327b484f009ea47c1abb3ed841be9dcb,shodan_ps_entities__327b484f009ea47c1abb3ed841be9dcb
navy.gov.au,Royal Australian Navy,"Russell Offices, Constitution Avenue, Russell, ACT, 2600 Australia","-35.2966725, 149.1519968",LegislativeCommittee,Royal Australian Navy,,shodan_ps_entities,5e1d1638c1eb67f3193dbc0c8e759851,shodan_ps_entities__5e1d1638c1eb67f3193dbc0c8e759851
airforce.gov.au,Royal Australian Air Force,"Russell Offices, Constitution Avenue, Russell, ACT, 2600 Australia","-35.2966725, 149.1519968",Refinery,Royal Australian Air Force,,shodan_ps_entities,0afeb8c7796a6edfcd996fbc139ca74b,shodan_ps_entities__0afeb8c7796a6edfcd996fbc139ca74b
defence.gov.au,Australian Department of Defence,"Russell Offices, Constitution Avenue, Russell, ACT, 2600 Australia","-35.2966725, 149.1519968",ForeignMinister,Australian Department of Defence,,shodan_ps_entities,3a433d8fb975f9cf1faf2e37c20f56e9,shodan_ps_entities__3a433d8fb975f9cf1faf2e37c20f56e9
asd.gov.au,Australian Signals Directorate,"Building 5, Russell Offices, Constitution Avenue, Russell, ACT, 2600 Australia","-35.2966725, 149.1519968",Keyphrase,Australian Signals Directorate,,shodan_ps_entities,c50d04bbd536dbd29e89e17d6b99115d,shodan_ps_entities__c50d04bbd536dbd29e89e17d6b99115d
asio.gov.au,Australian Security Intelligence Organisation,"ASIO Headquaters, Ben Chifley Building, 70 Constitution Avenue, Parkes, ACT, 2600 Australia","-35.2925812, 149.1447929",AAEntity,Australian Security Intelligence Organisation,,shodan_ps_entities,0a53015ee6d7c3812f2a426afefa371c,shodan_ps_entities__0a53015ee6d7c3812f2a426afefa371c
asis.gov.au,Australian Secret Intelligence Service,"RG Casey Building, John McEwen Crescent, Barton, ACT, 0221 Australia","-35.3099228, 149.130368",AAEntity,Australian Secret Intelligence Service,,shodan_ps_entities,c98a8e43e409eb8ea7459cb859de8928,shodan_ps_entities__c98a8e43e409eb8ea7459cb859de8928
oni.gov.au,Australian Office of National Intelligence,"2 National Circuit, Barton, ACT, 2600 Australia","-35.3052452, 149.1337385",Wells,Australian Office of National Intelligence,,shodan_ps_entities,d5667b84cf6be01d91eba771a942364f,shodan_ps_entities__d5667b84cf6be01d91eba771a942364f
dst.defence.gov.au,Australian Defence Science and Technology,"David Warren Building, 24 Scherger Drive, Canberra Airport, 2609 Australia","-35.3053198, 149.2043066",ForeignMinister,Australian Defence Science and Technology,,shodan_ps_entities,930c33f11390c3212c0b1eb458247b62,shodan_ps_entities__930c33f11390c3212c0b1eb458247b62
defence.gov.au,Capability Acquisition and Sustainment Group,"R2-5 Executive Suite, Russell Offices, Constitution Avenue, Russell, ACT, 2600 Australia","-35.2966725, 149.1519968",space,Capability Acquisition and Sustainment Group,,shodan_ps_entities,5e81e1ca0bd51b1615be49ab73a37903,shodan_ps_entities__5e81e1ca0bd51b1615be49ab73a37903
dha.gov.au,Defence Housing Australia,"26 Brisbane Avenue, Barton, 2600 Australian Capital Territory Australia","-35.3088339, 149.1346293",DiplomaticFacilities,Defence Housing Australia,,shodan_ps_entities,c8490bd92f65a2b52d1e426804b9ddca,shodan_ps_entities__c8490bd92f65a2b52d1e426804b9ddca
defencejobs.gov.au,Defence Force Recruiting Australia,"10 Richmond Avenue, Fairbairn, ACT, 2609 Australia","-35.3038646, 149.2031775",Media,Defence Force Recruiting Australia,,shodan_ps_entities,d6826c47801f56dc12b77be32ab66172,shodan_ps_entities__d6826c47801f56dc12b77be32ab66172
airpowr.gov.au,Air Power Development Centre,"205 Anketell St, Greenway ACT 2900 Australia","-35.4163057, 149.0685322",AAEntity,Air Power Development Centre,,shodan_ps_entities,55f05dd58b98b577a613bb9b924d655e,shodan_ps_entities__55f05dd58b98b577a613bb9b924d655e
igis.gov.au,Inspector-General of Intelligence and Security,"3-5 National Circuit, Barton, ACT 2600, Australia Australia","-35.3065442, 149.1327458",Pipeline,Inspector-General of Intelligence and Security,,shodan_ps_entities,74120b84be5ac9412d117cf9b4c4efb8,shodan_ps_entities__74120b84be5ac9412d117cf9b4c4efb8
defence.gov.au,Inspector-General of Australian Defence Force,"Level 5, 25 Brindabella Circuit, Canberra Airport, ACT, 2609 Australia","-35.3150489, 149.1885672",News,Inspector-General of Australian Defence Force,,shodan_ps_entities,712ac79872c8f86bd5010e5df675b087,shodan_ps_entities__712ac79872c8f86bd5010e5df675b087
cyber.gov.au,Australian Cyber Security Centre,"ASIO Headquaters, Ben Chifley Building, 70 Constitution Avenue, Parkes, ACT, 2600 Australia","-35.2925812, 149.1447929",Exec,Australian Cyber Security Centre,,shodan_ps_entities,3706c315bf4a163261ce77cbcbaaadd2,shodan_ps_entities__3706c315bf4a163261ce77cbcbaaadd2
aidn.org.au,Australian Industry and Defence Network,"Kingston, ACT, 2604 Australia","-35.315556, 149.144167",DiplomaticFacilities,Australian Industry and Defence Network,,shodan_ps_entities,cc6ca0da9af27a804e1f1c65f7ecd194,shodan_ps_entities__cc6ca0da9af27a804e1f1c65f7ecd194
