handle,caption_name,location_lower,location,type,groups,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
indiainjordan,Indian Embassy in Jordan,Jordan,,,jordan;india,,,Indian Embassy in Jordan,,dgm_vcstartup_mentioner,3ee8fc49dfc2eaffbc04508bf24d9059,dgm_vcstartup_mentioner__3ee8fc49dfc2eaffbc04508bf24d9059
spaincultureus,Spanish Embassy Cultural Office in US,United States,,,united states;spain,,,Spanish Embassy Cultural Office in US,,dgm_vcstartup_mentioner,30edc227b250e0b5c461d514254e5d3f,dgm_vcstartup_mentioner__30edc227b250e0b5c461d514254e5d3f
usembby,US Embassy in Belarus,Minsk,,,minsk;united states,,,US Embassy in Belarus,,dgm_vcstartup_mentioner,c15f1cdb3e36773809a923302caf535c,dgm_vcstartup_mentioner__c15f1cdb3e36773809a923302caf535c
ksaembassyye,Saudi Embassy in Yemen,Yemen,,,yemen;saudi arabia,,,Saudi Embassy in Yemen,,dgm_vcstartup_mentioner,cf54d4b807c05479a35bd675dd831f96,dgm_vcstartup_mentioner__cf54d4b807c05479a35bd675dd831f96
usembassycyprus,US Embassy in Cyprus,Cyrpus,,,cyrpus;united states,,,US Embassy in Cyprus,,dgm_vcstartup_mentioner,f588ce2b9712f46e0c113e122e7ba970,dgm_vcstartup_mentioner__f588ce2b9712f46e0c113e122e7ba970
finnishembro,Finish Embassy in Romania,Romania,,,romania;finland,,,Finish Embassy in Romania,,dgm_vcstartup_mentioner,d9ab8e4e57fef3b5227c6d8e1c6cd588,dgm_vcstartup_mentioner__d9ab8e4e57fef3b5227c6d8e1c6cd588
canembsenegal,Canadian Embassy in Senegal,Senegal,,,senegal;canada,,,Canadian Embassy in Senegal,,dgm_vcstartup_mentioner,e2348c23841b98957c846cedf93cba03,dgm_vcstartup_mentioner__e2348c23841b98957c846cedf93cba03
ambrustun,Russian Embassy in Tunisia,Tunisia,,,tunisia;russia,,,Russian Embassy in Tunisia,,dgm_vcstartup_mentioner,b7355da3bb39ba8421e995aea97bb598,dgm_vcstartup_mentioner__b7355da3bb39ba8421e995aea97bb598
ksembbxls,Kosovar Embassy in Belgium,Brussels,,,brussels;kosovo,,,Kosovar Embassy in Belgium,,dgm_vcstartup_mentioner,0108692fd8ef8ec86ece4edb746a56db,dgm_vcstartup_mentioner__0108692fd8ef8ec86ece4edb746a56db
usembassybern,US Embassy in Switzerland,Switzerland,,,switzerland;united states,,,US Embassy in Switzerland,,dgm_vcstartup_mentioner,777b384070565349808847c70370c647,dgm_vcstartup_mentioner__777b384070565349808847c70370c647
