keyword,caption_name,topic_id,type,groups,GUID,.1,.2,.3,.4,.5,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
(gulf of mexico; production),Gulf of Mexico oil production,188162;188132,commodities,,,,,,,#N/A,Commodities,Gulf of Mexico oil production,,dgm_og_mentionee,2d91cc2fce82cc72c496b7feb5e7ccff,dgm_og_mentionee__2d91cc2fce82cc72c496b7feb5e7ccff
@eni,Italian oil and gas company Eni,188162;188132,company handle,;eni;eni,,,,,,#N/A,CompanyHandle,Italian oil and gas company Eni,,dgm_og_mentionee,1cb1d4610edf036a607c825e83059ecf,dgm_og_mentionee__1cb1d4610edf036a607c825e83059ecf
@eppetroecuador,Ecuadorian state-owned oil and gas company Petroecuador,188162;188132,company handle,;eppetroecuador;petroecuador,,,,,,#N/A,CompanyHandle,Ecuadorian state-owned oil and gas company Petroecuador,,dgm_og_mentionee,7fe9fdf419ba4255f4a4357a3e2a79e4,dgm_og_mentionee__7fe9fdf419ba4255f4a4357a3e2a79e4
@eqtcorp,US oil and gas company EQT,188162;188132,company handle,;eqtcorp;eqt,,,,,,#N/A,CompanyHandle,US oil and gas company EQT,,dgm_og_mentionee,8bf63ae11c28ad33a77dacf64ae241da,dgm_og_mentionee__8bf63ae11c28ad33a77dacf64ae241da
@equinor,Norwegian state-owned oil and gas company Equinor,188162;188132,company handle,;equinor;equinor,,,,,,#N/A,CompanyHandle,Norwegian state-owned oil and gas company Equinor,,dgm_og_mentionee,476ba33748d8fb83bce1fc064eaab9bd,dgm_og_mentionee__476ba33748d8fb83bce1fc064eaab9bd
@equinor_br,Norwegian state-owned oil and gas company Equinor,188162;188132,company handle,equinor;equinor_br;equinor brazil,,,,,,#N/A,CompanyHandle,Norwegian state-owned oil and gas company Equinor,,dgm_og_mentionee,476ba33748d8fb83bce1fc064eaab9bd,dgm_og_mentionee__476ba33748d8fb83bce1fc064eaab9bd
@equinor_de,Norwegian state-owned oil and gas company Equinor,188162;188132,company handle,equinor;equinor_de;equinor deutschland,,,,,,#N/A,CompanyHandle,Norwegian state-owned oil and gas company Equinor,,dgm_og_mentionee,476ba33748d8fb83bce1fc064eaab9bd,dgm_og_mentionee__476ba33748d8fb83bce1fc064eaab9bd
@equinor_eu,Norwegian state-owned oil and gas company Equinor,188162;188132,company handle,equinor;equinor_eu;equinor eu,,,,,,#N/A,CompanyHandle,Norwegian state-owned oil and gas company Equinor,,dgm_og_mentionee,476ba33748d8fb83bce1fc064eaab9bd,dgm_og_mentionee__476ba33748d8fb83bce1fc064eaab9bd
@equinor_na,Norwegian state-owned oil and gas company Equinor,188162;188132,company handle,equinor;equinor_na;equinor north america,,,,,,#N/A,CompanyHandle,Norwegian state-owned oil and gas company Equinor,,dgm_og_mentionee,476ba33748d8fb83bce1fc064eaab9bd,dgm_og_mentionee__476ba33748d8fb83bce1fc064eaab9bd
@equinor_uk,Norwegian state-owned oil and gas company Equinor,188162;188132,company handle,equinor;equinor_uk;equinor uk,,,,,,#N/A,CompanyHandle,Norwegian state-owned oil and gas company Equinor,,dgm_og_mentionee,476ba33748d8fb83bce1fc064eaab9bd,dgm_og_mentionee__476ba33748d8fb83bce1fc064eaab9bd
@equinor_venture,Norwegian state-owned oil and gas company Equinor,188162;188132,company handle,equinor;equinor_venture;equinor ventures,,,,,,#N/A,CompanyHandle,Norwegian state-owned oil and gas company Equinor,,dgm_og_mentionee,476ba33748d8fb83bce1fc064eaab9bd,dgm_og_mentionee__476ba33748d8fb83bce1fc064eaab9bd
@equinorasa,Norwegian state-owned oil and gas company Equinor,188162;188132,company handle,equinor;equinorasa;equinor asa,,,,,,#N/A,CompanyHandle,Norwegian state-owned oil and gas company Equinor,,dgm_og_mentionee,476ba33748d8fb83bce1fc064eaab9bd,dgm_og_mentionee__476ba33748d8fb83bce1fc064eaab9bd
@essar oil,Indian oil and gas company Essar Oil,188162;188132,company handle,;essar oil;essar oil,,,,,,#N/A,CompanyHandle,Indian oil and gas company Essar Oil,,dgm_og_mentionee,515f465eee2ed6b33f6980aba3bf75c2,dgm_og_mentionee__515f465eee2ed6b33f6980aba3bf75c2
@essoitaliana,ExxonMobil,188162;188132,company handle,exxonmobil;essoitaliana;exxonmobil,,,,,,ExxonMobil,CompanyHandle,ExxonMobil,,dgm_og_mentionee,c2ababd13c2e887ba60f6e6e126ba90d,dgm_og_mentionee__c2ababd13c2e887ba60f6e6e126ba90d
@exxonbillings,ExxonMobil Billings Refinery,188162;188132,company handle,exxonmobil;exxonbillings;exxonmobil billings refinery,,,,,,ExxonMobil Billings Refinery,CompanyHandle,ExxonMobil Billings Refinery,,dgm_og_mentionee,b785361f96c4726c43808ccfef3e9d5f,dgm_og_mentionee__b785361f96c4726c43808ccfef3e9d5f
@exxonmobil,ExxonMobil,188162;188132,company handle,;exxonmobil;exxonmobil,,,,,,ExxonMobil,CompanyHandle,ExxonMobil,,dgm_og_mentionee,c2ababd13c2e887ba60f6e6e126ba90d,dgm_og_mentionee__c2ababd13c2e887ba60f6e6e126ba90d
@exxonmobil_af,ExxonMobil Africa,188162;188132,company handle,exxonmobil;exxonmobil_af;exxonmobil africa,,,,,,ExxonMobil Africa,CompanyHandle,ExxonMobil Africa,,dgm_og_mentionee,d272f5c9c3f4f5ac0d66f432a581562e,dgm_og_mentionee__d272f5c9c3f4f5ac0d66f432a581562e
@exxonmobil_ak,ExxonMobil Alaska,188162;188132,company handle,exxonmobil;exxonmobil_ak;exxonmobil alaska,,,,,,ExxonMobil Alaska,CompanyHandle,ExxonMobil Alaska,,dgm_og_mentionee,cfc1faa75c0c6aab37ec5da5a824e034,dgm_og_mentionee__cfc1faa75c0c6aab37ec5da5a824e034
@exxonmobil_aus,ExxonMobil Australia,188162;188132,company handle,exxonmobil;exxonmobil_aus;exxonmobil australia,,,,,,ExxonMobil Australia,CompanyHandle,ExxonMobil Australia,,dgm_og_mentionee,98bb9c6126e0fdc3c144c004380535b0,dgm_og_mentionee__98bb9c6126e0fdc3c144c004380535b0
