german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,u,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
i-nordstrasse,"I-Nordstrasse in Bochum, Germany",51.4471101,7.264106,1,,,,,,,News,"I-Nordstrasse in Bochum, Germany",,german_fires_bochum_locations,95f4e89995df0d9227a41cfc556da5dd,german_fires_bochum_locations__95f4e89995df0d9227a41cfc556da5dd
i-oststrasse,"I-Oststrasse in Bochum, Germany",51.4808788,7.1349253,1,,,,,,,AAEntity,"I-Oststrasse in Bochum, Germany",,german_fires_bochum_locations,978c97ae35ddb3fd39246378de102bda,german_fires_bochum_locations__978c97ae35ddb3fd39246378de102bda
i-sudstrasse,"I-Sudstrasse in Bochum, Germany",51.4458981,7.2644487,1,,,,,,,Wells,"I-Sudstrasse in Bochum, Germany",,german_fires_bochum_locations,d4772c46e2f7579d5da4ad1cc5e7fc5b,german_fires_bochum_locations__d4772c46e2f7579d5da4ad1cc5e7fc5b
i. parallelstrasse,"I. Parallelstrasse in Bochum, Germany",51.4929799,7.2417327,1,,,,,,,ForeignMinistry,"I. Parallelstrasse in Bochum, Germany",,german_fires_bochum_locations,7cf282f0ced6445b4ef4d883ef60f2f0,german_fires_bochum_locations__7cf282f0ced6445b4ef4d883ef60f2f0
idunaweg,"Idunaweg in Bochum, Germany",51.4649665,7.2015534,1,,,,,,,IndustryTerm,"Idunaweg in Bochum, Germany",,german_fires_bochum_locations,6472805baa58ac8c4aa70ece44218879,german_fires_bochum_locations__6472805baa58ac8c4aa70ece44218879
igelstrasse,"Igelstrasse in Bochum, Germany",51.4703811,7.3101974,1,,,,,,,ForeignMinister,"Igelstrasse in Bochum, Germany",,german_fires_bochum_locations,d3082d95c450bef46353a63276d8290f,german_fires_bochum_locations__d3082d95c450bef46353a63276d8290f
ii. parallelstrasse,"II. Parallelstrasse in Bochum, Germany",51.4940522,7.2426554,1,,,,,,,Refinery,"II. Parallelstrasse in Bochum, Germany",,german_fires_bochum_locations,7cefcb96ceec9be7669c3ded7512b75a,german_fires_bochum_locations__7cefcb96ceec9be7669c3ded7512b75a
ilexweg,"Ilexweg in Bochum, Germany",51.4651034,7.3351412,1,,,,,,,Diplomat,"Ilexweg in Bochum, Germany",,german_fires_bochum_locations,a30aa8cf248b5ad9d84ac35ebb5dcc36,german_fires_bochum_locations__a30aa8cf248b5ad9d84ac35ebb5dcc36
iltisweg,"Iltisweg in Bochum, Germany",51.4701188,7.3112126,1,,,,,,,LegislativeCommittee,"Iltisweg in Bochum, Germany",,german_fires_bochum_locations,30732d6578cc30937229b6e1726b1e08,german_fires_bochum_locations__30732d6578cc30937229b6e1726b1e08
im ahfeld,"Im Ahfeld in Bochum, Germany",51.4665741,7.1748399,1,,,,,,,Person,"Im Ahfeld in Bochum, Germany",,german_fires_bochum_locations,745e8f971bdfaa6f6e245b78f06a1487,german_fires_bochum_locations__745e8f971bdfaa6f6e245b78f06a1487
im aufbruch,"Im Aufbruch in Bochum, Germany",51.5173402,7.2642789,1,,,,,,,FTO,"Im Aufbruch in Bochum, Germany",,german_fires_bochum_locations,194b3e2643ceb60aa636f6a56d8c5d43,german_fires_bochum_locations__194b3e2643ceb60aa636f6a56d8c5d43
im berge,"Im Berge in Bochum, Germany",51.4316713,7.1437362,1,,,,,,,ForeignMinister,"Im Berge in Bochum, Germany",,german_fires_bochum_locations,51bbe206742e3bac297361763c138efa,german_fires_bochum_locations__51bbe206742e3bac297361763c138efa
im bergefeld,"Im Bergefeld in Bochum, Germany",51.4262347,7.2061001,1,,,,,,,ForeignMinister,"Im Bergefeld in Bochum, Germany",,german_fires_bochum_locations,082ac0fd7a964ef64f9b79d0f2ecd93e,german_fires_bochum_locations__082ac0fd7a964ef64f9b79d0f2ecd93e
im brauke,"Im Brauke in Bochum, Germany",51.46643,7.2355059,1,,,,,,,IndustryTerm,"Im Brauke in Bochum, Germany",,german_fires_bochum_locations,1c532cb8d4926b5bf0194716ab2dccf1,german_fires_bochum_locations__1c532cb8d4926b5bf0194716ab2dccf1
im breien,"Im Breien in Bochum, Germany",51.4876613,7.3098358,1,,,,,,,Consulates,"Im Breien in Bochum, Germany",,german_fires_bochum_locations,95ef4cec8b0dbb8dd0b2ec88429b1da6,german_fires_bochum_locations__95ef4cec8b0dbb8dd0b2ec88429b1da6
im brennholt,"Im Brennholt in Bochum, Germany",51.521056,7.2599991,1,,,,,,,Shipping,"Im Brennholt in Bochum, Germany",,german_fires_bochum_locations,1c7aa7110dcd1d12bce25482f5931ccc,german_fires_bochum_locations__1c7aa7110dcd1d12bce25482f5931ccc
im busch,"Im Busch in Bochum, Germany",51.4527663,7.1590793,1,,,,,,,AAEntity,"Im Busch in Bochum, Germany",,german_fires_bochum_locations,19107dcb9fc52273f285de85cddf0079,german_fires_bochum_locations__19107dcb9fc52273f285de85cddf0079
im dohlenbruch,"Im Dohlenbruch in Bochum, Germany",51.4501401,7.1917206,1,,,,,,,AAEntity,"Im Dohlenbruch in Bochum, Germany",,german_fires_bochum_locations,5b4db6ab7f5545363d52d003cd9abd21,german_fires_bochum_locations__5b4db6ab7f5545363d52d003cd9abd21
im dorf hiltrop,"Im Dorf Hiltrop in Bochum, Germany",51.5167579,7.2589726,1,,,,,,,Media,"Im Dorf Hiltrop in Bochum, Germany",,german_fires_bochum_locations,56586f45f41130746b5494ee36a1d954,german_fires_bochum_locations__56586f45f41130746b5494ee36a1d954
im esch,"Im Esch in Bochum, Germany",51.4655209,7.3118871,1,,,,,,,Refinery,"Im Esch in Bochum, Germany",,german_fires_bochum_locations,ed9cac251c909ec72a13d6c858fbc70f,german_fires_bochum_locations__ed9cac251c909ec72a13d6c858fbc70f
im finkensiepen,"Im Finkensiepen in Bochum, Germany",51.5159771,7.2670133,1,,,,,,,Exec,"Im Finkensiepen in Bochum, Germany",,german_fires_bochum_locations,92a3822dd67170cff58f817621defdab,german_fires_bochum_locations__92a3822dd67170cff58f817621defdab
im grossen busch,"Im Grossen Busch in Bochum, Germany",51.4434511,7.1962625,1,,,,,,,Refinery,"Im Grossen Busch in Bochum, Germany",,german_fires_bochum_locations,0a10763a2bc3af5033d1e43453d801b9,german_fires_bochum_locations__0a10763a2bc3af5033d1e43453d801b9
im haarmannsbusch,"Im Haarmannsbusch in Bochum, Germany",51.4383812,7.2350255,1,,,,,,,Organization,"Im Haarmannsbusch in Bochum, Germany",,german_fires_bochum_locations,4d68843dafc70e175ba2114bff3eb997,german_fires_bochum_locations__4d68843dafc70e175ba2114bff3eb997
im hackertsholz,"Im Hackertsholz in Bochum, Germany",51.4483748,7.2233989,1,,,,,,,FTO,"Im Hackertsholz in Bochum, Germany",,german_fires_bochum_locations,ebd79823c4e09f6b52bbec884a11be2f,german_fires_bochum_locations__ebd79823c4e09f6b52bbec884a11be2f
im hagenacker,"Im Hagenacker in Bochum, Germany",51.5147136,7.2550443,1,,,,,,,ForeignMinistry,"Im Hagenacker in Bochum, Germany",,german_fires_bochum_locations,0ae375fe82b499243cb8d177f54d6f70,german_fires_bochum_locations__0ae375fe82b499243cb8d177f54d6f70
im heicken,"Im Heicken in Bochum, Germany",51.4670681,7.2358945,1,,,,,,,space,"Im Heicken in Bochum, Germany",,german_fires_bochum_locations,10975cd41dc3a1f7eea108ef400d16a9,german_fires_bochum_locations__10975cd41dc3a1f7eea108ef400d16a9
im hole,"Im Hole in Bochum, Germany",51.4878956,7.2599045,1,,,,,,,ForeignMinistry,"Im Hole in Bochum, Germany",,german_fires_bochum_locations,c6c2ef9f71742a12ace71fe6e348ebfd,german_fires_bochum_locations__c6c2ef9f71742a12ace71fe6e348ebfd
im hollken,"Im Hollken in Bochum, Germany",51.4927465,7.3032789,1,,,,,,,AAEntity,"Im Hollken in Bochum, Germany",,german_fires_bochum_locations,2063806a12332c5619b3c6f5e5a3d396,german_fires_bochum_locations__2063806a12332c5619b3c6f5e5a3d396
im kamperholz,"Im Kamperholz in Bochum, Germany",51.505619,7.2915711,1,,,,,,,Pipeline,"Im Kamperholz in Bochum, Germany",,german_fires_bochum_locations,2862154dc95273c49a5e5691dcf169b3,german_fires_bochum_locations__2862154dc95273c49a5e5691dcf169b3
im kattenhagen,"Im Kattenhagen in Bochum, Germany",51.4564428,7.1740983,1,,,,,,,Diplomat,"Im Kattenhagen in Bochum, Germany",,german_fires_bochum_locations,996e6187a43dba0e3d937936eba55dec,german_fires_bochum_locations__996e6187a43dba0e3d937936eba55dec
im kempken,"Im Kempken in Bochum, Germany",51.4486122,7.2271743,1,,,,,,,Organization,"Im Kempken in Bochum, Germany",,german_fires_bochum_locations,9b12904564a754d2996ee79cd9bdbf17,german_fires_bochum_locations__9b12904564a754d2996ee79cd9bdbf17
im kerkdahl,"Im Kerkdahl in Bochum, Germany",51.4889338,7.3180067,1,,,,,,,IndustryTerm,"Im Kerkdahl in Bochum, Germany",,german_fires_bochum_locations,a6515864bf338229d11e948acbd8168c,german_fires_bochum_locations__a6515864bf338229d11e948acbd8168c
im klappheck,"Im Klappheck in Bochum, Germany",51.4986314,7.2768881,1,,,,,,,Wells,"Im Klappheck in Bochum, Germany",,german_fires_bochum_locations,e20bbcddca00efa1c0731b92b0e0df75,german_fires_bochum_locations__e20bbcddca00efa1c0731b92b0e0df75
