keyword,caption_name,type,threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
christilukasiak,TV personality Christi Lukasiak,Celebrity,general.alert4,Celebrity,TV personality Christi Lukasiak,,Celeb_Mentioner,2f01a90cdb97b827f2895a5df9a5ed1a,Celeb_Mentioner__2f01a90cdb97b827f2895a5df9a5ed1a
gdzoficial,Band Gente de Zona,Celebrity,general.alert4,Celebrity,Band Gente de Zona,,Celeb_Mentioner,f0242f50ab6f1ee95f391acce07061e2,Celeb_Mentioner__f0242f50ab6f1ee95f391acce07061e2
ijasonalexander,Actor Jason Alexander,Celebrity,general.alert4,Celebrity,Actor Jason Alexander,,Celeb_Mentioner,f8d3043456d378181259f0edbefc2852,Celeb_Mentioner__f8d3043456d378181259f0edbefc2852
kimberleyjwalsh,Singer Kimberley Walsh,Celebrity,general.alert4,Celebrity,Singer Kimberley Walsh,,Celeb_Mentioner,aa44375c15528ce94d637f59ba5d8704,Celeb_Mentioner__aa44375c15528ce94d637f59ba5d8704
claralago1,Actor Clara Lago,Celebrity,general.alert4,Celebrity,Actor Clara Lago,,Celeb_Mentioner,fd90f3317cd75263f2e64a351b09e6b4,Celeb_Mentioner__fd90f3317cd75263f2e64a351b09e6b4
adamcarolla,Radio personality Adam Carolla,Celebrity,general.alert4,Celebrity,Radio personality Adam Carolla,,Celeb_Mentioner,6a27986f8440063b056dfd4bbec7d99c,Celeb_Mentioner__6a27986f8440063b056dfd4bbec7d99c
rickyrayment,TV personality Ricky Rayment,Celebrity,general.alert4,Celebrity,TV personality Ricky Rayment,,Celeb_Mentioner,7f6b513c5e83235316c92219399f2d53,Celeb_Mentioner__7f6b513c5e83235316c92219399f2d53
gretchenrossi,Actor Gretchen Rossi,Celebrity,general.alert4,Celebrity,Actor Gretchen Rossi,,Celeb_Mentioner,1b4870471e076cc376acaee19a6fba54,Celeb_Mentioner__1b4870471e076cc376acaee19a6fba54
scarlettmoffatt,TV personality Scarlett Moffatt,Celebrity,general.alert4,Celebrity,TV personality Scarlett Moffatt,,Celeb_Mentioner,06b24196fb5661acfc53fd53abf5e0d5,Celeb_Mentioner__06b24196fb5661acfc53fd53abf5e0d5
el_komander1,Singer Alfredo Rios,Celebrity,general.alert4,Celebrity,Singer Alfredo Rios,,Celeb_Mentioner,6a66b619c51b99af13917117904ee342,Celeb_Mentioner__6a66b619c51b99af13917117904ee342
