native_language,english_term,caption_text,incident_tier,topic_tags,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
amerískur maður,american man,Incident involving US national reported,1,FVEY/NATO Military and Diplomatic Assets,188262,Refinery,Incident involving US national reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,e2aa6d9f1684b717e419d10dc5aae50c,local_news_physical_safety_iceland_caption_topic_threshold_mapping__e2aa6d9f1684b717e419d10dc5aae50c
amerískar konur,american woman,Incident involving US national reported,1,FVEY/NATO Military and Diplomatic Assets,188262,Exec,Incident involving US national reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,e2aa6d9f1684b717e419d10dc5aae50c,local_news_physical_safety_iceland_caption_topic_threshold_mapping__e2aa6d9f1684b717e419d10dc5aae50c
us national,US national,Incident involving US national reported,1,FVEY/NATO Military and Diplomatic Assets,188262,space,Incident involving US national reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,e2aa6d9f1684b717e419d10dc5aae50c,local_news_physical_safety_iceland_caption_topic_threshold_mapping__e2aa6d9f1684b717e419d10dc5aae50c
american manneskja,American person,Incident involving US national reported,1,FVEY/NATO Military and Diplomatic Assets,188262,FTO,Incident involving US national reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,e2aa6d9f1684b717e419d10dc5aae50c,local_news_physical_safety_iceland_caption_topic_threshold_mapping__e2aa6d9f1684b717e419d10dc5aae50c
bandarískur ríkisborgari,US citizen,Incident involving US national reported,1,FVEY/NATO Military and Diplomatic Assets,188262,CompanyKeyword,Incident involving US national reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,e2aa6d9f1684b717e419d10dc5aae50c,local_news_physical_safety_iceland_caption_topic_threshold_mapping__e2aa6d9f1684b717e419d10dc5aae50c
eldfjall,volcano,Volcanic incident reported,2,Natural Disasters,188117,Person,Volcanic incident reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,52d9a2bf6e2c32e6a86f9aa3fcbb4a3f,local_news_physical_safety_iceland_caption_topic_threshold_mapping__52d9a2bf6e2c32e6a86f9aa3fcbb4a3f
jarðskjálfti,earthquake,Earthquake reported,2,Natural Disasters,188117,News,Earthquake reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,ea14d8cedb554a9a4cf91fc768aae85e,local_news_physical_safety_iceland_caption_topic_threshold_mapping__ea14d8cedb554a9a4cf91fc768aae85e
umferð,traffic,Crash reported,50,Roadways - Physical,188130,Diplomat,Crash reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,8e0cb8ae87fb4a18370484e43d6388d2,local_news_physical_safety_iceland_caption_topic_threshold_mapping__8e0cb8ae87fb4a18370484e43d6388d2
hrunið,crash,Crash reported,50,Roadways - Physical,188130,FTO,Crash reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,8e0cb8ae87fb4a18370484e43d6388d2,local_news_physical_safety_iceland_caption_topic_threshold_mapping__8e0cb8ae87fb4a18370484e43d6388d2
árekstur,collision,Crash reported,50,Roadways - Physical,188130,Legislator,Crash reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,8e0cb8ae87fb4a18370484e43d6388d2,local_news_physical_safety_iceland_caption_topic_threshold_mapping__8e0cb8ae87fb4a18370484e43d6388d2
klessti á,crashed,Crash reported,50,Roadways - Physical,188130,DiplomaticFacilities,Crash reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,8e0cb8ae87fb4a18370484e43d6388d2,local_news_physical_safety_iceland_caption_topic_threshold_mapping__8e0cb8ae87fb4a18370484e43d6388d2
mansal,human trafficking,Incident involving human trafficking reported,7,Immigration Issues,188119,Pipeline,Incident involving human trafficking reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,49a7e186c5ba2b60e161e5cb0de2a2ad,local_news_physical_safety_iceland_caption_topic_threshold_mapping__49a7e186c5ba2b60e161e5cb0de2a2ad
flóttamenn,refugees,Incident involving migrants reported,9,Immigration Issues,188119,DiplomaticFacilities,Incident involving migrants reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,5f24999a4d4d358500a34e80775eee4e,local_news_physical_safety_iceland_caption_topic_threshold_mapping__5f24999a4d4d358500a34e80775eee4e
innflytjenda,migrants,Incident involving migrants reported,9,Immigration Issues,188119,Pipeline,Incident involving migrants reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,5f24999a4d4d358500a34e80775eee4e,local_news_physical_safety_iceland_caption_topic_threshold_mapping__5f24999a4d4d358500a34e80775eee4e
innflytjendum,immigrants,Incident involving migrants reported,9,Immigration Issues,188119,CompanyKeyword,Incident involving migrants reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,5f24999a4d4d358500a34e80775eee4e,local_news_physical_safety_iceland_caption_topic_threshold_mapping__5f24999a4d4d358500a34e80775eee4e
landhelgisgæsla,coastguard,Incident involving coast guard reported,12,Fires & Collapses,188118,Consulates,Incident involving coast guard reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,5eafea06b4c1638475ca20d22d249fba,local_news_physical_safety_iceland_caption_topic_threshold_mapping__5eafea06b4c1638475ca20d22d249fba
eiturlyfjum,narcotics,Incident involving narcotics reported,7,Crime - Narcotics,188109,Refinery,Incident involving narcotics reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,9de9fc9603df37527fcb004ea02f879a,local_news_physical_safety_iceland_caption_topic_threshold_mapping__9de9fc9603df37527fcb004ea02f879a
marijúana,marijuana,Incident involving narcotics reported,7,Crime - Narcotics,188109,LegislativeCommittee,Incident involving narcotics reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,9de9fc9603df37527fcb004ea02f879a,local_news_physical_safety_iceland_caption_topic_threshold_mapping__9de9fc9603df37527fcb004ea02f879a
kókaín,cocaine,Incident involving narcotics reported,7,Crime - Narcotics,188109,News,Incident involving narcotics reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,9de9fc9603df37527fcb004ea02f879a,local_news_physical_safety_iceland_caption_topic_threshold_mapping__9de9fc9603df37527fcb004ea02f879a
heróín,heroin,Incident involving narcotics reported,7,Crime - Narcotics,188109,Person,Incident involving narcotics reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,9de9fc9603df37527fcb004ea02f879a,local_news_physical_safety_iceland_caption_topic_threshold_mapping__9de9fc9603df37527fcb004ea02f879a
