german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ss,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
scharnholzstrasse,"Scharnholzstrasse in Bottrop, Germany",51.535948,6.9468374,1,,,,,Shipping,"Scharnholzstrasse in Bottrop, Germany",,german_fires_bottrop_locations,12b5181c0cea6a46b1722809b265f6ff,german_fires_bottrop_locations__12b5181c0cea6a46b1722809b265f6ff
wiggermannstrasse,"Wiggermannstrasse in Bottrop, Germany",51.525485,6.9332928,1,,,,,ForeignMinister,"Wiggermannstrasse in Bottrop, Germany",,german_fires_bottrop_locations,57eeb93fc31b8c83dd90679f89e67623,german_fires_bottrop_locations__57eeb93fc31b8c83dd90679f89e67623
wittstammstrasse,"Wittstammstrasse in Bottrop, Germany",51.5345811,6.924407,1,,,,,Consulates,"Wittstammstrasse in Bottrop, Germany",,german_fires_bottrop_locations,3d15891ffd450cbf98794cfba0ce3753,german_fires_bottrop_locations__3d15891ffd450cbf98794cfba0ce3753
augustin-wibbelt-strasse,"Augustin-Wibbelt-strasse in Bottrop, Germany",51.5172032,6.8961283,1,,,,,Wells,"Augustin-Wibbelt-strasse in Bottrop, Germany",,german_fires_bottrop_locations,1332108505d526e41230ca0d46c5b7e0,german_fires_bottrop_locations__1332108505d526e41230ca0d46c5b7e0
birkenstrasse,"Birkenstrasse in Bottrop, Germany",51.5222148,6.899294,1,,,,,Pipeline,"Birkenstrasse in Bottrop, Germany",,german_fires_bottrop_locations,ec5b74766c9dc34aa0912a32e813fd2f,german_fires_bottrop_locations__ec5b74766c9dc34aa0912a32e813fd2f
brunsmannstrasse,"Brunsmannstrasse in Bottrop, Germany",51.5258093,6.8974066,1,,,,,LegislativeCommittee,"Brunsmannstrasse in Bottrop, Germany",,german_fires_bottrop_locations,37e59fbc455c8e89c448dd37349ac05e,german_fires_bottrop_locations__37e59fbc455c8e89c448dd37349ac05e
fundermannsweg,"Fundermannsweg in Bottrop, Germany",51.5223916,6.906729,1,,,,,Pipeline,"Fundermannsweg in Bottrop, Germany",,german_fires_bottrop_locations,9fa0a660eee3e7c453e4d29b8d74e9d5,german_fires_bottrop_locations__9fa0a660eee3e7c453e4d29b8d74e9d5
geibelstrasse,"Geibelstrasse in Bottrop, Germany",51.5190297,6.8980036,1,,,,,space,"Geibelstrasse in Bottrop, Germany",,german_fires_bottrop_locations,d1c3118bb490343d8815d41981268143,german_fires_bottrop_locations__d1c3118bb490343d8815d41981268143
ginsterweg,"Ginsterweg in Bottrop, Germany",51.5219301,6.8969211,1,,,,,News,"Ginsterweg in Bottrop, Germany",,german_fires_bottrop_locations,3f5e69bcf2fb32b2f373c30657220d1b,german_fires_bottrop_locations__3f5e69bcf2fb32b2f373c30657220d1b
guldenberg,"Guldenberg in Bottrop, Germany",51.5240519,6.8999008,1,,,,,News,"Guldenberg in Bottrop, Germany",,german_fires_bottrop_locations,473817d23adc6368352c53a4cd290a5e,german_fires_bottrop_locations__473817d23adc6368352c53a4cd290a5e
hagenbrockstrasse,"Hagenbrockstrasse in Bottrop, Germany",51.5229965,6.9023784,1,,,,,Diplomat,"Hagenbrockstrasse in Bottrop, Germany",,german_fires_bottrop_locations,ddbe102edac6842bef01efb32f13b499,german_fires_bottrop_locations__ddbe102edac6842bef01efb32f13b499
holunderweg,"Holunderweg in Bottrop, Germany",51.5222518,6.8972963,1,,,,,space,"Holunderweg in Bottrop, Germany",,german_fires_bottrop_locations,ee6ae539ae42e561db1f20b5dd04dc06,german_fires_bottrop_locations__ee6ae539ae42e561db1f20b5dd04dc06
hottkesweg,"Hottkesweg in Bottrop, Germany",51.5213489,6.9026454,1,,,,,ForeignMinister,"Hottkesweg in Bottrop, Germany",,german_fires_bottrop_locations,94084c9cea3c5e191e22a5e206b5c7b5,german_fires_bottrop_locations__94084c9cea3c5e191e22a5e206b5c7b5
im beckram,"Im Beckram in Bottrop, Germany",51.5220491,6.9052261,1,,,,,ForeignMinistry,"Im Beckram in Bottrop, Germany",,german_fires_bottrop_locations,c0c353dc64e5afa22fcda2a532035215,german_fires_bottrop_locations__c0c353dc64e5afa22fcda2a532035215
im brinkmannsfeld,"Im Brinkmannsfeld in Bottrop, Germany",51.5193288,6.9025991,1,,,,,Keyphrase,"Im Brinkmannsfeld in Bottrop, Germany",,german_fires_bottrop_locations,518a569d990cd324759babc1fc764266,german_fires_bottrop_locations__518a569d990cd324759babc1fc764266
