handle,caption_name,Category,Topic GUID,Topic Name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
billyraycyrus,Billy Ray Cyrus,Entertainment,214218,Reputation,Person,Billy Ray Cyrus,,advocacy_groups_handles,350052eff8e1002f03ddf566a19b747d,advocacy_groups_handles__9ba62dfd8e5cb878650e138f217f17be
adolfoaguilarv,Actor Adolfo Aguilar,Entertainment,214218,Reputation,space,Actor Adolfo Aguilar,,advocacy_groups_handles,5e9e644e17feabbbfa98a86fc18c2412,advocacy_groups_handles__a68b06d63b66ed79e521e79a925a49ff
lakshmimanchu,Actor Lakshmi Manchu,Entertainment,214218,Reputation,News,Actor Lakshmi Manchu,,advocacy_groups_handles,70fde3a06b5d918e85d4fe3ebfba959e,advocacy_groups_handles__935bd09bd7470813e1e05e236b9cf188
luisgerardom,Actor Luis Gerardo Méndez,Entertainment,214218,Reputation,Pipeline,Actor Luis Gerardo Méndez,,advocacy_groups_handles,e177388bff4410eda0944f94b85c48d2,advocacy_groups_handles__d72d489ad3c3049535e38cef842b3448
omarepps,Actor OMAR EPPS,Entertainment,214218,Reputation,Diplomat,Actor OMAR EPPS,,advocacy_groups_handles,7ebb9c8068998a9a2fe74b477425c90c,advocacy_groups_handles__2b7568dc02a590ba840ea6da329a26a7
emrata,Model Emily Ratajkowski,Entertainment,214218,Reputation,AAEntity,Model Emily Ratajkowski,,advocacy_groups_handles,906a705987139034c104593d36df85ec,advocacy_groups_handles__e052cc940d04f4de9f79e468ba18bf28
aracelyarambula,Actor Aracely Arambula,Entertainment,214218,Reputation,Shipping,Actor Aracely Arambula,,advocacy_groups_handles,b710383d33786dddd984e4c831c38a77,advocacy_groups_handles__7ed5dca75b5a27715f3ea9e6de604d4c
ceelogreen,CeeLo Green,Entertainment,214218,Reputation,IndustryTerm,CeeLo Green,,advocacy_groups_handles,628c53d6584916fa7c602bc6dd9d2b63,advocacy_groups_handles__95bd539d27c6c84a34e5bc1bc8c3fc45
arbaazskhan,Actor Arbaaz Khan,Entertainment,214218,Reputation,FTO,Actor Arbaaz Khan,,advocacy_groups_handles,ec69129c653e3b7b8c70d21d6df20b7a,advocacy_groups_handles__f310a569991912e998464ddb975fc23b
thevampstristan,Singer Tristan Evans,Entertainment,214218,Reputation,Refinery,Singer Tristan Evans,,advocacy_groups_handles,df18bf99a628d75a3fd125822b6fa83f,advocacy_groups_handles__6635dbb314a6de0290893afd3e182fce
therealgokwan,Fasion consultant Gok Wan,Entertainment,214218,Reputation,Legislator,Fasion consultant Gok Wan,,advocacy_groups_handles,5806f4fdeb98c186c33663bd72622611,advocacy_groups_handles__a52eeffb897e35f19848b0aa41c3d709
reemabdullah,Actor Reem Abdullah,Entertainment,214218,Reputation,Media,Actor Reem Abdullah,,advocacy_groups_handles,70abb2b30d387de10ea02d94c001a637,advocacy_groups_handles__bcc4b211dbff734736018ac8c76263a2
melinasophie,YouTube personality Melina Sophie,Entertainment,214218,Reputation,Media,YouTube personality Melina Sophie,,advocacy_groups_handles,88ad7a9a09336627d9d1ffbaff548b12,advocacy_groups_handles__063c6f299260155cf1721016b7932191
kellinquinn,Singer Kellin Quinn,Entertainment,214218,Reputation,Person,Singer Kellin Quinn,,advocacy_groups_handles,3fef40a8898cb2c82bd548c1fd0f9fe3,advocacy_groups_handles__31de59842575f87179af725916627754
periclesfaria,Singer Pericles Faria,Entertainment,214218,Reputation,IndustryTerm,Singer Pericles Faria,,advocacy_groups_handles,716339b61235b708c00af63729b5f633,advocacy_groups_handles__8e89f3d4d15f8bf957c2b6f5864a5fce
