keyword,caption_name,topic_id,entity_type,threshold,groups,Paired term,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
(kupongid; startup),KuponGid startup,188132,startup,general.alert3,,,Startup,KuponGid startup,,dgm_vcstartup_terms,d20e4c208e399c9c8508e278b5abbb34,dgm_vcstartup_terms__d20e4c208e399c9c8508e278b5abbb34
(casecentral; startup),CaseCentral startup,188132,startup,general.alert3,,,Startup,CaseCentral startup,,dgm_vcstartup_terms,16fbb667c42c4a250dcddf844a03d9be,dgm_vcstartup_terms__16fbb667c42c4a250dcddf844a03d9be
(incentive logic; startup),Incentive Logic startup,188132,startup,general.alert3,,,Startup,Incentive Logic startup,,dgm_vcstartup_terms,788493a8506e4b4f61a0428de6188e3f,dgm_vcstartup_terms__788493a8506e4b4f61a0428de6188e3f
(smartanalyst; startup),SmartAnalyst startup,188132,startup,general.alert3,,,Startup,SmartAnalyst startup,,dgm_vcstartup_terms,a32cf27d7912ddbf8352a89ae28af209,dgm_vcstartup_terms__a32cf27d7912ddbf8352a89ae28af209
(agensys; startup),Agensys startup,188132,startup,general.alert3,,,Startup,Agensys startup,,dgm_vcstartup_terms,8d7684e4a96dcbe675440cb05b110852,dgm_vcstartup_terms__8d7684e4a96dcbe675440cb05b110852
(memsic; startup),MEMSIC startup,188132,startup,general.alert3,,,Startup,MEMSIC startup,,dgm_vcstartup_terms,12f49b889d80540153270fc4fd61fdd7,dgm_vcstartup_terms__12f49b889d80540153270fc4fd61fdd7
(turbine; startup),Turbine startup,188132,startup,general.alert3,,,Startup,Turbine startup,,dgm_vcstartup_terms,c75e7c958167486f5da9ca10b3a2e7c8,dgm_vcstartup_terms__c75e7c958167486f5da9ca10b3a2e7c8
(tripwire; startup),Tripwire startup,188132,startup,general.alert3,,,Startup,Tripwire startup,,dgm_vcstartup_terms,531927ffec653e52de5e9c2e58c8c5b7,dgm_vcstartup_terms__531927ffec653e52de5e9c2e58c8c5b7
(rivio; startup),Rivio startup,188132,startup,general.alert3,,,Startup,Rivio startup,,dgm_vcstartup_terms,1c4226f3804214ee42767201e6662f86,dgm_vcstartup_terms__1c4226f3804214ee42767201e6662f86
(technorati; startup),Technorati startup,188132,startup,general.alert3,,,Startup,Technorati startup,,dgm_vcstartup_terms,203b5c3dd4bffcd9108b7433ddfac624,dgm_vcstartup_terms__203b5c3dd4bffcd9108b7433ddfac624
(pets.com; startup),Pets.com startup,188132,startup,general.alert3,,,Startup,Pets.com startup,,dgm_vcstartup_terms,b46527d778b20a54b774532e27b9ce83,dgm_vcstartup_terms__b46527d778b20a54b774532e27b9ce83
(papaya global; venture),Papaya Global startup,188132,startup,general.alert3,,,Startup,Papaya Global startup,,dgm_vcstartup_terms,19ac0fcbb764c2e6c9f795186ab69225,dgm_vcstartup_terms__19ac0fcbb764c2e6c9f795186ab69225
(orchard; venture),Orchard startup,188132,startup,general.alert3,,,Startup,Orchard startup,,dgm_vcstartup_terms,e97181d6699b8177dea64c06fd38e8ab,dgm_vcstartup_terms__e97181d6699b8177dea64c06fd38e8ab
(phenom; venture),Phenom startup,188132,startup,general.alert3,,,Startup,Phenom startup,,dgm_vcstartup_terms,c74d6fa253bad1391f61b9b72469699a,dgm_vcstartup_terms__c74d6fa253bad1391f61b9b72469699a
(corelight; venture),Corelight startup,188132,startup,general.alert3,,,Startup,Corelight startup,,dgm_vcstartup_terms,7311120b46682cb496c27faaaa447ac9,dgm_vcstartup_terms__7311120b46682cb496c27faaaa447ac9
(vivino; venture),Vivino startup,188132,startup,general.alert3,,,Startup,Vivino startup,,dgm_vcstartup_terms,1c3f64564ac78844f6b1a90a739e85fe,dgm_vcstartup_terms__1c3f64564ac78844f6b1a90a739e85fe
(dollar shave club; venture),Dollar Shave Club startup,188132,startup,general.alert3,,,Startup,Dollar Shave Club startup,,dgm_vcstartup_terms,4667e9ff7d84790150ff0b877a323616,dgm_vcstartup_terms__4667e9ff7d84790150ff0b877a323616
(trove; venture),Trove startup,188132,startup,general.alert3,,,Startup,Trove startup,,dgm_vcstartup_terms,59824e90c75cae5a5e993d7f2812c944,dgm_vcstartup_terms__59824e90c75cae5a5e993d7f2812c944
(deserve; venture),Deserve startup,188132,startup,general.alert3,,,Startup,Deserve startup,,dgm_vcstartup_terms,777104a642438d027b432b5492373adc,dgm_vcstartup_terms__777104a642438d027b432b5492373adc
(form energy; venture),Form Energy startup,188132,startup,general.alert3,,,Startup,Form Energy startup,,dgm_vcstartup_terms,35bd91ddbdd802250158a413179853a1,dgm_vcstartup_terms__35bd91ddbdd802250158a413179853a1
(hazelcast; venture),Hazelcast startup,188132,startup,general.alert3,,,Startup,Hazelcast startup,,dgm_vcstartup_terms,527c2c4df2da43dc9f87c3efca0847ab,dgm_vcstartup_terms__527c2c4df2da43dc9f87c3efca0847ab
(fireblocks; venture),Fireblocks startup,188132,startup,general.alert3,,,Startup,Fireblocks startup,,dgm_vcstartup_terms,667ee9814d16760ee0043ceef788a6a4,dgm_vcstartup_terms__667ee9814d16760ee0043ceef788a6a4
(smarthr; venture),SmartHR startup,188132,startup,general.alert3,,,Startup,SmartHR startup,,dgm_vcstartup_terms,2245205bc3feec505db2169663930b96,dgm_vcstartup_terms__2245205bc3feec505db2169663930b96
(augury; venture),Augury startup,188132,startup,general.alert3,,,Startup,Augury startup,,dgm_vcstartup_terms,837642a869700fe83c95ac6bb3e268db,dgm_vcstartup_terms__837642a869700fe83c95ac6bb3e268db
(split software; venture),Split Software startup,188132,startup,general.alert3,,,Startup,Split Software startup,,dgm_vcstartup_terms,897af256ebe76fa1f1e4e880f72344e1,dgm_vcstartup_terms__897af256ebe76fa1f1e4e880f72344e1
(postman; venture),Postman startup,188132,startup,general.alert3,,,Startup,Postman startup,,dgm_vcstartup_terms,2e49ba79ee5181873d903caf19771698,dgm_vcstartup_terms__2e49ba79ee5181873d903caf19771698
(apollo; venture),Apollo startup,188132,startup,general.alert3,,,Startup,Apollo startup,,dgm_vcstartup_terms,923678f4f582e2084da4d9ac3055c74d,dgm_vcstartup_terms__923678f4f582e2084da4d9ac3055c74d
(fourkites; venture),FourKites startup,188132,startup,general.alert3,,,Startup,FourKites startup,,dgm_vcstartup_terms,c879804fc1c9c7749c7f3c7c2f9c78cb,dgm_vcstartup_terms__c879804fc1c9c7749c7f3c7c2f9c78cb
