keyword,keyword_upper,caption_name,location,location_lower,location (state),type,guid,topic_id,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
ottawapolice,OttawaPolice,Ottawa Police Service,Ottawa,ottawa,,PoliceDept,,188121,3140002,Policedept,Ottawa Police Service,,EO_Mentionee,f42d1ad009c2e14f1463c74b0e3ff47a,EO_Mentionee__f42d1ad009c2e14f1463c74b0e3ff47a
ottawa pd,Ottawa PD,Ottawa Police Service,Ottawa,ottawa,,PoliceDept,,188121,3140002,Policedept,Ottawa Police Service,,EO_Mentionee,0c706fed3321c8f9e28b4ae820119c66,EO_Mentionee__0c706fed3321c8f9e28b4ae820119c66
victoria police,Victoria Police,Victoria Police,Melbourne,melbourne,,PoliceDept,,188121,3140002,Policedept,Victoria Police,,EO_Mentionee,632ec63af1f2b1b35982b53831f5a9bf,EO_Mentionee__632ec63af1f2b1b35982b53831f5a9bf
victoriapolice,VictoriaPolice,Victoria Police,Melbourne,melbourne,,PoliceDept,,188121,3140002,Policedept,Victoria Police,,EO_Mentionee,8f2e99f0d57693ad25f07dd76a2a3380,EO_Mentionee__8f2e99f0d57693ad25f07dd76a2a3380
victoria police southern metro region,Victoria Police Southern Metro Region,Victoria Police Southern Metro Region Disrict,Melbourne,melbourne,,PoliceDept,,188121,3140002,Policedept,Victoria Police Southern Metro Region Disrict,,EO_Mentionee,777ea382229e4efe7b1960b6663611c0,EO_Mentionee__777ea382229e4efe7b1960b6663611c0
nsw police force,NSW Police Force,New South Wales Police Force,Sydney,sydney,,PoliceDept,,188121,3140002,Policedept,New South Wales Police Force,,EO_Mentionee,4cb1f66e04c0ce7010e4c68d35c838fb,EO_Mentionee__4cb1f66e04c0ce7010e4c68d35c838fb
new south wales police force,New South Wales Police Force,New South Wales Police Force,Sydney,sydney,,PoliceDept,,188121,3140002,Policedept,New South Wales Police Force,,EO_Mentionee,ab47c9e9fee32f230fd6d24597837075,EO_Mentionee__ab47c9e9fee32f230fd6d24597837075
nswpolice,nswpolice,New South Wales Police Force,Sydney,sydney,,PoliceDept,,188121,3140002,Policedept,New South Wales Police Force,,EO_Mentionee,be1ad74166fbc77240d96086d807b32f,EO_Mentionee__be1ad74166fbc77240d96086d807b32f
california highway patrol,California Highway Patrol,California Highway Patrol,California,california,,PoliceDept,,188120,3140002,Policedept,California Highway Patrol,,EO_Mentionee,ef78f0d6f5a15cb285352df240649546,EO_Mentionee__ef78f0d6f5a15cb285352df240649546
chpalerts,CHPAlerts,California Highway Patrol,California,california,,PoliceDept,,188120,3140002,Policedept,California Highway Patrol,,EO_Mentionee,7a7dc8c784da2b3ca8700f642b9bdc04,EO_Mentionee__7a7dc8c784da2b3ca8700f642b9bdc04
virginia state police,Virginia State Police,Virginia State Police,Virginia,virginia,,PoliceDept,,188120,3140002,Policedept,Virginia State Police,,EO_Mentionee,24ad0fec3fed30db15f4debdd58cf16e,EO_Mentionee__24ad0fec3fed30db15f4debdd58cf16e
va state police,VA State Police,Virginia State Police,Virginia,virginia,,PoliceDept,,188120,3140002,Policedept,Virginia State Police,,EO_Mentionee,0cb515534c2b2c5095484de4ac0cc462,EO_Mentionee__0cb515534c2b2c5095484de4ac0cc462
vsppio,VSPPIO,Virginia State Police,Virginia,virginia,,PoliceDept,,188120,3140002,Policedept,Virginia State Police,,EO_Mentionee,c68f930e40b5dae995d7cd8f0602e739,EO_Mentionee__c68f930e40b5dae995d7cd8f0602e739
texas dps,Texas DPS,Texas Department of Public Safety,Texas,texas,,PoliceDept,,188120,3140002,Policedept,Texas Department of Public Safety,,EO_Mentionee,e78c172a0459e2cc575564d8bc39f7a2,EO_Mentionee__e78c172a0459e2cc575564d8bc39f7a2
