keyword,keyword_upper,caption_name,location,location_lower,type,guid,topic_id,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
reverend warnock,reverend warnock,US Senator Warnock,Washington,washington,US Senators,,188285,,UsSenators,US Senator Warnock,,dgm_USSenate,bf5d4f41a967a898d27b73bb196eccc4,dgm_USSenate__bf5d4f41a967a898d27b73bb196eccc4
senator warnock,senator warnock,US Senator Warnock,Washington,washington,US Senators,,188285,,UsSenators,US Senator Warnock,,dgm_USSenate,bf5d4f41a967a898d27b73bb196eccc4,dgm_USSenate__bf5d4f41a967a898d27b73bb196eccc4
sen. warnock,sen. warnock,US Senator Warnock,Washington,washington,US Senators,,188285,,UsSenators,US Senator Warnock,,dgm_USSenate,bf5d4f41a967a898d27b73bb196eccc4,dgm_USSenate__bf5d4f41a967a898d27b73bb196eccc4
sen warnock,sen warnock,US Senator Warnock,Washington,washington,US Senators,,188285,,UsSenators,US Senator Warnock,,dgm_USSenate,bf5d4f41a967a898d27b73bb196eccc4,dgm_USSenate__bf5d4f41a967a898d27b73bb196eccc4
bill hagerty,bill hagerty,US Senator Hagerty,Washington,washington,US Senators,,188285,,UsSenators,US Senator Hagerty,,dgm_USSenate,fc74ff0326765267c7e8c88c9ead3e0c,dgm_USSenate__fc74ff0326765267c7e8c88c9ead3e0c
senator hagerty,senator hagerty,US Senator Hagerty,Washington,washington,US Senators,,188285,,UsSenators,US Senator Hagerty,,dgm_USSenate,fc74ff0326765267c7e8c88c9ead3e0c,dgm_USSenate__fc74ff0326765267c7e8c88c9ead3e0c
sen. hagerty,sen. hagerty,US Senator Hagerty,Washington,washington,US Senators,,188285,,UsSenators,US Senator Hagerty,,dgm_USSenate,fc74ff0326765267c7e8c88c9ead3e0c,dgm_USSenate__fc74ff0326765267c7e8c88c9ead3e0c
sen hagerty,sen hagerty,US Senator Hagerty,Washington,washington,US Senators,,188285,,UsSenators,US Senator Hagerty,,dgm_USSenate,fc74ff0326765267c7e8c88c9ead3e0c,dgm_USSenate__fc74ff0326765267c7e8c88c9ead3e0c
cynthia lummis,cynthia lummis,US Senator Lummis,Washington,washington,US Senators,,188285,,UsSenators,US Senator Lummis,,dgm_USSenate,d1b163833edd4eeb618025e2e79fb76c,dgm_USSenate__d1b163833edd4eeb618025e2e79fb76c
senator lummis,senator lummis,US Senator Lummis,Washington,washington,US Senators,,188285,,UsSenators,US Senator Lummis,,dgm_USSenate,d1b163833edd4eeb618025e2e79fb76c,dgm_USSenate__d1b163833edd4eeb618025e2e79fb76c
sen. lummis,sen. lummis,US Senator Lummis,Washington,washington,US Senators,,188285,,UsSenators,US Senator Lummis,,dgm_USSenate,d1b163833edd4eeb618025e2e79fb76c,dgm_USSenate__d1b163833edd4eeb618025e2e79fb76c
sen lummis,sen lummis,US Senator Lummis,Washington,washington,US Senators,,188285,,UsSenators,US Senator Lummis,,dgm_USSenate,d1b163833edd4eeb618025e2e79fb76c,dgm_USSenate__d1b163833edd4eeb618025e2e79fb76c
markkelly,markkelly,US Senator Kelly,Washington,washington,US Senators,,188285,,UsSenators,US Senator Kelly,,dgm_USSenate,7104256651898d0311227d115f5ce01c,dgm_USSenate__7104256651898d0311227d115f5ce01c
captainmarkkelly,captainmarkkelly,US Senator Kelly,Washington,washington,US Senators,,188285,,UsSenators,US Senator Kelly,,dgm_USSenate,7104256651898d0311227d115f5ce01c,dgm_USSenate__7104256651898d0311227d115f5ce01c
capmarkkelly,capmarkkelly,US Senator Kelly,Washington,washington,US Senators,,188285,,UsSenators,US Senator Kelly,,dgm_USSenate,7104256651898d0311227d115f5ce01c,dgm_USSenate__7104256651898d0311227d115f5ce01c
senatorkelly,senatorkelly,US Senator Kelly,Washington,washington,US Senators,,188285,,UsSenators,US Senator Kelly,,dgm_USSenate,7104256651898d0311227d115f5ce01c,dgm_USSenate__7104256651898d0311227d115f5ce01c
senkelly,senkelly,US Senator Kelly,Washington,washington,US Senators,,188285,,UsSenators,US Senator Kelly,,dgm_USSenate,7104256651898d0311227d115f5ce01c,dgm_USSenate__7104256651898d0311227d115f5ce01c
senatorpadilla,senatorpadilla,US Senator Padilla,Washington,washington,US Senators,,188285,,UsSenators,US Senator Padilla,,dgm_USSenate,43dace846319d4ef830c37c9169dcba9,dgm_USSenate__43dace846319d4ef830c37c9169dcba9
senpadilla,senpadilla,US Senator Padilla,Washington,washington,US Senators,,188285,,UsSenators,US Senator Padilla,,dgm_USSenate,43dace846319d4ef830c37c9169dcba9,dgm_USSenate__43dace846319d4ef830c37c9169dcba9
johnhickenlooper,johnhickenlooper,US Senator Hickenlooper,Washington,washington,US Senators,,188285,,UsSenators,US Senator Hickenlooper,,dgm_USSenate,8baa32cce2c12716f389485e2252dcef,dgm_USSenate__8baa32cce2c12716f389485e2252dcef
senatorhickenlooper,senatorhickenlooper,US Senator Hickenlooper,Washington,washington,US Senators,,188285,,UsSenators,US Senator Hickenlooper,,dgm_USSenate,8baa32cce2c12716f389485e2252dcef,dgm_USSenate__8baa32cce2c12716f389485e2252dcef
senhickenlooper,senhickenlooper,US Senator Hickenlooper,Washington,washington,US Senators,,188285,,UsSenators,US Senator Hickenlooper,,dgm_USSenate,8baa32cce2c12716f389485e2252dcef,dgm_USSenate__8baa32cce2c12716f389485e2252dcef
jonossoff,jonossoff,US Senator Ossoff,Washington,washington,US Senators,,188285,,UsSenators,US Senator Ossoff,,dgm_USSenate,32df3de11d5c6b90891dbd5c19e3e4a6,dgm_USSenate__32df3de11d5c6b90891dbd5c19e3e4a6
senatorossoff,senatorossoff,US Senator Ossoff,Washington,washington,US Senators,,188285,,UsSenators,US Senator Ossoff,,dgm_USSenate,32df3de11d5c6b90891dbd5c19e3e4a6,dgm_USSenate__32df3de11d5c6b90891dbd5c19e3e4a6
senossoff,senossoff,US Senator Ossoff,Washington,washington,US Senators,,188285,,UsSenators,US Senator Ossoff,,dgm_USSenate,32df3de11d5c6b90891dbd5c19e3e4a6,dgm_USSenate__32df3de11d5c6b90891dbd5c19e3e4a6
raphaelgamalielwarnock,raphaelgamalielwarnock,US Senator Warnock,Washington,washington,US Senators,,188285,,UsSenators,US Senator Warnock,,dgm_USSenate,bf5d4f41a967a898d27b73bb196eccc4,dgm_USSenate__bf5d4f41a967a898d27b73bb196eccc4
