keyword,caption_name,topic_id,guid,groups,entity_type,.1,.2,.3,.4,.5,.6,.7,.8,.9,.10,.11,.12,.13,.14,.15,.16,.17,.18,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
101st airborne division,US 101st Airborne Division,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 101st Airborne Division,,defmin_mentionee,7bffdca2b75561df1584e4382c2eee7a,defmin_mentionee__6127512cbdcac2963183ff523b0c9cf4
101st airborne division 1st infantry brigade combat team,"US 101st Airborne Division, 1st Infantry Brigade Combat Team",188258,,,command,,,,,,,,,,,,,,,,,,,Command,"US 101st Airborne Division, 1st Infantry Brigade Combat Team",,defmin_mentionee,1ce75d472caa52afbb390d724833e084,defmin_mentionee__39aff0624ca0de1a793064e232de575b
101st airborne division combat aviation brigade,"US 101st Airborne Division, Combat Aviation Brigade",188258,,,command,,,,,,,,,,,,,,,,,,,Command,"US 101st Airborne Division, Combat Aviation Brigade",,defmin_mentionee,22bbe4c863ce81e3719182ca6523b8e1,defmin_mentionee__09903af786b5674d0d2f80fb07541082
101st intelligence squadron,US 101st Intelligence Squadron,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 101st Intelligence Squadron,,defmin_mentionee,977c0aa105a45dd2ae5856ac18a2e52b,defmin_mentionee__569641f3f12e3aa0ddba0f93466847b0
101st intelligence squadron a2,US 101st Intelligence Squadron A2,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 101st Intelligence Squadron A2,,defmin_mentionee,25151ce2adddb77909aa9b723c30e025,defmin_mentionee__291b84ab6fe7aeeca1739b30c4f23068
101st operations group,US 101st Operations Group,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 101st Operations Group,,defmin_mentionee,3f5fdde8902c0064cdc2812437554f97,defmin_mentionee__86978e68af17298f8a9d549c0c4aa5ae
101st operations support squadron,US 101st Operations Support Squadron,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 101st Operations Support Squadron,,defmin_mentionee,0f96fe77547ee7fdf5f25068521ee081,defmin_mentionee__6efa917db6e52870fae5b40b6fa235b6
101st operations support squadron a2,US 101st Operations Support Squadron A2,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 101st Operations Support Squadron A2,,defmin_mentionee,a102c8664b945efcb2746929025e9107,defmin_mentionee__d444caf7fbd651688fd8f5a8413908c9
102 intelligence wing command post,US 102 Intelligence Wing Command Post,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 102 Intelligence Wing Command Post,,defmin_mentionee,a7e500dcc9a9b79d1ec99a7bb5210a40,defmin_mentionee__bae2211957f762757acdacce57f67b44
102nd air intelligence squadron,US 102nd Air Intelligence Squadron,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 102nd Air Intelligence Squadron,,defmin_mentionee,a23274747a1e66d8e19d67c52a66fe2d,defmin_mentionee__601c27d59eef22848559a7ebe7e6877b
102nd air intelligence squadron a2,US 102nd Air Intelligence Squadron A2,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 102nd Air Intelligence Squadron A2,,defmin_mentionee,6aa7f3ca9bf5606bc856c4999b8c76d8,defmin_mentionee__d382d48e975646e908f74f2af4465b9d
102nd air operations group,US 102nd Air Operations Group,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 102nd Air Operations Group,,defmin_mentionee,8cb1be07b7a4419f6f4fa489fc6e8127,defmin_mentionee__af9ec4b490db46b6e9de9de611f74523
102nd air operations squadron,US 102nd Air Operations Squadron,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 102nd Air Operations Squadron,,defmin_mentionee,db2aebe2c11f207659f42325a2e56a0a,defmin_mentionee__f126ac26c6e9cfa9e84c286d6832748b
102nd civil engineer squadron,US 102nd Civil Engineer Squadron,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 102nd Civil Engineer Squadron,,defmin_mentionee,da215cc2fcc9fbde846f2e8b8e66d3c7,defmin_mentionee__ea8f5520e48d229fa8e6625871eba256
102nd intelligence group,US 102nd Intelligence Group,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 102nd Intelligence Group,,defmin_mentionee,dece3d682896d0b8d5f50128044ab35a,defmin_mentionee__bb7c88283b53de763a17867fd9d320a2
102nd intelligence group a2,US 102nd Intelligence Group A2,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 102nd Intelligence Group A2,,defmin_mentionee,fdad325fd30108c47ad51575810b2a15,defmin_mentionee__abbaf59883b3b6829f92f8b997d7fe60
102nd intelligence support squadron,US 102nd Intelligence Support Squadron,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 102nd Intelligence Support Squadron,,defmin_mentionee,ae2523f7bda973372451e033fc3a2fb9,defmin_mentionee__79e0ebb9f7bf77af7d062cb7f2c5bd50
102nd intelligence support squadron a2,US 102nd Intelligence Support Squadron A2,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 102nd Intelligence Support Squadron A2,,defmin_mentionee,b123a703dbb704ba42a2b6f8f69704ff,defmin_mentionee__6eabd32ecdde9d1f466936c6d98cb285
102nd intelligence wing,US 102nd Intelligence Wing,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 102nd Intelligence Wing,,defmin_mentionee,3605e16374953bcd8bf0d2f807e837ed,defmin_mentionee__7c8dda857f6f2e7b5eba09e3b7e0ef9d
102nd intelligence wing a2,US 102nd Intelligence Wing A2,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 102nd Intelligence Wing A2,,defmin_mentionee,c6625e60a832cb9426fb8d0fd6aff912,defmin_mentionee__3f2bb85d98aaf25159629894daf9063d
102nd intelligence wing command post,US 102nd Intelligence Wing Command Post,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 102nd Intelligence Wing Command Post,,defmin_mentionee,2aae15206fd20e0f98ac7e6b5ec0828c,defmin_mentionee__82957ee221a746cc3553cb765860caf4
102nd mission support group,US 102nd Mission Support Group,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 102nd Mission Support Group,,defmin_mentionee,11cf0f95b0a44669ada7392299defaff,defmin_mentionee__4af337d88265e232d122e493c8fd01a1
102nd operations support squadron,US 102nd Operations Support Squadron,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 102nd Operations Support Squadron,,defmin_mentionee,cc7d73a7159444026ee4ffe1453408c2,defmin_mentionee__83796d5c955865db37c6ef6cf5f2e245
