keyword,caption_name,groups,topic_id,entity_type,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
michiganstatepoliceeighthdistrict,Michigan State Police Eighth District,slg,188120,,3140002,,Michigan State Police Eighth District,,slg_overlap_terms,91b2ae9cc55ec9fc852714afed987717,slg_overlap_terms__91b2ae9cc55ec9fc852714afed987717
ohiostatepatrolcentral,Ohio State Patrol Central,slg,188120,,3140002,,Ohio State Patrol Central,,slg_overlap_terms,cf8b6ab4b6a6cee86d6520e65239071f,slg_overlap_terms__cf8b6ab4b6a6cee86d6520e65239071f
ohiostatehighwaypatrolnortheast,Ohio State Highway Patrol Northeast,slg,188120,,3140002,,Ohio State Highway Patrol Northeast,,slg_overlap_terms,6ade3f3a9912589ba516525931a09eb4,slg_overlap_terms__6ade3f3a9912589ba516525931a09eb4
ohiostatehighwaypatrolnorthwest,Ohio State Highway Patrol Northwest,slg,188120,,3140002,,Ohio State Highway Patrol Northwest,,slg_overlap_terms,98d2d22f6a23fbed042c4169becee8cf,slg_overlap_terms__98d2d22f6a23fbed042c4169becee8cf
ohiostatehighwaypatrolsoutheast,Ohio State Highway Patrol Southeast,slg,188120,,3140002,,Ohio State Highway Patrol Southeast,,slg_overlap_terms,33ef94f0dbe5c8ef654ed8c83f29077d,slg_overlap_terms__33ef94f0dbe5c8ef654ed8c83f29077d
ohiostatehighwaypatrolsouthwest,Ohio State Highway Patrol Southwest,slg,188120,,3140002,,Ohio State Highway Patrol Southwest,,slg_overlap_terms,e42c0d9f04e8f7ba616b2b624d37409f,slg_overlap_terms__e42c0d9f04e8f7ba616b2b624d37409f
pennsylvaniapolicetroopg,Pennsylvania State Police Troop G,slg,188120,,3140002,,Pennsylvania State Police Troop G,,slg_overlap_terms,87a811cc26761caf944b17eed3a9dd15,slg_overlap_terms__87a811cc26761caf944b17eed3a9dd15
pennsylvaniapolicetroopj,Pennsylvania State Police Troop J,slg,188120,,3140002,,Pennsylvania State Police Troop J,,slg_overlap_terms,b20dac848984adcd8aef2b6e4296d551,slg_overlap_terms__b20dac848984adcd8aef2b6e4296d551
pennsylvaniapolicetroopk,Pennsylvania State Police Troop K,slg,188120,,3140002,,Pennsylvania State Police Troop K,,slg_overlap_terms,394321a88000d5a1dc9e39adae784e19,slg_overlap_terms__394321a88000d5a1dc9e39adae784e19
pennsylvaniapolicetroopm,Pennsylvania State Police Troop M,slg,188120,,3140002,,Pennsylvania State Police Troop M,,slg_overlap_terms,d84770791dbe287bbf431181a77d4fbe,slg_overlap_terms__d84770791dbe287bbf431181a77d4fbe
pennsylvaniapolicetroopn,Pennsylvania State Police Troop N,slg,188120,,3140002,,Pennsylvania State Police Troop N,,slg_overlap_terms,0eb4b5045f3f0d94fe1bab8b4dca3914,slg_overlap_terms__0eb4b5045f3f0d94fe1bab8b4dca3914
pennsylvaniapolicetroopp,Pennsylvania State Police Troop P,slg,188120,,3140002,,Pennsylvania State Police Troop P,,slg_overlap_terms,fd0185ed5331a88ba5ba9c0507fe03e4,slg_overlap_terms__fd0185ed5331a88ba5ba9c0507fe03e4
pennsylvaniapolicetroopr,Pennsylvania State Police Troop R,slg,188120,,3140002,,Pennsylvania State Police Troop R,,slg_overlap_terms,1b099c64cd70562abf6c66a1af52a3be,slg_overlap_terms__1b099c64cd70562abf6c66a1af52a3be
pennsylvaniapolicetroopt,Pennsylvania State Police Troop T,slg,188120,,3140002,,Pennsylvania State Police Troop T,,slg_overlap_terms,9a8be9b088632f3292f1ddbad07a7206,slg_overlap_terms__9a8be9b088632f3292f1ddbad07a7206
pennsylvaniastatepolicetroopa,Pennsylvania State Police Troop A,slg,188120,,3140002,,Pennsylvania State Police Troop A,,slg_overlap_terms,713c12b3bd5f681d1a4fbcc3b3a9b59d,slg_overlap_terms__713c12b3bd5f681d1a4fbcc3b3a9b59d
pennsylvaniastatepolicetroopb,Pennsylvania State Police Troop B,slg,188120,,3140002,,Pennsylvania State Police Troop B,,slg_overlap_terms,abae1479b8bae9a808ed816e54265fe4,slg_overlap_terms__abae1479b8bae9a808ed816e54265fe4
pennsylvaniastatepolicetroopc,Pennsylvania State Police Troop C,slg,188120,,3140002,,Pennsylvania State Police Troop C,,slg_overlap_terms,2da5f8cae96be0f0f73388111e82546d,slg_overlap_terms__2da5f8cae96be0f0f73388111e82546d
pennsylvaniastatepolicetroopd,Pennsylvania State Police Troop D,slg,188120,,3140002,,Pennsylvania State Police Troop D,,slg_overlap_terms,15a780601c81c4744e874cc8a25e3c01,slg_overlap_terms__15a780601c81c4744e874cc8a25e3c01
pennsylvaniastatepolicetroope,Pennsylvania State Police Troop E,slg,188120,,3140002,,Pennsylvania State Police Troop E,,slg_overlap_terms,d267dc223a94f33573d308367c473ad9,slg_overlap_terms__d267dc223a94f33573d308367c473ad9
pennsylvaniastatepolicetroopf,Pennsylvania State Police Troop F,slg,188120,,3140002,,Pennsylvania State Police Troop F,,slg_overlap_terms,4bf16a390462a1f6865b7592e8e72bd2,slg_overlap_terms__4bf16a390462a1f6865b7592e8e72bd2
pennsylvaniastatepolicetroopg,Pennsylvania State Police Troop G,slg,188120,,3140002,,Pennsylvania State Police Troop G,,slg_overlap_terms,87a811cc26761caf944b17eed3a9dd15,slg_overlap_terms__87a811cc26761caf944b17eed3a9dd15
pennsylvaniastatepolicetrooph,Pennsylvania State Police Troop H,slg,188120,,3140002,,Pennsylvania State Police Troop H,,slg_overlap_terms,fa4381b08a7702f1834980bac104a166,slg_overlap_terms__fa4381b08a7702f1834980bac104a166
pennsylvaniastatepolicetroopj,Pennsylvania State Police Troop J,slg,188120,,3140002,,Pennsylvania State Police Troop J,,slg_overlap_terms,b20dac848984adcd8aef2b6e4296d551,slg_overlap_terms__b20dac848984adcd8aef2b6e4296d551
pennsylvaniastatepolicetroopk,Pennsylvania State Police Troop K,slg,188120,,3140002,,Pennsylvania State Police Troop K,,slg_overlap_terms,394321a88000d5a1dc9e39adae784e19,slg_overlap_terms__394321a88000d5a1dc9e39adae784e19
pennsylvaniastatepolicetroopl,Pennsylvania State Police Troop L,slg,188120,,3140002,,Pennsylvania State Police Troop L,,slg_overlap_terms,f78e96c3fe09061a25fa13798f0c89ad,slg_overlap_terms__f78e96c3fe09061a25fa13798f0c89ad
pennsylvaniastatepolicetroopm,Pennsylvania State Police Troop M,slg,188120,,3140002,,Pennsylvania State Police Troop M,,slg_overlap_terms,d84770791dbe287bbf431181a77d4fbe,slg_overlap_terms__d84770791dbe287bbf431181a77d4fbe
pennsylvaniastatepolicetroopn,Pennsylvania State Police Troop N,slg,188120,,3140002,,Pennsylvania State Police Troop N,,slg_overlap_terms,0eb4b5045f3f0d94fe1bab8b4dca3914,slg_overlap_terms__0eb4b5045f3f0d94fe1bab8b4dca3914
pennsylvaniastatepolicetroopp,Pennsylvania State Police Troop P,slg,188120,,3140002,,Pennsylvania State Police Troop P,,slg_overlap_terms,fd0185ed5331a88ba5ba9c0507fe03e4,slg_overlap_terms__fd0185ed5331a88ba5ba9c0507fe03e4
pennsylvaniastatepolicetroopr,Pennsylvania State Police Troop R,slg,188120,,3140002,,Pennsylvania State Police Troop R,,slg_overlap_terms,1b099c64cd70562abf6c66a1af52a3be,slg_overlap_terms__1b099c64cd70562abf6c66a1af52a3be
pennsylvaniastatepolicetroopt,Pennsylvania State Police Troop T,slg,188120,,3140002,,Pennsylvania State Police Troop T,,slg_overlap_terms,9a8be9b088632f3292f1ddbad07a7206,slg_overlap_terms__9a8be9b088632f3292f1ddbad07a7206
@nypd1stprecinct,NYPD 1st Precinct,slg,188120,,3140002,,NYPD 1st Precinct,,slg_overlap_terms,bb308b51939c92b408423ca607c11408,slg_overlap_terms__bb308b51939c92b408423ca607c11408
@nypd5thprecinct,NYPD 5th Precinct,slg,188120,,3140002,,NYPD 5th Precinct,,slg_overlap_terms,40eb5c6deb962a4ce7454eac0be32e52,slg_overlap_terms__40eb5c6deb962a4ce7454eac0be32e52
@nypd6thprecinct,NYPD 6th Precinct,slg,188120,,3140002,,NYPD 6th Precinct,,slg_overlap_terms,c68e342169d6b6cf6a8208919b8443e8,slg_overlap_terms__c68e342169d6b6cf6a8208919b8443e8
@nypd7thprecinct,NYPD 7th Precinct,slg,188120,,3140002,,NYPD 7th Precinct,,slg_overlap_terms,03078de8a2f318910ede6b012494b0ae,slg_overlap_terms__03078de8a2f318910ede6b012494b0ae
@nypd9thprecinct,NYPD 9th Precinct,slg,188120,,3140002,,NYPD 9th Precinct,,slg_overlap_terms,48f98cc42c202ae595d241ba5178a29b,slg_overlap_terms__48f98cc42c202ae595d241ba5178a29b
@nypd10thprecinct,NYPD 10th Precinct,slg,188120,,3140002,,NYPD 10th Precinct,,slg_overlap_terms,33b67e75c76df1f27e86b87c91afab61,slg_overlap_terms__33b67e75c76df1f27e86b87c91afab61
@nypd13thprecinct,NYPD 13th Precinct,slg,188120,,3140002,,NYPD 13th Precinct,,slg_overlap_terms,7c5f14af2f8f382143c3980fbabb155b,slg_overlap_terms__7c5f14af2f8f382143c3980fbabb155b
@nypdmidtownsouthprecinct,NYPD Midtown South Precinct,slg,188120,,3140002,,NYPD Midtown South Precinct,,slg_overlap_terms,a01827c844ff33a9ebfeb73d5a101583,slg_overlap_terms__a01827c844ff33a9ebfeb73d5a101583
@nypd17thprecinct,NYPD 17th Precinct,slg,188120,,3140002,,NYPD 17th Precinct,,slg_overlap_terms,0ca3dc55999952d65ff2f594903d8541,slg_overlap_terms__0ca3dc55999952d65ff2f594903d8541
@nypdmidtownnorthprecinct,NYPD Midtown North Precinct,slg,188120,,3140002,,NYPD Midtown North Precinct,,slg_overlap_terms,ac9861718670b20bb506629f379f8cb6,slg_overlap_terms__ac9861718670b20bb506629f379f8cb6
@nypd19thprecinct,NYPD 19th Precinct,slg,188120,,3140002,,NYPD 19th Precinct,,slg_overlap_terms,f0e7c3cbbcd563030136d81e067d1bbb,slg_overlap_terms__f0e7c3cbbcd563030136d81e067d1bbb
@nypd20thprecinct,NYPD 20th Precinct,slg,188120,,3140002,,NYPD 20th Precinct,,slg_overlap_terms,79d3c597dd162fa390937ca0f4f0fb33,slg_overlap_terms__79d3c597dd162fa390937ca0f4f0fb33
@nypdcentralparkprecinct,NYPD Central Park Precinct,slg,188120,,3140002,,NYPD Central Park Precinct,,slg_overlap_terms,c3579e6bd64bc3e345c52f7da273c692,slg_overlap_terms__c3579e6bd64bc3e345c52f7da273c692
@nypd23rdprecinct,NYPD 23rd Precinct,slg,188120,,3140002,,NYPD 23rd Precinct,,slg_overlap_terms,520a8a89c33eddc1c737ecae825e2b36,slg_overlap_terms__520a8a89c33eddc1c737ecae825e2b36
@nypd24thprecinct,NYPD 24th Precinct,slg,188120,,3140002,,NYPD 24th Precinct,,slg_overlap_terms,aa4e9f84aebbf1094925eb6003d2bfbb,slg_overlap_terms__aa4e9f84aebbf1094925eb6003d2bfbb
