german_text,caption_text,location_tag,.1,ranking,default location,default_lat,default_lon,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#ratzeburg,"Ratzeburg, Germany",53.6989627,10.7710605,2,,,,,,,LegislativeCommittee,"Ratzeburg, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,34ed2af1f6275cfce0635535ffe002ff,german_fires_stormarn_ostholzstein_lauenburg_locations__34ed2af1f6275cfce0635535ffe002ff
#rausdorf,"Rausdorf, Germany",53.5897074,10.3295444,2,,,,,,,space,"Rausdorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,4e678015bc64221096a12b309268528f,german_fires_stormarn_ostholzstein_lauenburg_locations__4e678015bc64221096a12b309268528f
#rehhorst,"Rehhorst, Germany",53.8763185,10.4692218,2,,,,,,,Pipeline,"Rehhorst, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,95676709586aa67f3be39d5552e982f3,german_fires_stormarn_ostholzstein_lauenburg_locations__95676709586aa67f3be39d5552e982f3
#reinbek,"Reinbek, Germany",53.5170003,10.2443392,2,,,,,,,Refinery,"Reinbek, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,89eab7f3f8cb60f37643e2bd3fcdac94,german_fires_stormarn_ostholzstein_lauenburg_locations__89eab7f3f8cb60f37643e2bd3fcdac94
#reinfeld,"Reinfeld, Germany",53.8310338,10.4916224,2,,,,,,,CompanyKeyword,"Reinfeld, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,65b6fde66189fb61f19f8abf435d99c7,german_fires_stormarn_ostholzstein_lauenburg_locations__65b6fde66189fb61f19f8abf435d99c7
#rethwisch,"Rethwisch, Germany",53.8661836,9.5838623,2,,,,,,,ForeignMinistry,"Rethwisch, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,565d8db79af673aba87103552f9a1c29,german_fires_stormarn_ostholzstein_lauenburg_locations__565d8db79af673aba87103552f9a1c29
#riepsdorf,"Riepsdorf, Germany",54.22749,10.9707699,2,,,,,,,Pipeline,"Riepsdorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,37b68025f6240fd7f360fe7c9236f9af,german_fires_stormarn_ostholzstein_lauenburg_locations__37b68025f6240fd7f360fe7c9236f9af
#ritzerau,"Ritzerau, Germany",53.662031,10.5644126,2,,,,,,,ForeignMinister,"Ritzerau, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,80f86c670a658ad217e1259da7a284c1,german_fires_stormarn_ostholzstein_lauenburg_locations__80f86c670a658ad217e1259da7a284c1
#romnitz,"Romnitz, Germany",53.7105898,10.7683909,2,,,,,,,Keyphrase,"Romnitz, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,909ae0ea5da38976f9ca1157a21822fd,german_fires_stormarn_ostholzstein_lauenburg_locations__909ae0ea5da38976f9ca1157a21822fd
#rondeshagen,"Rondeshagen, Germany",53.7545348,10.6279142,2,,,,,,,Consulates,"Rondeshagen, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,c524005b1f84a668564491083246f902,german_fires_stormarn_ostholzstein_lauenburg_locations__c524005b1f84a668564491083246f902
#roseburg,"Roseburg, Germany",53.5278788,10.6257299,2,,,,,,,Diplomat,"Roseburg, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,39d66e83de8d2c84ac2fd8eb23287d2a,german_fires_stormarn_ostholzstein_lauenburg_locations__39d66e83de8d2c84ac2fd8eb23287d2a
#rumpel,"Rumpel, Germany",53.7828699,10.3517162,2,,,,,,,CompanyKeyword,"Rumpel, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,6d2aee92a10928a0a26d88f8a65f746d,german_fires_stormarn_ostholzstein_lauenburg_locations__6d2aee92a10928a0a26d88f8a65f746d
#sachsenwaldforstgutsbezirk,"Sachsenwald Forstgutsbezirk, Germany",53.533333,10.366667,2,,,,,,,Legislator,"Sachsenwald Forstgutsbezirk, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,0d19988f8d751bdadcccac49f2a1a4dd,german_fires_stormarn_ostholzstein_lauenburg_locations__0d19988f8d751bdadcccac49f2a1a4dd
#sahms,"Sahms, Germany",53.5246857,10.5328279,2,,,,,,,News,"Sahms, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,1253bc6261c527b5bef554690c2a9400,german_fires_stormarn_ostholzstein_lauenburg_locations__1253bc6261c527b5bef554690c2a9400
#salem,"Salem, Germany",47.7621271,9.2940477,2,,,,,,,DiplomaticFacilities,"Salem, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,4672337a33e542379ebbcc53b50a234f,german_fires_stormarn_ostholzstein_lauenburg_locations__4672337a33e542379ebbcc53b50a234f
#sandesneben,"Sandesneben, Germany",53.6879625,10.4890887,2,,,,,,,Organization,"Sandesneben, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,0194d259615f1ad0d772dcf548b16cae,german_fires_stormarn_ostholzstein_lauenburg_locations__0194d259615f1ad0d772dcf548b16cae
#scharbeutz,"Scharbeutz, Germany",54.0224961,10.7544159,2,,,,,,,DiplomaticFacilities,"Scharbeutz, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,a15add8d645c12017de5def5bcfee831,german_fires_stormarn_ostholzstein_lauenburg_locations__a15add8d645c12017de5def5bcfee831
#schashagen,"Schashagen, Germany",54.1342264,10.8841533,2,,,,,,,Legislator,"Schashagen, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,adf6e4ac6015f54bcfb3c93bdbcf77df,german_fires_stormarn_ostholzstein_lauenburg_locations__adf6e4ac6015f54bcfb3c93bdbcf77df
#schiphorst,"Schiphorst, Germany",53.7096898,10.4623452,2,,,,,,,Wells,"Schiphorst, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,9df845e046862c1b258c2e59906b0036,german_fires_stormarn_ostholzstein_lauenburg_locations__9df845e046862c1b258c2e59906b0036
#schmilau,"Schmilau, Germany",53.6634746,10.7580502,2,,,,,,,Shipping,"Schmilau, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,5a08e7481c19b31dda5d65c340bd64cc,german_fires_stormarn_ostholzstein_lauenburg_locations__5a08e7481c19b31dda5d65c340bd64cc
#schnakenbek,"Schnakenbek, Germany",53.3861253,10.5012761,2,,,,,,,Refinery,"Schnakenbek, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,c8d8b79aca3071902f1e8de1a147bdfa,german_fires_stormarn_ostholzstein_lauenburg_locations__c8d8b79aca3071902f1e8de1a147bdfa
#schonberg,"Schonberg, Germany",48.8398829,13.3393864,2,,,,,,,ForeignMinister,"Schonberg, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,39d2d661aec87e9e587c9c1dc729169e,german_fires_stormarn_ostholzstein_lauenburg_locations__39d2d661aec87e9e587c9c1dc729169e
#schonwaldeambungsberg,"Schonwalde am Bungsberg, Germany",54.187579,10.7539676,2,,,,,,,LegislativeCommittee,"Schonwalde am Bungsberg, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,aadd6003345522f9805d11d6df090e2e,german_fires_stormarn_ostholzstein_lauenburg_locations__aadd6003345522f9805d11d6df090e2e
#schretstaken,"Schretstaken, Germany",53.590133,10.5417643,2,,,,,,,Keyphrase,"Schretstaken, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,08ac100f1cba534392747d1da57665e8,german_fires_stormarn_ostholzstein_lauenburg_locations__08ac100f1cba534392747d1da57665e8
#schulendorf,"Schulendorf, Germany",53.473305,10.5599436,2,,,,,,,FTO,"Schulendorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,cf154713a603a66f5b2d400a89d30782,german_fires_stormarn_ostholzstein_lauenburg_locations__cf154713a603a66f5b2d400a89d30782
#schurensohlen,"Schurensohlen, Germany",53.7627382,10.4715034,2,,,,,,,News,"Schurensohlen, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,a7daecd559ef0f38a7f82eb49befddd3,german_fires_stormarn_ostholzstein_lauenburg_locations__a7daecd559ef0f38a7f82eb49befddd3
#schwarzenbek,"Schwarzenbek, Germany",53.5048756,10.4852612,2,,,,,,,Refinery,"Schwarzenbek, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,7596099021c09b8323f6555f1565734b,german_fires_stormarn_ostholzstein_lauenburg_locations__7596099021c09b8323f6555f1565734b
#seedorf,"Seedorf, Germany",53.3500585,9.2300558,2,,,,,,,FTO,"Seedorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,cc8e9c36e5ebfa78b8307a31a9049590,german_fires_stormarn_ostholzstein_lauenburg_locations__cc8e9c36e5ebfa78b8307a31a9049590
#siebenbaumen,"Siebenbaumen, Germany",53.7492555,10.5276187,2,,,,,,,space,"Siebenbaumen, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,c901a6eba6ee394a7339ef7b33fe21ee,german_fires_stormarn_ostholzstein_lauenburg_locations__c901a6eba6ee394a7339ef7b33fe21ee
#siebeneichen,"Siebeneichen, Germany",53.5110911,10.6180874,2,,,,,,,space,"Siebeneichen, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,8e256dfa72ae1768021467428b042858,german_fires_stormarn_ostholzstein_lauenburg_locations__8e256dfa72ae1768021467428b042858
#siek,"Siek, Germany",53.634444,10.298056,2,,,,,,,CompanyKeyword,"Siek, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,af3f83a03f731c9569690b816647f78d,german_fires_stormarn_ostholzstein_lauenburg_locations__af3f83a03f731c9569690b816647f78d
#sierksdorf,"Sierksdorf, Germany",54.069532,10.7703557,2,,,,,,,FTO,"Sierksdorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,60cafc880c7de1cc43a7593bb97dc730,german_fires_stormarn_ostholzstein_lauenburg_locations__60cafc880c7de1cc43a7593bb97dc730
#sierksrade,"Sierksrade, Germany",53.7358803,10.6002132,2,,,,,,,DiplomaticFacilities,"Sierksrade, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,6d1962126b5a114b1b1fa369d9c1e701,german_fires_stormarn_ostholzstein_lauenburg_locations__6d1962126b5a114b1b1fa369d9c1e701
#sirksfelde,"Sirksfelde, Germany",53.6649706,10.510362,2,,,,,,,Consulates,"Sirksfelde, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,4c0efe5cbbaf71457a6c31be8d58083d,german_fires_stormarn_ostholzstein_lauenburg_locations__4c0efe5cbbaf71457a6c31be8d58083d
#stapelfeld,"Stapelfeld, Germany",53.6050293,10.2178289,2,,,,,,,Person,"Stapelfeld, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,18c93c49ab39c069c331ed06d0aa9345,german_fires_stormarn_ostholzstein_lauenburg_locations__18c93c49ab39c069c331ed06d0aa9345
#steinburg,"Steinburg, Germany",53.8437856,9.5750073,2,,,,,,,AAEntity,"Steinburg, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,9d916e1927b6eaf50c3b815c432e7171,german_fires_stormarn_ostholzstein_lauenburg_locations__9d916e1927b6eaf50c3b815c432e7171
#steinhorst,"Steinhorst, Germany",53.7204257,10.4846339,2,,,,,,,Keyphrase,"Steinhorst, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,f9ba77ede328b07f62df5adf5bcd4557,german_fires_stormarn_ostholzstein_lauenburg_locations__f9ba77ede328b07f62df5adf5bcd4557
#sterley,"Sterley, Germany",53.6205888,10.818162,2,,,,,,,Pipeline,"Sterley, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,110a7e3bdf7287228bae22cf517c58c8,german_fires_stormarn_ostholzstein_lauenburg_locations__110a7e3bdf7287228bae22cf517c58c8
#stockelsdorf,"Stockelsdorf, Germany",53.8954552,10.6466364,2,,,,,,,CompanyKeyword,"Stockelsdorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,bbde12d4e970454d657b2d3226c916d6,german_fires_stormarn_ostholzstein_lauenburg_locations__bbde12d4e970454d657b2d3226c916d6
#stubben,"Stubben, Germany",53.4090503,8.7862388,2,,,,,,,space,"Stubben, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,24da0e445a80f91da090e20ec5dd5bf4,german_fires_stormarn_ostholzstein_lauenburg_locations__24da0e445a80f91da090e20ec5dd5bf4
#susel,"Susel, Germany",54.0824644,10.6991136,2,,,,,,,AAEntity,"Susel, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,f9ee01351bb8753146aab0695ce6d814,german_fires_stormarn_ostholzstein_lauenburg_locations__f9ee01351bb8753146aab0695ce6d814
#talkau,"Talkau, Germany",53.5754947,10.5700481,2,,,,,,,ForeignMinistry,"Talkau, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,c193846db20fc0b386ca4d5f890c21f9,german_fires_stormarn_ostholzstein_lauenburg_locations__c193846db20fc0b386ca4d5f890c21f9
#tangstedt,"Tangstedt, Germany",53.732456,10.0865489,2,,,,,,,Shipping,"Tangstedt, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,dc604fda3f7256bc41f4ceaa5cf5b84a,german_fires_stormarn_ostholzstein_lauenburg_locations__dc604fda3f7256bc41f4ceaa5cf5b84a
