keyword,caption_name,topic_id,location,guid,groups,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
shijian 6e,Shijian 6E space science satellite,188261,a1433,,,satellite,Satellite,Shijian 6E space science satellite,,milpress_mentionee,7ae18fd0084ae1fe5d7ff768bb16ea4c,milpress_mentionee__7ae18fd0084ae1fe5d7ff768bb16ea4c
shijian 6f,Shijian 6F space science satellite,188261,a1433,,,satellite,Satellite,Shijian 6F space science satellite,,milpress_mentionee,d4969057ddeb3771b0a26731159dfb25,milpress_mentionee__d4969057ddeb3771b0a26731159dfb25
shijian 6g,Shijian 6G earth observation satellite,188261,a1433,,,satellite,Satellite,Shijian 6G earth observation satellite,,milpress_mentionee,70e4b00b87964f196d3ad93ed83824c7,milpress_mentionee__70e4b00b87964f196d3ad93ed83824c7
shijian 6h,Shijian 6H earth observation satellite,188261,a1433,,,satellite,Satellite,Shijian 6H earth observation satellite,,milpress_mentionee,e62a73ff756cb68f9c596ec9b355bf39,milpress_mentionee__e62a73ff756cb68f9c596ec9b355bf39
shijian 7,Shijian 7 space science satellite,188261,a1433,,,satellite,Satellite,Shijian 7 space science satellite,,milpress_mentionee,a82139ae99c6e498030920d671758160,milpress_mentionee__a82139ae99c6e498030920d671758160
shijian 9a,Shijian 9A technology development satellite,188261,a1433,,,satellite,Satellite,Shijian 9A technology development satellite,,milpress_mentionee,3198ad499e0ef9824076787fa874ccab,milpress_mentionee__3198ad499e0ef9824076787fa874ccab
shijian 9b,Shijian 9B technology development satellite,188261,a1433,,,satellite,Satellite,Shijian 9B technology development satellite,,milpress_mentionee,2d529922f5f65edc617d216ceac0e011,milpress_mentionee__2d529922f5f65edc617d216ceac0e011
shiyan 1,Shiyan 1 earth observation satellite,188261,a1433,,,satellite,Satellite,Shiyan 1 earth observation satellite,,milpress_mentionee,d71c60148ecb13203f1bb82a5fa62b52,milpress_mentionee__d71c60148ecb13203f1bb82a5fa62b52
shiyan 3,Shiyan 3 earth observation satellite,188261,a1433,,,satellite,Satellite,Shiyan 3 earth observation satellite,,milpress_mentionee,4161cdf39f4ed6a050e263329e04004d,milpress_mentionee__4161cdf39f4ed6a050e263329e04004d
shiyan 4,Shiyan 4 earth observation satellite,188261,a1433,,,satellite,Satellite,Shiyan 4 earth observation satellite,,milpress_mentionee,7906877ed09b31938663fa9e905371a8,milpress_mentionee__7906877ed09b31938663fa9e905371a8
