native_language,english_term,caption_text,incident_tier,topic_tags,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
exposion,explosion,Explosion reported,4,Fires & Collapses,188118,space,Explosion reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,a8a1cefdf9d3308af1c79ec6957202de,local_news_physical_safety_congo_caption_topic_threshold_mapping__a8a1cefdf9d3308af1c79ec6957202de
détonation,explosion,Explosion reported,4,Fires & Collapses,188118,ForeignMinister,Explosion reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,a8a1cefdf9d3308af1c79ec6957202de,local_news_physical_safety_congo_caption_topic_threshold_mapping__a8a1cefdf9d3308af1c79ec6957202de
détonations,explosion,Explosion reported,4,Fires & Collapses,188118,Organization,Explosion reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,a8a1cefdf9d3308af1c79ec6957202de,local_news_physical_safety_congo_caption_topic_threshold_mapping__a8a1cefdf9d3308af1c79ec6957202de
explosif,explosive,Explosive reported,4,Fires & Collapses,188118,DiplomaticFacilities,Explosive reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,86b8a2b157ea09896b64d6dc6c645ddc,local_news_physical_safety_congo_caption_topic_threshold_mapping__86b8a2b157ea09896b64d6dc6c645ddc
explosive,explosive,Explosive reported,4,Fires & Collapses,188118,DiplomaticFacilities,Explosive reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,86b8a2b157ea09896b64d6dc6c645ddc,local_news_physical_safety_congo_caption_topic_threshold_mapping__86b8a2b157ea09896b64d6dc6c645ddc
bombe,bomb,Explosion reported,4,Fires & Collapses,188118,AAEntity,Explosion reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,a8a1cefdf9d3308af1c79ec6957202de,local_news_physical_safety_congo_caption_topic_threshold_mapping__a8a1cefdf9d3308af1c79ec6957202de
bombes,bombs,Explosion reported,4,Fires & Collapses,188118,DiplomaticFacilities,Explosion reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,a8a1cefdf9d3308af1c79ec6957202de,local_news_physical_safety_congo_caption_topic_threshold_mapping__a8a1cefdf9d3308af1c79ec6957202de
mine,ied,Explosion reported,4,Fires & Collapses,188118,Wells,Explosion reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,a8a1cefdf9d3308af1c79ec6957202de,local_news_physical_safety_congo_caption_topic_threshold_mapping__a8a1cefdf9d3308af1c79ec6957202de
bombe artisanal,ied,Explosion reported,4,Fires & Collapses,188118,Exec,Explosion reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,a8a1cefdf9d3308af1c79ec6957202de,local_news_physical_safety_congo_caption_topic_threshold_mapping__a8a1cefdf9d3308af1c79ec6957202de
engin piégé,ied,Explosion reported,4,Fires & Collapses,188118,Refinery,Explosion reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,a8a1cefdf9d3308af1c79ec6957202de,local_news_physical_safety_congo_caption_topic_threshold_mapping__a8a1cefdf9d3308af1c79ec6957202de
engin explosif,ied,Explosion reported,4,Fires & Collapses,188118,DiplomaticFacilities,Explosion reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,a8a1cefdf9d3308af1c79ec6957202de,local_news_physical_safety_congo_caption_topic_threshold_mapping__a8a1cefdf9d3308af1c79ec6957202de
