handle,caption_name,location,include_groups,location_lower,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
usao_vt,US Attorney's Office for Vermont,"Burlington, VT",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"burlington, vt",Wells,US Attorney's Office for Vermont,,dgm_proscutor_handles,ee08f819b958666b9e8f2a3df395664a,dgm_proscutor_handles__ee08f819b958666b9e8f2a3df395664a
usao_wdok,US Attorney’s Office for Oklahoma,"Oklahoma City, OK",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"oklahoma city, ok",ForeignMinister,US Attorney’s Office for Oklahoma,,dgm_proscutor_handles,ea52b4b092eda9b3dfdbbf7532d7011f,dgm_proscutor_handles__ea52b4b092eda9b3dfdbbf7532d7011f
usao_wdtx,US Attorney's Office for Texas,"San Antonio, TX",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"san antonio, tx",CompanyKeyword,US Attorney's Office for Texas,,dgm_proscutor_handles,76ea1c652b586d81b2e35ca31afb7283,dgm_proscutor_handles__76ea1c652b586d81b2e35ca31afb7283
usao_edky,US Attorney's Office for Kentucky,"Lexington, KY",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"lexington, ky",IndustryTerm,US Attorney's Office for Kentucky,,dgm_proscutor_handles,07360e933a2e772a6e3b388033ca2bb6,dgm_proscutor_handles__07360e933a2e772a6e3b388033ca2bb6
usao_pr,US Attorney's Office for Puerto Rico,"San Juan,PR",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"san juan,pr",ForeignMinistry,US Attorney's Office for Puerto Rico,,dgm_proscutor_handles,b5141db266f1b35c1321a0ff851ec483,dgm_proscutor_handles__b5141db266f1b35c1321a0ff851ec483
usao_de,US Attorney's Office for Delaware,"Wilmington, DE",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"wilmington, de",LegislativeCommittee,US Attorney's Office for Delaware,,dgm_proscutor_handles,25395c1e2cf3536506101ac30c132fae,dgm_proscutor_handles__25395c1e2cf3536506101ac30c132fae
usao_mdfl,US Attorney's Office for Florida,"Tampa, Florida",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"tampa, florida",DiplomaticFacilities,US Attorney's Office for Florida,,dgm_proscutor_handles,f66538ef0223d1608eb93495db47241f,dgm_proscutor_handles__f66538ef0223d1608eb93495db47241f
usao_ndia,US Attorney's Office for Iowa,"Cedar Rapids, IA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"cedar rapids, ia",AAEntity,US Attorney's Office for Iowa,,dgm_proscutor_handles,be4f07f9a1e01670ee1ae03688a439ae,dgm_proscutor_handles__be4f07f9a1e01670ee1ae03688a439ae
usao_wdla,US Attorney's Office for Louisiana,"Shreveport, LA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"shreveport, la",Shipping,US Attorney's Office for Louisiana,,dgm_proscutor_handles,b9e3f2b3b340dd0d2fb7b3ceeb1e92a5,dgm_proscutor_handles__b9e3f2b3b340dd0d2fb7b3ceeb1e92a5
usao_vi,US Attorney's Office for Virginia,"St. Thomas, VI",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"st. thomas, vi",Diplomat,US Attorney's Office for Virginia,,dgm_proscutor_handles,5f1d43e60d479c89f6b1e844e37f8f3b,dgm_proscutor_handles__5f1d43e60d479c89f6b1e844e37f8f3b
usao_or,US Attorney's Office for Oregon,"Salem, OR",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"salem, or",Pipeline,US Attorney's Office for Oregon,,dgm_proscutor_handles,93fb91fa56560aa8c3dbe508f9249892,dgm_proscutor_handles__93fb91fa56560aa8c3dbe508f9249892
usao_ndin,US Attorney's Office for Indiana,"Hammond, IN",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"hammond, in",Keyphrase,US Attorney's Office for Indiana,,dgm_proscutor_handles,272c9987759548ff423c82f9627a0efa,dgm_proscutor_handles__272c9987759548ff423c82f9627a0efa
usao_edpa,US Attorney's Office for Pennsylvania,"Philadelphia, PA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"philadelphia, pa",IndustryTerm,US Attorney's Office for Pennsylvania,,dgm_proscutor_handles,be76354542096e84248b86c425a6ab9b,dgm_proscutor_handles__be76354542096e84248b86c425a6ab9b
usao_mt,US Attorney's Office for Montana,"Billings, MT",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"billings, mt",Wells,US Attorney's Office for Montana,,dgm_proscutor_handles,06268ef23ac57fae7e959b52cd53d838,dgm_proscutor_handles__06268ef23ac57fae7e959b52cd53d838
usao_nd,US Attorney's Office for North Dakota,"Fargo, ND",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"fargo, nd",News,US Attorney's Office for North Dakota,,dgm_proscutor_handles,c9a443db9adfcc0c5b41ac5ba2dd6bac,dgm_proscutor_handles__c9a443db9adfcc0c5b41ac5ba2dd6bac
usao_ak,US Attorney's Office for Alaska,"Anchorage, AK",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"anchorage, ak",Shipping,US Attorney's Office for Alaska,,dgm_proscutor_handles,50b2a607a21662f4aa108504f401167c,dgm_proscutor_handles__50b2a607a21662f4aa108504f401167c
usao_nv,US Attorney's Office for Nevada,"Las Vegas, Nevada",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"las vegas, nevada",Media,US Attorney's Office for Nevada,,dgm_proscutor_handles,2b1d187e7b551ef2af27d929ace04090,dgm_proscutor_handles__2b1d187e7b551ef2af27d929ace04090
usao_wdmi,US Attorney's Office for Michigan,"Grand Rapids, MI",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"grand rapids, mi",Pipeline,US Attorney's Office for Michigan,,dgm_proscutor_handles,48d275b631ac2129f14422a9e7e2a99b,dgm_proscutor_handles__48d275b631ac2129f14422a9e7e2a99b
usao_edtn,US Attorney's Office for Tennesse,"Knoxville, TN",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"knoxville, tn",Refinery,US Attorney's Office for Tennesse,,dgm_proscutor_handles,4489632fb3818c7ff13c5135435ef948,dgm_proscutor_handles__4489632fb3818c7ff13c5135435ef948
usao_ndok,US Attorney's Office for Oklahoma,"Tulsa, OK",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"tulsa, ok",Consulates,US Attorney's Office for Oklahoma,,dgm_proscutor_handles,6671625096b539356afa2d03606caa9a,dgm_proscutor_handles__6671625096b539356afa2d03606caa9a
usao_md,US Attorney's Office for Maryland,"Baltimore, MD",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"baltimore, md",Legislator,US Attorney's Office for Maryland,,dgm_proscutor_handles,faf45f57de177c5eb094728c1401b3d0,dgm_proscutor_handles__faf45f57de177c5eb094728c1401b3d0
usao_sdia,US Attorney's Office for Iowa,"Des Moines, IA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"des moines, ia",AAEntity,US Attorney's Office for Iowa,,dgm_proscutor_handles,be4f07f9a1e01670ee1ae03688a439ae,dgm_proscutor_handles__be4f07f9a1e01670ee1ae03688a439ae
usao_ndca,US Attorney's Office for California,"San Francisco, CA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"san francisco, ca",Consulates,US Attorney's Office for California,,dgm_proscutor_handles,8bdd56e405a564c11c52c7c349213935,dgm_proscutor_handles__8bdd56e405a564c11c52c7c349213935
sdcanews,US Attorney's Office for California,"San Diego, CA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"san diego, ca",Diplomat,US Attorney's Office for California,,dgm_proscutor_handles,8bdd56e405a564c11c52c7c349213935,dgm_proscutor_handles__8bdd56e405a564c11c52c7c349213935
