keyword,caption_name,location,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
camp suippes,"French Army Camp Suippes in Marne, France","4.63074,49.19427",forbase88,Legislator,"French Army Camp Suippes in Marne, France",,dgm_foreignbases,fc4997c90c5cbaeb2c95ee5d9ffe2583,dgm_foreignbases__fc4997c90c5cbaeb2c95ee5d9ffe2583
camp tsushima,"JGSDF Camp Tsushima in Nagasaki Prefecture, Japan","129.28777778,34.21638889",forbase90,Person,"JGSDF Camp Tsushima in Nagasaki Prefecture, Japan",,dgm_foreignbases,de77361612709c47aa6f453f23d9dd89,dgm_foreignbases__de77361612709c47aa6f453f23d9dd89
camp tusima,"JGSDF Camp Tsushima in Nagasaki Prefecture, Japan","129.28777778,34.21638889",forbase90,LegislativeCommittee,"JGSDF Camp Tsushima in Nagasaki Prefecture, Japan",,dgm_foreignbases,de77361612709c47aa6f453f23d9dd89,dgm_foreignbases__de77361612709c47aa6f453f23d9dd89
camp zukeran,"US Marine Corps Camp Foster in Ginowan, Okinawa, Japan","127.77972222,26.30138889",forbase82,LegislativeCommittee,"US Marine Corps Camp Foster in Ginowan, Okinawa, Japan",,dgm_foreignbases,bc62b85f311693bc90f3633e0ec6e8f4,dgm_foreignbases__bc62b85f311693bc90f3633e0ec6e8f4
canadian forces base bagotville,"Canadian Forces Base Bagotville near Saguenay, Canada","-70.9969,48.3306",forbase53,ForeignMinistry,"Canadian Forces Base Bagotville near Saguenay, Canada",,dgm_foreignbases,14afca4eaff62ebfffa495ea608bd4e3,dgm_foreignbases__14afca4eaff62ebfffa495ea608bd4e3
canadian forces base cold lake,"Canadian Forces Base Cold Lake in Cold Lake, Canada","-110.279,54.405",forbase91,IndustryTerm,"Canadian Forces Base Cold Lake in Cold Lake, Canada",,dgm_foreignbases,9d555109050461c9ca3262f7c90b9b27,dgm_foreignbases__9d555109050461c9ca3262f7c90b9b27
canadian forces base comox,"Canadian Forces Base Comox in Comox, Canada","-124.887,49.7108",forbase92,Media,"Canadian Forces Base Comox in Comox, Canada",,dgm_foreignbases,8b9410529fb39ff45dea9da8b6d9c82e,dgm_foreignbases__8b9410529fb39ff45dea9da8b6d9c82e
canadian forces base edmonton,"Canadian Forces Base Edmonton in Edmonton, Canada","-113.475555555,53.669166666",forbase7,Person,"Canadian Forces Base Edmonton in Edmonton, Canada",,dgm_foreignbases,0c004db0ded7a93c29b1330ceb97c240,dgm_foreignbases__0c004db0ded7a93c29b1330ceb97c240
canadian forces base esquimalt,"Canadian Forces Base Esquimalt in Esquimalt, Canada","-123.43166667,48.43111111",forbase93,AAEntity,"Canadian Forces Base Esquimalt in Esquimalt, Canada",,dgm_foreignbases,57ca1d0fdaffe5dfb83808116f2344f1,dgm_foreignbases__57ca1d0fdaffe5dfb83808116f2344f1
canadian forces base gagetown,"Canadian Forces Base Gagetown in Oromocto, Canada","-66.436666666,45.837777777",forbase10,space,"Canadian Forces Base Gagetown in Oromocto, Canada",,dgm_foreignbases,9b9eb5747a8155d81bdb93c6d9230f63,dgm_foreignbases__9b9eb5747a8155d81bdb93c6d9230f63
canadian forces base gander,"Canadian Forces Base Gander in Gander, Canada","-54.568056,48.936944",forbase13,Keyphrase,"Canadian Forces Base Gander in Gander, Canada",,dgm_foreignbases,b8f64b82d3bc936064ba795ae1906004,dgm_foreignbases__b8f64b82d3bc936064ba795ae1906004
canadian forces base gander,"Canadian Forces Base Gander in Gander, Canada","-54.568056,48.936944",forbase13,Organization,"Canadian Forces Base Gander in Gander, Canada",,dgm_foreignbases,b8f64b82d3bc936064ba795ae1906004,dgm_foreignbases__b8f64b82d3bc936064ba795ae1906004
canadian forces base greenwood,"Canadian Forces Base Greenwood in Greenwood, Canada","-64.9169,44.9844",forbase94,DiplomaticFacilities,"Canadian Forces Base Greenwood in Greenwood, Canada",,dgm_foreignbases,283c9fbd500fb0c4262608d1aea43cc1,dgm_foreignbases__283c9fbd500fb0c4262608d1aea43cc1
canadian forces base halifax,"Canadian Forces Base Halifax in Halifax, Canada","-63.57908056,44.65656389",forbase64,DiplomaticFacilities,"Canadian Forces Base Halifax in Halifax, Canada",,dgm_foreignbases,d1b3d7752764e3d64138d6529fd3a861,dgm_foreignbases__d1b3d7752764e3d64138d6529fd3a861
canadian forces base montreal,"Canadian Forces Base Montreal in Montreal, Canada","-73.523,45.576",forbase95,Keyphrase,"Canadian Forces Base Montreal in Montreal, Canada",,dgm_foreignbases,1278f6c1dd6835e2707e1c50d39d4149,dgm_foreignbases__1278f6c1dd6835e2707e1c50d39d4149
canadian forces base moose jaw,"Canadian Forces Base Moose Jaw in Moose Jaw, Canada","-105.559166666,50.330277777",forbase40,space,"Canadian Forces Base Moose Jaw in Moose Jaw, Canada",,dgm_foreignbases,7260877c0e657ba6c6df246f8799d995,dgm_foreignbases__7260877c0e657ba6c6df246f8799d995
canadian forces base north bay,"Canadian Forces Base North Bay in North Bay, Canada","-79.4151,46.3571",forbase96,space,"Canadian Forces Base North Bay in North Bay, Canada",,dgm_foreignbases,0826eed9002a8d8bd5aedbd979a2376a,dgm_foreignbases__0826eed9002a8d8bd5aedbd979a2376a
canadian forces base petawawa,"Canadian Forces Base Petawawa in Petawawa, Canada","-77.29,45.91",forbase8,Organization,"Canadian Forces Base Petawawa in Petawawa, Canada",,dgm_foreignbases,da1894bd9bb5802c18fa9669cccbb974,dgm_foreignbases__da1894bd9bb5802c18fa9669cccbb974
canadian forces base uplands,"Canadian Forces Base Uplands in Ottowa, Canada","-75.676,45.327",forbase97,Shipping,"Canadian Forces Base Uplands in Ottowa, Canada",,dgm_foreignbases,a8fa1311a72869ba74aaa9cb314ff62e,dgm_foreignbases__a8fa1311a72869ba74aaa9cb314ff62e
canadian forces base valcartier,"Canadian Forces Base Valcartier in Saint-Gabriel-de-Valcartier, Canada","-71.493055555,46.893055555",forbase1,FTO,"Canadian Forces Base Valcartier in Saint-Gabriel-de-Valcartier, Canada",,dgm_foreignbases,cb06b75d3789ba12b4c7a52c2d3822f9,dgm_foreignbases__cb06b75d3789ba12b4c7a52c2d3822f9
canadian forces base wainwright,"Canadian Forces Base Wainwright in Wainwright, Canada","-110.887,52.8242",forbase6,LegislativeCommittee,"Canadian Forces Base Wainwright in Wainwright, Canada",,dgm_foreignbases,a558859c17d9c3a464a68a38969b0c6a,dgm_foreignbases__a558859c17d9c3a464a68a38969b0c6a
