handle,caption_name,location_lower,location,type,exclude_group,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
cdnbiz,Canadian Business,toronto,Toronto,Finance Press,,FinancePress,Canadian Business,,dgm_emergingtech_press,ede170e9d078f56fb3d95904cd01089e,dgm_emergingtech_press__ede170e9d078f56fb3d95904cd01089e
financialnews,Financial News,london,London,Finance Press,,FinancePress,Financial News,,dgm_emergingtech_press,fe560d3456ec3b0daa5f0cdf57e1b993,dgm_emergingtech_press__fe560d3456ec3b0daa5f0cdf57e1b993
venturebeat,VentureBeat,"san francisco, ca","San Francisco, CA",Tech Press,,TechPress,VentureBeat,,dgm_emergingtech_press,c298a9171480e1611388f62a09a5ab87,dgm_emergingtech_press__c298a9171480e1611388f62a09a5ab87
thenextweb,The Next Web,amsterdam,Amsterdam,Tech Press,,TechPress,The Next Web,,dgm_emergingtech_press,e88b30cb02acacfc849da8a5fda56652,dgm_emergingtech_press__e88b30cb02acacfc849da8a5fda56652
9to5mac,9to5Mac,cupertino,Cupertino,Tech Press,,TechPress,9to5Mac,,dgm_emergingtech_press,1bcd56f27312657645c1fa7ede4adee5,dgm_emergingtech_press__1bcd56f27312657645c1fa7ede4adee5
techinasia,Tech in Asia,singapore,Singapore,Tech Press,,TechPress,Tech in Asia,,dgm_emergingtech_press,911270b26e614d03b4cc2eca09a721fe,dgm_emergingtech_press__911270b26e614d03b4cc2eca09a721fe
gigaom,Gigaom,austin,Austin,Tech Press,,TechPress,Gigaom,,dgm_emergingtech_press,17e41793950d5d768613f5f67bfb6a10,dgm_emergingtech_press__17e41793950d5d768613f5f67bfb6a10
thehackernews,The Hacker News,"san francisco, ca","San Francisco, CA",Tech Press,,TechPress,The Hacker News,,dgm_emergingtech_press,f68d17c6684d5da258186a063f83c987,dgm_emergingtech_press__f68d17c6684d5da258186a063f83c987
alleywatch,AlleyWatch,new york,New York,Tech Press,,TechPress,AlleyWatch,,dgm_emergingtech_press,477d0292ab67367a49c2aa523a98c88a,dgm_emergingtech_press__477d0292ab67367a49c2aa523a98c88a
cdixon,Internet etrepreneur Chris Dixon,ca,CA,Tech Press,,TechPress,Internet etrepreneur Chris Dixon,,dgm_emergingtech_press,309c02f350989539ec14ea048c60a1c9,dgm_emergingtech_press__309c02f350989539ec14ea048c60a1c9
msuster,Both Sides of the Table,"los angeles, ca","Los Angeles, CA",Tech Press,,TechPress,Both Sides of the Table,,dgm_emergingtech_press,f26f12f361468273569000dffe9eef60,dgm_emergingtech_press__f26f12f361468273569000dffe9eef60
techmeme,Techmeme,,,Tech Press,,TechPress,Techmeme,,dgm_emergingtech_press,cc96d787d765a5e1ec699d15f1154855,dgm_emergingtech_press__cc96d787d765a5e1ec699d15f1154855
androidauth,Android Authority,,,Tech Press,,TechPress,Android Authority,,dgm_emergingtech_press,e70958ba0661ee00165f95867dba750f,dgm_emergingtech_press__e70958ba0661ee00165f95867dba750f
techradar,TechRadar,somerset,Somerset,Tech Press,,TechPress,TechRadar,,dgm_emergingtech_press,edd2a0fdb3533b408c12cd83f086ef64,dgm_emergingtech_press__edd2a0fdb3533b408c12cd83f086ef64
techrepublic,TechRepublic,"louisville, ky","Louisville, KY",Tech Press,,TechPress,TechRepublic,,dgm_emergingtech_press,fc1798eaea9046f2fa021f378d5a3434,dgm_emergingtech_press__fc1798eaea9046f2fa021f378d5a3434
computerworldau,ComputerWorld Australia,,,Tech Press,,TechPress,ComputerWorld Australia,,dgm_emergingtech_press,278f7626b74b8edc8fd87c751cbb3850,dgm_emergingtech_press__278f7626b74b8edc8fd87c751cbb3850
cioonline,CIO magazine,"boston, ma","Boston, MA",Tech Press,,TechPress,CIO magazine,,dgm_emergingtech_press,8d40722a4da9fbab3e9862e92a24c8b3,dgm_emergingtech_press__8d40722a4da9fbab3e9862e92a24c8b3
nocamels,NoCamels,,,Tech Press,,TechPress,NoCamels,,dgm_emergingtech_press,4ff3167f999b9d3092cc17c86b0095fd,dgm_emergingtech_press__4ff3167f999b9d3092cc17c86b0095fd
developer_tech,Developer Tech News,london,London,Tech Press,,TechPress,Developer Tech News,,dgm_emergingtech_press,f0869808650cb4e40a03363549cd6a1f,dgm_emergingtech_press__f0869808650cb4e40a03363549cd6a1f
technodechina,TechNode,"bejing, china","Bejing, China",Tech Press,,TechPress,TechNode,,dgm_emergingtech_press,1f3c8a52e51413045c6dfe4b2874e797,dgm_emergingtech_press__1f3c8a52e51413045c6dfe4b2874e797
technewsworld,TechNewsWorld,"los angeles, ca","Los Angeles, CA",Tech Press,,TechPress,TechNewsWorld,,dgm_emergingtech_press,2e5bace7d459396b199319f08d51a5f7,dgm_emergingtech_press__2e5bace7d459396b199319f08d51a5f7
siliconrepublic,Silicon Republic,"dublin, ireland","Dublin, Ireland",Tech Press,,TechPress,Silicon Republic,,dgm_emergingtech_press,61ce6b56a24d683c27fdeb1c5146e641,dgm_emergingtech_press__61ce6b56a24d683c27fdeb1c5146e641
techcrunch,TechCrunch,united states,United States,Tech Press,,TechPress,TechCrunch,,dgm_emergingtech_press,45e219f82e92a2a76f7665cd19d34e1e,dgm_emergingtech_press__45e219f82e92a2a76f7665cd19d34e1e
theinformation,The Information,"san francisco, ca","San Francisco, CA",Tech Press,,TechPress,The Information,,dgm_emergingtech_press,6ad880a8a6f992004a93f5bf4fc321eb,dgm_emergingtech_press__6ad880a8a6f992004a93f5bf4fc321eb
ft,Financial Times,"london, uk","London, UK",Finance Press,,FinancePress,Financial Times,,dgm_emergingtech_press,fd0b0002f128d5a018fceb42b4cc9bb5,dgm_emergingtech_press__fd0b0002f128d5a018fceb42b4cc9bb5
barronsonline,Barron's,new york,New York,Finance Press,,FinancePress,Barron's,,dgm_emergingtech_press,e15422444d821a8ebe9e2b5226059c80,dgm_emergingtech_press__e15422444d821a8ebe9e2b5226059c80
thestreet,TheStreet,new york,New York,Finance Press,,FinancePress,TheStreet,,dgm_emergingtech_press,68fc7314aa305882ebfa474949ba869a,dgm_emergingtech_press__68fc7314aa305882ebfa474949ba869a
ibdinvestors,Investor's Business Daily,new york,New York,Finance Press,,FinancePress,Investor's Business Daily,,dgm_emergingtech_press,830884f2cc594884dde1ba855a003244,dgm_emergingtech_press__830884f2cc594884dde1ba855a003244
bw,Businessweek,new york,New York,Finance Press,,FinancePress,Businessweek,,dgm_emergingtech_press,61d5cff78b74d4226103457e8c27bda1,dgm_emergingtech_press__61d5cff78b74d4226103457e8c27bda1
