german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
landgraf-philipp-ring,"Landgraf-Philipp-Ring in Bad Homburg, Germany",50.2291615,8.5926861,1,,,,,,,,Refinery,"Landgraf-Philipp-Ring in Bad Homburg, Germany",,german_fires_badhomburg_locations,ea1a94f7fe9d20182db3079b3f75ff4b,german_fires_badhomburg_locations__ea1a94f7fe9d20182db3079b3f75ff4b
landgrafenstrasse,"Landgrafenstrasse in Bad Homburg, Germany",50.2337558,8.6148633,1,,,,,,,,Exec,"Landgrafenstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,92d4b2a3b6514d55a5d98af6b2d3898d,german_fires_badhomburg_locations__92d4b2a3b6514d55a5d98af6b2d3898d
landwehrweg,"Landwehrweg in Bad Homburg, Germany",50.2379495,8.5816344,1,,,,,,,,Shipping,"Landwehrweg in Bad Homburg, Germany",,german_fires_badhomburg_locations,0f74f91bb8d72d2830d94fa92458d753,german_fires_badhomburg_locations__0f74f91bb8d72d2830d94fa92458d753
lange meile,"Lange Meile in Bad Homburg, Germany",50.217889,8.630545,1,,,,,,,,Shipping,"Lange Meile in Bad Homburg, Germany",,german_fires_badhomburg_locations,df202bdadbfe253a4cec6316e9750e3f,german_fires_badhomburg_locations__df202bdadbfe253a4cec6316e9750e3f
langwiesenweg,"Langwiesenweg in Bad Homburg, Germany",50.2162021,8.6530203,1,,,,,,,,space,"Langwiesenweg in Bad Homburg, Germany",,german_fires_badhomburg_locations,d6bbed2f3417d8fa0025eaf44309fac9,german_fires_badhomburg_locations__d6bbed2f3417d8fa0025eaf44309fac9
lechfeldstrasse,"Lechfeldstrasse in Bad Homburg, Germany",50.2315761,8.6032832,1,,,,,,,,Wells,"Lechfeldstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,cc5a4f0aad0a5e0e8d021789854ff56d,german_fires_badhomburg_locations__cc5a4f0aad0a5e0e8d021789854ff56d
leibnizstrasse,"Leibnizstrasse in Bad Homburg, Germany",50.2392672,8.6211276,1,,,,,,,,Diplomat,"Leibnizstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,1ce54d83bcddf21930fad83fc4f788f6,german_fires_badhomburg_locations__1ce54d83bcddf21930fad83fc4f788f6
leopoldsweg,"Leopoldsweg in Bad Homburg, Germany",50.2273771,8.6006613,1,,,,,,,,AAEntity,"Leopoldsweg in Bad Homburg, Germany",,german_fires_badhomburg_locations,7b2adc528adca27d7b1d4386b00cb4a8,german_fires_badhomburg_locations__7b2adc528adca27d7b1d4386b00cb4a8
lerchenweg,"Lerchenweg in Bad Homburg, Germany",50.2380778,8.6057614,1,,,,,,,,Diplomat,"Lerchenweg in Bad Homburg, Germany",,german_fires_badhomburg_locations,e8f7a91dece86bb28e9621fe2ea5e3ba,german_fires_badhomburg_locations__e8f7a91dece86bb28e9621fe2ea5e3ba
lessingstrasse,"Lessingstrasse in Bad Homburg, Germany",50.2374207,8.6211951,1,,,,,,,,FTO,"Lessingstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,4c2cae8365c21dd8a9a60b33fdb5186f,german_fires_badhomburg_locations__4c2cae8365c21dd8a9a60b33fdb5186f
limesstrasse,"Limesstrasse in Bad Homburg, Germany",50.2448268,8.5877127,1,,,,,,,,CompanyKeyword,"Limesstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,724c535fd63ff7cc19bb6e7681dafa6e,german_fires_badhomburg_locations__724c535fd63ff7cc19bb6e7681dafa6e
lindenallee,"Lindenallee in Bad Homburg, Germany",50.2403932,8.5856053,1,,,,,,,,Wells,"Lindenallee in Bad Homburg, Germany",,german_fires_badhomburg_locations,b4fcb0dc7b0b81fea82192aee34fe680,german_fires_badhomburg_locations__b4fcb0dc7b0b81fea82192aee34fe680
lindenstrasse,"Lindenstrasse in Bad Homburg, Germany",50.2172616,8.6474538,1,,,,,,,,Person,"Lindenstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,22be535169277dcf3918affbd88063ee,german_fires_badhomburg_locations__22be535169277dcf3918affbd88063ee
lindenweg,"Lindenweg in Bad Homburg, Germany",50.2269694,8.6237848,1,,,,,,,,Wells,"Lindenweg in Bad Homburg, Germany",,german_fires_badhomburg_locations,bf420194c335773c7701531d054ac0ce,german_fires_badhomburg_locations__bf420194c335773c7701531d054ac0ce
lohrbachstrasse,"Lohrbachstrasse in Bad Homburg, Germany",50.2318025,8.5991656,1,,,,,,,,News,"Lohrbachstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,592a64531d757b6f257aa08173fd9312,german_fires_badhomburg_locations__592a64531d757b6f257aa08173fd9312
lorscher strasse,"Lorscher Strasse in Bad Homburg, Germany",50.2156662,8.644255,1,,,,,,,,News,"Lorscher Strasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,a8c6cb815ac6d6790329c17f77de3e64,german_fires_badhomburg_locations__a8c6cb815ac6d6790329c17f77de3e64
louisenstrasse,"Louisenstrasse in Bad Homburg, Germany",50.2251643,8.6203408,1,,,,,,,,Consulates,"Louisenstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,242f6a84d83049697acb880d9489a860,german_fires_badhomburg_locations__242f6a84d83049697acb880d9489a860
ludwigstrasse,"Ludwigstrasse in Bad Homburg, Germany",50.227103,8.6185422,1,,,,,,,,CompanyKeyword,"Ludwigstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,002a0e0a4d24db9b712283e4733b7962,german_fires_badhomburg_locations__002a0e0a4d24db9b712283e4733b7962
lowengasse,"Lowengasse in Bad Homburg, Germany",50.227144,8.6117318,1,,,,,,,,LegislativeCommittee,"Lowengasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,011032c5b4089175879450b91ac3b14e,german_fires_badhomburg_locations__011032c5b4089175879450b91ac3b14e
magnolienweg,"Magnolienweg in Bad Homburg, Germany",50.2307666,8.6780518,1,,,,,,,,CompanyKeyword,"Magnolienweg in Bad Homburg, Germany",,german_fires_badhomburg_locations,fc231b47593baf81bec14dc323caaa0b,german_fires_badhomburg_locations__fc231b47593baf81bec14dc323caaa0b
mainstrasse,"Mainstrasse in Bad Homburg, Germany",50.2251668,8.6388974,1,,,,,,,,News,"Mainstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,0b2c48e6f5ea09e72b3fa885438e5ba8,german_fires_badhomburg_locations__0b2c48e6f5ea09e72b3fa885438e5ba8
mainzer strasse,"Mainzer Strasse in Bad Homburg, Germany",50.2145575,8.6531728,1,,,,,,,,Wells,"Mainzer Strasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,2e353d1130c9a05030e4a07a1b9043de,german_fires_badhomburg_locations__2e353d1130c9a05030e4a07a1b9043de
mammolshainer strasse,"Mammolshainer Strasse in Bad Homburg, Germany",50.2384671,8.6002131,1,,,,,,,,Organization,"Mammolshainer Strasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,96e7c5e5a2bfb74120c4886538a374f5,german_fires_badhomburg_locations__96e7c5e5a2bfb74120c4886538a374f5
mariannenweg,"Mariannenweg in Bad Homburg, Germany",50.2284977,8.5973711,1,,,,,,,,DiplomaticFacilities,"Mariannenweg in Bad Homburg, Germany",,german_fires_badhomburg_locations,f1860d5f267d9fbe90bcabeef81b0606,german_fires_badhomburg_locations__f1860d5f267d9fbe90bcabeef81b0606
marienbader platz,"Marienbader Platz in Bad Homburg, Germany",50.2224081,8.6207619,1,,,,,,,,Pipeline,"Marienbader Platz in Bad Homburg, Germany",,german_fires_badhomburg_locations,4724d9a8d3602c8653f7fbc1ed87d156,german_fires_badhomburg_locations__4724d9a8d3602c8653f7fbc1ed87d156
marktplatz,"Marktplatz in Bad Homburg, Germany",50.228303,8.6130261,1,,,,,,,,Media,"Marktplatz in Bad Homburg, Germany",,german_fires_badhomburg_locations,3dcb6fb72718cc35f18156f930f0e7b2,german_fires_badhomburg_locations__3dcb6fb72718cc35f18156f930f0e7b2
martinskirchstrasse,"Martinskirchstrasse in Bad Homburg, Germany",50.2263898,8.6823289,1,,,,,,,,ForeignMinistry,"Martinskirchstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,588393fd1c9b66432dfb5a94180e3e52,german_fires_badhomburg_locations__588393fd1c9b66432dfb5a94180e3e52
