keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
fraud schemes,fraud schemes,News,fraud schemes,,dgm_fraud_variants,0a555535a54f594a8d24332acbc319ee,dgm_fraud_variants__0a555535a54f594a8d24332acbc319ee
taxation fraud,taxation fraud,space,taxation fraud,,dgm_fraud_variants,926e846350de6c7a8dd59e802db832cf,dgm_fraud_variants__926e846350de6c7a8dd59e802db832cf
tax evasion,tax evasion,Exec,tax evasion,,dgm_fraud_variants,cd31f91b0198df24378ced06eb7a7c63,dgm_fraud_variants__cd31f91b0198df24378ced06eb7a7c63
covid-19 scam,covid-19 scam,Shipping,covid-19 scam,,dgm_fraud_variants,1b36a0d047d693ac75cb2cd877dd3bb1,dgm_fraud_variants__1b36a0d047d693ac75cb2cd877dd3bb1
covid scam,covid scam,DiplomaticFacilities,covid scam,,dgm_fraud_variants,dda8133c686105710f02cbdedae413b5,dgm_fraud_variants__dda8133c686105710f02cbdedae413b5
covid fraud,covid fraud,ForeignMinister,covid fraud,,dgm_fraud_variants,1919aa835af1a7fa48fa3ac8c857cd2a,dgm_fraud_variants__1919aa835af1a7fa48fa3ac8c857cd2a
covid-19 fraud,covid-19 fraud,Media,covid-19 fraud,,dgm_fraud_variants,73579af9432a92332d03c5a0d54076e7,dgm_fraud_variants__73579af9432a92332d03c5a0d54076e7
advance fee,advance fee,ForeignMinistry,advance fee,,dgm_fraud_variants,4e5905030345e505329714ae1933899f,dgm_fraud_variants__4e5905030345e505329714ae1933899f
illicit balance transfer,illicit balance transfer,FTO,illicit balance transfer,,dgm_fraud_variants,aee8a3cfc118124a1693305ddbfe5415,dgm_fraud_variants__aee8a3cfc118124a1693305ddbfe5415
supply chain fraud,supply chain fraud,Refinery,supply chain fraud,,dgm_fraud_variants,e113329bb4543a37d45634d09318dfa3,dgm_fraud_variants__e113329bb4543a37d45634d09318dfa3
pua fraud,pua fraud,Shipping,pua fraud,,dgm_fraud_variants,bff62207a71154b2d49a586ba67f7095,dgm_fraud_variants__bff62207a71154b2d49a586ba67f7095
