keyword,caption_name,feeds,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
yt_ladies_talk,Ladies Talk,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UC_SEi24MoV_aS7Dmgh2KbTQ,ForeignMinistry,Ladies Talk,,dgm_youtube_crisk,91bbb4a1c14ba3b248705c1185610008,dgm_youtube_crisk__91bbb4a1c14ba3b248705c1185610008
yt_dave_lee,Dave Lee,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCVYamHliCI9rw1tHR1xbkfw,Keyphrase,Dave Lee,,dgm_youtube_crisk,d3511fc234e0bc559a8a1bd51e5170bb,dgm_youtube_crisk__d3511fc234e0bc559a8a1bd51e5170bb
yt_techlead,TechLead,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UC4xKdmAXFh4ACyhpiQ_3qBw,Consulates,TechLead,,dgm_youtube_crisk,50ec6fe205b5e6ee52977ddf26130930,dgm_youtube_crisk__50ec6fe205b5e6ee52977ddf26130930
yt_laterclips,LaterClips,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCtVGGeUqfVHOK4Q6nAwYO3g,Wells,LaterClips,,dgm_youtube_crisk,36074117bbec3d9ba9db9a159aed5eb5,dgm_youtube_crisk__36074117bbec3d9ba9db9a159aed5eb5
yt_the_young_turks,The Young Turks,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UC1yBKRuGpC1tSM73A0ZjYjQ,LegislativeCommittee,The Young Turks,,dgm_youtube_crisk,f4dcad45b9fcd74beb461a324c9a090f,dgm_youtube_crisk__f4dcad45b9fcd74beb461a324c9a090f
yt_the_intercept,The Intercept,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCv002AUCZaPNwiADqwchijg,Consulates,The Intercept,,dgm_youtube_crisk,a1bba9ebd942ab6574c37f9c37f66050,dgm_youtube_crisk__a1bba9ebd942ab6574c37f9c37f66050
yt_joe_rogan_experience,Joe Rogan Experience,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCzQUP1qoWDoEbmsQxvdjxgQ,FTO,Joe Rogan Experience,,dgm_youtube_crisk,d7f9891e280e7c8179b9a43e0a38f638,dgm_youtube_crisk__d7f9891e280e7c8179b9a43e0a38f638
yt_techcrunch,TechCrunch,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCCjyq_K1Xwfg8Lndy7lKMpA,Diplomat,TechCrunch,,dgm_youtube_crisk,45e219f82e92a2a76f7665cd19d34e1e,dgm_youtube_crisk__45e219f82e92a2a76f7665cd19d34e1e
yt_simply_aviation,Simply Aviation,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCEF-9XhkdyFY0hMRUkmxXfQ,Organization,Simply Aviation,,dgm_youtube_crisk,46a8e7a18daff5dab44fef03a12f1a0f,dgm_youtube_crisk__46a8e7a18daff5dab44fef03a12f1a0f
yt_the_points_guys,The Points Guys,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCBkJ4r-eLl8XAjg30dW8oIw,Refinery,The Points Guys,,dgm_youtube_crisk,9c5f85c5afbfb07ffb64ef96c86b6783,dgm_youtube_crisk__9c5f85c5afbfb07ffb64ef96c86b6783
