handle,caption_name,location_lower,include_groups,entity_type,Lat,Lon,,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
rephuizenga,US Representative Huizenga,Michigan,agency;agency leadership;courthouse,legislator,44.3148443,-85.6023643,,,Legislator,US Representative Huizenga,,legislator_dgm_usms_mentioner_entities,8586fe2d55e1fa284862b9192f278991,legislator_dgm_usms_mentioner_entities__8586fe2d55e1fa284862b9192f278991
justinamash,US Representative Amash,Michigan,agency;agency leadership;courthouse,legislator,44.3148443,-85.6023643,,,Legislator,US Representative Amash,,legislator_dgm_usms_mentioner_entities,b0e2ab620a1495cafc5484afccebb827,legislator_dgm_usms_mentioner_entities__b0e2ab620a1495cafc5484afccebb827
reprickcrawford,US Representative Crawford,Arkansas,agency;agency leadership;courthouse,legislator,35.20105,-91.8318334,,,Legislator,US Representative Crawford,,legislator_dgm_usms_mentioner_entities,d46ace3bfd175fd16b0bf4fbb717e0fb,legislator_dgm_usms_mentioner_entities__d46ace3bfd175fd16b0bf4fbb717e0fb
herrerabeutler,US Representative Herrera Beutler,Washington,agency;agency leadership;courthouse,legislator,47.7510741,-120.7401385,,,Legislator,US Representative Herrera Beutler,,legislator_dgm_usms_mentioner_entities,dd4588c27c8aae102a97e7af886645a7,legislator_dgm_usms_mentioner_entities__dd4588c27c8aae102a97e7af886645a7
reptipton,US Representative Tipton,Colorado,agency;agency leadership;courthouse,legislator,39.5500507,-105.7820674,,,Legislator,US Representative Tipton,,legislator_dgm_usms_mentioner_entities,0c99fe8b89a9ea93a793b74be8bc2ead,legislator_dgm_usms_mentioner_entities__0c99fe8b89a9ea93a793b74be8bc2ead
repfranklucas,US Representative Lucas,Oklahoma,agency;agency leadership;courthouse,legislator,35.0077519,-97.092877,,,Legislator,US Representative Lucas,,legislator_dgm_usms_mentioner_entities,1a37ded527df5c69b32cc75eaa558c1f,legislator_dgm_usms_mentioner_entities__1a37ded527df5c69b32cc75eaa558c1f
repmcgovern,US Representative McGovern,Massachusetts,agency;agency leadership;courthouse,legislator,42.4072107,-71.3824374,,,Legislator,US Representative McGovern,,legislator_dgm_usms_mentioner_entities,60a180464c32beb0a2d2fe16fe53ddb7,legislator_dgm_usms_mentioner_entities__60a180464c32beb0a2d2fe16fe53ddb7
repyvetteclarke,US Representative Clarke,New York,agency;agency leadership;courthouse,legislator,40.7127753,-74.0059728,,,Legislator,US Representative Clarke,,legislator_dgm_usms_mentioner_entities,c5f76946b32b2f453f6d2651e892b62c,legislator_dgm_usms_mentioner_entities__c5f76946b32b2f453f6d2651e892b62c
repgosar,US Representative Gosar,Arizona,agency;agency leadership;courthouse,legislator,34.0489281,-111.0937311,,,Legislator,US Representative Gosar,,legislator_dgm_usms_mentioner_entities,550105ece81e1b00686490ed193516ed,legislator_dgm_usms_mentioner_entities__550105ece81e1b00686490ed193516ed
repmckinley,US Representative McKinley,West Virginia,agency;agency leadership;courthouse,legislator,38.5976262,-80.4549026,,,Legislator,US Representative McKinley,,legislator_dgm_usms_mentioner_entities,fba4ce7321962c1aab431e2b1bd3c10e,legislator_dgm_usms_mentioner_entities__fba4ce7321962c1aab431e2b1bd3c10e
