german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
guttenbrunner weg,"Guttenbrunner Weg in Munich, Germany",48.1304654,11.6625957,1,,,,,,Shipping,"Guttenbrunner Weg in Munich, Germany",,german_fires_munich_locations,a375d83746ea2cd53410a3f3fbaa4b85,german_fires_munich_locations__63c2ef09ed440f91c0c99db351d700f3
gutzkowstrasse,"Gutzkowstrasse in Munich, Germany",48.1284132,11.5039235,1,,,,,,Organization,"Gutzkowstrasse in Munich, Germany",,german_fires_munich_locations,7c9119dde7d88adfe108a1d195b06621,german_fires_munich_locations__ef0d3d69b71b42822498a7c208243c14
gysisstrasse,"Gysisstrasse in Munich, Germany",48.0959858,11.5208686,1,,,,,,Legislator,"Gysisstrasse in Munich, Germany",,german_fires_munich_locations,67e4da95bf938a8e004304d047371782,german_fires_munich_locations__b2d691225c0fbb00f409b5c95de73f84
gysslingstrasse,"Gysslingstrasse in Munich, Germany",48.1631918,11.6062053,1,,,,,,Pipeline,"Gysslingstrasse in Munich, Germany",,german_fires_munich_locations,36493b6acbde3e9bfcabeb422bd2e607,german_fires_munich_locations__b2a74218a69fdca262d3b9749eb10c48
haager strasse,"Haager Strasse in Munich, Germany",48.1259108,11.6094259,1,,,,,,Wells,"Haager Strasse in Munich, Germany",,german_fires_munich_locations,8d781233b58de42bacc1fc7ea7c6f3a2,german_fires_munich_locations__ae228bc48ce06458b80057dab9e40f7a
habacher strasse,"Habacher Strasse in Munich, Germany",48.1156182,11.512442,1,,,,,,Refinery,"Habacher Strasse in Munich, Germany",,german_fires_munich_locations,2d387534ca83063b24edc2b3b1b8747a,german_fires_munich_locations__39027daff81b5d7b84ed285bcedfaac3
haberkernstrasse,"Haberkernstrasse in Munich, Germany",48.1960824,11.6209001,1,,,,,,DiplomaticFacilities,"Haberkernstrasse in Munich, Germany",,german_fires_munich_locations,bb603ba914c52cdd108c3e69edf6a82e,german_fires_munich_locations__61eb98641a3fd197e25aaed430661ef3
haberlandstrasse,"Haberlandstrasse in Munich, Germany",48.1509112,11.4500067,1,,,,,,ForeignMinister,"Haberlandstrasse in Munich, Germany",,german_fires_munich_locations,5c1b8025716e13fc1f1e3ac8f874f985,german_fires_munich_locations__156d8e66b34c6d361ab88e2353f6b46d
haberlstrasse,"Haberlstrasse in Munich, Germany",48.1279277,11.5584266,1,,,,,,IndustryTerm,"Haberlstrasse in Munich, Germany",,german_fires_munich_locations,c80f2b8508b89217d0d4e10806522c8a,german_fires_munich_locations__52fcac0463846e678019656f9a39e8ed
habermannstrasse,"Habermannstrasse in Munich, Germany",48.1620032,11.5129699,1,,,,,,Keyphrase,"Habermannstrasse in Munich, Germany",,german_fires_munich_locations,fb5f76cd0c3c1b4f73bb33c679677599,german_fires_munich_locations__a01376cc5ee5f759f48ace65fe2e6783
haberstrasse,"Haberstrasse in Munich, Germany",48.1762383,11.4675036,1,,,,,,ForeignMinistry,"Haberstrasse in Munich, Germany",,german_fires_munich_locations,e59e496fcbb5d1daf3172087ece0b068,german_fires_munich_locations__a0a0495ec55c489e791e8be969a265fb
habichtstrasse,"Habichtstrasse in Munich, Germany",48.1125937,11.6990478,1,,,,,,Legislator,"Habichtstrasse in Munich, Germany",,german_fires_munich_locations,8cf7985d8c6db8ba00b62df8cbce75d6,german_fires_munich_locations__f35a1035a6180ff2d42d848fbdd5a4a5
habsburgerpl.,"Habsburgerpl. in Munich, Germany",48.1586468,11.5800375,1,,,,,,Consulates,"Habsburgerpl. in Munich, Germany",,german_fires_munich_locations,483e0c842db90157000f428497b711bc,german_fires_munich_locations__66979c359cfb9e5ddc77cfe3a3985e29
habsburgerstrasse,"Habsburgerstrasse in Munich, Germany",48.156768,11.5777942,1,,,,,,DiplomaticFacilities,"Habsburgerstrasse in Munich, Germany",,german_fires_munich_locations,15f03b98607d3899b525576f361e54bc,german_fires_munich_locations__7bfdeddc8cf1f2106671987344d6d610
hachinger-bach-strasse,"Hachinger-Bach-Strasse in Munich, Germany",48.1203227,11.6361897,1,,,,,,space,"Hachinger-Bach-Strasse in Munich, Germany",,german_fires_munich_locations,05c32694c60c1422fa9dbdb11c31d87f,german_fires_munich_locations__2f16e0bfec4f56e9f810ace1e3053684
hackenstrasse,"Hackenstrasse in Munich, Germany",48.1360175,11.5704624,1,,,,,,LegislativeCommittee,"Hackenstrasse in Munich, Germany",,german_fires_munich_locations,b1b9971703adb804a78cc4cb58c4ce20,german_fires_munich_locations__f45699041e8f866a4ea29540cba7d3b5
hackerbrucke,"Hackerbrucke in Munich, Germany",48.1413412,11.5484231,1,,,,,,ForeignMinistry,"Hackerbrucke in Munich, Germany",,german_fires_munich_locations,c7de18291714b09980ce1a05b39474fa,german_fires_munich_locations__ca0cf234eaf2eaa1448ed1c39ab4f19d
hacklanderstrasse,"Hacklanderstrasse in Munich, Germany",48.1373309,11.6091169,1,,,,,,Exec,"Hacklanderstrasse in Munich, Germany",,german_fires_munich_locations,9d05b6a0e33935b9fead96def29f8f4e,german_fires_munich_locations__3f68ab53f90c7a9c44e1d867b8b8fabf
hackmahdgasse,"Hackmahdgasse in Munich, Germany",48.2051669,11.5978537,1,,,,,,FTO,"Hackmahdgasse in Munich, Germany",,german_fires_munich_locations,7ef8aa5d43fb80d830d17818dca0015d,german_fires_munich_locations__704483a7f05c11d2aeaa19f9dceefc85
haderner steg,"Haderner Steg in Munich, Germany",48.1239101,11.4826733,1,,,,,,Shipping,"Haderner Steg in Munich, Germany",,german_fires_munich_locations,e4e6c75d4822434a47209a70314823ee,german_fires_munich_locations__b718a60e073df2884d9862429acd4f68
haderunstrasse,"Haderunstrasse in Munich, Germany",48.1206425,11.4752212,1,,,,,,Keyphrase,"Haderunstrasse in Munich, Germany",,german_fires_munich_locations,c56e2a6d85f7d38ece7c1a1dd7e50a2a,german_fires_munich_locations__f0c8811701178349bdccf04268147a7b
hadorfer strasse,"Hadorfer Strasse in Munich, Germany",48.0843561,11.4733486,1,,,,,,space,"Hadorfer Strasse in Munich, Germany",,german_fires_munich_locations,2cce8953f3bf51665b216ad34c5de339,german_fires_munich_locations__5bf9fd829f8e7a48959ca31409ebec16
hafelhofweg,"Hafelhofweg in Munich, Germany",48.1231754,11.6706991,1,,,,,,ForeignMinistry,"Hafelhofweg in Munich, Germany",,german_fires_munich_locations,85ea9006f34ea3d8ee46cff7113f0918,german_fires_munich_locations__5def90e922d2925c82107e8049322a58
haferweg,"Haferweg in Munich, Germany",48.1689373,11.6511655,1,,,,,,FTO,"Haferweg in Munich, Germany",,german_fires_munich_locations,18885c292ceb595803ebc776444be985,german_fires_munich_locations__6ef894c365495dc7fcf634853aa2aa38
haffstrasse,"Haffstrasse in Munich, Germany",48.1172863,11.6632849,1,,,,,,ForeignMinistry,"Haffstrasse in Munich, Germany",,german_fires_munich_locations,f17f22891e6494e49fb75afdca7d9b93,german_fires_munich_locations__144114202f76c7ae4727564bd4a10e9f
hagebuttenpl.,"Hagebuttenpl. in Munich, Germany",48.1351253,11.5819805,1,,,,,,Consulates,"Hagebuttenpl. in Munich, Germany",,german_fires_munich_locations,8b8269a9a0d368cf167750760cc9591f,german_fires_munich_locations__73692220371539372b4a51d1bd826487
hagedornstrasse,"Hagedornstrasse in Munich, Germany",48.1766184,11.5744137,1,,,,,,Refinery,"Hagedornstrasse in Munich, Germany",,german_fires_munich_locations,4fc77af30188721ba15ce5fdd9ea07ff,german_fires_munich_locations__fb7a7db2305d18df2c5ebf20feac2466
hagelstangestrasse,"Hagelstangestrasse in Munich, Germany",48.1764689,11.634264,1,,,,,,Consulates,"Hagelstangestrasse in Munich, Germany",,german_fires_munich_locations,f559f5362a9e95c45de994f64e832088,german_fires_munich_locations__b1ec88de7dcccd4d5c753b2c12f64962
hagenauerstrasse,"Hagenauerstrasse in Munich, Germany",48.074529,11.5253365,1,,,,,,Media,"Hagenauerstrasse in Munich, Germany",,german_fires_munich_locations,29c4d0c601bcadf1a4cff0485961f7df,german_fires_munich_locations__a1dab1fe1c1c9ba3bfdc394def25e05a
hagenbacher strasse,"Hagenbacher Strasse in Munich, Germany",48.1511805,11.4256304,1,,,,,,LegislativeCommittee,"Hagenbacher Strasse in Munich, Germany",,german_fires_munich_locations,0246149f3d7e8c2b7d7bb10ad0f49dc1,german_fires_munich_locations__00d6a323930b334805dac19e5b3dec82
