company,guid,company_caption,tier,location,lat,lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
audiocodes,12c4c6c7d4beec17bbb06fd16ffc2780,AudioCodes,Other,"Lod, Israel",31.951014,34.888075,ForeignMinistry,AudioCodes,,us_sec_company,c4fecffccaf8ae1589888076773c8c2a,us_sec_company__c4fecffccaf8ae1589888076773c8c2a
audioeye,8bbca7d365cebca4ba5e64732a2cba30,AudioEye,Other,"Tucson, AZ, USA",32.2226066,-110.9747108,ForeignMinister,AudioEye,,us_sec_company,8d212dd210fd0c644844607fa2355299,us_sec_company__8d212dd210fd0c644844607fa2355299
aurinia pharmaceuticals,888f4ef4a738bbd1add9a18040341573,Aurinia Pharmaceuticals,Other,"Victoria, British Columbia, Canada",48.4284207,-123.3656444,Pipeline,Aurinia Pharmaceuticals,,us_sec_company,7e50f58407339089dca13ba0cb059498,us_sec_company__7e50f58407339089dca13ba0cb059498
aurora cannabis,966c286cb2cd3831aa1e888176603fcf,Aurora Cannabis,Other,"Edmonton, Alberta, Canada",53.5461245,-113.4938229,FTO,Aurora Cannabis,,us_sec_company,7e18137cca64b805ddd107f0e86bfbd0,us_sec_company__7e18137cca64b805ddd107f0e86bfbd0
autodesk,f449a8ec62c60096d771929048835ad8,Autodesk,Tier 2,"San Rafael, CA, USA",37.9735346,-122.5310874,LegislativeCommittee,Autodesk,,us_sec_company,edb89b1ba47e3d134498601e7dd64562,us_sec_company__edb89b1ba47e3d134498601e7dd64562
autohome,68341437a5db0b56f730db63a651b3a0,Autohome,Other,"Beijing, China",39.9041999,116.4073963,Diplomat,Autohome,,us_sec_company,8515a6dd3bf732bbd9b612b641855935,us_sec_company__8515a6dd3bf732bbd9b612b641855935
autoliv,7eebac8a5ced987c52b6a98295eefd09,Autoliv,Other,"Stockholm, Stockholm County, Sweden",59.3293235,18.0685808,Person,Autoliv,,us_sec_company,f6c2b08c858d14eb51daf272a66b4366,us_sec_company__f6c2b08c858d14eb51daf272a66b4366
autolus therapeutics,469516069d334ef984e5184afc081c27,Autolus Therapeutics plc,Other,"London, Greater London, UK",51.5073509,-0.1277583,AAEntity,Autolus Therapeutics plc,,us_sec_company,816eb049bab0e794cff6512136a9f2e5,us_sec_company__816eb049bab0e794cff6512136a9f2e5
automatic data processing,df173000fb604482fc07d7f0d82d1e08,ADP,Tier 2,"Roseland, NJ, USA",40.8206555,-74.2937594,Person,ADP,,us_sec_company,1a92e9d6480da15b0d0b40ea6802a66d,us_sec_company__1a92e9d6480da15b0d0b40ea6802a66d
autonation,e36d1e1d94f536e6e1729b0ce952b2b5,AutoNation,Tier 2,"Fort Lauderdale, FL, USA",26.1224386,-80.1373174,Diplomat,AutoNation,,us_sec_company,170edecfe03283de5b048f795fb84a12,us_sec_company__170edecfe03283de5b048f795fb84a12
autoweb,fc7e6b276a7a2a5132b4bf8be7b0f330,AutoWeb,Other,"Irvine, CA, USA",33.6845673,-117.8265049,FTO,AutoWeb,,us_sec_company,46acf90c7255e5e1cd71598004adda99,us_sec_company__46acf90c7255e5e1cd71598004adda99
autozone,a8aab37f3ec4d5cbc37ec5df7b1cb8a8,AutoZone,Tier 2,"Memphis, TN, USA",35.1495343,-90.0489801,LegislativeCommittee,AutoZone,,us_sec_company,46931e43eb1a83586a2d4952d435a874,us_sec_company__46931e43eb1a83586a2d4952d435a874
avadel pharmaceuticals,8883f17ba440d32417abd39597389102,Avadel Pharmaceuticals plc,Other,"Dublin, Co. Dublin, Ireland",53.3498053,-6.2603097,Diplomat,Avadel Pharmaceuticals plc,,us_sec_company,f22a375e55afd2090cbeb6c00f8975fd,us_sec_company__f22a375e55afd2090cbeb6c00f8975fd
avalara,64db9cf12ba9418d78f1639ff6148b7a,Avalara,Other,"Seattle, WA, USA",47.6062095,-122.3320708,DiplomaticFacilities,Avalara,,us_sec_company,f077977c360196fc4430d337110e4d6a,us_sec_company__f077977c360196fc4430d337110e4d6a
avalon holdings corp,4d0882cf188401593effb64c0dcb59cc,Avalon Holdings,Other,"Warren, OH, USA",41.2375569,-80.8184166,Organization,Avalon Holdings,,us_sec_company,c049b8ddf577ae046656c22c58278b36,us_sec_company__c049b8ddf577ae046656c22c58278b36
avalonbay communities,708a2ea9258215bc34401a58775dee82,AvalonBay Communities,Other,"Arlington, VA, USA",38.8799697,-77.1067698,Consulates,AvalonBay Communities,,us_sec_company,403da870d92dc2fc59198bb95acc0729,us_sec_company__403da870d92dc2fc59198bb95acc0729
avangrid,c4cf4265ff2a1d7c08b0cc092d237056,Avangrid,Other,"Orange, CT, USA",41.278637,-73.0265277,Wells,Avangrid,,us_sec_company,0bb526c99b5f2b05d0de2ff71a46c5c8,us_sec_company__0bb526c99b5f2b05d0de2ff71a46c5c8
avanos medical,e7f577784db3822c8d8076a995104f3b,Avanos Medical,Other,"Alpharetta, GA, USA",34.0753762,-84.2940899,IndustryTerm,Avanos Medical,,us_sec_company,11f56b373459cc3d1512fb9a8f9c7f74,us_sec_company__11f56b373459cc3d1512fb9a8f9c7f74
avantor,4ea5f50745e112fd2af0d09ad0b372c9,Avantor,Other,"Radnor, PA, USA",40.0462208,-75.3599105,Consulates,Avantor,,us_sec_company,0f3e35a81f1c3cc79880fe9a79a3425f,us_sec_company__0f3e35a81f1c3cc79880fe9a79a3425f
avaya holdings corp,dd98f1acb4c17dfc2e44a860a2b3a7bd,Avaya,Tier 2,"Santa Clara, CA, USA",37.3541079,-121.9552356,News,Avaya,,us_sec_company,0b3ac1827ddb1e872213589cd312bf6b,us_sec_company__0b3ac1827ddb1e872213589cd312bf6b
avenue therapeutics,62162781e174821def07078696b3b61d,Avenue Therapeutics,Other,"New York, NY, USA",40.7127753,-74.0059728,IndustryTerm,Avenue Therapeutics,,us_sec_company,877e5d9491815c4ad37962702c5a6d23,us_sec_company__877e5d9491815c4ad37962702c5a6d23
aveo pharmaceuticals,fcd882153b0e0f136a880c43e3adac71,AVEO Pharmaceuticals,Other,"Cambridge, MA, USA",42.3736158,-71.1097335,ForeignMinistry,AVEO Pharmaceuticals,,us_sec_company,9dc2430fd92d0c39b64219d0063adef2,us_sec_company__9dc2430fd92d0c39b64219d0063adef2
avery dennison corp,2f2cdff763a5bdc7833bfe9ac3d9cab9,Avery Dennison,Other,"Glendale, CA, USA",34.1425078,-118.255075,Wells,Avery Dennison,,us_sec_company,ac48b934c83659d4037d355f62993c6f,us_sec_company__ac48b934c83659d4037d355f62993c6f
aviat networks,75d009bfbcda21c4cd00157c6bcc951e,Aviat Networks,Other,"Milpitas, CA, USA",37.4323341,-121.8995741,LegislativeCommittee,Aviat Networks,,us_sec_company,a59252e20512b4d827294b24ca9e93a3,us_sec_company__a59252e20512b4d827294b24ca9e93a3
avid bioservices,f3106d0399e6897ef0d5eb303cac2992,Avid Bioservices,Other,"Tustin, CA, USA",33.7420005,-117.8236391,AAEntity,Avid Bioservices,,us_sec_company,78a6a31c86cb8dfe38aad5dad95b5efd,us_sec_company__78a6a31c86cb8dfe38aad5dad95b5efd
avid technology,2c63c0267cffb8be186c66d9aa74a064,Avid Technology,Other,"Burlington, MA, USA",42.5047161,-71.1956205,Wells,Avid Technology,,us_sec_company,69464c5807d589749d037c66316f2782,us_sec_company__69464c5807d589749d037c66316f2782
avinger,44a3847619f52b5d38979693a25895d2,Avinger,Other,"Redwood City, CA, USA",37.4847955,-122.228141,Diplomat,Avinger,,us_sec_company,36a45e2b50369a0ddabf0a58c9dca07f,us_sec_company__36a45e2b50369a0ddabf0a58c9dca07f
avino silver & gold mines,81ccf03a097a11ce6892c64df1823295,Avino Silver & Gold Mines,Other,"Vancouver, British Columbia, Canada",49.2827291,-123.1207375,Shipping,Avino Silver & Gold Mines,,us_sec_company,02ef4751a4154d56514c39b43db6d4f8,us_sec_company__02ef4751a4154d56514c39b43db6d4f8
avis budget group,d5c1644dc0c02af8b681c55a1f97ac5d,Avis Budget Group,Tier 2,"Parsippany, NJ, USA",40.8652865,-74.4173877,Organization,Avis Budget Group,,us_sec_company,9fca7ee8452a01b979688d352dfafad4,us_sec_company__9fca7ee8452a01b979688d352dfafad4
avista corp,0f6d184a3254c6bd862f4db453a39f2f,Avista,Other,"Spokane, WA, USA",47.6587802,-117.4260465,Refinery,Avista,,us_sec_company,92dda63dd936e679ea2fc4aece9a9991,us_sec_company__92dda63dd936e679ea2fc4aece9a9991
avnet,3937d84e8c7d32a341b159f7171200c7,Avnet,Other,"Phoenix, AZ, USA",33.4483771,-112.0740373,ForeignMinister,Avnet,,us_sec_company,349355de668bd19b99cdc1f7981becc9,us_sec_company__349355de668bd19b99cdc1f7981becc9
avrobio,5e0995fcc2c7353fe589ed14dbcf1e60,AVROBIO,Other,"Cambridge, MA, USA",42.3736158,-71.1097335,ForeignMinister,AVROBIO,,us_sec_company,6011242e8957bc6471512c8304854c0e,us_sec_company__6011242e8957bc6471512c8304854c0e
