keyword,caption_name,location_lower,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
l'Roumanie,romania,romania,Country,Country,romania,,dgm_traveladvisories_country_fr,89055f975d7ddbd99646d954daf3cbb5,dgm_traveladvisories_country_fr__89055f975d7ddbd99646d954daf3cbb5
l'Russie,russia,russia,Country,Country,russia,,dgm_traveladvisories_country_fr,1c625cc86f824660a320d185916e3c55,dgm_traveladvisories_country_fr__1c625cc86f824660a320d185916e3c55
l'Rwanda,rwanda,rwanda,Country,Country,rwanda,,dgm_traveladvisories_country_fr,c04911d0d40595d7f4e574b24e2d0b4c,dgm_traveladvisories_country_fr__c04911d0d40595d7f4e574b24e2d0b4c
l'Saint-Christophe-et-Niévès,saint kitts-nevis,saint kitts-nevis,Country,Country,saint kitts-nevis,,dgm_traveladvisories_country_fr,631a141ad299f6ff17587d714da8604b,dgm_traveladvisories_country_fr__631a141ad299f6ff17587d714da8604b
l'Sainte-Lucie,saint lucia,saint lucia,Country,Country,saint lucia,,dgm_traveladvisories_country_fr,4b077a89b5b9a48483ef93d58bc4ef74,dgm_traveladvisories_country_fr__4b077a89b5b9a48483ef93d58bc4ef74
l'Saint-Vincent-et--Grenadines,saint vincent and the grenadines,saint vincent and the grenadines,Country,Country,saint vincent and the grenadines,,dgm_traveladvisories_country_fr,33193ffe1d42b35614b5c2968012ccd0,dgm_traveladvisories_country_fr__33193ffe1d42b35614b5c2968012ccd0
l'Saint-Marin,san marino,san marino,Country,Country,san marino,,dgm_traveladvisories_country_fr,d99dd03bfa4e58467f69a58fcbda8746,dgm_traveladvisories_country_fr__d99dd03bfa4e58467f69a58fcbda8746
l'Sao Tomé et Principe,sao tomé and principe,sao tomé and principe,Country,Country,sao tomé and principe,,dgm_traveladvisories_country_fr,f2b0f38da23ede2bae65f1ca8d180b2d,dgm_traveladvisories_country_fr__f2b0f38da23ede2bae65f1ca8d180b2d
l'Arabie saoudite,saudi arabia,saudi arabia,Country,Country,saudi arabia,,dgm_traveladvisories_country_fr,5318efec44d163ddaa345bfa15279413,dgm_traveladvisories_country_fr__5318efec44d163ddaa345bfa15279413
l'Écosse,scotland,scotland,Country,Country,scotland,,dgm_traveladvisories_country_fr,b0ce0b49f97d8a86489af489955d5605,dgm_traveladvisories_country_fr__b0ce0b49f97d8a86489af489955d5605
l'Sénégal,senegal,senegal,Country,Country,senegal,,dgm_traveladvisories_country_fr,531ba498ac8690f1a72034843b5fd7fd,dgm_traveladvisories_country_fr__531ba498ac8690f1a72034843b5fd7fd
l'Serbie,serbia,serbia,Country,Country,serbia,,dgm_traveladvisories_country_fr,a3867434e7dc78acd072dd9558119858,dgm_traveladvisories_country_fr__a3867434e7dc78acd072dd9558119858
l'Seychel,seychelles,seychelles,Country,Country,seychelles,,dgm_traveladvisories_country_fr,5e53ddefcab309fd88e79d7744f6f365,dgm_traveladvisories_country_fr__5e53ddefcab309fd88e79d7744f6f365
l'Sierra one,sierra leone,sierra leone,Country,Country,sierra leone,,dgm_traveladvisories_country_fr,b628c9a1757c9eeb051dd9f2c10aeace,dgm_traveladvisories_country_fr__b628c9a1757c9eeb051dd9f2c10aeace
l'Slovaquie,slovakia,slovakia,Country,Country,slovakia,,dgm_traveladvisories_country_fr,f64a398fc678c17687a4c18476bbd3e8,dgm_traveladvisories_country_fr__f64a398fc678c17687a4c18476bbd3e8
l'Slovénie,slovenia,slovenia,Country,Country,slovenia,,dgm_traveladvisories_country_fr,7f65809a80ea14772b90e9ffb2053857,dgm_traveladvisories_country_fr__7f65809a80ea14772b90e9ffb2053857
l'Îles Salomon,soloman islands,soloman islands,Country,Country,soloman islands,,dgm_traveladvisories_country_fr,467acc09d514e74c88390521dfb4ed4a,dgm_traveladvisories_country_fr__467acc09d514e74c88390521dfb4ed4a
l'Somalie,somalia,somalia,Country,Country,somalia,,dgm_traveladvisories_country_fr,391fbc5b5081b1ae00b4faaae91d3a58,dgm_traveladvisories_country_fr__391fbc5b5081b1ae00b4faaae91d3a58
l'Afrique du Sud,south africa,south africa,Country,Country,south africa,,dgm_traveladvisories_country_fr,c814068bbc9207acd130de362b2d6ddc,dgm_traveladvisories_country_fr__c814068bbc9207acd130de362b2d6ddc
l'Corée du Sud,south korea,south korea,Country,Country,south korea,,dgm_traveladvisories_country_fr,3c6cfbc2415aad893733819108cf892c,dgm_traveladvisories_country_fr__3c6cfbc2415aad893733819108cf892c
l'Espagne,spain,spain,Country,Country,spain,,dgm_traveladvisories_country_fr,1747d4b2dd4bcd666e2df31563d22dbe,dgm_traveladvisories_country_fr__1747d4b2dd4bcd666e2df31563d22dbe
l'Sri nka,sri lanka,sri lanka,Country,Country,sri lanka,,dgm_traveladvisories_country_fr,8ba5bbdd9e0c11077dbf5a9cc83d1c45,dgm_traveladvisories_country_fr__8ba5bbdd9e0c11077dbf5a9cc83d1c45
l'Soudan,sudan,sudan,Country,Country,sudan,,dgm_traveladvisories_country_fr,dfcc27a6f3c9e017ca14cab07e4b3b0c,dgm_traveladvisories_country_fr__dfcc27a6f3c9e017ca14cab07e4b3b0c
l'Surinam,surinam,surinam,Country,Country,surinam,,dgm_traveladvisories_country_fr,522b1bd8e3551302ba2a71b0073e5615,dgm_traveladvisories_country_fr__522b1bd8e3551302ba2a71b0073e5615
l'Swazind,swaziland,swaziland,Country,Country,swaziland,,dgm_traveladvisories_country_fr,f91c5d3936f9b69ff10386ddac5a83f4,dgm_traveladvisories_country_fr__f91c5d3936f9b69ff10386ddac5a83f4
l'Suède,sweden,sweden,Country,Country,sweden,,dgm_traveladvisories_country_fr,88e52ee42fd090896f69d0d71e339d94,dgm_traveladvisories_country_fr__88e52ee42fd090896f69d0d71e339d94
l'Suisse,switzerland,switzerland,Country,Country,switzerland,,dgm_traveladvisories_country_fr,0d9c575f4f0260fe0274b318cd6a9e34,dgm_traveladvisories_country_fr__0d9c575f4f0260fe0274b318cd6a9e34
l'Syrie,syria,syria,Country,Country,syria,,dgm_traveladvisories_country_fr,aae53924404be2c727479aeebd3c8f8d,dgm_traveladvisories_country_fr__aae53924404be2c727479aeebd3c8f8d
l'Tadjikistan,tajikistan,tajikistan,Country,Country,tajikistan,,dgm_traveladvisories_country_fr,cdfe86e668f700c2f23789470df3743b,dgm_traveladvisories_country_fr__cdfe86e668f700c2f23789470df3743b
l'Tanzanie,tanzania,tanzania,Country,Country,tanzania,,dgm_traveladvisories_country_fr,ed07875f3aab4eb7076467cb441ba233,dgm_traveladvisories_country_fr__ed07875f3aab4eb7076467cb441ba233
l'Thaïnde,thailand,thailand,Country,Country,thailand,,dgm_traveladvisories_country_fr,8689391a8b93cd2d55ccf3f436eef4e2,dgm_traveladvisories_country_fr__8689391a8b93cd2d55ccf3f436eef4e2
l'Togo,togo,togo,Country,Country,togo,,dgm_traveladvisories_country_fr,da6f471bab1662dafc3e6845c312dd5f,dgm_traveladvisories_country_fr__da6f471bab1662dafc3e6845c312dd5f
l'Tonga,tonga,tonga,Country,Country,tonga,,dgm_traveladvisories_country_fr,2a08a42db6678fdd393ab41dc657d5a3,dgm_traveladvisories_country_fr__2a08a42db6678fdd393ab41dc657d5a3
l'Trinité-et-Tobago,trinidad and tobago,trinidad and tobago,Country,Country,trinidad and tobago,,dgm_traveladvisories_country_fr,86fb06da27ba90c75e5edb3e63157e6e,dgm_traveladvisories_country_fr__86fb06da27ba90c75e5edb3e63157e6e
l'Tunisie,tunisia,tunisia,Country,Country,tunisia,,dgm_traveladvisories_country_fr,6b07fd4ea837c39e1542e1bbca01a224,dgm_traveladvisories_country_fr__6b07fd4ea837c39e1542e1bbca01a224
l'Turquie,turkey,turkey,Country,Country,turkey,,dgm_traveladvisories_country_fr,db77174aa34ded1b6139455a58d0a38b,dgm_traveladvisories_country_fr__db77174aa34ded1b6139455a58d0a38b
l'Turkménistan,turkmenistan,turkmenistan,Country,Country,turkmenistan,,dgm_traveladvisories_country_fr,963f79ea1a99aefb8a7318ee388dcdd9,dgm_traveladvisories_country_fr__963f79ea1a99aefb8a7318ee388dcdd9
l'Tuvalu,tuvalu,tuvalu,Country,Country,tuvalu,,dgm_traveladvisories_country_fr,ac0e1f17968ec7ab248ab2c1beab5720,dgm_traveladvisories_country_fr__ac0e1f17968ec7ab248ab2c1beab5720
l'Ouganda,uganda,uganda,Country,Country,uganda,,dgm_traveladvisories_country_fr,111fa7773cce1023627b584dc8099873,dgm_traveladvisories_country_fr__111fa7773cce1023627b584dc8099873
l'Ukraine,ukraine,ukraine,Country,Country,ukraine,,dgm_traveladvisories_country_fr,4b0f1559226dc5c26d97dd4ef788a85a,dgm_traveladvisories_country_fr__4b0f1559226dc5c26d97dd4ef788a85a
l'Émirats arabes unis,united arab emirates,united arab emirates,Country,Country,united arab emirates,,dgm_traveladvisories_country_fr,8882cbb50c4172662cc0d08a89a4ff29,dgm_traveladvisories_country_fr__8882cbb50c4172662cc0d08a89a4ff29
l'Royaume-Uni,united kingdom,united kingdom,Country,Country,united kingdom,,dgm_traveladvisories_country_fr,9cdc126f68260cbddf3a00a4032f0e7e,dgm_traveladvisories_country_fr__9cdc126f68260cbddf3a00a4032f0e7e
l'États-Unis,united states (learn the states),united states (learn the states),Country,Country,united states (learn the states),,dgm_traveladvisories_country_fr,5cbe584abfaa8987f25c1f4dad42c08e,dgm_traveladvisories_country_fr__5cbe584abfaa8987f25c1f4dad42c08e
l'Uruguay,uruguay,uruguay,Country,Country,uruguay,,dgm_traveladvisories_country_fr,9142ac5b229c9d83163e89bc1f468607,dgm_traveladvisories_country_fr__9142ac5b229c9d83163e89bc1f468607
l'Ouzbékistan,uzbekistan,uzbekistan,Country,Country,uzbekistan,,dgm_traveladvisories_country_fr,aa1b4b6598e512e8939eaddf9ee8543d,dgm_traveladvisories_country_fr__aa1b4b6598e512e8939eaddf9ee8543d
