keyword,caption_name,location_lower,Lat/Long,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#pedro_aguirre_cerda,Pedro Aguirre Cerda,pedro aguirre cerda,"-33.4941, -70.6765",Diplomat,Pedro Aguirre Cerda,,dgm_santiago_commune,7e0bf9958b104999d3cd967c8951b07d,dgm_santiago_commune__7e0bf9958b104999d3cd967c8951b07d
#peñalolén,Penalolen,penalolen,"-33.4719, -70.5628",Legislator,Penalolen,,dgm_santiago_commune,04c7b37e48d6c55c12c1b57a2744c409,dgm_santiago_commune__04c7b37e48d6c55c12c1b57a2744c409
#providencia,Providencia,providencia,"-33.4314, -70.6093",Consulates,Providencia,,dgm_santiago_commune,0dfa66b3ddbd10ffe349b031913bdc52,dgm_santiago_commune__0dfa66b3ddbd10ffe349b031913bdc52
#pudahuel,Pudahuel,pudahuel,"-33.4421, -70.7641",Person,Pudahuel,,dgm_santiago_commune,9d02df55e3d27d4f40cccf2e0deeca14,dgm_santiago_commune__9d02df55e3d27d4f40cccf2e0deeca14
#quilicura,Quilicura,quilicura,"-33.3577, -70.7293",space,Quilicura,,dgm_santiago_commune,fc2f18b98cbd966637113c0e90351be0,dgm_santiago_commune__fc2f18b98cbd966637113c0e90351be0
#quinta_normal,Quinta Normal,quinta normal,"-33.4317, -70.6924",Legislator,Quinta Normal,,dgm_santiago_commune,d90b73323c85065ed34eb24dda3a857b,dgm_santiago_commune__d90b73323c85065ed34eb24dda3a857b
#renca,Renca,renca,"-33.4064, -70.7280",Exec,Renca,,dgm_santiago_commune,d5ff65ffc0eaeca3e71d3799a94291e3,dgm_santiago_commune__d5ff65ffc0eaeca3e71d3799a94291e3
#san_joaquín,San Joaquin,san joaquin,"-33.4962, -70.6283",Wells,San Joaquin,,dgm_santiago_commune,ebba99e57a93df98bee075799680cb6b,dgm_santiago_commune__ebba99e57a93df98bee075799680cb6b
#san_miguel,San Miguel,san miguel,"-33.4924, -70.6518",Consulates,San Miguel,,dgm_santiago_commune,bd10f8ed22bc839e3231f2cd424c336c,dgm_santiago_commune__bd10f8ed22bc839e3231f2cd424c336c
#san_ramón,San Ramon,san ramon,"-33.5510, -70.6464",Consulates,San Ramon,,dgm_santiago_commune,3925aa71ee4eff703b46803725cebe00,dgm_santiago_commune__3925aa71ee4eff703b46803725cebe00
#vitacura,Vitacura,vitacura,"-33.3905, -70.5724",AAEntity,Vitacura,,dgm_santiago_commune,59828cbe0749802e31a524675e92c8f0,dgm_santiago_commune__59828cbe0749802e31a524675e92c8f0
santiago,central Santiago,central santiago,"-33.45747290867496, -70.66491874592307",Diplomat,central Santiago,,dgm_santiago_commune,f0168748265d9596481fcbd402668212,dgm_santiago_commune__f0168748265d9596481fcbd402668212
#santiago,central Santiago,central santiago,"-33.45747290867496, -70.66491874592307",Shipping,central Santiago,,dgm_santiago_commune,f0168748265d9596481fcbd402668212,dgm_santiago_commune__f0168748265d9596481fcbd402668212
