handle,caption_name,location,groups,entity_type,location_lower,exclude_groups,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
embespoman,Spanish Embassy in Oman,Oman,oman;spain,Embassies & Consulates,oman,oman;spain;slg;og,,Embassies&Consulates,Spanish Embassy in Oman,,dos_mentions_entities,ac34af37f67a831a9e82a85d07f83e46,dos_mentions_entities__ac34af37f67a831a9e82a85d07f83e46
indonesiaincph,Indonesian Embassy in Denmark,Denmark,denmark;indonesia,Embassies & Consulates,denmark,denmark;indonesia;slg;og,,Embassies&Consulates,Indonesian Embassy in Denmark,,dos_mentions_entities,5a6af37e858cd8ec68301b0dd8ece371,dos_mentions_entities__5a6af37e858cd8ec68301b0dd8ece371
kazbrussels,Kazakh Embassy in Belgium,Belgium,belgium;kazakhstan,Embassies & Consulates,belgium,belgium;kazakhstan;slg;og,,Embassies&Consulates,Kazakh Embassy in Belgium,,dos_mentions_entities,dee99622be0d3a8fd59a3985e31a9120,dos_mentions_entities__dee99622be0d3a8fd59a3985e31a9120
embajadabolesp,Bolivian Embassy in Spain,Spain,spain;bolivia,Embassies & Consulates,spain,spain;bolivia;slg;og,,Embassies&Consulates,Bolivian Embassy in Spain,,dos_mentions_entities,31481c8634b5117161072bfb0131df03,dos_mentions_entities__31481c8634b5117161072bfb0131df03
armembgermany,Armenian Embassy in Germany,Germany,germany;armenia,Embassies & Consulates,germany,germany;armenia;slg;og,,Embassies&Consulates,Armenian Embassy in Germany,,dos_mentions_entities,f7a4c5038836b0273536ed1d49e5a0f9,dos_mentions_entities__f7a4c5038836b0273536ed1d49e5a0f9
austriainza,Austrian Embassy in South Africa,South Africa,south africa;austria,Embassies & Consulates,south africa,south africa;austria;slg;og,,Embassies&Consulates,Austrian Embassy in South Africa,,dos_mentions_entities,594d883a1c496570992aab551faaf5d8,dos_mentions_entities__594d883a1c496570992aab551faaf5d8
euosce,EU delegation to OSCE,Austria,austria;belgium,Embassies & Consulates,austria,austria;belgium;slg;og,,Embassies&Consulates,EU delegation to OSCE,,dos_mentions_entities,5a27eeb82adaa7e2035639db55d9208c,dos_mentions_entities__5a27eeb82adaa7e2035639db55d9208c
consgeraljpn_sp,"Japanese Consul-General in Sao Paolo, Brazil",Brazil,brazil;japan,Embassies & Consulates,brazil,brazil;japan;slg;og,,Embassies&Consulates,"Japanese Consul-General in Sao Paolo, Brazil",,dos_mentions_entities,bd621dca8795168a1ff0f75d4dd7fa73,dos_mentions_entities__bd621dca8795168a1ff0f75d4dd7fa73
consuladord_vlc,"Dominican Consulate in Valencia, Spain",Spain,spain;dominican republic,Embassies & Consulates,spain,spain;dominican republic;slg;og,,Embassies&Consulates,"Dominican Consulate in Valencia, Spain",,dos_mentions_entities,4a13012cde3f04a819c20fccce04b4e7,dos_mentions_entities__4a13012cde3f04a819c20fccce04b4e7
embavenbruselas,Venezuelan Embassy in Belgium,Belgium,belgium;venezuela,Embassies & Consulates,belgium,belgium;venezuela;slg;og,,Embassies&Consulates,Venezuelan Embassy in Belgium,,dos_mentions_entities,b5d46851efd3e31b88c5abfae31d2795,dos_mentions_entities__b5d46851efd3e31b88c5abfae31d2795
embpanamacan,Panamanian Embassy in Canada,Ottawa,ottawa;panama,Embassies & Consulates,ottawa,ottawa;panama;slg;og,,Embassies&Consulates,Panamanian Embassy in Canada,,dos_mentions_entities,c5e5db9f18e90bcbe81bae689e1b8c13,dos_mentions_entities__c5e5db9f18e90bcbe81bae689e1b8c13
indiainnamibia,Indian Embassy in Namibia,Windhoek,windhoek;india,Embassies & Consulates,windhoek,windhoek;india;slg;og,,Embassies&Consulates,Indian Embassy in Namibia,,dos_mentions_entities,733a0c306191249b2cd45c293d22cadd,dos_mentions_entities__733a0c306191249b2cd45c293d22cadd
