permalink,caption_name,chinatagging_location,permalink_location,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
2866901464,Helan Water Affairs Bureau,helanyinchuan,"Helan county in Yinchuan, Ningxia, China",ForeignMinister,Helan Water Affairs Bureau,,dgm_watersupplysources,15d9306d3f35ede7e8ef3c4f51b271f7,dgm_watersupplysources__15d9306d3f35ede7e8ef3c4f51b271f7
2882038050,Liupanshui Water Affairs Bureau,liupanshuiguizhou,"Liupanshui, Guizhou, China",News,Liupanshui Water Affairs Bureau,,dgm_watersupplysources,58fea14b25d23377c044124fad7e7a4e,dgm_watersupplysources__58fea14b25d23377c044124fad7e7a4e
2884383852,Yingde Water Affairs Bureau,yingdeguangdong,"Yingde, Guangdong, China",LegislativeCommittee,Yingde Water Affairs Bureau,,dgm_watersupplysources,8561e84a21530b1102336f9f09415da7,dgm_watersupplysources__8561e84a21530b1102336f9f09415da7
2933829817,"Deputy Director of Industrial Water Workshop, Environmental Protection and Water Affairs Department, Sinopec Shanghai Chemical Co., Ltd.",pudongshanghai,"Pudong district in Shanghai, China",LegislativeCommittee,"Deputy Director of Industrial Water Workshop, Environmental Protection and Water Affairs Department, Sinopec Shanghai Chemical Co., Ltd.",,dgm_watersupplysources,4ff6cd8519f6b75e94c73485be09e879,dgm_watersupplysources__4ff6cd8519f6b75e94c73485be09e879
2946782535,"Shandong Tianyi Water Co., Ltd.",weifangshandong,"Weifang, Shandong, China",CompanyKeyword,"Shandong Tianyi Water Co., Ltd.",,dgm_watersupplysources,afbe2d17c5ac71a2a40e21f4fca31892,dgm_watersupplysources__afbe2d17c5ac71a2a40e21f4fca31892
2986770582,Kuytun Agriculture and Water Affairs Bureau,kuytunxinjiang,"Kuytun, Xinjiang, China",Pipeline,Kuytun Agriculture and Water Affairs Bureau,,dgm_watersupplysources,188afcce7abd446dd5bebeae5bcc8e34,dgm_watersupplysources__188afcce7abd446dd5bebeae5bcc8e34
3125608945,Jingshan Water Affairs Bureau,jingshanhubei,"Jingshan, Hubei, China",Pipeline,Jingshan Water Affairs Bureau,,dgm_watersupplysources,20b9289b9b4a87c0d739a5cbd9df527d,dgm_watersupplysources__20b9289b9b4a87c0d739a5cbd9df527d
3177810134,Pu'an Water Affairs Bureau,puanwangmo,"Pu'an county in Wangmo County, Guizhou, China",space,Pu'an Water Affairs Bureau,,dgm_watersupplysources,680d3f6d821db9d03b72afc86b94002a,dgm_watersupplysources__680d3f6d821db9d03b72afc86b94002a
3193303027,"Beijing Zhongshui Wanyuan Technology Co., Ltd.",beijingbeijing,"Beijing, China",FTO,"Beijing Zhongshui Wanyuan Technology Co., Ltd.",,dgm_watersupplysources,432fc36e53c6462458477e318a17b838,dgm_watersupplysources__432fc36e53c6462458477e318a17b838
3206859714,Baoying Water Affairs Bureau,baoyingyangzhou,"Baoying county in Yangzhou, Jiangsu, China",DiplomaticFacilities,Baoying Water Affairs Bureau,,dgm_watersupplysources,411f670b2b076d55908ddb397df2bcea,dgm_watersupplysources__411f670b2b076d55908ddb397df2bcea
3312136824,Guandu Water Affairs Bureau,guandukunming,"Guandu district in Kunming, Yunnan, China",AAEntity,Guandu Water Affairs Bureau,,dgm_watersupplysources,0d008d9ce7052e9a4c6349506e67dc90,dgm_watersupplysources__0d008d9ce7052e9a4c6349506e67dc90
3318035897,Jing Water Affairs Bureau,jinghengshui,"Jing county in Hengshui, Hebei, China",AAEntity,Jing Water Affairs Bureau,,dgm_watersupplysources,78f80045e619bbf5685615f3458055ce,dgm_watersupplysources__78f80045e619bbf5685615f3458055ce
3320276640,Shandan Water Affairs Bureau,shandanzhangye,"Shandan county in Zhangye, Gansu, China",ForeignMinistry,Shandan Water Affairs Bureau,,dgm_watersupplysources,bd87959bbc80295bcda26900054a32e4,dgm_watersupplysources__bd87959bbc80295bcda26900054a32e4
3366995204,Baiyin Water Affairs Bureau,baiyingansu,"Baiyin, Gansu, China",Exec,Baiyin Water Affairs Bureau,,dgm_watersupplysources,21888450c8701ce369e9e056f49ce0c6,dgm_watersupplysources__21888450c8701ce369e9e056f49ce0c6
3416886302,Tianjin Water Supply,tianjintianjin,"Tianjin, China",Shipping,Tianjin Water Supply,,dgm_watersupplysources,a651ba3d41070f951de8b189576aa736,dgm_watersupplysources__a651ba3d41070f951de8b189576aa736
3470103190,Qidong Water Affairs Bureau,qidongjiangsu,"Qidong, Jiangsu, China",CompanyKeyword,Qidong Water Affairs Bureau,,dgm_watersupplysources,a49788f4bde88fa2ab6b71be75827a3c,dgm_watersupplysources__a49788f4bde88fa2ab6b71be75827a3c
3502974282,Cheng Water Affairs Bureau,longnangansu,"Longnan, Gansu, China",CompanyKeyword,Cheng Water Affairs Bureau,,dgm_watersupplysources,04fa94aae3f581d5f51968a16ecd9b5f,dgm_watersupplysources__04fa94aae3f581d5f51968a16ecd9b5f
3572433020,Zhengyang Water Affairs Bureau,zhengyangzhumadian,"Zhengyang county in Zhumadian, Henan, China",ForeignMinister,Zhengyang Water Affairs Bureau,,dgm_watersupplysources,002c540c33bc0e9f362bb4fcf35f3bc0,dgm_watersupplysources__002c540c33bc0e9f362bb4fcf35f3bc0
3592201160,Changli Water Affairs Bureau,changliqinhuangdao,"Changli county in Qinhuangdao, Hebei, China",Keyphrase,Changli Water Affairs Bureau,,dgm_watersupplysources,fe004c1f5b377bdf72a6c7e36c900a7e,dgm_watersupplysources__fe004c1f5b377bdf72a6c7e36c900a7e
3606457473,"Xian'an Water Co., Ltd.",xiananxianning,"Xian'an district in Xianning, Hubei, China",LegislativeCommittee,"Xian'an Water Co., Ltd.",,dgm_watersupplysources,0ebd7ddae5022271a2ce6c41c827a484,dgm_watersupplysources__0ebd7ddae5022271a2ce6c41c827a484
3631792572,Dala Water Affairs Bureau,ordosinnermongolia,"Ordos, Inner Mongolia, China",AAEntity,Dala Water Affairs Bureau,,dgm_watersupplysources,66ebadea75c450f0174f8f26db1e74e7,dgm_watersupplysources__66ebadea75c450f0174f8f26db1e74e7
3658823660,Zibo Water Affairs Bureau,ziboshandong,"Zibo, Shandong, China",IndustryTerm,Zibo Water Affairs Bureau,,dgm_watersupplysources,e04358a191d8ef08bdb34ae9cb944f7a,dgm_watersupplysources__e04358a191d8ef08bdb34ae9cb944f7a
3659137431,Yiyang Water Affairs Bureau,yiyanghunan,"Yiyang, Hunan, China",Diplomat,Yiyang Water Affairs Bureau,,dgm_watersupplysources,20541de8d9089bbfee490f1f036da1a9,dgm_watersupplysources__20541de8d9089bbfee490f1f036da1a9
3706881091,Xinzhou Water Affairs Bureau,xinzhouwuhan,"Xinzhou district in Wuhan, Hubei, China",Legislator,Xinzhou Water Affairs Bureau,,dgm_watersupplysources,706f461ef9477ba911393004c5d9c357,dgm_watersupplysources__706f461ef9477ba911393004c5d9c357
3781899170,Tangshan Water Affairs Bureau,tangshanhebei,"Tangshan, Hebei, China",ForeignMinister,Tangshan Water Affairs Bureau,,dgm_watersupplysources,c84ba2d07b221f3c93a6fa6d3554b15a,dgm_watersupplysources__c84ba2d07b221f3c93a6fa6d3554b15a
3787559031,Wusheng Water Affairs Bureau,wushengguangan,"Wusheng county in Guang'an, Sichuan, China",space,Wusheng Water Affairs Bureau,,dgm_watersupplysources,863abbc92c157e06bf4fd18847a9eefb,dgm_watersupplysources__863abbc92c157e06bf4fd18847a9eefb
3810713142,Xinhui Water Affairs Bureau,xinhuijiangmen,"Xinhui district in Jiangmen, Guangdong, China",LegislativeCommittee,Xinhui Water Affairs Bureau,,dgm_watersupplysources,016aaeeda3e174f0de13b71c70e73db9,dgm_watersupplysources__016aaeeda3e174f0de13b71c70e73db9
3877362257,Shilin Yi Autonomous County Water Affairs Bureau,kunmingyunnan,"Kunming, Yunnan, China",Shipping,Shilin Yi Autonomous County Water Affairs Bureau,,dgm_watersupplysources,56badb757c63b9173e9e040fb1fc6343,dgm_watersupplysources__56badb757c63b9173e9e040fb1fc6343
3911253793,Caofeidian Water Affairs Bureau,caofeidiantangshan,"Caofeidian district in Tangshan, Hebei, China",LegislativeCommittee,Caofeidian Water Affairs Bureau,,dgm_watersupplysources,f301da5a74a302f51583e45936e4ee4f,dgm_watersupplysources__f301da5a74a302f51583e45936e4ee4f
3920986042,Junggar Water Affairs Bureau,ordosinnermongolia,"Ordos, Inner Mongolia, China",Refinery,Junggar Water Affairs Bureau,,dgm_watersupplysources,51337f2942e0af33dc689fb4c0db0a9c,dgm_watersupplysources__51337f2942e0af33dc689fb4c0db0a9c
3922277525,Lingtai Water Affairs Bureau,lingtaipingliang,"Lingtai county in Pingliang, Gansu, China",LegislativeCommittee,Lingtai Water Affairs Bureau,,dgm_watersupplysources,02ba13a8f3528c7f3e8ac30175b4e936,dgm_watersupplysources__02ba13a8f3528c7f3e8ac30175b4e936
3925824284,Nanchang Water Affairs Bureau,nanchangjiangxi,"Nanchang, Jiangxi, China",ForeignMinistry,Nanchang Water Affairs Bureau,,dgm_watersupplysources,d96d65e9ae6cbd155e916d3181e42022,dgm_watersupplysources__d96d65e9ae6cbd155e916d3181e42022
3969804892,Wei Water Affairs Bureau,weinangansu,"Weinan, Gansu, China",Refinery,Wei Water Affairs Bureau,,dgm_watersupplysources,14ebbafb6582e90f187dc51d33f4eb4a,dgm_watersupplysources__14ebbafb6582e90f187dc51d33f4eb4a
3975472155,Xihe Water Affairs Bureau,longnangansu,"Longnan, Gansu, China",Refinery,Xihe Water Affairs Bureau,,dgm_watersupplysources,79e12fe69314be6c8d93ef97e2718785,dgm_watersupplysources__79e12fe69314be6c8d93ef97e2718785
