handle,caption_name,location,location_lower,type,exclude_groups,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
aubreywebsonun,Antigua and Bardbudan Permanent Representative to UN,Antigua and Barbuda,antigua and barbuda,Ambassadors & Representatives,,,antigua and barbuda;antigua and barbuda,Ambassadors&Representatives,Antigua and Bardbudan Permanent Representative to UN,,dgm_og_mentioner_v6,0db01ec801ba9881e64b6ba3ec0e5c9e,dgm_og_mentioner_v6__0db01ec801ba9881e64b6ba3ec0e5c9e
chetgreene1,Antiguan Foreign Minister Greene,Antigua and Barbuda,antigua and barbuda,Foreign Minister,,,antigua and barbuda,ForeignMinister,Antiguan Foreign Minister Greene,,dgm_og_mentioner_v6,b5505dd44aa6066f1b89868751b6d618,dgm_og_mentioner_v6__b5505dd44aa6066f1b89868751b6d618
abministryfa,Antigua and Barbuda Foreign Ministry,Antigua and Barbuda,antigua and barbuda,Foreign Ministry,,,antigua and barbuda,ForeignMinistry,Antigua and Barbuda Foreign Ministry,,dgm_og_mentioner_v6,bf131e9d3b8fbe0110f2fd156ab338d6,dgm_og_mentioner_v6__bf131e9d3b8fbe0110f2fd156ab338d6
gastonbrowne,Antiguan Prime Minister Browne,antigua and barbuda,antigua and barbuda,Heads of State,,,antigua and barbuda,HeadsOfState,Antiguan Prime Minister Browne,,dgm_og_mentioner_v6,b4c2f9cf58d24485e24abe1d3842c201,dgm_og_mentioner_v6__b4c2f9cf58d24485e24abe1d3842c201
sirronsanders,Antiguan Ambassador to US,Antigua and Barbuda,antigua and barbuda,Host Nation Ambassadors to US,,,antigua and barbuda,HostNationAmbassadorsToUs,Antiguan Ambassador to US,,dgm_og_mentioner_v6,40392932f5d708cdd629316903ac8aa7,dgm_og_mentioner_v6__40392932f5d708cdd629316903ac8aa7
swissambarg,Swiss Ambassador to Argentina,Argentina,argentina,Ambassadors & Representatives,,,argentina;switzerland,Ambassadors&Representatives,Swiss Ambassador to Argentina,,dgm_og_mentioner_v6,fbf505c4e912d3b5529ecf9e58db0322,dgm_og_mentioner_v6__fbf505c4e912d3b5529ecf9e58db0322
dkambargentina,"Danish Ambassador to Argentina, Paraguay and Uruguay",Argentina,argentina,Ambassadors & Representatives,,,argentina;denmark,Ambassadors&Representatives,"Danish Ambassador to Argentina, Paraguay and Uruguay",,dgm_og_mentioner_v6,62315e8c0514fcc7e1827aa23f71ea93,dgm_og_mentioner_v6__62315e8c0514fcc7e1827aa23f71ea93
ikokurash,Georgian Ambassador to Argentina,Argentina,argentina,Ambassadors & Representatives,,,argentina;georgia,Ambassadors&Representatives,Georgian Ambassador to Argentina,,dgm_og_mentioner_v6,f7295e417c5d4bbf3f2f96afe8a42864,dgm_og_mentioner_v6__f7295e417c5d4bbf3f2f96afe8a42864
embaustraliaba,Australian Ambassador to Argentina,Argentina,argentina,Ambassadors & Representatives,,,argentina;australia,Ambassadors&Representatives,Australian Ambassador to Argentina,,dgm_og_mentioner_v6,2f96a270c5086004f72d70eb9016f8c2,dgm_og_mentioner_v6__2f96a270c5086004f72d70eb9016f8c2
usambassadorarg,US Charge d’Affaires in Argentina,Argentina,argentina,Ambassadors & Representatives,,,argentina;united states,Ambassadors&Representatives,US Charge d’Affaires in Argentina,,dgm_og_mentioner_v6,bd80ce53c04c7f5ddff839df9c1d2498,dgm_og_mentioner_v6__bd80ce53c04c7f5ddff839df9c1d2498
kentargentina,UK Ambassador to the Argentina,Argentina,argentina,Ambassadors & Representatives,,,argentina;uk,Ambassadors&Representatives,UK Ambassador to the Argentina,,dgm_og_mentioner_v6,3593ad973cc0db45deb9a856feafd5ce,dgm_og_mentioner_v6__3593ad973cc0db45deb9a856feafd5ce
dineshbhatia,"Indian Ambassador to Argentina, Uruguay, and Paraguay",Argentina,argentina,Ambassadors & Representatives,,,argentina;india,Ambassadors&Representatives,"Indian Ambassador to Argentina, Uruguay, and Paraguay",,dgm_og_mentioner_v6,61ddf6202ef319376eebc3c1edf89185,dgm_og_mentioner_v6__61ddf6202ef319376eebc3c1edf89185
pmaddens,Belgian Ambassador to Argentina and Uruguay,Argentina,argentina,Ambassadors & Representatives,,,argentina;belgium,Ambassadors&Representatives,Belgian Ambassador to Argentina and Uruguay,,dgm_og_mentioner_v6,dd40c502321684aa9741b1ea82cc5afd,dgm_og_mentioner_v6__dd40c502321684aa9741b1ea82cc5afd
felipe_sola,Argentine Foreign Minister Sola,Argentina,argentina,Foreign Minister,,,argentina,ForeignMinister,Argentine Foreign Minister Sola,,dgm_og_mentioner_v6,53f1edca46369f84a1149e8bdb44634f,dgm_og_mentioner_v6__53f1edca46369f84a1149e8bdb44634f
argentinamfa,Argentine Foreign Ministry,Argentina,argentina,Foreign Ministry,,,argentina,ForeignMinistry,Argentine Foreign Ministry,,dgm_og_mentioner_v6,adb071587636c91402c30c0038761f48,dgm_og_mentioner_v6__adb071587636c91402c30c0038761f48
cancilleriaarg,Argentine Foreign Ministry,Argentina,argentina,Foreign Ministry,,,argentina,ForeignMinistry,Argentine Foreign Ministry,,dgm_og_mentioner_v6,adb071587636c91402c30c0038761f48,dgm_og_mentioner_v6__adb071587636c91402c30c0038761f48
alferdez,Argentinian President Fernandez,argentina,argentina,Heads of State,,,argentina,HeadsOfState,Argentinian President Fernandez,,dgm_og_mentioner_v6,ebce199d570f524443cc22b92cf24895,dgm_og_mentioner_v6__ebce199d570f524443cc22b92cf24895
jorarguello,Argentine Ambassador to US,Argentina,argentina,Host Nation Ambassadors to US,,,argentina,HostNationAmbassadorsToUs,Argentine Ambassador to US,,dgm_og_mentioner_v6,22d024b0249d185795b53fa4b9d7ae17,dgm_og_mentioner_v6__22d024b0249d185795b53fa4b9d7ae17
eusebioromero53,Mexican Consul to Arizona,Arizona,arizona,Ambassadors & Representatives,,,arizona;mexico,Ambassadors&Representatives,Mexican Consul to Arizona,,dgm_og_mentioner_v6,c32bbe73a964aff4ed369c5871e32358,dgm_og_mentioner_v6__c32bbe73a964aff4ed369c5871e32358
jonathanlacote,French Ambassador to Armenia,Armenia,armenia,Ambassadors & Representatives,,,armenia;france,Ambassadors&Representatives,French Ambassador to Armenia,,dgm_og_mentioner_v6,a46aaff00b40824fde8902cfd77aea37,dgm_og_mentioner_v6__a46aaff00b40824fde8902cfd77aea37
g7saganelidze,Georgian Ambassador to Armenia,Armenia,armenia,Ambassadors & Representatives,,,armenia;georgia,Ambassadors&Representatives,Georgian Ambassador to Armenia,,dgm_og_mentioner_v6,bfabf63781245d3a3b4af603ed6a9610,dgm_og_mentioner_v6__bfabf63781245d3a3b4af603ed6a9610
awiktorin,EU Ambassador to Armenia,Armenia,armenia,Ambassadors & Representatives,,,armenia;eu,Ambassadors&Representatives,EU Ambassador to Armenia,,dgm_og_mentioner_v6,3726ccf5898c7b41b01d6352ed8421d7,dgm_og_mentioner_v6__3726ccf5898c7b41b01d6352ed8421d7
aivazian_ara,Armenian Foreign Minister Aivazian,Armenia,armenia,Foreign Minister,,,armenia,ForeignMinister,Armenian Foreign Minister Aivazian,,dgm_og_mentioner_v6,dc82ff85543f1c67112db28c76591f5a,dgm_og_mentioner_v6__dc82ff85543f1c67112db28c76591f5a
