handle,caption_name,location,location_lower,type,exclude_groups,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
elhijodedora,"Panamanian Consul General in Vancouver, Canada",Canada,canada,Ambassadors & Representatives,,,canada;panama,Ambassadors&Representatives,"Panamanian Consul General in Vancouver, Canada",,dgm_og_mentioner_v6,4b3cc83ab3ac6ab46b97e745cd9316f7,dgm_og_mentioner_v6__4b3cc83ab3ac6ab46b97e745cd9316f7
zaib_shaikh,"Canadian Consul General to Los Angeles, CA",Canada,canada,Ambassadors & Representatives,,,canada;united states,Ambassadors&Representatives,"Canadian Consul General to Los Angeles, CA",,dgm_og_mentioner_v6,52a993273134c6fe089fdf688187553c,dgm_og_mentioner_v6__52a993273134c6fe089fdf688187553c
hendrik_velde,Belgian Consul General to Canada,Canada,canada,Ambassadors & Representatives,,,canada;belguim,Ambassadors&Representatives,Belgian Consul General to Canada,,dgm_og_mentioner_v6,3ec43c6cf7ad484321fa3bb43e567214,dgm_og_mentioner_v6__3ec43c6cf7ad484321fa3bb43e567214
jacqui_oneill,"Canadian Ambassador for Women, Peace, and Security",Canada,canada,Ambassadors & Representatives,,,canada;canada,Ambassadors&Representatives,"Canadian Ambassador for Women, Peace, and Security",,dgm_og_mentioner_v6,a61b59170596c21d3f3bf026a610b456,dgm_og_mentioner_v6__a61b59170596c21d3f3bf026a610b456
janicecharette,Interim Canadian Privy Council Clerk,Canada,canada,Ambassadors & Representatives,,,canada;canada,Ambassadors&Representatives,Interim Canadian Privy Council Clerk,,dgm_og_mentioner_v6,88a829aa902a45c99003ca584f3b569f,dgm_og_mentioner_v6__88a829aa902a45c99003ca584f3b569f
jjgomezcamacho,Mexican Ambassador to Canada,Canada,canada,Ambassadors & Representatives,,,canada;mexico,Ambassadors&Representatives,Mexican Ambassador to Canada,,dgm_og_mentioner_v6,f114ff2c5d06b38298d7747d59e53fe6,dgm_og_mentioner_v6__f114ff2c5d06b38298d7747d59e53fe6
ashevch,Ukrainian Ambassador to Canada,Canada,canada,Ambassadors & Representatives,,,canada;ukraine,Ambassadors&Representatives,Ukrainian Ambassador to Canada,,dgm_og_mentioner_v6,16b2cda2754e20f7e333d46772ca4c84,dgm_og_mentioner_v6__16b2cda2754e20f7e333d46772ca4c84
skusev,Lithuanian Ambassador to Canada,Canada,canada,Ambassadors & Representatives,,,canada;lithuania,Ambassadors&Representatives,Lithuanian Ambassador to Canada,,dgm_og_mentioner_v6,aaa2fbb0723061dd43a6facfcb26aa7c,dgm_og_mentioner_v6__aaa2fbb0723061dd43a6facfcb26aa7c
susanbincoletto,Canadian Ambassador to to Switzerland and Liechtenstein,Canada,canada,Ambassadors & Representatives,,,canada;canada,Ambassadors&Representatives,Canadian Ambassador to to Switzerland and Liechtenstein,,dgm_og_mentioner_v6,6d7b2ca1b59f38525373827ed4cf272d,dgm_og_mentioner_v6__6d7b2ca1b59f38525373827ed4cf272d
marcgarneau,Canadian Foreign Minister Garneau,Canada,canada,Foreign Minister,,,canada,ForeignMinister,Canadian Foreign Minister Garneau,,dgm_og_mentioner_v6,98920f1d30bec880e5e15d8bd0cafb67,dgm_og_mentioner_v6__98920f1d30bec880e5e15d8bd0cafb67
pmcanadien,Canadian Prime Minister Trudeau,Canada,canada,Heads of State,,,canada,HeadsOfState,Canadian Prime Minister Trudeau,,dgm_og_mentioner_v6,cda3214ebbbffa05e8795568666c0fcd,dgm_og_mentioner_v6__cda3214ebbbffa05e8795568666c0fcd
canadianpm,Canadian Prime Minister Trudeau,Canada,canada,Heads of State,,,canada,HeadsOfState,Canadian Prime Minister Trudeau,,dgm_og_mentioner_v6,cda3214ebbbffa05e8795568666c0fcd,dgm_og_mentioner_v6__cda3214ebbbffa05e8795568666c0fcd
justintrudeau,Canadian Prime Minister Trudeau,Canada,canada,Heads of State,,,canada,HeadsOfState,Canadian Prime Minister Trudeau,,dgm_og_mentioner_v6,cda3214ebbbffa05e8795568666c0fcd,dgm_og_mentioner_v6__cda3214ebbbffa05e8795568666c0fcd
kirstenhillmana,Canadian Ambassador to US,Canada,canada,Host Nation Ambassadors to US,,,canada,HostNationAmbassadorsToUs,Canadian Ambassador to US,,dgm_og_mentioner_v6,edff530bd92ef193c6f3c2e0f0145020,dgm_og_mentioner_v6__edff530bd92ef193c6f3c2e0f0145020
elisabetheklund,Swedish Ambassador to Caribbean,Caribbean,caribbean,Ambassadors & Representatives,,,caribbean;sweden,Ambassadors&Representatives,Swedish Ambassador to Caribbean,,dgm_og_mentioner_v6,461f27797ade39d8640f410f0054d23a,dgm_og_mentioner_v6__461f27797ade39d8640f410f0054d23a
gregquinnfcdo,"Head of Foreign, Commonwealth and Development Office in Carribbean",Carribbean,carribbean,Ambassadors & Representatives,,,carribbean;uk,Ambassadors&Representatives,"Head of Foreign, Commonwealth and Development Office in Carribbean",,dgm_og_mentioner_v6,02886e2f5ccc4c9ee82d508a686c1583,dgm_og_mentioner_v6__02886e2f5ccc4c9ee82d508a686c1583
pertti_ikonen,Finnish Ambassador to the Carribean,Carribean,carribean,Ambassadors & Representatives,,,carribean;finland,Ambassadors&Representatives,Finnish Ambassador to the Carribean,,dgm_og_mentioner_v6,d7ecac30003aa5f1f76afa5f8ea26c51,dgm_og_mentioner_v6__d7ecac30003aa5f1f76afa5f8ea26c51
samuelaisopieu,EU Ambassador to Central African Republic,Central African Republic,central african republic,Ambassadors & Representatives,,,central african republic;central african republic,Ambassadors&Representatives,EU Ambassador to Central African Republic,,dgm_og_mentioner_v6,2d3f8bb5d8bfe6cf260a19284ffa52df,dgm_og_mentioner_v6__2d3f8bb5d8bfe6cf260a19284ffa52df
firminngrebada,CAR Prime Minister Ngrebada,Central African Republic,central african republic,Heads of State,,,central african republic,HeadsOfState,CAR Prime Minister Ngrebada,,dgm_og_mentioner_v6,1485e74f2f2de2e2284eba18a8bef31f,dgm_og_mentioner_v6__1485e74f2f2de2e2284eba18a8bef31f
usambcar,US Ambassador to Central African Republic Tamlyn,Central African Republic,central african republic,US ambassadors,,,central african republic;united states,UsAmbassadors,US Ambassador to Central African Republic Tamlyn,,dgm_og_mentioner_v6,119aaccd58777d3de0228047682a2510,dgm_og_mentioner_v6__119aaccd58777d3de0228047682a2510
mmatthewsfcdo,UK Ambassador to Chad,Chad,chad,Ambassadors & Representatives,,,chad;uk,Ambassadors&Representatives,UK Ambassador to Chad,,dgm_og_mentioner_v6,2d31d513051f8f471e54f4ff25991ca6,dgm_og_mentioner_v6__2d31d513051f8f471e54f4ff25991ca6
aasidick,Chadian Foreign Minister Abba-Sidick,Chad,chad,Foreign Minister,,,chad,ForeignMinister,Chadian Foreign Minister Abba-Sidick,,dgm_og_mentioner_v6,d9b51c3738eb3aef4994ace7d23bb79c,dgm_og_mentioner_v6__d9b51c3738eb3aef4994ace7d23bb79c
chadianmfa,Chadian Foreign Ministry,Chad,chad,Foreign Ministry,,,chad,ForeignMinistry,Chadian Foreign Ministry,,dgm_og_mentioner_v6,e59dbe0f70e437bbe8adcf3a19603677,dgm_og_mentioner_v6__e59dbe0f70e437bbe8adcf3a19603677
_marinaros,Israeli Ambassador to Chile,Chile,chile,Ambassadors & Representatives,,,chile;israel,Ambassadors&Representatives,Israeli Ambassador to Chile,,dgm_og_mentioner_v6,6e946e1f199b614170ac8df779bd3d4e,dgm_og_mentioner_v6__6e946e1f199b614170ac8df779bd3d4e
arivaspalacios,Paraguayan Ambassador to Chile,Chile,chile,Ambassadors & Representatives,,,chile;paraguay,Ambassadors&Representatives,Paraguayan Ambassador to Chile,,dgm_og_mentioner_v6,48589b6afe55e8d86e8964767bcf3a87,dgm_og_mentioner_v6__48589b6afe55e8d86e8964767bcf3a87
mricci_it,Italian Ambassador to Chile,Chile,chile,Ambassadors & Representatives,,,chile;italy,Ambassadors&Representatives,Italian Ambassador to Chile,,dgm_og_mentioner_v6,75db9357cf6e1871133bbc87df07590b,dgm_og_mentioner_v6__75db9357cf6e1871133bbc87df07590b
dkambchile,Danish Ambassador to Chile,Chile,chile,Ambassadors & Representatives,,,chile;denmark,Ambassadors&Representatives,Danish Ambassador to Chile,,dgm_og_mentioner_v6,ce18efe10e8f837335e5b85eb9300ee1,dgm_og_mentioner_v6__ce18efe10e8f837335e5b85eb9300ee1
ianduddyuk,UK Ambassador to Chile,Chile,chile,Ambassadors & Representatives,,,chile;united kingdom,Ambassadors&Representatives,UK Ambassador to Chile,,dgm_og_mentioner_v6,8e33cac07fe2d3e1e0255046730e67c1,dgm_og_mentioner_v6__8e33cac07fe2d3e1e0255046730e67c1
maurobattocchi,Italian Ambassador to Chile,Chile,chile,Ambassadors & Representatives,,,chile;italy,Ambassadors&Representatives,Italian Ambassador to Chile,,dgm_og_mentioner_v6,75db9357cf6e1871133bbc87df07590b,dgm_og_mentioner_v6__75db9357cf6e1871133bbc87df07590b
johanvdwerff,Dutch Ambassador to Chile,Chile,chile,Ambassadors & Representatives,,,chile;netherlands,Ambassadors&Representatives,Dutch Ambassador to Chile,,dgm_og_mentioner_v6,cda14eeec59489f71fd49baee43291fd,dgm_og_mentioner_v6__cda14eeec59489f71fd49baee43291fd
louiseadesousa,UK Ambassador to Chile,Chile,chile,Ambassadors & Representatives,,,chile;uk,Ambassadors&Representatives,UK Ambassador to Chile,,dgm_og_mentioner_v6,8e33cac07fe2d3e1e0255046730e67c1,dgm_og_mentioner_v6__8e33cac07fe2d3e1e0255046730e67c1
harmaninchile,Dutch Ambassador to Chile,Chile,chile,Ambassadors & Representatives,,,chile;netherlands,Ambassadors&Representatives,Dutch Ambassador to Chile,,dgm_og_mentioner_v6,cda14eeec59489f71fd49baee43291fd,dgm_og_mentioner_v6__cda14eeec59489f71fd49baee43291fd
allamand,Chilean Foreign Minister Allamand,Chile,chile,Foreign Minister,,,chile,ForeignMinister,Chilean Foreign Minister Allamand,,dgm_og_mentioner_v6,c698e6a4ad108b27ed561ba96e47e17f,dgm_og_mentioner_v6__c698e6a4ad108b27ed561ba96e47e17f
chilemfa,Chilean Foreign Ministry,Chile,chile,Foreign Ministry,,,chile,ForeignMinistry,Chilean Foreign Ministry,,dgm_og_mentioner_v6,cd0c303d6aef490c87141ae552ac8984,dgm_og_mentioner_v6__cd0c303d6aef490c87141ae552ac8984
sebastianpinera,Chilean President Pinera,Chile,chile,Heads of State,,,chile,HeadsOfState,Chilean President Pinera,,dgm_og_mentioner_v6,06c7f23021af885a0e4ca0e2060e53c2,dgm_og_mentioner_v6__06c7f23021af885a0e4ca0e2060e53c2
ambliuguangyuan,Chinese Foreign Ministry Commissioner,China,china,Ambassadors & Representatives,,,china;china,Ambassadors&Representatives,Chinese Foreign Ministry Commissioner,,dgm_og_mentioner_v6,64fdbf79acec66638423ff755f164821,dgm_og_mentioner_v6__64fdbf79acec66638423ff755f164821
consulcubash,Cuban Consul General in China,China,china,Ambassadors & Representatives,,,china;cuba,Ambassadors&Representatives,Cuban Consul General in China,,dgm_og_mentioner_v6,3a3b4e1371b7704f0ee5606b4e6dd317,dgm_og_mentioner_v6__3a3b4e1371b7704f0ee5606b4e6dd317
ambliuxiaoming,Chinese Special Representative on Korean Affairs,China,china,Ambassadors & Representatives,,,china;china,Ambassadors&Representatives,Chinese Special Representative on Korean Affairs,,dgm_og_mentioner_v6,0d624525b21634d923784db7e2a5ccc9,dgm_og_mentioner_v6__0d624525b21634d923784db7e2a5ccc9
cmphcuba,Cuban Ambassador to China,China,china,Ambassadors & Representatives,,,china;cuba,Ambassadors&Representatives,Cuban Ambassador to China,,dgm_og_mentioner_v6,b435849ac4f6522f9a4012a61e529424,dgm_og_mentioner_v6__b435849ac4f6522f9a4012a61e529424
ekaiyamo,Namibian Ambassador to China,China,china,Ambassadors & Representatives,,,china;namibia,Ambassadors&Representatives,Namibian Ambassador to China,,dgm_og_mentioner_v6,ff33a5b05255f8a7be9f8805b531e53e,dgm_og_mentioner_v6__ff33a5b05255f8a7be9f8805b531e53e
pakambchina,Pakistani Ambassador to China,China,china,Ambassadors & Representatives,,,china;pakistan,Ambassadors&Representatives,Pakistani Ambassador to China,,dgm_og_mentioner_v6,25bce05714b0a5f91f942cb5831191ec,dgm_og_mentioner_v6__25bce05714b0a5f91f942cb5831191ec
cscottfcdo,Deputy Head of UK Mission in China,China,china,Ambassadors & Representatives,,,china;uk,Ambassadors&Representatives,Deputy Head of UK Mission in China,,dgm_og_mentioner_v6,15839b318acbefcc90e6a3b4a008aa49,dgm_og_mentioner_v6__15839b318acbefcc90e6a3b4a008aa49
francoisrivest1,Executive Director of Greater China Division at Canadian Foreign Affairs Ministry,China,china,Ambassadors & Representatives,,,china;canada,Ambassadors&Representatives,Executive Director of Greater China Division at Canadian Foreign Affairs Ministry,,dgm_og_mentioner_v6,8efb28259ea5f94fc8293566f61b752a,dgm_og_mentioner_v6__8efb28259ea5f94fc8293566f61b752a
helenasangeland,Swedish Ambassador to China,China,china,Ambassadors & Representatives,,,china;sweden,Ambassadors&Representatives,Swedish Ambassador to China,,dgm_og_mentioner_v6,b69758c79b931fadae1c654f57f2f867,dgm_og_mentioner_v6__b69758c79b931fadae1c654f57f2f867
awalekullane,Somalian Ambassador to China,China,china,Ambassadors & Representatives,,,china;somalia,Ambassadors&Representatives,Somalian Ambassador to China,,dgm_og_mentioner_v6,c8e65ffabfa82b85dcfe5e34d78939ee,dgm_og_mentioner_v6__c8e65ffabfa82b85dcfe5e34d78939ee
teshometoga,Ethiopian Ambassador to China,China,china,Ambassadors & Representatives,,,china;ethiopia,Ambassadors&Representatives,Ethiopian Ambassador to China,,dgm_og_mentioner_v6,8ef4918fa34cd505522a747467a33149,dgm_og_mentioner_v6__8ef4918fa34cd505522a747467a33149
wupeng_mfachina,Chinese Foreign Ministry Africa Department Director,China,china,Diplomat,,,china,Diplomat,Chinese Foreign Ministry Africa Department Director,,dgm_og_mentioner_v6,b2d6c80ff722dc8864c2932228e55ef5,dgm_og_mentioner_v6__b2d6c80ff722dc8864c2932228e55ef5
mfa_china,Chinese Foreign Ministry,China,china,Foreign Ministry,,,china,ForeignMinistry,Chinese Foreign Ministry,,dgm_og_mentioner_v6,b63042c62e8fa6c1a11946f14cb7c2ac,dgm_og_mentioner_v6__b63042c62e8fa6c1a11946f14cb7c2ac
ambcuitiankai,Chinese Ambassador to US,China,china,Host Nation Ambassadors to US,,,china,HostNationAmbassadorsToUs,Chinese Ambassador to US,,dgm_og_mentioner_v6,ca87d803c34ca5be9afa6fb393d3c1e7,dgm_og_mentioner_v6__ca87d803c34ca5be9afa6fb393d3c1e7
chineseembinus,Chinese Embassy in US,China,china,US ambassadors,,,china;united states,UsAmbassadors,Chinese Embassy in US,,dgm_og_mentioner_v6,226564743c654263f00ac79bdb8a7513,dgm_og_mentioner_v6__226564743c654263f00ac79bdb8a7513
faridaloudaya,Moroccan Ambassador to Colombia and Ecuador,Colombia,colombia,Ambassadors & Representatives,,,colombia;morocco,Ambassadors&Representatives,Moroccan Ambassador to Colombia and Ecuador,,dgm_og_mentioner_v6,f244a2024c19402e8607f5bdbce5e0c0,dgm_og_mentioner_v6__f244a2024c19402e8607f5bdbce5e0c0
alemembajador,German Ambassador to Colombia,Colombia,colombia,Ambassadors & Representatives,,,colombia;germany,Ambassadors&Representatives,German Ambassador to Colombia,,dgm_og_mentioner_v6,4c6629e2df0b1d9559b24ac797bcc3ba,dgm_og_mentioner_v6__4c6629e2df0b1d9559b24ac797bcc3ba
llombartpatue,EU Ambassador to Colombia,Colombia,colombia,Ambassadors & Representatives,,,colombia;spain,Ambassadors&Representatives,EU Ambassador to Colombia,,dgm_og_mentioner_v6,70322c4010111655ff1925a775bd8d0e,dgm_og_mentioner_v6__70322c4010111655ff1925a775bd8d0e
marcel_lebleu,Canadian Ambassador to Colombia,Colombia,colombia,Ambassadors & Representatives,,,colombia;canada,Ambassadors&Representatives,Canadian Ambassador to Colombia,,dgm_og_mentioner_v6,14124959ea8d4a55fd280674791548c3,dgm_og_mentioner_v6__14124959ea8d4a55fd280674791548c3
dkambcolombia,Danish Ambassador to Colombia,Colombia,colombia,Ambassadors & Representatives,,,colombia;denmark,Ambassadors&Representatives,Danish Ambassador to Colombia,,dgm_og_mentioner_v6,c2da90135396c4c560b19d44145417ab,dgm_og_mentioner_v6__c2da90135396c4c560b19d44145417ab
claudiablumc,Colombian Foreign Minister Blum,Colombia,colombia,Foreign Minister,,,colombia,ForeignMinister,Colombian Foreign Minister Blum,,dgm_og_mentioner_v6,eaad5e6a13be52c484fbb94dfb26c9e6,dgm_og_mentioner_v6__eaad5e6a13be52c484fbb94dfb26c9e6
cancilleriacol,Colombian Foreign Ministry,Colombia,colombia,Foreign Ministry,,,colombia,ForeignMinistry,Colombian Foreign Ministry,,dgm_og_mentioner_v6,d846254c3c847ddbe8ec0933ccff7b77,dgm_og_mentioner_v6__d846254c3c847ddbe8ec0933ccff7b77
ivanduque,Colombian President Duque,colombia,colombia,Heads of State,,,colombia,HeadsOfState,Colombian President Duque,,dgm_og_mentioner_v6,af65c7cf10ad7bb5361ecbc376c0bdfe,dgm_og_mentioner_v6__af65c7cf10ad7bb5361ecbc376c0bdfe
pachosantosc,Colombian Ambassador to US,Colombia,colombia,Host Nation Ambassadors to US,,,colombia,HostNationAmbassadorsToUs,Colombian Ambassador to US,,dgm_og_mentioner_v6,e411fd01dc3b11aadde9c5b6c6a70602,dgm_og_mentioner_v6__e411fd01dc3b11aadde9c5b6c6a70602
maecidiplomatie,Comorian Foreign Ministry,Comoros,comoros,Foreign Ministry,,,comoros,ForeignMinistry,Comorian Foreign Ministry,,dgm_og_mentioner_v6,bb3e773ad12bcdc2e4e4924010ad9db9,dgm_og_mentioner_v6__bb3e773ad12bcdc2e4e4924010ad9db9
usambcomoros,US Ambassador to Comoros Pelletier,Comoros,comoros,US ambassadors,,,comoros;united states,UsAmbassadors,US Ambassador to Comoros Pelletier,,dgm_og_mentioner_v6,ddaa2fe52b27c8c7b63aa4eb71459134,dgm_og_mentioner_v6__ddaa2fe52b27c8c7b63aa4eb71459134
jeanlucdelvert,French Consul General in Republic of Congo,Congo,congo,Ambassadors & Representatives,,,congo;france,Ambassadors&Representatives,French Consul General in Republic of Congo,,dgm_og_mentioner_v6,8708dfbf56e98740456855e17ee3967c,dgm_og_mentioner_v6__8708dfbf56e98740456855e17ee3967c
diplomatierdc,Congolese Foreign Ministry,Congo,congo,Foreign Ministry,,,congo,ForeignMinistry,Congolese Foreign Ministry,,dgm_og_mentioner_v6,ef3c310b27541f1da9181471ffd00881,dgm_og_mentioner_v6__ef3c310b27541f1da9181471ffd00881
amborenbarel,Israeli Ambassador to Costa Rica,Costa Rica,costa rica,Ambassadors & Representatives,,,costa rica;israel,Ambassadors&Representatives,Israeli Ambassador to Costa Rica,,dgm_og_mentioner_v6,d961fa5cece15f0e40d870d6eaa7bb7c,dgm_og_mentioner_v6__d961fa5cece15f0e40d870d6eaa7bb7c
antoniacalvoeu,EU Ambassador to Costa Rica,Costa Rica,costa rica,Ambassadors & Representatives,,,costa rica;eu,Ambassadors&Representatives,EU Ambassador to Costa Rica,,dgm_og_mentioner_v6,9fce1901f9d3b24057a91ff554d26116,dgm_og_mentioner_v6__9fce1901f9d3b24057a91ff554d26116
jkhillcda,Canadian Ambassador to Costa Rica,Costa Rica,costa rica,Ambassadors & Representatives,,,costa rica;canada,Ambassadors&Representatives,Canadian Ambassador to Costa Rica,,dgm_og_mentioner_v6,f55a2c7ff16a62772507deb00d6287ba,dgm_og_mentioner_v6__f55a2c7ff16a62772507deb00d6287ba
crcancilleria,Costa Rican Foreign Ministry,Costa Rica,costa rica,Foreign Ministry,,,costa rica,ForeignMinistry,Costa Rican Foreign Ministry,,dgm_og_mentioner_v6,b637fe7cd2ff22f9971be5b14c51ef80,dgm_og_mentioner_v6__b637fe7cd2ff22f9971be5b14c51ef80
carlosalvq,Costa Rican President Quesada,Costa Rica,costa rica,Heads of State,,,costa rica,HeadsOfState,Costa Rican President Quesada,,dgm_og_mentioner_v6,762b15ca19f1d18013b8ca4b028c9aaa,dgm_og_mentioner_v6__762b15ca19f1d18013b8ca4b028c9aaa
fllork,Costa Rican Ambassador to US,Costa Rica,costa rica,Host Nation Ambassadors to US,,,costa rica,HostNationAmbassadorsToUs,Costa Rican Ambassador to US,,dgm_og_mentioner_v6,aebed4073e275e4ba93004f70a42f1e6,dgm_og_mentioner_v6__aebed4073e275e4ba93004f70a42f1e6
usambassadorcr,US Ambassador to Costa Rica Berbena,Costa Rica,costa rica,US ambassadors,,,costa rica;united states,UsAmbassadors,US Ambassador to Costa Rica Berbena,,dgm_og_mentioner_v6,959ee183099fef3bb43b8bc3eaa0e639,dgm_og_mentioner_v6__959ee183099fef3bb43b8bc3eaa0e639
belgiumabidjan,Belgian Ambassador to Cote d'Ivoire,Cote d'Ivoire,cote d'ivoire,Ambassadors & Representatives,,,cote d'ivoire;belgium,Ambassadors&Representatives,Belgian Ambassador to Cote d'Ivoire,,dgm_og_mentioner_v6,28e2210fb3c2eb2f36564f4d576e4c44,dgm_og_mentioner_v6__28e2210fb3c2eb2f36564f4d576e4c44
binkhadaan,Saudi Ambassador to Cote d'Ivoire,Cote d'Ivoire,cote d'ivoire,Ambassadors & Representatives,,,cote d'ivoire;saudi arabia,Ambassadors&Representatives,Saudi Ambassador to Cote d'Ivoire,,dgm_og_mentioner_v6,ec6daaddf4fcf62f52d56907564fe461,dgm_og_mentioner_v6__ec6daaddf4fcf62f52d56907564fe461
allycoulibaly,Cote d'Ivoire Foreign Minister Coulibaly,Cote d'Ivoire,cote d'ivoire,Foreign Minister,,,cote d'ivoire,ForeignMinister,Cote d'Ivoire Foreign Minister Coulibaly,,dgm_og_mentioner_v6,2fbb476412c64d3d970c1b363bc30915,dgm_og_mentioner_v6__2fbb476412c64d3d970c1b363bc30915
amadougon,Cote d'Ivoire Prime Minister Coulibaly,Côte d'Ivoire,côte d'ivoire,Heads of State,,,côte d'ivoire,HeadsOfState,Cote d'Ivoire Prime Minister Coulibaly,,dgm_og_mentioner_v6,1e9bfa3c24b402ff68ad8fefadca5414,dgm_og_mentioner_v6__1e9bfa3c24b402ff68ad8fefadca5414
presidenceci,Cote d'Ivoire President Ouattara,cote d’ivoire,cote d’ivoire,Heads of State,,,cote d’ivoire,HeadsOfState,Cote d'Ivoire President Ouattara,,dgm_og_mentioner_v6,52dbbfb6dff43043b4e82381675c4d13,dgm_og_mentioner_v6__52dbbfb6dff43043b4e82381675c4d13
haidarama,Cote d'Ivoire Ambassador to US,Cote d’Ivoire,cote d’ivoire,Host Nation Ambassadors to US,,,cote d’ivoire,HostNationAmbassadorsToUs,Cote d'Ivoire Ambassador to US,,dgm_og_mentioner_v6,bcb23f93f6de67f288089abde8f7f8d4,dgm_og_mentioner_v6__bcb23f93f6de67f288089abde8f7f8d4
petersusko1,Slovakian Ambassador to Croatia,Croatia,croatia,Ambassadors & Representatives,,,croatia;slovakia,Ambassadors&Representatives,Slovakian Ambassador to Croatia,,dgm_og_mentioner_v6,96bdd23219342f93f37cc8a1f0854a25,dgm_og_mentioner_v6__96bdd23219342f93f37cc8a1f0854a25
dkambcroatia,Danish Ambassador to Croatia,Croatia,croatia,Ambassadors & Representatives,,,croatia;denmark,Ambassadors&Representatives,Danish Ambassador to Croatia,,dgm_og_mentioner_v6,819cc8a9954e4990b2ca18f2d8019970,dgm_og_mentioner_v6__819cc8a9954e4990b2ca18f2d8019970
usambcroatia,US Deputy Ambassador to Croatia,Croatia,croatia,Ambassadors & Representatives,,,croatia;united states,Ambassadors&Representatives,US Deputy Ambassador to Croatia,,dgm_og_mentioner_v6,6423b08f1a6d96f80fe4ba9f84f2a2c3,dgm_og_mentioner_v6__6423b08f1a6d96f80fe4ba9f84f2a2c3
ambassadormor,Israeli Ambassador to Croatia,Croatia,croatia,Ambassadors & Representatives,,,croatia;israel,Ambassadors&Representatives,Israeli Ambassador to Croatia,,dgm_og_mentioner_v6,2164d3401a4c8e304ae5ab81d3b007d2,dgm_og_mentioner_v6__2164d3401a4c8e304ae5ab81d3b007d2
a_dalgleish,British Ambassador to Croatia,Croatia,croatia,Ambassadors & Representatives,,,croatia;united kingdom,Ambassadors&Representatives,British Ambassador to Croatia,,dgm_og_mentioner_v6,e275b0e5f3dc6f5cda09bc93010fdce8,dgm_og_mentioner_v6__e275b0e5f3dc6f5cda09bc93010fdce8
ognianzlatev,European Commission Representative to Croatia,Croatia,croatia,Ambassadors & Representatives,,,croatia;croatia,Ambassadors&Representatives,European Commission Representative to Croatia,,dgm_og_mentioner_v6,9296273aebaa4d4fd10a60f4e380bc7d,dgm_og_mentioner_v6__9296273aebaa4d4fd10a60f4e380bc7d
grlicradman,Croatian Foreign Minister Radman,Croatia,croatia,Foreign Minister,,,croatia,ForeignMinister,Croatian Foreign Minister Radman,,dgm_og_mentioner_v6,274579c52e6593fe2ea6c8d67bf0e0aa,dgm_og_mentioner_v6__274579c52e6593fe2ea6c8d67bf0e0aa
mvep_hr,Croatian Foreign Ministry,Croatia,croatia,Foreign Ministry,,,croatia,ForeignMinistry,Croatian Foreign Ministry,,dgm_og_mentioner_v6,c252378b405bed9975d65c87229e2c02,dgm_og_mentioner_v6__c252378b405bed9975d65c87229e2c02
kolindagk,Coratian President Grabar-Kitarovic,croatia,croatia,Heads of State,,,croatia,HeadsOfState,Coratian President Grabar-Kitarovic,,dgm_og_mentioner_v6,6738278bbc9738bdbc8b3465063cfd3f,dgm_og_mentioner_v6__6738278bbc9738bdbc8b3465063cfd3f
usambcroatia,US Ambassador to Croatia Fleming,Croatia,croatia,US ambassadors,,,croatia;united states,UsAmbassadors,US Ambassador to Croatia Fleming,,dgm_og_mentioner_v6,96f82f77a1f64216f488e15ab132ff13,dgm_og_mentioner_v6__96f82f77a1f64216f488e15ab132ff13
bshagdar,Mongolian Ambassador to Cuba,Cuba,cuba,Ambassadors & Representatives,,,cuba;mongolia,Ambassadors&Representatives,Mongolian Ambassador to Cuba,,dgm_og_mentioner_v6,48b8a00ea6c4ac84241eb7587727bc15,dgm_og_mentioner_v6__48b8a00ea6c4ac84241eb7587727bc15
annieloubunz,Belizean Ambassador to Cuba,Cuba,cuba,Ambassadors & Representatives,,,cuba;belize,Ambassadors&Representatives,Belizean Ambassador to Cuba,,dgm_og_mentioner_v6,f0200ce1918c0d8cd1992b59d84f20e7,dgm_og_mentioner_v6__f0200ce1918c0d8cd1992b59d84f20e7
embantony,UK Ambassador to Cuba,Cuba,cuba,Ambassadors & Representatives,,,cuba;united kingdom,Ambassadors&Representatives,UK Ambassador to Cuba,,dgm_og_mentioner_v6,b9630007329e773f40b8d7fa2aadff8a,dgm_og_mentioner_v6__b9630007329e773f40b8d7fa2aadff8a
rvellano,Italian Ambassador to Cuba,Cuba,cuba,Ambassadors & Representatives,,,cuba;italy,Ambassadors&Representatives,Italian Ambassador to Cuba,,dgm_og_mentioner_v6,0f1e82823646a17484832b0166a75298,dgm_og_mentioner_v6__0f1e82823646a17484832b0166a75298
brunorguezp,Cuban Foreign Minister Rodriguez,Cuba,cuba,Foreign Minister,,,cuba,ForeignMinister,Cuban Foreign Minister Rodriguez,,dgm_og_mentioner_v6,04804f4ba5a62455b6133216ece1ccb8,dgm_og_mentioner_v6__04804f4ba5a62455b6133216ece1ccb8
cubaminrex,Cuban Foreign Ministry,Cuba,cuba,Foreign Ministry,,,cuba,ForeignMinistry,Cuban Foreign Ministry,,dgm_og_mentioner_v6,42e94ef627c373c2e68af30b9f467c5c,dgm_og_mentioner_v6__42e94ef627c373c2e68af30b9f467c5c
