keyword,caption_name,topic_id,groups,location,guid,.1,.2,.3,.4,apple suppliers,.5,.6,.7,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
维萨,Visa,188278,,,acab4e59bb18181324d348ea9feb9ddc,,n,,1,,,,2,Pipeline,Visa,,dgm_weibo_crisk_mentionee,50af4e2ef42fd2c6e36e3511d1a2d8d7,dgm_weibo_crisk_mentionee__89fc0d6fe12b0e0c1af5c7a0373435a6
惠好公司,Weyerhaeuser,188278,,,ae1c699abcd9aa394e346e9bb2c1d470,,#N/A,,1,,,,4,FTO,Weyerhaeuser,,dgm_weibo_crisk_mentionee,113ab6ca7a9de80defb4cb026fa270ed,dgm_weibo_crisk_mentionee__445b95b36ec9218b61e0474ca590921c
万科,China Vanke,188278,,,ae9c3a7a75812ae72ec8589d6adc1b78,,,,0,,,,2,Keyphrase,China Vanke,,dgm_weibo_crisk_mentionee,0a4624907f0b7110fe64935ee9f7b3fb,dgm_weibo_crisk_mentionee__ce36f801f3dc301a55d46273562ebc19
优步,Uber,188278,,,c0f40627427dacd06ff9438863c83be7,,n,,0,,,,2,ForeignMinister,Uber,,dgm_weibo_crisk_mentionee,6725650d72e99ab5c7aadbf8be3cf117,dgm_weibo_crisk_mentionee__af00a7270cc3dc7b1bfd41fdb533f6e0
蒙牛,China Mengniu Dairy,188278,,,c9750f4c14dd04730042fe2f8edb843e,,,,0,,,,2,FTO,China Mengniu Dairy,,dgm_weibo_crisk_mentionee,6fbcdbaabbfca9c511b801285f621dc0,dgm_weibo_crisk_mentionee__d74fa039dd86e49a555da1e3f5b2d38e
贝宝,PayPal,188278,,,cb5aa0e62a22c02eea509f4ed369f97e,,n,,0,,,,2,Consulates,PayPal,,dgm_weibo_crisk_mentionee,e9a5f3a433326321b1228d0324e90d05,dgm_weibo_crisk_mentionee__ad69e733ebae8d264bccaa38d68830e8
霍利,HollyFrontier,188278,,,d211b5de6dc1ff4f99e6c496f1af37ff,,n,,1,,,,2,CompanyKeyword,HollyFrontier,,dgm_weibo_crisk_mentionee,28e91f04a1b2a683b8a63d0164af2808,dgm_weibo_crisk_mentionee__4a41b7b28a3b245cac7cbb30ca40ea8d
农行,Agricultural Bank of China,188278,,,d35a51746b7b3b9cda51de9371b3691d,,,,0,,,,2,Organization,Agricultural Bank of China,,dgm_weibo_crisk_mentionee,52602af78c4670ef7d362bc191f22f16,dgm_weibo_crisk_mentionee__1e1f5e8c914a37d7c3bd6af20ec45a12
信诺,Cigna,188278,,,d771f74a295f7ea102248b87e1e0ebd3,,n,,0,,,,2,FTO,Cigna,,dgm_weibo_crisk_mentionee,38227daba5d7778107eb006f01607b0d,dgm_weibo_crisk_mentionee__001f86414b79058a6ab09340d8f86dfe
盖璞,Gap,188278,,,daef6dfb678d3400a5a397629c7b8f98,,n,,1,,,,2,Pipeline,Gap,,dgm_weibo_crisk_mentionee,2b1527075cdee8e299f8808e6c2e0f48,dgm_weibo_crisk_mentionee__466b98ca0f38bd8bf2260246c91f6882
百度,Baidu,188278,,,e124818c3e704f0866b798552089cd98,y,#N/A,,0,,Chinese company Baidu,,2,News,Baidu,,dgm_weibo_crisk_mentionee,3a2f7fca93f71b5936bf1c463f6ce651,dgm_weibo_crisk_mentionee__d36e219e608d6f9aa15b1e42081689fa
加航,Air Canada,188278,,,e2437347300ecc96b6855502ea951918,,n,,,,,,2,Pipeline,Air Canada,,dgm_weibo_crisk_mentionee,888feeacc02d5a807804d41fd013ed64,dgm_weibo_crisk_mentionee__76a25b8511a5f39c1bdc761f65636e4b
波音,Boeing,188278,,,fa7be71100c59377ed582e21587318d6,,n,,2,,,,2,FTO,Boeing,,dgm_weibo_crisk_mentionee,5cdfc08633e8f7e6855d4a4f90020ed3,dgm_weibo_crisk_mentionee__44787ee9ad7082c7e379356589456000
鞍钢,Angang Steel,188278,,,,Chinese company,Chinese company Angang Steel,,0,,,,2,Shipping,Angang Steel,,dgm_weibo_crisk_mentionee,f1d64034d8bf9be75e68ac9373f8312d,dgm_weibo_crisk_mentionee__b3961922c0266910713ba115e60bbd21
万达,Dalian Wanda Group,188278,,,,Chinese company,Chinese company Dalian Wanda Group,,,,,,2,Refinery,Dalian Wanda Group,,dgm_weibo_crisk_mentionee,eaf91716b2eb55f8e08c45379f3dc462,dgm_weibo_crisk_mentionee__c20ccce1f50828fc5640f749434e6edc
歌尔,Goertek,188278,,,,Chinese company,Chinese company Goertek,,0,,,,2,Organization,Goertek,,dgm_weibo_crisk_mentionee,ad100632235da6f1bb373fd1b6e9c311,dgm_weibo_crisk_mentionee__1248b8327f9e7216fb1ab5f1a5a17b8b
河钢,Hegang,188278,,,,Chinese company,Chinese company Hegang,,0,,,,2,Diplomat,Hegang,,dgm_weibo_crisk_mentionee,163aa312ce0f9f308b9d5a69c00e0ab1,dgm_weibo_crisk_mentionee__a935ac852ec48bb5c94c189746641033
双汇,Henan Shuanghui Investment Development,188278,,,,Chinese company,Chinese company Henan Shuanghui Investment Development,,0,,,,2,FTO,Henan Shuanghui Investment Development,,dgm_weibo_crisk_mentionee,51ffbba03152b0e21cf1cae9a485fcd3,dgm_weibo_crisk_mentionee__69cd53f70ba057f41ec52eecb66be541
美团,Meituan,188278,,,,Chinese company,Chinese company Meituan,,0,,,,2,Organization,Meituan,,dgm_weibo_crisk_mentionee,97554836a811027a694a5bc633d1cebf,dgm_weibo_crisk_mentionee__32ccf1bc926080751f38e4fa2dc92657
申能,Shenergy,188278,,,,Chinese company,Chinese company Shenergy,,0,,,,2,CompanyKeyword,Shenergy,,dgm_weibo_crisk_mentionee,d33c472499c91b0d57e176cb711e8daa,dgm_weibo_crisk_mentionee__2724da987eb6761ed1b567a97f1b6cb7
创维,Skyworth Group,188278,,,,Chinese company,Chinese company Skyworth Group,,0,,,,2,CompanyKeyword,Skyworth Group,,dgm_weibo_crisk_mentionee,544e0fb21ccf9c8f20393f1ec9ec8fc3,dgm_weibo_crisk_mentionee__65e45cdccdf2d65604868b877acc9d19
紫光,Unisplendour,188278,,,,Chinese company,Chinese company Unisplendour,,0,,,,2,Pipeline,Unisplendour,,dgm_weibo_crisk_mentionee,aeacc31c0a8ddfdd0fe6c730c228ca44,dgm_weibo_crisk_mentionee__d85a9e15022a8917ecfdbd37a74ad075
金宝汤,Campbell Soup,188278,,,0980d1bd78bcef419b0db75f63304c5b,,n,,1,,,,3,ForeignMinister,Campbell Soup,,dgm_weibo_crisk_mentionee,8963ae657bcd3dfb47381a3d35078dcb,dgm_weibo_crisk_mentionee__fcc27aa07d115a20d35be74dbd2e88a9
bmc,BMC,188278,,,09c7363f4201d96ad060d555c40cc1e9,,n,,,,,,3,space,BMC,,dgm_weibo_crisk_mentionee,4e0270e9a6f83a1c0a4ba24af0a0d4fb,dgm_weibo_crisk_mentionee__396262ee936f3d3e26ff0e60bea6cae0
房利美,Fannie Mae,188278,,,0a38a68d321bb5bc1561ff025d61f571,,n,,1,,,,3,News,Fannie Mae,,dgm_weibo_crisk_mentionee,f154c08badb9552060cb4a6442135bb4,dgm_weibo_crisk_mentionee__49016693e432f70f8e8de8490cb9ba5f
戴姆勒,Daimler,188278,,,15b3b39434e24514040c575fdecb4a7e,,n,,1,,,,3,Media,Daimler,,dgm_weibo_crisk_mentionee,55222693f18cdb4110f4f6cf56341f1d,dgm_weibo_crisk_mentionee__ab1ebc1de72d369a2f6b7867862d58a2
msc,MSC,188278,,,1859ca5b073e6c79fdd7973db99c796d,,n,,,,,,3,ForeignMinistry,MSC,,dgm_weibo_crisk_mentionee,71843ff9542a852ab810f3cd32402ffc,dgm_weibo_crisk_mentionee__d6d3f15d5bf6480c19b6205bc27dccc3
汉瑞祥,Henry Schein,188278,,,1c7f53abe31309e953fda92e6b447b3b,,n,,1,,,,3,CompanyKeyword,Henry Schein,,dgm_weibo_crisk_mentionee,6e378c0587d4cf4aae1198d882a853da,dgm_weibo_crisk_mentionee__f3bd45847c77505c55b0eadd26bb8cf4
开市客,Costco,188278,,,22ba78a74cd3946c02c4bb9921dd2d67,,n,,0,,,,3,Shipping,Costco,,dgm_weibo_crisk_mentionee,44dadbc169776f3b076dac37a296c86d,dgm_weibo_crisk_mentionee__c0a3f22addef6fc63b636ff479566862
车美仕,CarMax,188278,,,2898bafb6696fc4a3c911a061ea588a5,,n,,0,,,,3,AAEntity,CarMax,,dgm_weibo_crisk_mentionee,cdcdd090d24c5f8b42ba59e3802ec25b,dgm_weibo_crisk_mentionee__e933190457a87c8e8bfab8f09fc4e2b3
必乐透,Big Lots,188278,,,28d88a4eec74c3f84900254f454d6c06,,n,,1,,,,3,Consulates,Big Lots,,dgm_weibo_crisk_mentionee,be8efe70d2b02a212c73420bc925a095,dgm_weibo_crisk_mentionee__ff506cb6ab66feb1ea5dac754b9fe8e1
道达尔,TotalEnergies,188278,,,29d6c4447586ecf5ce4be918e9921324,,n,,1,,,,3,Diplomat,TotalEnergies,,dgm_weibo_crisk_mentionee,c43889c55299b9f03a30600df490eec6,dgm_weibo_crisk_mentionee__bce9c31e12097fb7a89eef522af3f0a5
苹果店,Apple,188278,,,2adac6e9b077021a8c4e5de1a3aa057b,,#N/A,,1,,,,3,News,Apple,,dgm_weibo_crisk_mentionee,76e2670ef319a0b6fe2722951a9e5151,dgm_weibo_crisk_mentionee__9f6290f4436e5a2351f12e03b6433c3c
aig,AIG,188278,,,2d443968d5d9c9665e5755709346d6b9,,n,,,,,,3,Keyphrase,AIG,,dgm_weibo_crisk_mentionee,d10294488e990657554740a72826283b,dgm_weibo_crisk_mentionee__0036410956c8428ae91c6092045edb5f
中石化,state-owned company Sinopec,188121;188278,,,2e97d04251a30ee94a4237bab2fe9595,y,,,,,,,3,DiplomaticFacilities,state-owned company Sinopec,,dgm_weibo_crisk_mentionee,961d4d258bad5e80a6b9fbee3ff50eff,dgm_weibo_crisk_mentionee__08168f538605b8d84f5b5304e4389454
房地美,Freddie Mac,188278,,,2f73a63fa56565bb8209179dfe056f48,,n,,1,,,,3,Diplomat,Freddie Mac,,dgm_weibo_crisk_mentionee,ce426f6d89b21b0724cda5694d5a33cf,dgm_weibo_crisk_mentionee__99fc3471b2182beaebe91a3f43131979
天纳克,Tenneco,188278,,,3147a80115d430468d8fa17281045bc5,,n,,1,,,,3,ForeignMinistry,Tenneco,,dgm_weibo_crisk_mentionee,56f2ae2564192b9ce1f021055fc350b0,dgm_weibo_crisk_mentionee__52d12158115cbc027edce57133536c48
亚马逊,Amazon,188278,,,32ec5fc746a720416749e18927068772,,#N/A,,2,,,,3,Media,Amazon,,dgm_weibo_crisk_mentionee,b63846954b27b9139a2cd4c51e3629a8,dgm_weibo_crisk_mentionee__b3b3a6ac74ecbd56bcdbefa4799fb9df
aws,Amazon Web Services,188278,,,32ec5fc746a720416749e18927068772,,n,,,,,,3,Legislator,Amazon Web Services,,dgm_weibo_crisk_mentionee,093976bd22991e6d65dca91e8edf67d8,dgm_weibo_crisk_mentionee__6beccc67ff905f7da0b29dece26b0485
沃尔玛,Walmart,188278,,,343b1f841f2758ce00d11e5b07c3a2e9,,n,,4,,,,3,Legislator,Walmart,,dgm_weibo_crisk_mentionee,a440756addf29dce37af6853c1da9db6,dgm_weibo_crisk_mentionee__f1c768f1973bd404670d81a991ee6105
莱多斯,Leidos,188278,,,35dc6a4ae7eafabfc7f83b96160c3ca4,,n,,0,,,,3,IndustryTerm,Leidos,,dgm_weibo_crisk_mentionee,6275ec517ff80ee74d7ed1b4c00be296,dgm_weibo_crisk_mentionee__a037fdd7c89237d1e8378e4474d2bfa1
英伟达,Nvidia,188278,,,3726d07b4ac6b2c2b4d9812a7b7a31b5,,n,,0,,,,3,Person,Nvidia,,dgm_weibo_crisk_mentionee,2558f73e1969a512d821aa5eb3b41d18,dgm_weibo_crisk_mentionee__2a21e2561359ebf2fb2d634ee7837a8e
台积电,Taiwan Semiconductor Manufacturing Company,188278,,,3ad6bdc84f84f4c8f5a601b8b0e07dcf,,,,,,,,3,Diplomat,Taiwan Semiconductor Manufacturing Company,,dgm_weibo_crisk_mentionee,d570ae629dcc86aaa647ec4e088d1955,dgm_weibo_crisk_mentionee__31b05270ba6e717d72ceed6a45179bf5
