german_text,caption_text,lat,lon,ranking,default location,default_lon,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
privatweg,"Privatweg in Bautzen, Germany",51.1654226,14.4429566,1,,,,space,"Privatweg in Bautzen, Germany",,german_fires_bautzen_locations,c5eb552e14a4b4333240e6bd3adfd015,german_fires_bautzen_locations__c5eb552e14a4b4333240e6bd3adfd015
purschwitzer str.,"Purschwitzer Strasse in Bautzen, Germany",51.1929946,14.4828985,1,,,,LegislativeCommittee,"Purschwitzer Strasse in Bautzen, Germany",,german_fires_bautzen_locations,cad6fab0b67f17c57dce50ebb7bb8c88,german_fires_bautzen_locations__cad6fab0b67f17c57dce50ebb7bb8c88
rabitzer str.,"Rabitzer Strasse in Bautzen, Germany",51.1665658,14.478528,1,,,,Media,"Rabitzer Strasse in Bautzen, Germany",,german_fires_bautzen_locations,b8feef92d39d41dbb8f373defed4fc1f,german_fires_bautzen_locations__b8feef92d39d41dbb8f373defed4fc1f
rathenauplatz,"Rathenauplatz in Bautzen, Germany",51.1739837,14.4294155,1,,,,DiplomaticFacilities,"Rathenauplatz in Bautzen, Germany",,german_fires_bautzen_locations,d7b09040bb4ca77e01989ac246100e1f,german_fires_bautzen_locations__d7b09040bb4ca77e01989ac246100e1f
rattwitzer str.,"Rattwitzer Strasse in Bautzen, Germany",51.182527,14.3840133,1,,,,News,"Rattwitzer Strasse in Bautzen, Germany",,german_fires_bautzen_locations,c9b712d3b295a32356d68e635b219fa4,german_fires_bautzen_locations__c9b712d3b295a32356d68e635b219fa4
reichenstr.,"Reichenstrasse in Bautzen, Germany",51.181166,14.4261669,1,,,,space,"Reichenstrasse in Bautzen, Germany",,german_fires_bautzen_locations,246b6d30e50afe1a3bcd342f4f186fc2,german_fires_bautzen_locations__246b6d30e50afe1a3bcd342f4f186fc2
renatusstr.,"Renatusstrasse in Bautzen, Germany",51.174137,14.4432283,1,,,,FTO,"Renatusstrasse in Bautzen, Germany",,german_fires_bautzen_locations,ea99ec4fd44ea6f637b7c975cf3012bf,german_fires_bautzen_locations__ea99ec4fd44ea6f637b7c975cf3012bf
ricarda-huch-str.,"Ricarda-Huch-Strasse in Bautzen, Germany",51.1720728,14.4259208,1,,,,LegislativeCommittee,"Ricarda-Huch-Strasse in Bautzen, Germany",,german_fires_bautzen_locations,407609bc8bbab8ed361f9ee0c4c8d2b3,german_fires_bautzen_locations__407609bc8bbab8ed361f9ee0c4c8d2b3
richard-wagner-str.,"Richard-Wagner-Strasse in Bautzen, Germany",51.1767758,14.4514653,1,,,,IndustryTerm,"Richard-Wagner-Strasse in Bautzen, Germany",,german_fires_bautzen_locations,3701c1683c75638b092e897c672e4959,german_fires_bautzen_locations__3701c1683c75638b092e897c672e4959
rietschelstr.,"Rietschelstrasse in Bautzen, Germany",51.1930155,14.4367567,1,,,,Diplomat,"Rietschelstrasse in Bautzen, Germany",,german_fires_bautzen_locations,2596a1b5f3ea935e11dbcea67e46e714,german_fires_bautzen_locations__2596a1b5f3ea935e11dbcea67e46e714
