keyword,caption_name,topic_id,type,groups,guid,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#shell canada,Shell,188162;188132,company keyword,shell;shell canada,a84d5d4f0b197b952d5e20e9f4af2165,CompanyKeyword,Shell,,og_mentionee_headsofstate,19279268f5f7310a058e941641e7768e,og_mentionee_headsofstate__19279268f5f7310a058e941641e7768e
#shell germany,Shell,188162;188132,company keyword,shell;shell germany,a84d5d4f0b197b952d5e20e9f4af2165,CompanyKeyword,Shell,,og_mentionee_headsofstate,ec701bc16a90818c5643c7a79059bfb9,og_mentionee_headsofstate__ec701bc16a90818c5643c7a79059bfb9
#shell india,Shell,188162;188132,company keyword,shell;shell india,a84d5d4f0b197b952d5e20e9f4af2165,CompanyKeyword,Shell,,og_mentionee_headsofstate,3de365055adce51392f3f628ea0546a6,og_mentionee_headsofstate__3de365055adce51392f3f628ea0546a6
#shell natural gas,Shell,188162;188132,company keyword,shell;shell natural gas,a84d5d4f0b197b952d5e20e9f4af2165,CompanyKeyword,Shell,,og_mentionee_headsofstate,7a0e538ae5a41730d373e37d8d9d524f,og_mentionee_headsofstate__7a0e538ae5a41730d373e37d8d9d524f
#shell nigeria,Shell,188162;188132,company keyword,shell;shell nigeria,a84d5d4f0b197b952d5e20e9f4af2165,CompanyKeyword,Shell,,og_mentionee_headsofstate,98e00008b576296fc201f5183c600a22,og_mentionee_headsofstate__98e00008b576296fc201f5183c600a22
#shell oil,Shell,188162;188132,company keyword,shell;shell oil,a84d5d4f0b197b952d5e20e9f4af2165,CompanyKeyword,Shell,,og_mentionee_headsofstate,e3c1fcd70fe2b6a57fa3deda683e24cb,og_mentionee_headsofstate__e3c1fcd70fe2b6a57fa3deda683e24cb
#shell oman,Shell,188162;188132,company keyword,shell;shell oman,a84d5d4f0b197b952d5e20e9f4af2165,CompanyKeyword,Shell,,og_mentionee_headsofstate,1b0b3511c61546ebce31e50af36802a2,og_mentionee_headsofstate__1b0b3511c61546ebce31e50af36802a2
#shell qatar,Shell,188162;188132,company keyword,shell;shell qatar,a84d5d4f0b197b952d5e20e9f4af2165,CompanyKeyword,Shell,,og_mentionee_headsofstate,c0b27bab1ce6c9665e80bc3996d62046,og_mentionee_headsofstate__c0b27bab1ce6c9665e80bc3996d62046
#shell stations uk,Shell,188162;188132,company keyword,shell;shell stations uk,a84d5d4f0b197b952d5e20e9f4af2165,CompanyKeyword,Shell,,og_mentionee_headsofstate,50df568e7389c2821d832f3692ca2230,og_mentionee_headsofstate__50df568e7389c2821d832f3692ca2230
#shell stations us,Shell,188162;188132,company keyword,shell;shell stations us,a84d5d4f0b197b952d5e20e9f4af2165,CompanyKeyword,Shell,,og_mentionee_headsofstate,f11c2e82a000487160b8c8543f7abadc,og_mentionee_headsofstate__f11c2e82a000487160b8c8543f7abadc
#shell uk,Shell,188162;188132,company keyword,shell;shell uk,a84d5d4f0b197b952d5e20e9f4af2165,CompanyKeyword,Shell,,og_mentionee_headsofstate,a8357290c772ca6f2dd957f7399f7114,og_mentionee_headsofstate__a8357290c772ca6f2dd957f7399f7114
#shell us,Shell,188162;188132,company keyword,shell;shell us,a84d5d4f0b197b952d5e20e9f4af2165,CompanyKeyword,Shell,,og_mentionee_headsofstate,5a3963b599ed554d0c38924ed4593a41,og_mentionee_headsofstate__5a3963b599ed554d0c38924ed4593a41
#shenergy,Chinese state-owned energy company Shenergy Group,188162;188132;188121,company keyword,shenergy group;shenergy,,CompanyKeyword,Chinese state-owned energy company Shenergy Group,,og_mentionee_headsofstate,4fc72410485b5e1f4f32857ff68b18f8,og_mentionee_headsofstate__4fc72410485b5e1f4f32857ff68b18f8
#sibneft,Russian state-owned natural gas company Gazprom,188162;188132;188121,company keyword,gazprom neft;sibneft,36ae858d2c51f702249b83e61e279632,CompanyKeyword,Russian state-owned natural gas company Gazprom,,og_mentionee_headsofstate,cd04aa7e69fd2253278929868c6d8957,og_mentionee_headsofstate__cd04aa7e69fd2253278929868c6d8957
