key,caption_text,threshold,topic,ranking,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
(military; operations),due to military operations,Local Urgent,188131;188251,1,IndustryTerm,due to military operations,,radio_nav_warnings_mapping,2e524e2c6b15969ebe64fb886d83cb51,radio_nav_warnings_mapping__2e524e2c6b15969ebe64fb886d83cb51
(pipeline; unsecure),due to insecure pipeline,Local Urgent,188131,1,Pipeline,due to insecure pipeline,,radio_nav_warnings_mapping,407434653691ad7453db21cde6f13d69,radio_nav_warnings_mapping__407434653691ad7453db21cde6f13d69
(survey; operation),due to survey operation,Signal,188131,3,Pipeline,due to survey operation,,radio_nav_warnings_mapping,421318d96bf2e5e03ff6a3456b70e924,radio_nav_warnings_mapping__421318d96bf2e5e03ff6a3456b70e924
(survey; operations),due to survey operations,Signal,188131,3,Shipping,due to survey operations,,radio_nav_warnings_mapping,58a52876188565110f3cfb68fe8fe916,radio_nav_warnings_mapping__58a52876188565110f3cfb68fe8fe916
(ranges; reduced),due to reduced ranges,Signal,188131,7,Legislator,due to reduced ranges,,radio_nav_warnings_mapping,0881ae945fd271169747b68a0d2db55c,radio_nav_warnings_mapping__0881ae945fd271169747b68a0d2db55c
(range; reduced),due to reduced range,Signal,188131,7,News,due to reduced range,,radio_nav_warnings_mapping,5e904975777c266e90888a899a4e6a2e,radio_nav_warnings_mapping__5e904975777c266e90888a899a4e6a2e
(depths; less; chartered),due to to depth of water being less than chartered,Signal,188131,7,Person,due to to depth of water being less than chartered,,radio_nav_warnings_mapping,52f2e1fd9a68d689aaecfc12f165038c,radio_nav_warnings_mapping__52f2e1fd9a68d689aaecfc12f165038c
wreck,due to wreck,Signal,188131,2,IndustryTerm,due to wreck,,radio_nav_warnings_mapping,5570053a2c8df585d72f607cbf1a0c0e,radio_nav_warnings_mapping__5570053a2c8df585d72f607cbf1a0c0e
(dgps; off air),due to DGPS system being off air,Signal,188131,4,Organization,due to DGPS system being off air,,radio_nav_warnings_mapping,a59c54a01e6a456318eb0c05d174799a,radio_nav_warnings_mapping__a59c54a01e6a456318eb0c05d174799a
(dgps; off air),due to DGPS system being off air,Signal,188131,4,AAEntity,due to DGPS system being off air,,radio_nav_warnings_mapping,a59c54a01e6a456318eb0c05d174799a,radio_nav_warnings_mapping__a59c54a01e6a456318eb0c05d174799a
(dgps; reduced power),due to DGPS system with reduced power,Signal,188131,5,Keyphrase,due to DGPS system with reduced power,,radio_nav_warnings_mapping,a7ae57e1d94d2388d6e803530ee62f18,radio_nav_warnings_mapping__a7ae57e1d94d2388d6e803530ee62f18
(vhf; off air),due to VHF services being off air,Signal,188131,5,DiplomaticFacilities,due to VHF services being off air,,radio_nav_warnings_mapping,bfb972740126f5a8c5209e8429cc15e1,radio_nav_warnings_mapping__bfb972740126f5a8c5209e8429cc15e1
(vhf; off-air),due to VHF services being off air,Signal,188131,5,CompanyKeyword,due to VHF services being off air,,radio_nav_warnings_mapping,bfb972740126f5a8c5209e8429cc15e1,radio_nav_warnings_mapping__bfb972740126f5a8c5209e8429cc15e1
(weapons; firing),due to weapons firing operation,Local Urgent,188131;188251;188253,1,IndustryTerm,due to weapons firing operation,,radio_nav_warnings_mapping,4be673c756c3b6d0548c5b9854a4bb2d,radio_nav_warnings_mapping__4be673c756c3b6d0548c5b9854a4bb2d
(firing; exercise),due to weapons firing operation,Local Urgent,188131;188251;188253,2,Person,due to weapons firing operation,,radio_nav_warnings_mapping,4be673c756c3b6d0548c5b9854a4bb2d,radio_nav_warnings_mapping__4be673c756c3b6d0548c5b9854a4bb2d
(lighthouse; unreliable),due to unreliable lighthouse,Signal,188131,5,Exec,due to unreliable lighthouse,,radio_nav_warnings_mapping,1be606aac18a33a9288e2adc0f322232,radio_nav_warnings_mapping__1be606aac18a33a9288e2adc0f322232
(lighthouse; ais off-air),due to off-air AIS at lighthouse,Signal,188131,5,FTO,due to off-air AIS at lighthouse,,radio_nav_warnings_mapping,f2edb71666bfd65b0dfd2dd4becb6503,radio_nav_warnings_mapping__f2edb71666bfd65b0dfd2dd4becb6503
(lighthouse; ais; unstable),due to unstable AIS at lighthouse,Signal,188131,5,Exec,due to unstable AIS at lighthouse,,radio_nav_warnings_mapping,9d23ef9de23d160f844711493cd44fa0,radio_nav_warnings_mapping__9d23ef9de23d160f844711493cd44fa0
obstructions,due to obstructions,Signal,188131,5,DiplomaticFacilities,due to obstructions,,radio_nav_warnings_mapping,e38ab3b6829395c378c2edcfa7d73ec6,radio_nav_warnings_mapping__e38ab3b6829395c378c2edcfa7d73ec6
(buoy; established),due to new buoy,Signal,188131,7,space,due to new buoy,,radio_nav_warnings_mapping,0fff714caab889543c210c8d39a2baa8,radio_nav_warnings_mapping__0fff714caab889543c210c8d39a2baa8
(buoys; established),due to new buoys,Signal,188131,7,FTO,due to new buoys,,radio_nav_warnings_mapping,6437c6a70fdb379b27ceaa42bd4cdb10,radio_nav_warnings_mapping__6437c6a70fdb379b27ceaa42bd4cdb10
(light-buoy; established),due to new light-buoy,Signal,188131,7,Person,due to new light-buoy,,radio_nav_warnings_mapping,52267283dcc5026c0209f94ce0661244,radio_nav_warnings_mapping__52267283dcc5026c0209f94ce0661244
(light-buoys; established),due to new light-buoys,Signal,188131,7,Pipeline,due to new light-buoys,,radio_nav_warnings_mapping,32d49a1c42e9cc8fa2567073032967c5,radio_nav_warnings_mapping__32d49a1c42e9cc8fa2567073032967c5
obstruction,due to obstruction,Signal,188131,5,Shipping,due to obstruction,,radio_nav_warnings_mapping,c9350fb566277dfac8daa71ac93dd0bf,radio_nav_warnings_mapping__c9350fb566277dfac8daa71ac93dd0bf
(light; reduced range),due to light with reduced range,Signal,188131,6,FTO,due to light with reduced range,,radio_nav_warnings_mapping,98423097087198dc0dc878ea46ef7b80,radio_nav_warnings_mapping__98423097087198dc0dc878ea46ef7b80
(underwater; operation),due to underwater operation,Signal,188131,3,Pipeline,due to underwater operation,,radio_nav_warnings_mapping,6e20cdb8d818923e65a89b7f15de475d,radio_nav_warnings_mapping__6e20cdb8d818923e65a89b7f15de475d
(underwater; operations),due to underwater operation,Signal,188131,3,space,due to underwater operation,,radio_nav_warnings_mapping,6e20cdb8d818923e65a89b7f15de475d,radio_nav_warnings_mapping__6e20cdb8d818923e65a89b7f15de475d
exercise mines,due to exercise mines established,Local Urgent,188131;188251,1,Shipping,due to exercise mines established,,radio_nav_warnings_mapping,00cb746ca97df8a91e1ed587ad3c8f3d,radio_nav_warnings_mapping__00cb746ca97df8a91e1ed587ad3c8f3d
(light vessel; AIS; inoperative),due to light vessel with inoperative AIS,Signal,188131,5,AAEntity,due to light vessel with inoperative AIS,,radio_nav_warnings_mapping,19c7f343263c8cc4a75e08338aa45fb5,radio_nav_warnings_mapping__19c7f343263c8cc4a75e08338aa45fb5
(light vessel; AIS; unstable),due to light vessel with unstable AIS,Signal,188131,5,FTO,due to light vessel with unstable AIS,,radio_nav_warnings_mapping,43bbcd089ef943112e08ba5e2d5cc3e8,radio_nav_warnings_mapping__43bbcd089ef943112e08ba5e2d5cc3e8
(light vessel; AIS; off-air),due to light vessel with AIS off-air,Signal,188131,5,Person,due to light vessel with AIS off-air,,radio_nav_warnings_mapping,608b159340835fbe3da4a800f7753612,radio_nav_warnings_mapping__608b159340835fbe3da4a800f7753612
(submerged vessel; adrift),due to adrift submerged vessel,Signal,188131,3,Keyphrase,due to adrift submerged vessel,,radio_nav_warnings_mapping,69dfda991b4122626fc1826f5a754044,radio_nav_warnings_mapping__69dfda991b4122626fc1826f5a754044
(vessel; adrift),due to adrift vessel,Signal,188131,4,Keyphrase,due to adrift vessel,,radio_nav_warnings_mapping,c0e39ff4c2753349637757d9530d9254,radio_nav_warnings_mapping__c0e39ff4c2753349637757d9530d9254
(lost; fishing gear),due to lost fishing gear,Signal,188131,5,Diplomat,due to lost fishing gear,,radio_nav_warnings_mapping,fda65b204800a7c06f513468823a22f9,radio_nav_warnings_mapping__fda65b204800a7c06f513468823a22f9
(racon; off-air),due to off-air racon,Signal,188131,5,AAEntity,due to off-air racon,,radio_nav_warnings_mapping,c6ecff22ccfb81803e572700a0fae681,radio_nav_warnings_mapping__c6ecff22ccfb81803e572700a0fae681
(racon; inoperative),due to inoperative racon,Signal,188131,5,News,due to inoperative racon,,radio_nav_warnings_mapping,012f4b95149428bb141f6801fefd60d1,radio_nav_warnings_mapping__012f4b95149428bb141f6801fefd60d1
(racon; unstable),due to unstable racon,Signal,188131,5,Organization,due to unstable racon,,radio_nav_warnings_mapping,25b5a3e486a840b7ed068fbabea04624,radio_nav_warnings_mapping__25b5a3e486a840b7ed068fbabea04624
