permalink,authority_caption,permalink_location,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
1270750184,"Anti Drug Authority in Jilin City, Jilin",jilin,IndustryTerm,"Anti Drug Authority in Jilin City, Jilin",,dgm_fentanylsources,aeff1234ca16065df95aadb6f38cb759,dgm_fentanylsources__aeff1234ca16065df95aadb6f38cb759
3267836561,"Anti Drug Authority in Liaoyuan, Jilin",liaoyuan,Diplomat,"Anti Drug Authority in Liaoyuan, Jilin",,dgm_fentanylsources,10c92a2c271e11f31f7d361232c749a7,dgm_fentanylsources__10c92a2c271e11f31f7d361232c749a7
3206181390,"Anti Drug Authority in Tonghua, Jilin",tonghua,Refinery,"Anti Drug Authority in Tonghua, Jilin",,dgm_fentanylsources,67369561868ae9bd6767aee7b1668652,dgm_fentanylsources__67369561868ae9bd6767aee7b1668652
2991339385,"Anti Drug Authority in Meihekou, Jilin",meihekou,ForeignMinistry,"Anti Drug Authority in Meihekou, Jilin",,dgm_fentanylsources,5dff981d89a3fcf7a12fda07d6fa90d6,dgm_fentanylsources__5dff981d89a3fcf7a12fda07d6fa90d6
7480190710,"Anti Drug Authority in Jinzhong, Shanxi",jinzhong,DiplomaticFacilities,"Anti Drug Authority in Jinzhong, Shanxi",,dgm_fentanylsources,30e3cb7e9a4dae02d6c21c4485d2a69f,dgm_fentanylsources__30e3cb7e9a4dae02d6c21c4485d2a69f
2121485947,"Anti Drug Authority in Jining, Shandong",jining,Keyphrase,"Anti Drug Authority in Jining, Shandong",,dgm_fentanylsources,0ac6223d430853192a4ea1876aa2a0aa,dgm_fentanylsources__0ac6223d430853192a4ea1876aa2a0aa
2929076925,"Anti Drug Authority in Rizhao, Shandong",rizhao,Refinery,"Anti Drug Authority in Rizhao, Shandong",,dgm_fentanylsources,1940cd632e75233e975c403f29ebf213,dgm_fentanylsources__1940cd632e75233e975c403f29ebf213
1259201172,"Anti Drug Authority in Heze, Shandong",heze,FTO,"Anti Drug Authority in Heze, Shandong",,dgm_fentanylsources,b08ca56eed5cc12d12051655c9300607,dgm_fentanylsources__b08ca56eed5cc12d12051655c9300607
7513152544,"Anti Drug Authority in Qingpu District, Shanghai",qingpu,space,"Anti Drug Authority in Qingpu District, Shanghai",,dgm_fentanylsources,3f6421ef8f9507fd035bfdd49480c95e,dgm_fentanylsources__3f6421ef8f9507fd035bfdd49480c95e
5946137974,"Anti Drug Authority in Liangshan, Sichuan",liangshan,DiplomaticFacilities,"Anti Drug Authority in Liangshan, Sichuan",,dgm_fentanylsources,e724a0be6d891962d9281dc056046534,dgm_fentanylsources__e724a0be6d891962d9281dc056046534
5546291357,"Anti Drug Authority in Leshan, SIchuan",leshan,CompanyKeyword,"Anti Drug Authority in Leshan, SIchuan",,dgm_fentanylsources,8b176f0788b01e2fafc0351230afdd70,dgm_fentanylsources__8b176f0788b01e2fafc0351230afdd70
6512762393,"Anti Drug Authority in Heping District, Tianjin",heping,CompanyKeyword,"Anti Drug Authority in Heping District, Tianjin",,dgm_fentanylsources,5ba97f6bf44851654258a21e8db3f893,dgm_fentanylsources__5ba97f6bf44851654258a21e8db3f893
