handle,caption_name,location_lower,include_groups,entity_type,location,lat,long,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
baigenewskz,Kazakh news outlet Baige News,kazakhstan,agriculture minister;agriculture ministry,hnmn,Kazakhstan,48.019573,66.923684,,Hnmn,Kazakh news outlet Baige News,,noneng_dgm_agr_mentioner_entities,f9ef8d52ccaed9396a4be4292e6fdf9a,noneng_dgm_agr_mentioner_entities__f9ef8d52ccaed9396a4be4292e6fdf9a
kazinformkz,Kazakh news outlet Kaz Inform,kazakhstan,agriculture minister;agriculture ministry,hnmn,Kazakhstan,48.019573,66.923684,,Hnmn,Kazakh news outlet Kaz Inform,,noneng_dgm_agr_mentioner_entities,6f8be78dbeaafad7a5ec43ed2ba61bd8,noneng_dgm_agr_mentioner_entities__6f8be78dbeaafad7a5ec43ed2ba61bd8
ktk_news,Kazakh news outlet KTK Digital,kazakhstan,agriculture minister;agriculture ministry,hnmn,Kazakhstan,48.019573,66.923684,,Hnmn,Kazakh news outlet KTK Digital,,noneng_dgm_agr_mentioner_entities,d6c1646d48ebfda435338ddd5d3d8005,noneng_dgm_agr_mentioner_entities__d6c1646d48ebfda435338ddd5d3d8005
tengrinewskz,Kazakh news outlet Tengri News,kazakhstan,agriculture minister;agriculture ministry,hnmn,Kazakhstan,48.019573,66.923684,,Hnmn,Kazakh news outlet Tengri News,,noneng_dgm_agr_mentioner_entities,d4d6187f4851b6be7704ef936412f0ed,noneng_dgm_agr_mentioner_entities__d4d6187f4851b6be7704ef936412f0ed
vlastkz,Kazakh news outlet Vlast,kazakhstan,agriculture minister;agriculture ministry,hnmn,Kazakhstan,48.019573,66.923684,,Hnmn,Kazakh news outlet Vlast,,noneng_dgm_agr_mentioner_entities,83bb5f0a66f5afe18b295706170c4efa,noneng_dgm_agr_mentioner_entities__83bb5f0a66f5afe18b295706170c4efa
portalikohanet,Kosovar news outlet Koha,kosovo,agriculture minister;agriculture ministry,hnmn,Kosovo,42.6026359,20.902977,,Hnmn,Kosovar news outlet Koha,,noneng_dgm_agr_mentioner_entities,6fb0cd5b479752a88813c14a4c1bfd78,noneng_dgm_agr_mentioner_entities__6fb0cd5b479752a88813c14a4c1bfd78
kosovasot,Kosovar news outlet Kosova Sot,kosovo,agriculture minister;agriculture ministry,hnmn,Kosovo,42.6026359,20.902977,,Hnmn,Kosovar news outlet Kosova Sot,,noneng_dgm_agr_mentioner_entities,3645a2577b88746f808f59a804e7c4ba,noneng_dgm_agr_mentioner_entities__3645a2577b88746f808f59a804e7c4ba
alqabas,Kuwaiti news outlet Al Qabas,kuwait,agriculture minister;agriculture ministry,hnmn,Kuwait,29.31166,47.481766,,Hnmn,Kuwaiti news outlet Al Qabas,,noneng_dgm_agr_mentioner_entities,44c7a9d3b7bc0724eb767b3db6c0f405,noneng_dgm_agr_mentioner_entities__44c7a9d3b7bc0724eb767b3db6c0f405
tfteeesh,Kuwaiti news outlet Kuwait Inspection,kuwait,agriculture minister;agriculture ministry,hnmn,Kuwait,29.31166,47.481766,,Hnmn,Kuwaiti news outlet Kuwait Inspection,,noneng_dgm_agr_mentioner_entities,0b4260afa5e7e0ed8a8a2c38b6258fbb,noneng_dgm_agr_mentioner_entities__0b4260afa5e7e0ed8a8a2c38b6258fbb
kuwaitnews,Kuwaiti news outlet Kuwait News,kuwait,agriculture minister;agriculture ministry,hnmn,Kuwait,29.31166,47.481766,,Hnmn,Kuwaiti news outlet Kuwait News,,noneng_dgm_agr_mentioner_entities,cf626353014296cd59879f180bd901c8,noneng_dgm_agr_mentioner_entities__cf626353014296cd59879f180bd901c8
