keyword,keyword_upper,caption_name,location_name,location_lower,location (state),type,threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
almahernandez,AlmaHernandez,Arizona State Representative Alma Hernandez,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Alma Hernandez,,EO_Mentioner,8b73200cec8e3b7862b6c1d40cc32ec8,EO_Mentioner__1cf863bfd242af17f3c559e9f5ff73aa
danielhernandez,DanielHernandez,Arizona State Representative Daniel Hernandez,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Daniel Hernandez,,EO_Mentioner,6182f01c30528dcef8f6a09f91291ed6,EO_Mentioner__68611c954161e46ecfd59db14dcc23cc
melodyhernandez,MelodyHernandez,Arizona State Representative Melody Hernandez,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Melody Hernandez,,EO_Mentioner,baba9cdb64958ecfeb4026123f6b4812,EO_Mentioner__15667671af6f7b01b21a5d975532a335
jakehoffman,JakeHoffman,Arizona State Representative Hoffman,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Hoffman,,EO_Mentioner,d70b570d23ed34e1d3601ba5148f249f,EO_Mentioner__50db3c4e6587b23ede0e538c452ba20f
jenniferjermaine,JenniferJermaine,Arizona State Representative Jermaine,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Jermaine,,EO_Mentioner,ca1c2deedacb23901e8318a2855dce09,EO_Mentioner__66582716a2d627584419d57342eee2d9
joeljohn,JoelJohn,Arizona State Representative John,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative John,,EO_Mentioner,13840cb15a4131a23f5988347b3919d6,EO_Mentioner__85c1114a822ba9901dc31f01c2eca244
stevekaiser,SteveKaiser,Arizona State Representative Kaiser,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Kaiser,,EO_Mentioner,6d1c537b45ac49ece86c70a15dc2a0c5,EO_Mentioner__dd4788b923d8a5c3c3f80efa621e349d
johnkavanagh,JohnKavanagh,Arizona State Representative Kavanagh,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Kavanagh,,EO_Mentioner,1c6e92b2310c7d31b72a710f2f536c66,EO_Mentioner__d61feba4da2ee8fe79e470e6ba31faf7
sinekerr,SineKerr,Arizona State Senator Kerr,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Kerr,,EO_Mentioner,1edb65b6214f89b0979bab1ca1975ba9,EO_Mentioner__2bbb2b4dba0f0783968c032dcc7eafb8
vinceleach,VinceLeach,Arizona State Senator Leach,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Leach,,EO_Mentioner,7e1754b7024cd9dfe2e2cd9c7e3027b0,EO_Mentioner__e4735559ca1fb01a7d136813ec0eb82d
aaronlieberman,AaronLieberman,Arizona State Representative Lieberman,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Lieberman,,EO_Mentioner,86f3e1a4bfeb969fc439cba3a988f0c4,EO_Mentioner__546b44c253b0a510b255af640fb1377d
davidlivingston,DavidLivingston,Arizona State Senator Livingston,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Livingston,,EO_Mentioner,a8c25321ac90f6fc41b5d7828d3c4eac,EO_Mentioner__6ed87587d08d126b0b854dab4cc414a0
jenniferlongdon,JenniferLongdon,Arizona State Representative Longdon,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Longdon,,EO_Mentioner,692175fd5d0aadeb0c61dad3b668f367,EO_Mentioner__20aec67874fcc4bef338da7178fb2c1e
christinemarsh,ChristineMarsh,Arizona State Senator Marsh,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Marsh,,EO_Mentioner,298180a8d815ee9f547fbfca890d4f3e,EO_Mentioner__df9781cd54829db1c88caaafc9c10611
juanmendez,JuanMendez,Arizona State Senator Mendez,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Mendez,,EO_Mentioner,5c6781a2987e8259a6db964c3c31d008,EO_Mentioner__9c4d799e82d7772ff96ee29ecdbf81fa
