keyword,caption_name,topic_id,groups,location,guid,.1,.2,.3,.4,apple suppliers,.5,.6,.7,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
万达,Dalian Wanda Group,188278,,,,Chinese company,Chinese company Dalian Wanda Group,,,,,,2,Legislator,Dalian Wanda Group,,dgm_weibo_media_mentionee,061f988a59f6bde0706c5155677fff6d,dgm_weibo_media_mentionee__c20ccce1f50828fc5640f749434e6edc
歌尔,Goertek,188278,,,,Chinese company,Chinese company Goertek,,0,,,,2,ForeignMinistry,Goertek,,dgm_weibo_media_mentionee,3865be39a7ef788735a82a6e55b7806d,dgm_weibo_media_mentionee__1248b8327f9e7216fb1ab5f1a5a17b8b
河钢,Hegang,188278,,,,Chinese company,Chinese company Hegang,,0,,,,2,Pipeline,Hegang,,dgm_weibo_media_mentionee,dced274197eaced5750f6ea80c0e4b99,dgm_weibo_media_mentionee__a935ac852ec48bb5c94c189746641033
双汇,Henan Shuanghui Investment Development,188278,,,,Chinese company,Chinese company Henan Shuanghui Investment Development,,0,,,,2,Organization,Henan Shuanghui Investment Development,,dgm_weibo_media_mentionee,8262a8fc17d1ace3176072296236d29f,dgm_weibo_media_mentionee__69cd53f70ba057f41ec52eecb66be541
美团,Meituan,188278,,,,Chinese company,Chinese company Meituan,,0,,,,2,AAEntity,Meituan,,dgm_weibo_media_mentionee,0743c0a6a83ace312d6d707c8c7939c2,dgm_weibo_media_mentionee__32ccf1bc926080751f38e4fa2dc92657
申能,Shenergy,188278,,,,Chinese company,Chinese company Shenergy,,0,,,,2,DiplomaticFacilities,Shenergy,,dgm_weibo_media_mentionee,c92dc6c7384a227cc3109cd552ce9e9e,dgm_weibo_media_mentionee__2724da987eb6761ed1b567a97f1b6cb7
创维,Skyworth Group,188278,,,,Chinese company,Chinese company Skyworth Group,,0,,,,2,News,Skyworth Group,,dgm_weibo_media_mentionee,e39b41a7e74310398c865f84753dde98,dgm_weibo_media_mentionee__65e45cdccdf2d65604868b877acc9d19
紫光,Unisplendour,188278,,,,Chinese company,Chinese company Unisplendour,,0,,,,2,ForeignMinistry,Unisplendour,,dgm_weibo_media_mentionee,ed11da67438e0c435df12a28e91cb17f,dgm_weibo_media_mentionee__d85a9e15022a8917ecfdbd37a74ad075
金宝汤,Campbell Soup,188278,,,0980d1bd78bcef419b0db75f63304c5b,,n,,1,,,,3,Shipping,Campbell Soup,,dgm_weibo_media_mentionee,45fcfcf3bd477a273ee6b401ef37d789,dgm_weibo_media_mentionee__fcc27aa07d115a20d35be74dbd2e88a9
bmc,BMC,188278,,,09c7363f4201d96ad060d555c40cc1e9,,n,,,,,,3,Organization,BMC,,dgm_weibo_media_mentionee,15b76b2ce71d09b1ecd8a47c74b812c3,dgm_weibo_media_mentionee__396262ee936f3d3e26ff0e60bea6cae0
房利美,Fannie Mae,188278,,,0a38a68d321bb5bc1561ff025d61f571,,n,,1,,,,3,CompanyKeyword,Fannie Mae,,dgm_weibo_media_mentionee,aae113efd49d5a5044feb1926ea45706,dgm_weibo_media_mentionee__49016693e432f70f8e8de8490cb9ba5f
戴姆勒,Daimler,188278,,,15b3b39434e24514040c575fdecb4a7e,,n,,1,,,,3,Consulates,Daimler,,dgm_weibo_media_mentionee,e11b5aa414dd0de809f5d2ffc689f16f,dgm_weibo_media_mentionee__ab1ebc1de72d369a2f6b7867862d58a2
msc,MSC,188278,,,1859ca5b073e6c79fdd7973db99c796d,,n,,,,,,3,Wells,MSC,,dgm_weibo_media_mentionee,b7a807f0227dabfc5c727222ad597ebc,dgm_weibo_media_mentionee__d6d3f15d5bf6480c19b6205bc27dccc3
汉瑞祥,Henry Schein,188278,,,1c7f53abe31309e953fda92e6b447b3b,,n,,1,,,,3,Organization,Henry Schein,,dgm_weibo_media_mentionee,5c89c5e1d2c7ffb034f609e1d358371b,dgm_weibo_media_mentionee__f3bd45847c77505c55b0eadd26bb8cf4
开市客,Costco,188278,,,22ba78a74cd3946c02c4bb9921dd2d67,,n,,0,,,,3,Wells,Costco,,dgm_weibo_media_mentionee,004a71a3f1abe77240cfa9306dfeb11e,dgm_weibo_media_mentionee__c0a3f22addef6fc63b636ff479566862
车美仕,CarMax,188278,,,2898bafb6696fc4a3c911a061ea588a5,,n,,0,,,,3,Exec,CarMax,,dgm_weibo_media_mentionee,2a1d75c5f89d06398c6f8054b8966eee,dgm_weibo_media_mentionee__e933190457a87c8e8bfab8f09fc4e2b3
