handle,caption_name,location,location_lower,type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
sissibellomo,Commodities analyst,Italy,italy,analyst,Analyst,Commodities analyst,,og_mentioner_v3,1bc573730d2c69bfbde661212e5f76b5,og_mentioner_v3__1bc573730d2c69bfbde661212e5f76b5
big_orrin,Commodities analyst,London,london,analyst,Analyst,Commodities analyst,,og_mentioner_v3,1bc573730d2c69bfbde661212e5f76b5,og_mentioner_v3__1bc573730d2c69bfbde661212e5f76b5
jkempenergy,Commodities analyst,London,london,reporter,Reporter,Commodities analyst,,og_mentioner_v3,1bc573730d2c69bfbde661212e5f76b5,og_mentioner_v3__1bc573730d2c69bfbde661212e5f76b5
rmiordache,Commodities analyst,london,london,analyst,Analyst,Commodities analyst,,og_mentioner_v3,1bc573730d2c69bfbde661212e5f76b5,og_mentioner_v3__1bc573730d2c69bfbde661212e5f76b5
anjliraval,Commodities reporter,"London, uk","london, uk",reporter,Reporter,Commodities reporter,,og_mentioner_v3,5379aca1a47b0cc12507e91d6bfc41a0,og_mentioner_v3__5379aca1a47b0cc12507e91d6bfc41a0
daveernsberger,Commodities reporter,London,"london, uk",reporter,Reporter,Commodities reporter,,og_mentioner_v3,5379aca1a47b0cc12507e91d6bfc41a0,og_mentioner_v3__5379aca1a47b0cc12507e91d6bfc41a0
eklavyagupte,Commodities reporter,London,"london, uk",reporter,Reporter,Commodities reporter,,og_mentioner_v3,5379aca1a47b0cc12507e91d6bfc41a0,og_mentioner_v3__5379aca1a47b0cc12507e91d6bfc41a0
hermstheword,Commodities reporter,London,"london, uk",reporter,Reporter,Commodities reporter,,og_mentioner_v3,5379aca1a47b0cc12507e91d6bfc41a0,og_mentioner_v3__5379aca1a47b0cc12507e91d6bfc41a0
javierblas,Commodities reporter,London,"london, uk",reporter,Reporter,Commodities reporter,,og_mentioner_v3,5379aca1a47b0cc12507e91d6bfc41a0,og_mentioner_v3__5379aca1a47b0cc12507e91d6bfc41a0
oilsheppard,Commodities reporter,London,"london, uk",reporter,Reporter,Commodities reporter,,og_mentioner_v3,5379aca1a47b0cc12507e91d6bfc41a0,og_mentioner_v3__5379aca1a47b0cc12507e91d6bfc41a0
ronbousso1,Commodities reporter,London,"london, uk",reporter,Reporter,Commodities reporter,,og_mentioner_v3,5379aca1a47b0cc12507e91d6bfc41a0,og_mentioner_v3__5379aca1a47b0cc12507e91d6bfc41a0
rowenacaine,Commodities reporter,London,"london, uk",reporter,Reporter,Commodities reporter,,og_mentioner_v3,5379aca1a47b0cc12507e91d6bfc41a0,og_mentioner_v3__5379aca1a47b0cc12507e91d6bfc41a0
spencercwelch,Commodities analyst,london,"london, uk",analyst,Analyst,Commodities analyst,,og_mentioner_v3,1bc573730d2c69bfbde661212e5f76b5,og_mentioner_v3__1bc573730d2c69bfbde661212e5f76b5
tmarzecmanser,Commodities analyst,london,"london, uk",analyst,Analyst,Commodities analyst,,og_mentioner_v3,1bc573730d2c69bfbde661212e5f76b5,og_mentioner_v3__1bc573730d2c69bfbde661212e5f76b5
helencrobertson,Commodities reporter,london,"london, uk",reporter,Reporter,Commodities reporter,,og_mentioner_v3,5379aca1a47b0cc12507e91d6bfc41a0,og_mentioner_v3__5379aca1a47b0cc12507e91d6bfc41a0
