german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
lindenweg,"Lindenweg in Ingolstadt, Germany",48.7438322,11.4539116,1,,,,,,Wells,"Lindenweg in Ingolstadt, Germany",,german_fires_ingolstadt_locations,ef35fbe6d4265958aa8491d4154a11f9,german_fires_ingolstadt_locations__ef35fbe6d4265958aa8491d4154a11f9
lindewiesener strasse,"Lindewiesener Strasse in Ingolstadt, Germany",48.7968741,11.4449634,1,,,,,,News,"Lindewiesener Strasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,d2e6b8ac5776afab904f7567845b21c8,german_fires_ingolstadt_locations__d2e6b8ac5776afab904f7567845b21c8
lindnerstrasse,"Lindnerstrasse in Ingolstadt, Germany",48.7282964,11.4113416,1,,,,,,Legislator,"Lindnerstrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,7fa13022ef865ed0c47bca79c1ae6a4b,german_fires_ingolstadt_locations__7fa13022ef865ed0c47bca79c1ae6a4b
linnestrasse,"Linnestrasse in Ingolstadt, Germany",48.7601288,11.4106411,1,,,,,,News,"Linnestrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,1e28b28e4a186dee4170f3a61c85dcf1,german_fires_ingolstadt_locations__1e28b28e4a186dee4170f3a61c85dcf1
linnéstrasse,"Linnéstrasse in Ingolstadt, Germany",48.7601288,11.4106411,1,,,,,,ForeignMinistry,"Linnéstrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,0efa581b643c49276f5512315fbed574,german_fires_ingolstadt_locations__0efa581b643c49276f5512315fbed574
lise-meitner-strasse,"Lise-Meitner-Strasse in Ingolstadt, Germany",48.7875877,11.4831069,1,,,,,,News,"Lise-Meitner-Strasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,ff2eb77f87913ff14845998252767c48,german_fires_ingolstadt_locations__ff2eb77f87913ff14845998252767c48
locherstrasse,"Locherstrasse in Ingolstadt, Germany",48.74875,11.4294417,1,,,,,,Media,"Locherstrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,0d9837e8b77b3fd68b21bf962040df88,german_fires_ingolstadt_locations__0d9837e8b77b3fd68b21bf962040df88
loewestrasse,"Loewestrasse in Ingolstadt, Germany",48.7814376,11.4119076,1,,,,,,ForeignMinister,"Loewestrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,e7509d88f12226b1153827a87c3213f8,german_fires_ingolstadt_locations__e7509d88f12226b1153827a87c3213f8
lohweg,"Lohweg in Ingolstadt, Germany",48.7758381,11.2889313,1,,,,,,Keyphrase,"Lohweg in Ingolstadt, Germany",,german_fires_ingolstadt_locations,2460fde47887c67c60a6b88d64b46a82,german_fires_ingolstadt_locations__2460fde47887c67c60a6b88d64b46a82
lonsstrasse,"Lonsstrasse in Ingolstadt, Germany",48.7692244,11.4411377,1,,,,,,AAEntity,"Lonsstrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,fd2f8270d8a68af87947d02ea5436ed5,german_fires_ingolstadt_locations__fd2f8270d8a68af87947d02ea5436ed5
lorenz-schmidt-strasse,"Lorenz-Schmidt-Strasse in Ingolstadt, Germany",48.8089546,11.4008708,1,,,,,,space,"Lorenz-Schmidt-Strasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,96cacfcd5a0819da87bc4ce9bbfc9643,german_fires_ingolstadt_locations__96cacfcd5a0819da87bc4ce9bbfc9643
lortzingstrasse,"Lortzingstrasse in Ingolstadt, Germany",48.778096,11.4144604,1,,,,,,IndustryTerm,"Lortzingstrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,4fa5e2177af55bedfe7b26c78e4713f6,german_fires_ingolstadt_locations__4fa5e2177af55bedfe7b26c78e4713f6
lowenzahnweg,"Lowenzahnweg in Ingolstadt, Germany",48.7120285,11.393183,1,,,,,,ForeignMinistry,"Lowenzahnweg in Ingolstadt, Germany",,german_fires_ingolstadt_locations,ca4e3c72f820bc4b71026bfb271fe6c6,german_fires_ingolstadt_locations__ca4e3c72f820bc4b71026bfb271fe6c6
