keyword,caption_name,lat,lon,location_name,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
@chanpuiming,District Councillor Mike Chan,22.302711,114.177216,Hong Kong,188369,Refinery,District Councillor Mike Chan,,hk_ei_terms,c761ac00157a297f01b73b0d7130bcca,hk_ei_terms__c761ac00157a297f01b73b0d7130bcca
@cheuktinglam,Former district councillor Lam Cheuk-ting,22.302711,114.177216,Hong Kong,188369,Pipeline,Former district councillor Lam Cheuk-ting,,hk_ei_terms,91a8b1d66279743380e6caff125d420f,hk_ei_terms__91a8b1d66279743380e6caff125d420f
@willisfong,Former district councillor Willis Fong,22.302711,114.177216,Hong Kong,188369,FTO,Former district councillor Willis Fong,,hk_ei_terms,8bbc62680d9883caea4bc45fc72e82ee,hk_ei_terms__8bbc62680d9883caea4bc45fc72e82ee
@brandon_k_yip,District Councillor Brandon Yip,22.302711,114.177216,Hong Kong,188369,ForeignMinistry,District Councillor Brandon Yip,,hk_ei_terms,116ef24d3ff8c5e74331629e8c7eda34,hk_ei_terms__116ef24d3ff8c5e74331629e8c7eda34
@clarisseysy,Former district councillor Clarisse Yeung,22.302711,114.177216,Hong Kong,188369,Keyphrase,Former district councillor Clarisse Yeung,,hk_ei_terms,8fadbae446e2470b250ee0ddf01ca636,hk_ei_terms__8fadbae446e2470b250ee0ddf01ca636
@kennethl_legco,Former legislative council member Kenneth Leung,22.302711,114.177216,Hong Kong,188369,Shipping,Former legislative council member Kenneth Leung,,hk_ei_terms,55ab928efab9dd85563a1ce6af205c2a,hk_ei_terms__55ab928efab9dd85563a1ce6af205c2a
@ramonyuen3,District Councillor Ramon Yuen,22.302711,114.177216,Hong Kong,188369,FTO,District Councillor Ramon Yuen,,hk_ei_terms,84180899afc7e2378de9e88da194e068,hk_ei_terms__84180899afc7e2378de9e88da194e068
@chhung10,Former district councillor C H Hung,22.302711,114.177216,Hong Kong,188369,Wells,Former district councillor C H Hung,,hk_ei_terms,2115f8228c0f8b66616a8bbe5ee14f98,hk_ei_terms__2115f8228c0f8b66616a8bbe5ee14f98
@kwongchunyu,District Councillor Roy Kwong,22.302711,114.177216,Hong Kong,188369,AAEntity,District Councillor Roy Kwong,,hk_ei_terms,04aae4ea5912088210db7cf3a7e5c96f,hk_ei_terms__04aae4ea5912088210db7cf3a7e5c96f
@denniswhkwok,Former legislative council member Dennis Kwok,22.302711,114.177216,Hong Kong,188369,Shipping,Former legislative council member Dennis Kwok,,hk_ei_terms,491209abb4c04aa4c6febed853785cdb,hk_ei_terms__491209abb4c04aa4c6febed853785cdb
