handle,caption_name,location_lower,exclude_groups,Location City,Location Country,Alternate Location (city/statge/region/country/constituency),.1,.2,Firstname,Lastname,Entity Type,Entity Type 2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
andreagiarrizz,Italian Legislator Giarrizzo,italy,italy,Rome,Italy,Sicily,Chamber of Deputies of Italy,Five Star Movement,Andrea,Giarrizzo,Legislator,Member of the Italian Chamber of Deputies,ForeignMinister,Italian Legislator Giarrizzo,,int_leg_handles,e05419cdcbdaba6250b016f53b002140,int_leg_handles__e05419cdcbdaba6250b016f53b002140
giorgis65,Italian Legislator Giorgis,italy,italy,Rome,Italy,Piedmont,Chamber of Deputies of Italy,Democratic Party,Andrea,Giorgis,Legislator,Member of the Italian Chamber of Deputies,ForeignMinistry,Italian Legislator Giorgis,,int_leg_handles,5aca300e065616802896651d803baa72,int_leg_handles__5aca300e065616802896651d803baa72
mandelli_andrea,Italian Legislator Mandelli,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Forza Italia,Andrea,Mandelli,Legislator,Member of the Italian Chamber of Deputies,Media,Italian Legislator Mandelli,,int_leg_handles,c011f5fa9e732adf989d4de6814aac9a,int_leg_handles__c011f5fa9e732adf989d4de6814aac9a
andreaorlandosp,Italian Minister of Labour and Social Policies Orlando,italy,italy,Rome,Italy,Emilia-Romagna,Chamber of Deputies of Italy,Democratic Party,Andrea,Orlando,Legislator,Minister of Labour and Social Policies,ForeignMinistry,Italian Minister of Labour and Social Policies Orlando,,int_leg_handles,55a5f3010f4449a7cf11105a7b899e13,int_leg_handles__55a5f3010f4449a7cf11105a7b899e13
andrearomano9,Italian Legislator Romano,italy,italy,Rome,Italy,Tuscany,Chamber of Deputies of Italy,Democratic Party,Andrea,Romano,Legislator,Member of the Italian Chamber of Deputies,News,Italian Legislator Romano,,int_leg_handles,e21cff731d9495a5a0727a55b8d6af14,int_leg_handles__e21cff731d9495a5a0727a55b8d6af14
andrearossi76,Italian Legislator Rossi,italy,italy,Rome,Italy,Emilia-Romagna,Chamber of Deputies of Italy,Democratic Party,Andrea,Rossi,Legislator,Member of the Italian Chamber of Deputies,FTO,Italian Legislator Rossi,,int_leg_handles,6e5da2afc7afa398c8d02fac220e7ead,int_leg_handles__6e5da2afc7afa398c8d02fac220e7ead
rugge75,Italian Legislator Ruggieri,italy,italy,Rome,Italy,Lazio,Chamber of Deputies of Italy,Forza Italia,Andrea,Ruggieri,Legislator,Member of the Italian Chamber of Deputies,AAEntity,Italian Legislator Ruggieri,,int_leg_handles,0a0e204b5b1df2b8391a25fa2fbf33f6,int_leg_handles__0a0e204b5b1df2b8391a25fa2fbf33f6
andreavallascas,Italian Legislator Vallascas,italy,italy,Rome,Italy,Sardinia,Chamber of Deputies of Italy,Mixed Group,Andrea,Vallascas,Legislator,Member of the Italian Chamber of Deputies,CompanyKeyword,Italian Legislator Vallascas,,int_leg_handles,9c19485074792a2c636963f464acac33,int_leg_handles__9c19485074792a2c636963f464acac33
angelaianaro,Italian Legislator Ianaro,italy,italy,Rome,Italy,Campania,Chamber of Deputies of Italy,Five Star Movement,Angela,Ianaro,Legislator,Member of the Italian Chamber of Deputies,IndustryTerm,Italian Legislator Ianaro,,int_leg_handles,5d48807dd5cb472c38db616a2aac7b26,int_leg_handles__5d48807dd5cb472c38db616a2aac7b26
angela71932396,Italian Legislator Masi,italy,italy,Rome,Italy,Apulia,Chamber of Deputies of Italy,Five Star Movement,Angela,Masi,Legislator,Member of the Italian Chamber of Deputies,Pipeline,Italian Legislator Masi,,int_leg_handles,31354acaae4eeb32fd820b2ce77458d6,int_leg_handles__31354acaae4eeb32fd820b2ce77458d6
raffaangela,Italian Legislator Raffa,italy,italy,Rome,Italy,Sicily,Chamber of Deputies of Italy,Five Star Movement,Angela,Raffa,Legislator,Member of the Italian Chamber of Deputies,DiplomaticFacilities,Italian Legislator Raffa,,int_leg_handles,e348fb84dc1e1d51681b6ea389b40408,int_leg_handles__e348fb84dc1e1d51681b6ea389b40408
angelasalafia,Italian Legislator Salafia,italy,italy,Rome,Italy,Lazio,Chamber of Deputies of Italy,Five Star Movement,Angela,Salafia,Legislator,Member of the Italian Chamber of Deputies,Diplomat,Italian Legislator Salafia,,int_leg_handles,935efea7e91c2806ec7dd28dba97b599,int_leg_handles__935efea7e91c2806ec7dd28dba97b599
angela_schiro,Italian Legislator Schiro,italy,italy,Rome,Italy,Marche,Chamber of Deputies of Italy,Democratic Party,Angela,Schiro,Legislator,Member of the Italian Chamber of Deputies,DiplomaticFacilities,Italian Legislator Schiro,,int_leg_handles,f9a18e3a2a1d1d06f37703679edaf910,int_leg_handles__f9a18e3a2a1d1d06f37703679edaf910
angealfa,Former Italian Minister of Foreign Affairs Alfano,italy,italy,Rome,Italy,Piedmont,Chamber of Deputies of Italy,Popular Alternative,Angelino,Alfano,Legislator,Former Minister of Foreign Affairs,Keyphrase,Former Italian Minister of Foreign Affairs Alfano,,int_leg_handles,a501db30463fe509a4f894e0ae660cbc,int_leg_handles__a501db30463fe509a4f894e0ae660cbc
angelotofalo,Italian Legislator Tofalo,italy,italy,Rome,Italy,Campania,Chamber of Deputies of Italy,5 Star Movement,Angelo,Tofalo,Legislator,Member of the Italian Chamber of Deputies,Keyphrase,Italian Legislator Tofalo,,int_leg_handles,f0785f191755496ec801c19efdad82c6,int_leg_handles__f0785f191755496ec801c19efdad82c6
annaascani,Italian Legislator Ascani,italy,italy,Rome,Italy,Rome,Chamber of Deputies of Italy,Democratic Party,Anna,Ascani,Legislator,Member of the Italian Chamber of Deputies,DiplomaticFacilities,Italian Legislator Ascani,,int_leg_handles,69bb371d3736f01afb431a8c403c1b6a,int_leg_handles__69bb371d3736f01afb431a8c403c1b6a
bilotti_anna,Italian Legislator Bilotti,italy,italy,Rome,Italy,Campania,Chamber of Deputies of Italy,Five Star Movement,Anna,Bilotti,Legislator,Member of the Italian Chamber of Deputies,AAEntity,Italian Legislator Bilotti,,int_leg_handles,9551578ca4aefc966b3fc372d85c0a7e,int_leg_handles__9551578ca4aefc966b3fc372d85c0a7e
annalauraorrico,Italian Legislator Orrico,italy,italy,Rome,Italy,Calabria,Chamber of Deputies of Italy,Five Star Movement,Anna,Orrico,Legislator,Member of the Italian Chamber of Deputies,Wells,Italian Legislator Orrico,,int_leg_handles,29870c5b767dab1e469821ec249ac2b2,int_leg_handles__29870c5b767dab1e469821ec249ac2b2
annamacina73,Italian Legislator Macina,italy,italy,Rome,Italy,Puglia,Chamber of Deputies of Italy,Five Star Movement,Anna,Macina,Legislator,Member of the Italian Chamber of Deputies,space,Italian Legislator Macina,,int_leg_handles,e90854865fe53a7ccc6be49d03bb1ffd,int_leg_handles__e90854865fe53a7ccc6be49d03bb1ffd
tateo_annarita,Italian Legislator Tateo,italy,italy,Rome,Italy,Puglia,Chamber of Deputies of Italy,Lega Nord,Anna,Tateo,Legislator,Member of the Italian Chamber of Deputies,Refinery,Italian Legislator Tateo,,int_leg_handles,28a5cb63276845063d61bf0910987c7f,int_leg_handles__28a5cb63276845063d61bf0910987c7f
annaelsat,Italian Legislator Tartaglione,italy,italy,Rome,Italy,Puglia,Chamber of Deputies of Italy,Forza Italia (2013),Annaelsa,Tartaglione,Legislator,Member of the Italian Chamber of Deputies,CompanyKeyword,Italian Legislator Tartaglione,,int_leg_handles,1994e247401e0e64dd4d051b3994cc74,int_leg_handles__1994e247401e0e64dd4d051b3994cc74
calabriatw,Italian Legislator Calabria,italy,italy,Rome,Italy,Lazio,Chamber of Deputies of Italy,The People of Freedom,Annagrazia,Calabria,Legislator,Member of the Italian Chamber of Deputies,ForeignMinistry,Italian Legislator Calabria,,int_leg_handles,613979ed8f123fa8cbfd90e6561939f1,int_leg_handles__613979ed8f123fa8cbfd90e6561939f1
antoincerti,Italian Legislator Incerti,italy,italy,Rome,Italy,Emilia-Romagna,Chamber of Deputies of Italy,Democratic Party,Antonella,Incerti,Legislator,Member of the Italian Chamber of Deputies,space,Italian Legislator Incerti,,int_leg_handles,6753324f95aa8c08dffbf8992a24b3df,int_leg_handles__6753324f95aa8c08dffbf8992a24b3df
ninominardo,Italian Legislator Minardo,italy,italy,Rome,Italy,Sicily,Chamber of Deputies of Italy,Forza Italia (2013),Antonino,Minardo,Legislator,Member of the Italian Chamber of Deputies,Shipping,Italian Legislator Minardo,,int_leg_handles,48e4f8bb796914e1476b36a39b75bcfb,int_leg_handles__48e4f8bb796914e1476b36a39b75bcfb
delmonaco12,Italian Legislator Monaco,italy,italy,Rome,Italy,Campania,Chamber of Deputies of Italy,Five Star Movement,Antonio,Monaco,Legislator,Member of the Italian Chamber of Deputies,Organization,Italian Legislator Monaco,,int_leg_handles,329f89f184b4ba7fb40c43c07e27dd97,int_leg_handles__329f89f184b4ba7fb40c43c07e27dd97
antolombard,Italian Legislator Lombardo,italy,italy,Rome,Italy,Sicily,Chamber of Deputies of Italy,Five Star Movement,Antonio,Lombardo,Legislator,Member of the Italian Chamber of Deputies,Shipping,Italian Legislator Lombardo,,int_leg_handles,96021f2bcccf4ba5e31805b2aea97d16,int_leg_handles__96021f2bcccf4ba5e31805b2aea97d16
antoniotasso,Italian Legislator Tasso,italy,italy,Rome,Italy,Puglia,Chamber of Deputies of Italy,Five Star Movement,Antonio,Tasso,Legislator,Member of the Italian Chamber of Deputies,Media,Italian Legislator Tasso,,int_leg_handles,84c8a6bd37440b9f614205a5a375fd13,int_leg_handles__84c8a6bd37440b9f614205a5a375fd13
a_viscomi,Italian Legislator Viscomi,italy,italy,Rome,Italy,Calabria,Chamber of Deputies of Italy,Democratic Party,Antonio,Viscomi,Legislator,Member of the Romanian Chamber of Deputies,ForeignMinister,Italian Legislator Viscomi,,int_leg_handles,6f3173387aa76900ef813c2e36beb04b,int_leg_handles__6f3173387aa76900ef813c2e36beb04b
zennaronews,Italian Legislator Zennaro,italy,italy,Rome,Italy,Abruzzo,Chamber of Deputies of Italy,Five Star Movement,Antonio,Zennaro,Legislator,Member of the Romanian Chamber of Deputies,IndustryTerm,Italian Legislator Zennaro,,int_leg_handles,a8c1013bdf50fb7dac0c7d44daa554e6,int_leg_handles__a8c1013bdf50fb7dac0c7d44daa554e6
azzariniari,Italian Legislator Lazzarini,italy,italy,Rome,Italy,Veneto,Chamber of Deputies of Italy,Lega Nord,Arianna,Lazzarini,Legislator,Member of the Romanian Chamber of Deputies,FTO,Italian Legislator Lazzarini,,int_leg_handles,daf72e1cb96dded9745710f2546d261a,int_leg_handles__daf72e1cb96dded9745710f2546d261a
ariannam5s,Italian Legislator Spessotto,italy,italy,Rome,Italy,Veneto,Chamber of Deputies of Italy,Five Star Movement,Arianna,Spessotto,Legislator,Member of the Romanian Chamber of Deputies,Person,Italian Legislator Spessotto,,int_leg_handles,35d393c9cd21eb238e823ec3102cb265,int_leg_handles__35d393c9cd21eb238e823ec3102cb265
augustamontarul,Italian Legislator Montaruli,italy,italy,Rome,Italy,Piedmont,Chamber of Deputies of Italy,Brothers of Italy,Augusta,Montaruli,Legislator,Member of the Romanian Chamber of Deputies,Shipping,Italian Legislator Montaruli,,int_leg_handles,a029ea7563897db0a6e7607d478c9af2,int_leg_handles__a029ea7563897db0a6e7607d478c9af2
