handle,caption_name,location_lower,exclude_groups,Location City,Location Country,Alternate Location (city/statge/region/country/constituency),.1,.2,Firstname,Lastname,Entity Type,Entity Type 2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
sorin_moldovan,Romanian Legislator Moldovan,romania,romania,Bucharest,Romania,Cluj-Napoca,Chamber of Deputies of Romania,National Liberal Party,Sorin-Dan,Moldovan,Legislator,Member of the Romanian Chamber of Deputies,Person,Romanian Legislator Moldovan,,int_leg_handles,54fc35a4094f0a2336de23355380e49e,int_leg_handles__54fc35a4094f0a2336de23355380e49e
soringrindeanu,Romanian Legislator Grindeanu,romania,romania,Bucharest,Romania,Timis,Chamber of Deputies of Romania,Social Democratic Party,Sorin,Grindeanu,Legislator,Member of the Romanian Chamber of Deputies,FTO,Romanian Legislator Grindeanu,,int_leg_handles,3be6dc568db8ade79f78c1b9dec5880e,int_leg_handles__3be6dc568db8ade79f78c1b9dec5880e
iulian_lorincz,Romanian Legislator Lorincz,romania,romania,Bucharest,Romania,N/A,Chamber of Deputies of Romania,Save Romania Union,Stefan-Iulian,Lorincz,Legislator,Member of the Romanian Chamber of Deputies,ForeignMinister,Romanian Legislator Lorincz,,int_leg_handles,5c606aa1b0625b9637559c2868aaf8a3,int_leg_handles__5c606aa1b0625b9637559c2868aaf8a3
stelian_ion_usr,Romanian Legislator Ion,romania,romania,Bucharest,Romania,Constanta,Chamber of Deputies of Romania,Save Romania Union,Stelian-Cristian,Ion,Legislator,Member of the Romanian Chamber of Deputies,Exec,Romanian Legislator Ion,,int_leg_handles,bcecde8c8a97f3364f2f8f3af57ee1cf,int_leg_handles__bcecde8c8a97f3364f2f8f3af57ee1cf
tudorpolak,Romanian Legislator Polak,romania,romania,Bucharest,Romania,Vaslui,Chamber of Deputies of Romania,National Liberal Party,Tudor,Polak,Legislator,Member of the Romanian Chamber of Deputies,Exec,Romanian Legislator Polak,,int_leg_handles,75c793cc16df0423d76c81257bf31e66,int_leg_handles__75c793cc16df0423d76c81257bf31e66
valeriuzgonea,Romanian Legislator Zgonea,romania,romania,Bucharest,Romania,Dolj,Chamber of Deputies of Romania,Social Democratic Party,Valeriu,Zgonea,Legislator,Member of the Romanian Chamber of Deputies,CompanyKeyword,Romanian Legislator Zgonea,,int_leg_handles,1205049efc5268f17d21e96191ea69e4,int_leg_handles__1205049efc5268f17d21e96191ea69e4
varujanpamb,Romanian Legislator Pambuccian,romania,romania,Bucharest,Romania,N/A,Chamber of Deputies of Romania,Union of Armenians of Romania,Varujan,Pambuccian,Legislator,Member of the Romanian Chamber of Deputies,ForeignMinistry,Romanian Legislator Pambuccian,,int_leg_handles,5dc7eeb9628e237590b197d223bf2f23,int_leg_handles__5dc7eeb9628e237590b197d223bf2f23
vasilecitea,Romanian Legislator Citea,romania,romania,Bucharest,Romania,Lasi,Chamber of Deputies of Romania,Social Democratic Party,Vasile,Citea,Legislator,Member of the Romanian Chamber of Deputies,space,Romanian Legislator Citea,,int_leg_handles,30a622cdacf4053dd3b7ff59904491e6,int_leg_handles__30a622cdacf4053dd3b7ff59904491e6
vpopescu68,Romanian Legislator Popescu,romania,romania,Bucharest,Romania,Mehedinti,Chamber of Deputies of Romania,National Liberal Party,Virgil-Daniel,Popescu,Legislator,Member of the Romanian Chamber of Deputies,FTO,Romanian Legislator Popescu,,int_leg_handles,3bf18aa7f2323440f35f4d7e1442bd37,int_leg_handles__3bf18aa7f2323440f35f4d7e1442bd37
ahatos,Romanian Legislator Hatos,romania,romania,Bucharest,Romania,Bihor,Senate of Romania,National Liberal Party,Adrian,Hatos,Legislator,Member of Romanian Senate,Wells,Romanian Legislator Hatos,,int_leg_handles,f031ff304b8128d0a01982d852c01f49,int_leg_handles__f031ff304b8128d0a01982d852c01f49
nazarealexandru,Romanian Legislator Nazare,romania,romania,Bucharest,Romania,Prahova,Senate of Romania,National Liberal Party,Alexandru,Nazare,Legislator,Member of Romanian Senate,News,Romanian Legislator Nazare,,int_leg_handles,15debfd7deb68ed596e27750581d4ab0,int_leg_handles__15debfd7deb68ed596e27750581d4ab0
alinagorghiu,Romanian Legislator Gorghiu,romania,romania,Bucharest,Romania,Timis,Senate of Romania,National Liberal Party,Alina,Gorghiu,Legislator,Member of Romanian Senate,FTO,Romanian Legislator Gorghiu,,int_leg_handles,cdf73bdd6bf07b583f117076512e482b,int_leg_handles__cdf73bdd6bf07b583f117076512e482b
dragu_anca,Romanian Legislator Dragu,romania,romania,Bucharest,Romania,Bucharest,Senate of Romania,Save Romania Union,Anca,Dragu,Legislator,Member of Romanian Senate,Legislator,Romanian Legislator Dragu,,int_leg_handles,19bc583b8488f0576a5e086a6534f611,int_leg_handles__19bc583b8488f0576a5e086a6534f611
angeltilvar,Romanian Legislator Tilvar,romania,romania,Bucharest,Romania,Vrancea,Senate of Romania,Social Democratic Party,Angel,Tilvar,Legislator,Member of Romanian Senate,Media,Romanian Legislator Tilvar,,int_leg_handles,efb3760f773ad2b455ab5e5d73e2a455,int_leg_handles__efb3760f773ad2b455ab5e5d73e2a455
aureloprinoiu,Romanian Legislator Oprinoiu,romania,romania,Bucharest,Romania,Prahova,Senate of Romania,Save Romania Union,Aurel,Oprinoiu,Legislator,Member of Romanian Senate,Diplomat,Romanian Legislator Oprinoiu,,int_leg_handles,6e0ecc67865f81bf9542a2d3e393e96b,int_leg_handles__6e0ecc67865f81bf9542a2d3e393e96b
vicolcostel,Romanian Legislator Vicol,romania,romania,Bucharest,Romania,Tulcea,Senate of Romania,Save Romania Union,Costel,Vicol,Legislator,Member of Romanian Senate,Person,Romanian Legislator Vicol,,int_leg_handles,824c97af051b5c3272784cdc884b6d2c,int_leg_handles__824c97af051b5c3272784cdc884b6d2c
@radicaldinro,Romanian Legislator Ghica,romania,romania,Bucharest,Romania,Bucharest,Senate of Romania,Save Romania Union,Cristian,Ghica,Legislator,Member of Romanian Senate,Refinery,Romanian Legislator Ghica,,int_leg_handles,e375cc2ff62fc5e32607786495392505,int_leg_handles__e375cc2ff62fc5e32607786495392505
daniel_zamfir_,Romanian Legislator Zamfir,romania,romania,Bucharest,Romania,Bucharest,Senate of Romania,Social Democratic Party,Daniel-Catalin,Zamfir,Legislator,Member of Romanian Senate,Pipeline,Romanian Legislator Zamfir,,int_leg_handles,e2baa0186310b1eb21dfc50a7e19d364,int_leg_handles__e2baa0186310b1eb21dfc50a7e19d364
florincitu,Romanian Prime Minister Legislator Cîtu,romania,romania,Bucharest,Romania,Bucharest,Senate of Romania,National Liberal Party,Florin,Cîtu,Legislator,Prime Minister,Legislator,Romanian Prime Minister Legislator Cîtu,,int_leg_handles,358fe8399bf69c5c7a6f4b7eb1368b8d,int_leg_handles__358fe8399bf69c5c7a6f4b7eb1368b8d
gabrielmutu,Romanian Legislator Mutu,romania,romania,Bucharest,Romania,Bucharest,Senate of Romania,Social Democratic Party,Gabriel,Mutu,Legislator,Member of Romanian Senate,IndustryTerm,Romanian Legislator Mutu,,int_leg_handles,9951710b1fbdc383f6304c95e7125d38,int_leg_handles__9951710b1fbdc383f6304c95e7125d38
gabrielacretu,Romanian Legislator Cretu,romania,romania,Bucharest,Romania,Vaslui,Senate of Romania,Social Democratic Party,Gabriela,Cretu,Legislator,Member of Romanian Senate,Media,Romanian Legislator Cretu,,int_leg_handles,c892019f06ce57e781fbb382413f4468,int_leg_handles__c892019f06ce57e781fbb382413f4468
gabrielafirea,Romanian Legislator Firea,romania,romania,Bucharest,Romania,Bucharest,Senate of Romania,Social Democratic Party,Gabriela,Firea,Legislator,Member of Romanian Senate,Legislator,Romanian Legislator Firea,,int_leg_handles,7e382009e81551e9d55457fdcf818f47,int_leg_handles__7e382009e81551e9d55457fdcf818f47
mindrutageorge,Romanian Legislator Mîndruta,romania,romania,Bucharest,Romania,Suceava,Senate of Romania,"Liberty, Unity and Solidarity Party",Gheorghita,Mîndruta,Legislator,Member of Romanian Senate,Organization,Romanian Legislator Mîndruta,,int_leg_handles,fca2898c3051b0e6ee5c94ac9a4ad54e,int_leg_handles__fca2898c3051b0e6ee5c94ac9a4ad54e
vela_marcel,Romanian Legislator Vela,romania,romania,Bucharest,Romania,Caras-Severin,Senate of Romania,National Liberal Party,Ion,Vela,Legislator,Member of Romanian Senate,Keyphrase,Romanian Legislator Vela,,int_leg_handles,9b41c65b6ac664ff86ad912380c1b4ec,int_leg_handles__9b41c65b6ac664ff86ad912380c1b4ec
ioandragost,Romanian Legislator Popescu,romania,romania,Bucharest,Romania,Dambovita,Senate of Romania,Save Romania Union,Ion-Dragos,Popescu,Legislator,Member of Romanian Senate,CompanyKeyword,Romanian Legislator Popescu,,int_leg_handles,b3e3a33188645537f1385408e32a991c,int_leg_handles__b3e3a33188645537f1385408e32a991c
leonardazamfir2,Romanian Legislator Azamfirei,romania,romania,Bucharest,Romania,Mures,Senate of Romania,Social Democratic Party,Leonard,Azamfirei,Legislator,Member of Romanian Senate,CompanyKeyword,Romanian Legislator Azamfirei,,int_leg_handles,a725511a6fb572c04df343132b93820c,int_leg_handles__a725511a6fb572c04df343132b93820c
bodea2016,Romanian Legislator Bodea,romania,romania,Bucharest,Romania,Lasi,Senate of Romania,Save Romania Union,Marius,Bodea,Legislator,Member of Romanian Senate,IndustryTerm,Romanian Legislator Bodea,,int_leg_handles,d4abb23e0e697adefcba52385fed0508,int_leg_handles__d4abb23e0e697adefcba52385fed0508
adrianoros_agri,Romanian Minister of Agriculture and Rural Development Legislator Oros,romania,romania,Bucharest,Romania,Cluj-Napoca,Senate of Romania,National Liberal Party,Nechita-Adrian,Oros,Legislator,Ministry of Agriculture and Rural Development,Exec,Romanian Minister of Agriculture and Rural Development Legislator Oros,,int_leg_handles,27ef85d0ab5f8e7c69a596e712b21036,int_leg_handles__27ef85d0ab5f8e7c69a596e712b21036
nicolaeciuca,Romanian Legislator Ciuca,romania,romania,Bucharest,Romania,Dolj,Senate of Romania,National Liberal Party,Nicolae,Ciuca,Legislator,Member of Romanian Senate,Shipping,Romanian Legislator Ciuca,,int_leg_handles,3f03aa05626f444ff5b1ba8622bad086,int_leg_handles__3f03aa05626f444ff5b1ba8622bad086
radumihail_eu,Romanian Legislator Mihail,romania,romania,Bucharest,Romania,N/A,Senate of Romania,Save Romania Union,Radu-Mihai,Mihail,Legislator,Member of Romanian Senate,Refinery,Romanian Legislator Mihail,,int_leg_handles,874feea7705e704ed7376cf62ee6bd33,int_leg_handles__874feea7705e704ed7376cf62ee6bd33
ralucutza0322,Romanian Legislator Ioan,romania,romania,Bucharest,Romania,Vrancea,Senate of Romania,National Liberal Party,Raluca-Gabriela,Ioan,Legislator,Member of Romanian Senate,Person,Romanian Legislator Ioan,,int_leg_handles,020455f8dba4bc61630e7c864d20ac27,int_leg_handles__020455f8dba4bc61630e7c864d20ac27
robertaanastase,Romanian Legislator Anastase,romania,romania,Bucharest,Romania,Prahova,Senate of Romania,National Liberal Party,Roberta,Anastase,Legislator,Member of Romanian Senate,space,Romanian Legislator Anastase,,int_leg_handles,f1cb5aabccaad0b8068533f9114fc9c9,int_leg_handles__f1cb5aabccaad0b8068533f9114fc9c9
silviadinica,Romanian Legislator Dinica,romania,romania,Bucharest,Romania,Bucharest,Senate of Romania,Save Romania Union,Silvia,Dinica,Legislator,Member of Romanian Senate,Diplomat,Romanian Legislator Dinica,,int_leg_handles,b0c96cbbde1141ec0cfc7ab48d42ffcb,int_leg_handles__b0c96cbbde1141ec0cfc7ab48d42ffcb
cristim74,Romanian Legislator Mateescu,romania,romania,Bucharest,Romania,Constanta,Senate of Romania,Alliance for the Union of Romanians,Sorin-Cristian,Mateescu,Legislator,Member of Romanian Senate,Organization,Romanian Legislator Mateescu,,int_leg_handles,2aef8c77a62d89635392f6c312de2895,int_leg_handles__2aef8c77a62d89635392f6c312de2895
stefanpalarie,Romanian Legislator Palarie,romania,romania,Bucharest,Romania,Bucharest,Senate of Romania,Save Romania Union,Stefan,Palarie,Legislator,Member of Romanian Senate,Legislator,Romanian Legislator Palarie,,int_leg_handles,767ea201bd9ca83cf0edf396dccd2ad4,int_leg_handles__767ea201bd9ca83cf0edf396dccd2ad4
stefanraduoprea,Romanian Legislator Oprea,romania,romania,Bucharest,Romania,Prahova,Senate of Romania,Social Democratic Party,Stefan-Radu,Oprea,Legislator,Member of Romanian Senate,CompanyKeyword,Romanian Legislator Oprea,,int_leg_handles,de506803c8d468d5cef41c56feb396d7,int_leg_handles__de506803c8d468d5cef41c56feb396d7
vasiledancu,Romanian Legislator Dincu,romania,romania,Bucharest,Romania,Cluj-Napoca,Senate of Romania,Social Democratic Party,Vasile,Dincu,Legislator,Member of Romanian Senate,Organization,Romanian Legislator Dincu,,int_leg_handles,03e9d10f91ea04406db48ffd02350c7a,int_leg_handles__03e9d10f91ea04406db48ffd02350c7a
viorelbadea11,Romanian Legislator Badea,romania,romania,Bucharest,Romania,N/A,Senate of Romania,National Liberal Party,Viorel-Riceard,Badea,Legislator,Member of Romanian Senate,CompanyKeyword,Romanian Legislator Badea,,int_leg_handles,7d2db3edc57817ffbd837711abd22f5b,int_leg_handles__7d2db3edc57817ffbd837711abd22f5b
aaramireddy,Indian Legislator Reddy,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Legislator,Indian Legislator Reddy,,int_leg_handles,54ad945fad6e19a8a088d23435b8cc3e,int_leg_handles__54ad945fad6e19a8a088d23435b8cc3e
mopidevi_mp,Indian Legislator Venkataramana,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,CompanyKeyword,Indian Legislator Venkataramana,,int_leg_handles,75cea319541eff7fd9db1b2db1f34214,int_leg_handles__75cea319541eff7fd9db1b2db1f34214
mpparimal,Indian Legislator Nathwani,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,News,Indian Legislator Nathwani,,int_leg_handles,3bd7362beb467874e4092f783b0a544e,int_leg_handles__3bd7362beb467874e4092f783b0a544e
vpr_official_,Indian Legislator Reddy,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Consulates,Indian Legislator Reddy,,int_leg_handles,9e9c9af99dfe8b43946ed2f9b7b75083,int_leg_handles__9e9c9af99dfe8b43946ed2f9b7b75083
vsreddy_mp,Indian Legislator Reddy,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Pipeline,Indian Legislator Reddy,,int_leg_handles,2480935bdd772f101cc6b55a57fd99f6,int_leg_handles__2480935bdd772f101cc6b55a57fd99f6
sureshpprabhu,Indian Legislator Prabhu,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,CompanyKeyword,Indian Legislator Prabhu,,int_leg_handles,3ae1b3095c113cb43f6769247bbfcc91,int_leg_handles__3ae1b3095c113cb43f6769247bbfcc91
yschowdary,Indian Legislator Chowdary,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,CompanyKeyword,Indian Legislator Chowdary,,int_leg_handles,5d23d65feb5613cc8a56ea7236f136b8,int_leg_handles__5d23d65feb5613cc8a56ea7236f136b8
tgvenkateshmp,Indian Legislator Venkatesh,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,ForeignMinister,Indian Legislator Venkatesh,,int_leg_handles,000ca8f081704203272800e5d6840ed1,int_leg_handles__000ca8f081704203272800e5d6840ed1
kanakamedalark,Indian Legislator Kumar,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,LegislativeCommittee,Indian Legislator Kumar,,int_leg_handles,5c57886f030dd0932c3a946d8e07f51c,int_leg_handles__5c57886f030dd0932c3a946d8e07f51c
rebianabam,Indian Legislator Rebia,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Organization,Indian Legislator Rebia,,int_leg_handles,068f5301863afa5d4d8c803ac11c4e4a,int_leg_handles__068f5301863afa5d4d8c803ac11c4e4a
bkalitaassam,Indian Legislator Kalita,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Wells,Indian Legislator Kalita,,int_leg_handles,04814fbd02bf7d9504b54663aa000f31,int_leg_handles__04814fbd02bf7d9504b54663aa000f31
kamakhyatasa,Indian Legislator Tasa,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Refinery,Indian Legislator Tasa,,int_leg_handles,512182463d93464e73613dbf076fd46d,int_leg_handles__512182463d93464e73613dbf076fd46d
ripunbora,Indian Legislator Bora,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,DiplomaticFacilities,Indian Legislator Bora,,int_leg_handles,43537c57419f51a186648b2d6f4f402a,int_leg_handles__43537c57419f51a186648b2d6f4f402a
raneenarah,Indian Legislator Narah,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,AAEntity,Indian Legislator Narah,,int_leg_handles,19be9fdeb92e29b9f68903f48aabbd02,int_leg_handles__19be9fdeb92e29b9f68903f48aabbd02
ajitkrbhuyan,Indian Legislator Bhuyan,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Media,Indian Legislator Bhuyan,,int_leg_handles,aedc962a30c591cb5aeb41b33db2e130,int_leg_handles__aedc962a30c591cb5aeb41b33db2e130
bashisthanarain,Indian Legislator Singh,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Diplomat,Indian Legislator Singh,,int_leg_handles,76fec2c94e95e4d78f0b60afa1a3aa5c,int_leg_handles__76fec2c94e95e4d78f0b60afa1a3aa5c
amarendra2014,Indian Legislator Singh,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Shipping,Indian Legislator Singh,,int_leg_handles,bf8d687ac1f28965144922ebdc3c6067,int_leg_handles__bf8d687ac1f28965144922ebdc3c6067
manojkjhadu,Indian Legislator Jha,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,CompanyKeyword,Indian Legislator Jha,,int_leg_handles,61eb2a3a5211be16fe11afb232d45773,int_leg_handles__61eb2a3a5211be16fe11afb232d45773
ashfaque4bihar,Indian Legislator  Karim,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Pipeline,Indian Legislator  Karim,,int_leg_handles,ac96cada1b5913a1b238629a47e29e9b,int_leg_handles__ac96cada1b5913a1b238629a47e29e9b
vivekthakur,Indian Legislator Thakur,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Pipeline,Indian Legislator Thakur,,int_leg_handles,5f92b7abe75f12a002af5baff2adec84,int_leg_handles__5f92b7abe75f12a002af5baff2adec84
sushilmodi,Indian Legislator Modi,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Shipping,Indian Legislator Modi,,int_leg_handles,51e31efa53714ea89d89b7f19dd0225e,int_leg_handles__51e31efa53714ea89d89b7f19dd0225e
gopal4bjp,Indian Legislator Singh,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,News,Indian Legislator Singh,,int_leg_handles,892b68b6a405ab909dbbab72d47261ba,int_leg_handles__892b68b6a405ab909dbbab72d47261ba
satishdubeyy,Indian Legislator Dubey,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Wells,Indian Legislator Dubey,,int_leg_handles,a5a11e086ea491ee09ad1be61ab2b2fa,int_leg_handles__a5a11e086ea491ee09ad1be61ab2b2fa
akhileshpdsingh,Indian Legislator Singh,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Person,Indian Legislator Singh,,int_leg_handles,bd08863a7582409330fccd2fed9ebd45,int_leg_handles__bd08863a7582409330fccd2fed9ebd45
netamphulodevi,Indian Legislator Netam,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,LegislativeCommittee,Indian Legislator Netam,,int_leg_handles,d3633467f71e956e62a18e5dd54ee45a,int_leg_handles__d3633467f71e956e62a18e5dd54ee45a
mpktstulsi,Indian Legislator Tulsi,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,space,Indian Legislator Tulsi,,int_leg_handles,8af2408f41d7f7c80b31917d46bf31bc,int_leg_handles__8af2408f41d7f7c80b31917d46bf31bc
chhayavermamp,Indian Legislator Verma,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,FTO,Indian Legislator Verma,,int_leg_handles,7b51c7314add6eda7571b7df1a5cdaa5,int_leg_handles__7b51c7314add6eda7571b7df1a5cdaa5
sarojpandeybjp,Indian Legislator Pandey,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,News,Indian Legislator Pandey,,int_leg_handles,8895fe1cb927c4202979af9c4fff6846,int_leg_handles__8895fe1cb927c4202979af9c4fff6846
ramvicharnetam,Indian Legislator  Netam,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,LegislativeCommittee,Indian Legislator  Netam,,int_leg_handles,98d12c4c17358357e6c862d80eea9879,int_leg_handles__98d12c4c17358357e6c862d80eea9879
tendulkarbjp,Indian Legislator Tendulkar,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Keyphrase,Indian Legislator Tendulkar,,int_leg_handles,4951d95d4eb8849abf198599760d8502,int_leg_handles__4951d95d4eb8849abf198599760d8502
amramilaben_bara,Indian Legislator Bara,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Wells,Indian Legislator Bara,,int_leg_handles,3dccf7c6ccba36edfc16be4223417c6c,int_leg_handles__3dccf7c6ccba36edfc16be4223417c6c
narhari_amin,Indian Legislator Amin,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,IndustryTerm,Indian Legislator Amin,,int_leg_handles,9041b4b7a3789d60d326478a5b69a5d7,int_leg_handles__9041b4b7a3789d60d326478a5b69a5d7
rambhaimokariya,Indian Legislator Mokariya,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Diplomat,Indian Legislator Mokariya,,int_leg_handles,5560d68c2457816065cb41b69e05b431,int_leg_handles__5560d68c2457816065cb41b69e05b431
prupala,Indian Legislator Rupala,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Refinery,Indian Legislator Rupala,,int_leg_handles,0951911b33aae53b9101f782647d7638,int_leg_handles__0951911b33aae53b9101f782647d7638
mansukhmandviya,Indian Legislator Mandaviya,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Wells,Indian Legislator Mandaviya,,int_leg_handles,64103b2aed868cb97d23cac47ddd0806,int_leg_handles__64103b2aed868cb97d23cac47ddd0806
drsjaishankar,Indian Legislator Jaishankar,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,AAEntity,Indian Legislator Jaishankar,,int_leg_handles,1a55802cf1c21ad7978100604ad7039f,int_leg_handles__1a55802cf1c21ad7978100604ad7039f
anavadiyadinesh,Indian Legislator Anavadiya,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Organization,Indian Legislator Anavadiya,,int_leg_handles,dd2a10533530f02462d71df3f3e0eb97,int_leg_handles__dd2a10533530f02462d71df3f3e0eb97
shaktisinhgohil,Indian Legislator Gohil,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Person,Indian Legislator Gohil,,int_leg_handles,1933449f13a0e9ef5aafd75918e3f4f9,int_leg_handles__1933449f13a0e9ef5aafd75918e3f4f9
ameeyajnik,Indian Legislator Yajnik,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Refinery,Indian Legislator Yajnik,,int_leg_handles,d1833b6327cd3a33813ec048cc0387e9,int_leg_handles__d1833b6327cd3a33813ec048cc0387e9
ltgndpvats,Indian Legislator Vats,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Consulates,Indian Legislator Vats,,int_leg_handles,14845d39164a2c60624703f2c5abc855,int_leg_handles__14845d39164a2c60624703f2c5abc855
dushyanttgautam,Indian Legislator Gautam,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Shipping,Indian Legislator Gautam,,int_leg_handles,948bb65adf1ff5cd8610c6b45dca0717,int_leg_handles__948bb65adf1ff5cd8610c6b45dca0717
deependershooda,Indian Legislator Hooda,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,AAEntity,Indian Legislator Hooda,,int_leg_handles,5dada455c90729d00490c7606b410ad4,int_leg_handles__5dada455c90729d00490c7606b410ad4
subhashchandra,Former India Legislator Chandra,india,india,,india,,,,,,Legislator,Former Member of Rajya Sabha,Shipping,Former India Legislator Chandra,,int_leg_handles,c008849a008c79f9a4e6fb1a5cdcc8c7,int_leg_handles__c008849a008c79f9a4e6fb1a5cdcc8c7
indugoswamibjp,Indian Legislator Goswami,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Legislator,Indian Legislator Goswami,,int_leg_handles,a6fe0e59d95a9f8c8afd92ae4767ba9c,int_leg_handles__a6fe0e59d95a9f8c8afd92ae4767ba9c
jpnadda,Bharatiya Janata Party President Nadda,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,ForeignMinistry,Bharatiya Janata Party President Nadda,,int_leg_handles,792a7518ff5cdcd5d1a60e13a47bf8b5,int_leg_handles__792a7518ff5cdcd5d1a60e13a47bf8b5
anandsharmainc,Indian Legislator Sharma,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Consulates,Indian Legislator Sharma,,int_leg_handles,e9f964fa98e1229287a21ac0cd329ece,int_leg_handles__e9f964fa98e1229287a21ac0cd329ece
dprakashbjp,Indian Legislator Prakash,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Keyphrase,Indian Legislator Prakash,,int_leg_handles,8752075af4d20c539033e5d2704b8c93,int_leg_handles__8752075af4d20c539033e5d2704b8c93
sameeroraon16,Indian Legislator Oraon,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,ForeignMinister,Indian Legislator Oraon,,int_leg_handles,bdfadb2dc9fbfe3e9bdd76389c3f77b6,int_leg_handles__bdfadb2dc9fbfe3e9bdd76389c3f77b6
naqvimukhtar,Indian Legislator Naqvi,india,india,,india,,,,,,Legislator,Deputy Leader of the House in Rajya Sabha,Consulates,Indian Legislator Naqvi,,int_leg_handles,bb99e76232942fff7b591cd1ed05b556,int_leg_handles__bb99e76232942fff7b591cd1ed05b556
maheshpoddarmp,Indian Legislator Poddar,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Refinery,Indian Legislator Poddar,,int_leg_handles,104cc5f95569c39332b1929ed5ecae3e,int_leg_handles__104cc5f95569c39332b1929ed5ecae3e
dpsahuinc,Former Indian Legislator Sahu,india,india,,india,,,,,,Legislator,Former Member of Rajya Sabha,IndustryTerm,Former Indian Legislator Sahu,,int_leg_handles,6bd746c18bc39ba316d46c4065ae2bf3,int_leg_handles__6bd746c18bc39ba316d46c4065ae2bf3
kharge,Indian Leader of Opposition in Rajya Sabha,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Media,Indian Leader of Opposition in Rajya Sabha,,int_leg_handles,d36a1f3290d4b9d47a2bc97fd11748f9,int_leg_handles__d36a1f3290d4b9d47a2bc97fd11748f9
lhanumanthaiah,Indian Legislator Hanumanthaiah,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,space,Indian Legislator Hanumanthaiah,,int_leg_handles,b9a3a0044e54b91ca5ea4f89f479f11d,int_leg_handles__b9a3a0044e54b91ca5ea4f89f479f11d
gcc_mp,Indian Legislator Chandrasekhar,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Legislator,Indian Legislator Chandrasekhar,,int_leg_handles,1e71372010c87d4bacbb55f076205be7,int_leg_handles__1e71372010c87d4bacbb55f076205be7
nasirhussaininc,Indian Legislator Hussain,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Person,Indian Legislator Hussain,,int_leg_handles,8201bf27379042440e1a516b35d4a457,int_leg_handles__8201bf27379042440e1a516b35d4a457
jairam_ramesh,Indian Legislator Ramesh,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,DiplomaticFacilities,Indian Legislator Ramesh,,int_leg_handles,9ad02bc4737177681f408cbdd6b4f394,int_leg_handles__9ad02bc4737177681f408cbdd6b4f394
irannakadadi_mp,Indian Legislator Kadadi,india,india,,india,,,,,,Legislator,Member of Rajya Sabha,Keyphrase,Indian Legislator Kadadi,,int_leg_handles,b286f83b42ba26027410f5e72bf81230,int_leg_handles__b286f83b42ba26027410f5e72bf81230
