german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
im rosengarten,"Im Rosengarten in Bornheim, Germany",50.7829269,6.9211092,1,,,,,,AAEntity,"Im Rosengarten in Bornheim, Germany",,german_fires_bornheim_locations,0d124f06d47c00de4d7939d26bd850bc,german_fires_bornheim_locations__0d124f06d47c00de4d7939d26bd850bc
in der liebeflache,"In der Liebeflache in Bornheim, Germany",50.7791698,6.9190726,1,,,,,,AAEntity,"In der Liebeflache in Bornheim, Germany",,german_fires_bornheim_locations,678494902f91964b0e0d3ea8bbfe4347,german_fires_bornheim_locations__678494902f91964b0e0d3ea8bbfe4347
in der proffflache,"In der Proffflache in Bornheim, Germany",50.7598015,6.9913813,1,,,,,,Organization,"In der Proffflache in Bornheim, Germany",,german_fires_bornheim_locations,dc81c9d7d07aac2a5fc276614654f0e0,german_fires_bornheim_locations__dc81c9d7d07aac2a5fc276614654f0e0
innstrasse,"Innstrasse in Bornheim, Germany",50.769788,7.0535599,1,,,,,,IndustryTerm,"Innstrasse in Bornheim, Germany",,german_fires_bornheim_locations,d0b3af971cf0ea427177106cc20f7a80,german_fires_bornheim_locations__d0b3af971cf0ea427177106cc20f7a80
inselstrasse,"Inselstrasse in Bornheim, Germany",50.7821726,7.0339876,1,,,,,,Organization,"Inselstrasse in Bornheim, Germany",,german_fires_bornheim_locations,9e88bfef8cd212965dd1ef70a739fd8a,german_fires_bornheim_locations__9e88bfef8cd212965dd1ef70a739fd8a
irlenputz,"Irlenputz in Bornheim, Germany",50.7911744,6.9088056,1,,,,,,Media,"Irlenputz in Bornheim, Germany",,german_fires_bornheim_locations,77e5c3d490c915dfa178f226ad0727ad,german_fires_bornheim_locations__77e5c3d490c915dfa178f226ad0727ad
isarstrasse,"Isarstrasse in Bornheim, Germany",50.7834796,7.0326252,1,,,,,,Media,"Isarstrasse in Bornheim, Germany",,german_fires_bornheim_locations,b68539c611794677d946f7bd5b6039b8,german_fires_bornheim_locations__b68539c611794677d946f7bd5b6039b8
jakobstrasse,"Jakobstrasse in Bornheim, Germany",50.7880499,6.9494028,1,,,,,,Shipping,"Jakobstrasse in Bornheim, Germany",,german_fires_bornheim_locations,49715820cbb71a805dc99fb2f5a4f071,german_fires_bornheim_locations__49715820cbb71a805dc99fb2f5a4f071
jenaer strasse,"Jenaer strasse in Bornheim, Germany",50.792698,6.950639,1,,,,,,Keyphrase,"Jenaer strasse in Bornheim, Germany",,german_fires_bornheim_locations,b664f272f9c803f44cdaf36d5844379c,german_fires_bornheim_locations__b664f272f9c803f44cdaf36d5844379c
jennerstrasse,"Jennerstrasse in Bornheim, Germany",50.7628021,6.9306088,1,,,,,,DiplomaticFacilities,"Jennerstrasse in Bornheim, Germany",,german_fires_bornheim_locations,28cff7d0e84228e18ecd7c8271e32819,german_fires_bornheim_locations__28cff7d0e84228e18ecd7c8271e32819
jesuitenbungert,"Jesuitenbungert in Bornheim, Germany",50.7928155,6.917895,1,,,,,,Pipeline,"Jesuitenbungert in Bornheim, Germany",,german_fires_bornheim_locations,789e80e9d260f10b30b881901ec830d8,german_fires_bornheim_locations__789e80e9d260f10b30b881901ec830d8
jodokusstrasse,"Jodokusstrasse in Bornheim, Germany",50.7965044,6.9053729,1,,,,,,DiplomaticFacilities,"Jodokusstrasse in Bornheim, Germany",,german_fires_bornheim_locations,b8252c4bf0d3ed740058c7a2307f6378,german_fires_bornheim_locations__b8252c4bf0d3ed740058c7a2307f6378
johann-heister-weg,"Johann-Heister-Weg in Bornheim, Germany",50.7524144,7.0112337,1,,,,,,LegislativeCommittee,"Johann-Heister-Weg in Bornheim, Germany",,german_fires_bornheim_locations,24be97960c9f9363a86413a32264ccbd,german_fires_bornheim_locations__24be97960c9f9363a86413a32264ccbd
josef-gortz-strasse,"Josef-Gortz-strasse in Bornheim, Germany",50.7518934,7.0110774,1,,,,,,ForeignMinister,"Josef-Gortz-strasse in Bornheim, Germany",,german_fires_bornheim_locations,866d2d9bd60e9a2a4a1a76eb5a4b9920,german_fires_bornheim_locations__866d2d9bd60e9a2a4a1a76eb5a4b9920
josephine-von-boeselager-strasse,"Josephine-von-Boeselager-strasse in Bornheim, Germany",50.7783435,6.9194861,1,,,,,,Media,"Josephine-von-Boeselager-strasse in Bornheim, Germany",,german_fires_bornheim_locations,cf5bd989e18731af0ec16a51a64813c5,german_fires_bornheim_locations__cf5bd989e18731af0ec16a51a64813c5
jupiterstrasse,"Jupiterstrasse in Bornheim, Germany",50.7879588,6.95549,1,,,,,,Shipping,"Jupiterstrasse in Bornheim, Germany",,german_fires_bornheim_locations,1c6ff2ffd06495a06785d1852a416f5f,german_fires_bornheim_locations__1c6ff2ffd06495a06785d1852a416f5f
kampchenweg,"Kampchenweg in Bornheim, Germany",50.7861621,6.9546358,1,,,,,,Organization,"Kampchenweg in Bornheim, Germany",,german_fires_bornheim_locations,abfd90dc03cf7eececa2e2e647ccaca8,german_fires_bornheim_locations__abfd90dc03cf7eececa2e2e647ccaca8
kathe-kollwitz-weg,"Kathe-Kollwitz-Weg in Bornheim, Germany",50.7898743,6.9525244,1,,,,,,AAEntity,"Kathe-Kollwitz-Weg in Bornheim, Germany",,german_fires_bornheim_locations,7506a70a09d6e4f02aae785e0626e3fe,german_fires_bornheim_locations__7506a70a09d6e4f02aae785e0626e3fe
kaiserstrasse,"Kaiserstrasse in Bornheim, Germany",50.7853045,6.9509814,1,,,,,,CompanyKeyword,"Kaiserstrasse in Bornheim, Germany",,german_fires_bornheim_locations,b13c0aa285c47230f4afc3990f52e2d4,german_fires_bornheim_locations__b13c0aa285c47230f4afc3990f52e2d4
