keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
executives,executives,Organization,executives,,dgm_infrastructure,16f269a7f2f911a82b80d202050aa0db,dgm_infrastructure__16f269a7f2f911a82b80d202050aa0db
boardmember,boardmember,Pipeline,boardmember,,dgm_infrastructure,51f68506bbb33a633fa7776b19187392,dgm_infrastructure__51f68506bbb33a633fa7776b19187392
board member,boardmember,DiplomaticFacilities,boardmember,,dgm_infrastructure,51f68506bbb33a633fa7776b19187392,dgm_infrastructure__51f68506bbb33a633fa7776b19187392
manager,manager,ForeignMinistry,manager,,dgm_infrastructure,1d0258c2440a8d19e716292b231e3190,dgm_infrastructure__1d0258c2440a8d19e716292b231e3190
C suite,executives,DiplomaticFacilities,executives,,dgm_infrastructure,16f269a7f2f911a82b80d202050aa0db,dgm_infrastructure__16f269a7f2f911a82b80d202050aa0db
HR,Human Resources,Legislator,Human Resources,,dgm_infrastructure,d19092ef5301d9548911f87a817f8c44,dgm_infrastructure__d19092ef5301d9548911f87a817f8c44
CTO,executive,Media,executive,,dgm_infrastructure,3250d1e21c4281d3cd9479f5685770b6,dgm_infrastructure__3250d1e21c4281d3cd9479f5685770b6
CISO,executive,Wells,executive,,dgm_infrastructure,3250d1e21c4281d3cd9479f5685770b6,dgm_infrastructure__3250d1e21c4281d3cd9479f5685770b6
VP,executive,AAEntity,executive,,dgm_infrastructure,3250d1e21c4281d3cd9479f5685770b6,dgm_infrastructure__3250d1e21c4281d3cd9479f5685770b6
EVP,executive,Media,executive,,dgm_infrastructure,3250d1e21c4281d3cd9479f5685770b6,dgm_infrastructure__3250d1e21c4281d3cd9479f5685770b6
president,president,IndustryTerm,president,,dgm_infrastructure,c8d56be998c94089ea6e1147dc9253c1,dgm_infrastructure__c8d56be998c94089ea6e1147dc9253c1
vice president,executive,AAEntity,executive,,dgm_infrastructure,3250d1e21c4281d3cd9479f5685770b6,dgm_infrastructure__3250d1e21c4281d3cd9479f5685770b6
personnel,personnel,FTO,personnel,,dgm_infrastructure,f82366a9ddc064585d54e3f78bde3221,dgm_infrastructure__f82366a9ddc064585d54e3f78bde3221
workforce,workforce,Media,workforce,,dgm_infrastructure,4a2125c5934e8e01a02220017c0f5646,dgm_infrastructure__4a2125c5934e8e01a02220017c0f5646
boss,boss,Refinery,boss,,dgm_infrastructure,ceb8447cc4ab78d2ec34cd9f11e4bed2,dgm_infrastructure__ceb8447cc4ab78d2ec34cd9f11e4bed2
coworker,co-worker,DiplomaticFacilities,co-worker,,dgm_infrastructure,a037585056ef80bc5ebcfdf81d5ef42a,dgm_infrastructure__a037585056ef80bc5ebcfdf81d5ef42a
co-worker,co-worker,CompanyKeyword,co-worker,,dgm_infrastructure,a037585056ef80bc5ebcfdf81d5ef42a,dgm_infrastructure__a037585056ef80bc5ebcfdf81d5ef42a
colleague,colleague,AAEntity,colleague,,dgm_infrastructure,2799d44695d2f1ac3b39b8a3a384309e,dgm_infrastructure__2799d44695d2f1ac3b39b8a3a384309e
CMO,executive,DiplomaticFacilities,executive,,dgm_infrastructure,3250d1e21c4281d3cd9479f5685770b6,dgm_infrastructure__3250d1e21c4281d3cd9479f5685770b6
WFH employees,employees,Shipping,employees,,dgm_infrastructure,582ca3f7cbaf4edcc1b445f8ea90b503,dgm_infrastructure__582ca3f7cbaf4edcc1b445f8ea90b503
asset,asset,Shipping,asset,,dgm_infrastructure,c04e34d445e31a2159c1bfeb882ba212,dgm_infrastructure__c04e34d445e31a2159c1bfeb882ba212
prototype,prototype,Media,prototype,,dgm_infrastructure,c18462a35a7af69a3eea94f84b7d6a46,dgm_infrastructure__c18462a35a7af69a3eea94f84b7d6a46
webinar,webinar,News,webinar,,dgm_infrastructure,db53a344cb3e6143f8cdb84983b9fac3,dgm_infrastructure__db53a344cb3e6143f8cdb84983b9fac3
supplier,supplier,IndustryTerm,supplier,,dgm_infrastructure,99b0e8da24e29e4ccb5d7d76e677c2ac,dgm_infrastructure__99b0e8da24e29e4ccb5d7d76e677c2ac
supply chain,supply chain,Refinery,supply chain,,dgm_infrastructure,4d10ee2b9e26c67165b415e00eb3dc0d,dgm_infrastructure__4d10ee2b9e26c67165b415e00eb3dc0d
subsidiary,subsidiary,CompanyKeyword,subsidiary,,dgm_infrastructure,91471cb450b94cb668e932f217b7a5a0,dgm_infrastructure__91471cb450b94cb668e932f217b7a5a0
subsidiaries,subsidiaries,Keyphrase,subsidiaries,,dgm_infrastructure,8f446c035fc5fc3d2b31bd17f172a19d,dgm_infrastructure__8f446c035fc5fc3d2b31bd17f172a19d
contractor,contractor,DiplomaticFacilities,contractor,,dgm_infrastructure,26744aa9d6c04c246957fb97d987546c,dgm_infrastructure__26744aa9d6c04c246957fb97d987546c
contractors,contractors,Diplomat,contractors,,dgm_infrastructure,afd5c0fd2ee43e4ecee8159c7a7c63e4,dgm_infrastructure__afd5c0fd2ee43e4ecee8159c7a7c63e4
vendor,vendor,Refinery,vendor,,dgm_infrastructure,7c3613dba5171cb6027c67835dd3b9d4,dgm_infrastructure__7c3613dba5171cb6027c67835dd3b9d4
vendors,vendors,Person,vendors,,dgm_infrastructure,2bc28e228525b75e14c07dbc14850c34,dgm_infrastructure__2bc28e228525b75e14c07dbc14850c34
assembly line,assembly line,AAEntity,assembly line,,dgm_infrastructure,b47a55101fbeaada812397e7ef5eac50,dgm_infrastructure__b47a55101fbeaada812397e7ef5eac50
shareholder meeting,shareholder meeting,Refinery,shareholder meeting,,dgm_infrastructure,86adf5c100ec572f029e775d5774d0e3,dgm_infrastructure__86adf5c100ec572f029e775d5774d0e3
AGM,Annual General Meeting,ForeignMinister,Annual General Meeting,,dgm_infrastructure,a2e892ddad9dad38231db6467beb5cc6,dgm_infrastructure__a2e892ddad9dad38231db6467beb5cc6
ASM,Annual Shareholder Meeting,Pipeline,Annual Shareholder Meeting,,dgm_infrastructure,d084670857c7b8e2b83bec83accf9f47,dgm_infrastructure__d084670857c7b8e2b83bec83accf9f47
event,event,AAEntity,event,,dgm_infrastructure,4119639092e62c55ea8be348e4d9260d,dgm_infrastructure__4119639092e62c55ea8be348e4d9260d
annual general meeting,Annual General Meeting,Person,Annual General Meeting,,dgm_infrastructure,a2e892ddad9dad38231db6467beb5cc6,dgm_infrastructure__a2e892ddad9dad38231db6467beb5cc6
meeting,meeting,Wells,meeting,,dgm_infrastructure,d48788168076b999d36c4f3ccb75ba2f,dgm_infrastructure__d48788168076b999d36c4f3ccb75ba2f
convention,convention,ForeignMinistry,convention,,dgm_infrastructure,3de887773a05862104ed852d8439d649,dgm_infrastructure__3de887773a05862104ed852d8439d649
conference,conference,Wells,conference,,dgm_infrastructure,ab3049da9a0cd8d6e8b7c62586752472,dgm_infrastructure__ab3049da9a0cd8d6e8b7c62586752472
annual shareholder meeting,Annual Shareholder Meeting,Pipeline,Annual Shareholder Meeting,,dgm_infrastructure,d084670857c7b8e2b83bec83accf9f47,dgm_infrastructure__d084670857c7b8e2b83bec83accf9f47
board meeting,board meeting,Person,board meeting,,dgm_infrastructure,bdaf49d8626960c2472dc57aa969e516,dgm_infrastructure__bdaf49d8626960c2472dc57aa969e516
company event,company event,IndustryTerm,company event,,dgm_infrastructure,5e934a2fb962f5bc1f665ae133f02260,dgm_infrastructure__5e934a2fb962f5bc1f665ae133f02260
shareholder event,shareholder event,Diplomat,shareholder event,,dgm_infrastructure,0433e7ea52a0b48389b0671bd53094f8,dgm_infrastructure__0433e7ea52a0b48389b0671bd53094f8
