keyword,caption_name,location_lower,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
Bulgaria,Bulgaria,Bulgaria,Country,Country,Bulgaria,,dgm_traveladvisories_countries_aus,01a151debf2bfee8906f43f4342eb10b,dgm_traveladvisories_countries_aus__01a151debf2bfee8906f43f4342eb10b
Burkina-Faso,Burkina-Faso,Burkina-Faso,Country,Country,Burkina-Faso,,dgm_traveladvisories_countries_aus,cf68d0d3d2fa05935664b6da5a8686f4,dgm_traveladvisories_countries_aus__cf68d0d3d2fa05935664b6da5a8686f4
Burma,Burma,Burma,Country,Country,Burma,,dgm_traveladvisories_countries_aus,23be57ebecbefd97253f6a2ef9abf53c,dgm_traveladvisories_countries_aus__23be57ebecbefd97253f6a2ef9abf53c
Burundi,Burundi,Burundi,Country,Country,Burundi,,dgm_traveladvisories_countries_aus,28765464efe1b6583610335965b4d75a,dgm_traveladvisories_countries_aus__28765464efe1b6583610335965b4d75a
Cambodia,Cambodia,Cambodia,Country,Country,Cambodia,,dgm_traveladvisories_countries_aus,06c7a3c3a3344a62864b951aec4df830,dgm_traveladvisories_countries_aus__06c7a3c3a3344a62864b951aec4df830
Cameroon,Cameroon,Cameroon,Country,Country,Cameroon,,dgm_traveladvisories_countries_aus,4be25f9d27da71d4e98775668b5b12af,dgm_traveladvisories_countries_aus__4be25f9d27da71d4e98775668b5b12af
Canada (learn the provinces),Canada (learn the provinces),Canada (learn the provinces),Country,Country,Canada (learn the provinces),,dgm_traveladvisories_countries_aus,44999dd3bb302964d52de522e3b5c1e6,dgm_traveladvisories_countries_aus__44999dd3bb302964d52de522e3b5c1e6
Cape Verde Island,Cape Verde Island,Cape Verde Island,Country,Country,Cape Verde Island,,dgm_traveladvisories_countries_aus,1329d5ba4355f0db0705293dfe6f9792,dgm_traveladvisories_countries_aus__1329d5ba4355f0db0705293dfe6f9792
Central African Republic,Central African Republic,Central African Republic,Country,Country,Central African Republic,,dgm_traveladvisories_countries_aus,aa293d284f52b08da5ba7fe7792fe9c3,dgm_traveladvisories_countries_aus__aa293d284f52b08da5ba7fe7792fe9c3
Chad,Chad,Chad,Country,Country,Chad,,dgm_traveladvisories_countries_aus,e03653dedd6f4e142f4aca131995964f,dgm_traveladvisories_countries_aus__e03653dedd6f4e142f4aca131995964f
Chile,Chile,Chile,Country,Country,Chile,,dgm_traveladvisories_countries_aus,2e6507f70a9cc26fb50f5fd82a83c7ef,dgm_traveladvisories_countries_aus__2e6507f70a9cc26fb50f5fd82a83c7ef
China,China,China,Country,Country,China,,dgm_traveladvisories_countries_aus,ae54a5c026f31ada088992587d92cb3a,dgm_traveladvisories_countries_aus__ae54a5c026f31ada088992587d92cb3a
Colombia,Colombia,Colombia,Country,Country,Colombia,,dgm_traveladvisories_countries_aus,ef3388cc5659bccb742fb8af762f1bfd,dgm_traveladvisories_countries_aus__ef3388cc5659bccb742fb8af762f1bfd
Comoro Islands,Comoro Islands,Comoro Islands,Country,Country,Comoro Islands,,dgm_traveladvisories_countries_aus,cf28b88572ce7b7e633a0730c220e4ff,dgm_traveladvisories_countries_aus__cf28b88572ce7b7e633a0730c220e4ff
Congo,Congo,Congo,Country,Country,Congo,,dgm_traveladvisories_countries_aus,e496c53293c4103dc7ef0820eee96954,dgm_traveladvisories_countries_aus__e496c53293c4103dc7ef0820eee96954
Cook Islands,Cook Islands,Cook Islands,Country,Country,Cook Islands,,dgm_traveladvisories_countries_aus,4cddaf95370d849a891c1c6eb5c63243,dgm_traveladvisories_countries_aus__4cddaf95370d849a891c1c6eb5c63243
Costa Rica,Costa Rica,Costa Rica,Country,Country,Costa Rica,,dgm_traveladvisories_countries_aus,5882b568d8a010ef48a6896f53b6eddb,dgm_traveladvisories_countries_aus__5882b568d8a010ef48a6896f53b6eddb
Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,Country,Country,Côte d'Ivoire,,dgm_traveladvisories_countries_aus,04b9348054f102f0170ede9e58ef0a88,dgm_traveladvisories_countries_aus__04b9348054f102f0170ede9e58ef0a88
Croatia,Croatia,Croatia,Country,Country,Croatia,,dgm_traveladvisories_countries_aus,560d4c6ff431c86546f3fcec72c748c7,dgm_traveladvisories_countries_aus__560d4c6ff431c86546f3fcec72c748c7
Cuba,Cuba,Cuba,Country,Country,Cuba,,dgm_traveladvisories_countries_aus,33cac763789c407f405b2cf0dce7df89,dgm_traveladvisories_countries_aus__33cac763789c407f405b2cf0dce7df89
