keyword,caption_name,guid,address,coordinates,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
canadian imperial bank of commerce,CIBC,4e9e7d49f3fdceb3f60b4763bd4c7238,,,ForeignMinister,CIBC,,shodan_keyword_to_guid,8940a1f1c2e639791691182948545fcc,shodan_keyword_to_guid__8940a1f1c2e639791691182948545fcc
cnrl.com,CNRL,c8b34aa2ab1c10288981897335dca1cd,,,News,CNRL,,shodan_keyword_to_guid,089917565f0c3309da74f151f92e3aaf,shodan_keyword_to_guid__089917565f0c3309da74f151f92e3aaf
canadian natural resources limited,CNRL,c8b34aa2ab1c10288981897335dca1cd,,,Pipeline,CNRL,,shodan_keyword_to_guid,089917565f0c3309da74f151f92e3aaf,shodan_keyword_to_guid__089917565f0c3309da74f151f92e3aaf
capita.com,Capita,274e3b17022db77ad019c20a36cb8fb3,,,Refinery,Capita,,shodan_keyword_to_guid,edbdb698366c8cef1cafcb6f42fcb27a,shodan_keyword_to_guid__edbdb698366c8cef1cafcb6f42fcb27a
capita business services ltd,Capita,274e3b17022db77ad019c20a36cb8fb3,,,AAEntity,Capita,,shodan_keyword_to_guid,edbdb698366c8cef1cafcb6f42fcb27a,shodan_keyword_to_guid__edbdb698366c8cef1cafcb6f42fcb27a
capita group,Capita,274e3b17022db77ad019c20a36cb8fb3,,,Legislator,Capita,,shodan_keyword_to_guid,edbdb698366c8cef1cafcb6f42fcb27a,shodan_keyword_to_guid__edbdb698366c8cef1cafcb6f42fcb27a
carahsoft.com,Carahsoft,,,,Keyphrase,Carahsoft,,shodan_keyword_to_guid,25282761f995a4cd0b886e4247e7af51,shodan_keyword_to_guid__25282761f995a4cd0b886e4247e7af51
carahsoft technology corp.,Carahsoft,,,,Keyphrase,Carahsoft,,shodan_keyword_to_guid,25282761f995a4cd0b886e4247e7af51,shodan_keyword_to_guid__25282761f995a4cd0b886e4247e7af51
carahsoft,Carahsoft,,,,Media,Carahsoft,,shodan_keyword_to_guid,25282761f995a4cd0b886e4247e7af51,shodan_keyword_to_guid__25282761f995a4cd0b886e4247e7af51
carefirst.com,CareFirst,e0fd16625154955ddc280a50899171a1,,,Person,CareFirst,,shodan_keyword_to_guid,cb763bd2dcc57e981f4ffe9f8cf3b14d,shodan_keyword_to_guid__cb763bd2dcc57e981f4ffe9f8cf3b14d
carefirst bluecross blueshield,CareFirst,e0fd16625154955ddc280a50899171a1,,,Legislator,CareFirst,,shodan_keyword_to_guid,cb763bd2dcc57e981f4ffe9f8cf3b14d,shodan_keyword_to_guid__cb763bd2dcc57e981f4ffe9f8cf3b14d
cargill.com,Cargill,173ffc846f2c3792c5e439621237cc2b,,,Pipeline,Cargill,,shodan_keyword_to_guid,556d98e75f0e9956d6120436fb17523f,shodan_keyword_to_guid__556d98e75f0e9956d6120436fb17523f
cargill incorporated,Cargill,173ffc846f2c3792c5e439621237cc2b,,,ForeignMinistry,Cargill,,shodan_keyword_to_guid,556d98e75f0e9956d6120436fb17523f,shodan_keyword_to_guid__556d98e75f0e9956d6120436fb17523f
carlson.com,Carlson,ef3be4642ad2d9785f747efaa31a54cb,,,News,Carlson,,shodan_keyword_to_guid,ca0b710a153335c07526199cd5ee0769,shodan_keyword_to_guid__ca0b710a153335c07526199cd5ee0769
carlson wagonlit travel,Carlson,ef3be4642ad2d9785f747efaa31a54cb,,,AAEntity,Carlson,,shodan_keyword_to_guid,ca0b710a153335c07526199cd5ee0769,shodan_keyword_to_guid__ca0b710a153335c07526199cd5ee0769
carlson wagonlit travel inc,Carlson,ef3be4642ad2d9785f747efaa31a54cb,,,Diplomat,Carlson,,shodan_keyword_to_guid,ca0b710a153335c07526199cd5ee0769,shodan_keyword_to_guid__ca0b710a153335c07526199cd5ee0769
carpentertechnology.com,Carpenter Technology,8ef3228b5d930abe123253d506b4ff8e,,,Legislator,Carpenter Technology,,shodan_keyword_to_guid,78dc33989316ac650681bee7b1c09409,shodan_keyword_to_guid__78dc33989316ac650681bee7b1c09409
carpenter technology corporation,Carpenter Technology,8ef3228b5d930abe123253d506b4ff8e,,,LegislativeCommittee,Carpenter Technology,,shodan_keyword_to_guid,78dc33989316ac650681bee7b1c09409,shodan_keyword_to_guid__78dc33989316ac650681bee7b1c09409
carpenter technology corp,Carpenter Technology,8ef3228b5d930abe123253d506b4ff8e,,,Shipping,Carpenter Technology,,shodan_keyword_to_guid,78dc33989316ac650681bee7b1c09409,shodan_keyword_to_guid__78dc33989316ac650681bee7b1c09409
novonordisk.com,Novo Nordisk,f7d4808638e036ff019e94474b602855,,,Refinery,Novo Nordisk,,shodan_keyword_to_guid,6f74b7cda00f6e1592010ae8280dc7d0,shodan_keyword_to_guid__6f74b7cda00f6e1592010ae8280dc7d0
novo nordisk,Novo Nordisk,f7d4808638e036ff019e94474b602855,,,Media,Novo Nordisk,,shodan_keyword_to_guid,6f74b7cda00f6e1592010ae8280dc7d0,shodan_keyword_to_guid__6f74b7cda00f6e1592010ae8280dc7d0
novo nordisk a/s,Novo Nordisk,f7d4808638e036ff019e94474b602855,,,Person,Novo Nordisk,,shodan_keyword_to_guid,6f74b7cda00f6e1592010ae8280dc7d0,shodan_keyword_to_guid__6f74b7cda00f6e1592010ae8280dc7d0
cbre.us,CBRE,fb9711a434be94f4cd0ff1d32479f82c,,,DiplomaticFacilities,CBRE,,shodan_keyword_to_guid,0d5e02200b357f3315ee5a09890d063e,shodan_keyword_to_guid__0d5e02200b357f3315ee5a09890d063e
cbre,CBRE,fb9711a434be94f4cd0ff1d32479f82c,,,Shipping,CBRE,,shodan_keyword_to_guid,0d5e02200b357f3315ee5a09890d063e,shodan_keyword_to_guid__0d5e02200b357f3315ee5a09890d063e
cbre limited,CBRE,fb9711a434be94f4cd0ff1d32479f82c,,,Legislator,CBRE,,shodan_keyword_to_guid,0d5e02200b357f3315ee5a09890d063e,shodan_keyword_to_guid__0d5e02200b357f3315ee5a09890d063e
cbre inc.,CBRE,fb9711a434be94f4cd0ff1d32479f82c,,,Diplomat,CBRE,,shodan_keyword_to_guid,0d5e02200b357f3315ee5a09890d063e,shodan_keyword_to_guid__0d5e02200b357f3315ee5a09890d063e
viacomcbs.com,CBS,f12542dac0394a8d082f1ed4b3397f72,,,IndustryTerm,CBS,,shodan_keyword_to_guid,250c51527f347066847969f002be67a2,shodan_keyword_to_guid__250c51527f347066847969f002be67a2
cbs broadcasting inc.,CBS,f12542dac0394a8d082f1ed4b3397f72,,,Person,CBS,,shodan_keyword_to_guid,250c51527f347066847969f002be67a2,shodan_keyword_to_guid__250c51527f347066847969f002be67a2
