german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,.5,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
irmgard-woldering-strasse,"Irmgard-Woldering-strasse in Hanover, Germany",52.3393475,9.7849423,1,,,,,,,,,Person,"Irmgard-Woldering-strasse in Hanover, Germany",,german_fires_hannover_locations,e3c40cb54d55312bf79a1cace9135076,german_fires_hannover_locations__02c04c0d51070615ea15e864b6b2d4d2
irmhild-warweg-strasse,"Irmhild-Warweg-strasse in Hanover, Germany",52.3388868,9.8395314,1,,,,,,,,,Diplomat,"Irmhild-Warweg-strasse in Hanover, Germany",,german_fires_hannover_locations,b80eb1820779e539f525686a08973fbc,german_fires_hannover_locations__59b7b7eb26174aedc7bf729ab976b70d
isarstrasse,"Isarstrasse in Hanover, Germany",52.3367629,9.7649069,1,,,,,,,,,Legislator,"Isarstrasse in Hanover, Germany",,german_fires_hannover_locations,75f0faf482451810d4b3a6cac878b01d,german_fires_hannover_locations__c2836c268adef9eb0c740b94f6d445bc
isernhagener strasse,"Isernhagener strasse in Hanover, Germany",52.3928977,9.7403615,1,,,,,,,,,ForeignMinistry,"Isernhagener strasse in Hanover, Germany",,german_fires_hannover_locations,ac97bea94074cf23b3d4abffc39c260f,german_fires_hannover_locations__8e8483e466ab35992d10d0daa063131a
issendorffstrasse,"Issendorffstrasse in Hanover, Germany",52.3722535,9.7945902,1,,,,,,,,,Organization,"Issendorffstrasse in Hanover, Germany",,german_fires_hannover_locations,467eefa3c983118ca9c3d6d087ab2524,german_fires_hannover_locations__79e888e198106c978f5060fbb986e7aa
ithstrasse,"Ithstrasse in Hanover, Germany",52.4094017,9.6609635,1,,,,,,,,,Legislator,"Ithstrasse in Hanover, Germany",,german_fires_hannover_locations,ef3b03b45a98e6ae25ae9503074e13a9,german_fires_hannover_locations__b2e6268c3046b1d93db4c177ad5d1306
jacobsenweg,"Jacobsenweg in Hanover, Germany",52.3564199,9.8364335,1,,,,,,,,,Exec,"Jacobsenweg in Hanover, Germany",,german_fires_hannover_locations,b24517604fd8eb852a9b3fdf9432209c,german_fires_hannover_locations__de2bbc236b86e96050951035f1d0432c
jacobsstrasse,"Jacobsstrasse in Hanover, Germany",52.3684987,9.7175417,1,,,,,,,,,IndustryTerm,"Jacobsstrasse in Hanover, Germany",,german_fires_hannover_locations,a0261cbe44b131e3b11403911a988980,german_fires_hannover_locations__3dedef9560822271bcc0ee74f3d27096
jahnplatz,"Jahnplatz in Hanover, Germany",52.3942938,9.7301043,1,,,,,,,,,FTO,"Jahnplatz in Hanover, Germany",,german_fires_hannover_locations,7361e0af8eeda374b24990a456f5084e,german_fires_hannover_locations__c85eef122815f565d6fdc3c780ac699d
jakobistrasse,"Jakobistrasse in Hanover, Germany",52.3899825,9.7454769,1,,,,,,,,,News,"Jakobistrasse in Hanover, Germany",,german_fires_hannover_locations,abaab5cda964a3b613f1aa1aabd3432a,german_fires_hannover_locations__93bd2164184b92b113d9e600adbac45b
