keyword,caption_name,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
fuego en árbol o pastizal,Tree or pasture fire,188118,LegislativeCommittee,Tree or pasture fire,,dgm_santiago_event,b398076aa5342e9d08798e97418a0e28,dgm_santiago_event__b398076aa5342e9d08798e97418a0e28
una emergencia no clasificada,Unclassified emergency,188118,ForeignMinistry,Unclassified emergency,,dgm_santiago_event,d7c5a09eb339003d038ab96506d0be16,dgm_santiago_event__d7c5a09eb339003d038ab96506d0be16
un incidente que no es una emergencia,Non-emergency incident,188118,Diplomat,Non-emergency incident,,dgm_santiago_event,99759f50f3aeea7d553418009753a2de,dgm_santiago_event__99759f50f3aeea7d553418009753a2de
no clasificada,Incident reported,188118,Keyphrase,Incident reported,,dgm_santiago_event,0fbd0f59ffb8e10af0d0b71a73889407,dgm_santiago_event__0fbd0f59ffb8e10af0d0b71a73889407
emergencia estructural,structural emergency,188118;188409,Pipeline,structural emergency,,dgm_santiago_event,dc735eb678d8fb918cfbe1dadcaf0f3c,dgm_santiago_event__dc735eb678d8fb918cfbe1dadcaf0f3c
situación de riesgo,Risky situation,188409,ForeignMinister,Risky situation,,dgm_santiago_event,de69e8b7145ec798daf3503187d07fec,dgm_santiago_event__de69e8b7145ec798daf3503187d07fec
evacuando,Evacuation,188290;188389,ForeignMinister,Evacuation,,dgm_santiago_event,8cee44c8cd728172db4e146f4c317558,dgm_santiago_event__8cee44c8cd728172db4e146f4c317558
evacuar,Evacuation,188290;188389,Person,Evacuation,,dgm_santiago_event,8cee44c8cd728172db4e146f4c317558,dgm_santiago_event__8cee44c8cd728172db4e146f4c317558
evacuación,Evacuation,188290;188389,Organization,Evacuation,,dgm_santiago_event,8cee44c8cd728172db4e146f4c317558,dgm_santiago_event__8cee44c8cd728172db4e146f4c317558
evacuan,Evacuation,188290;188389,CompanyKeyword,Evacuation,,dgm_santiago_event,8cee44c8cd728172db4e146f4c317558,dgm_santiago_event__8cee44c8cd728172db4e146f4c317558
evacuaciones,Evacuation,188290;188390,DiplomaticFacilities,Evacuation,,dgm_santiago_event,8cee44c8cd728172db4e146f4c317558,dgm_santiago_event__8cee44c8cd728172db4e146f4c317558
evacuado,Evacuation,188290;188391,Refinery,Evacuation,,dgm_santiago_event,8cee44c8cd728172db4e146f4c317558,dgm_santiago_event__8cee44c8cd728172db4e146f4c317558
evacuada,Evacuation,188290;188392,Refinery,Evacuation,,dgm_santiago_event,8cee44c8cd728172db4e146f4c317558,dgm_santiago_event__8cee44c8cd728172db4e146f4c317558
evacuados,Evacuation,188290;188393,FTO,Evacuation,,dgm_santiago_event,8cee44c8cd728172db4e146f4c317558,dgm_santiago_event__8cee44c8cd728172db4e146f4c317558
evacuadas,Evacuation,188290;188394,Person,Evacuation,,dgm_santiago_event,8cee44c8cd728172db4e146f4c317558,dgm_santiago_event__8cee44c8cd728172db4e146f4c317558
evacuaron,Evacuation,188290;188395,Legislator,Evacuation,,dgm_santiago_event,8cee44c8cd728172db4e146f4c317558,dgm_santiago_event__8cee44c8cd728172db4e146f4c317558
escape de gas,Gas leak,188113;188122;188241,ForeignMinistry,Gas leak,,dgm_santiago_event,d4ec58e7abcdc2ec1f42ce351f44193f,dgm_santiago_event__d4ec58e7abcdc2ec1f42ce351f44193f
fuga química,Chemical leak,188113;188122,News,Chemical leak,,dgm_santiago_event,76e7488ff9d1e000102a345165db16bb,dgm_santiago_event__76e7488ff9d1e000102a345165db16bb
se reportan heridos,Injuries reported,188409,DiplomaticFacilities,Injuries reported,,dgm_santiago_event,6bcbac785bc5d33c8d48409709fe8827,dgm_santiago_event__6bcbac785bc5d33c8d48409709fe8827
se reportan muertos,Deaths reported,188409,Consulates,Deaths reported,,dgm_santiago_event,fc283bb3c0fa0286f1477b18716b0fbb,dgm_santiago_event__fc283bb3c0fa0286f1477b18716b0fbb
derrumbe,Collapse reported,188417,Shipping,Collapse reported,,dgm_santiago_event,c876230db8a7f06daa4aec0a194ca05e,dgm_santiago_event__c876230db8a7f06daa4aec0a194ca05e
derrumbar,Collapse reported,188285,space,Collapse reported,,dgm_santiago_event,c876230db8a7f06daa4aec0a194ca05e,dgm_santiago_event__c876230db8a7f06daa4aec0a194ca05e
derrumbando,Collapse reported,188417,Refinery,Collapse reported,,dgm_santiago_event,c876230db8a7f06daa4aec0a194ca05e,dgm_santiago_event__c876230db8a7f06daa4aec0a194ca05e
derrumbado,Collapse reported,188417,FTO,Collapse reported,,dgm_santiago_event,c876230db8a7f06daa4aec0a194ca05e,dgm_santiago_event__c876230db8a7f06daa4aec0a194ca05e
derrumbo,Collapse reported,188417,Organization,Collapse reported,,dgm_santiago_event,c876230db8a7f06daa4aec0a194ca05e,dgm_santiago_event__c876230db8a7f06daa4aec0a194ca05e
