german_text,caption_text,lat,lon,.1,default location,default_lat,default_lon,.2,handle:einszweizweibot,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
hoft,"Hoft, Austria",48.2629982,13.0613896,,,,,,,Diplomat,"Hoft, Austria",,upper_austria_locations,a1be9a1da42a17cd12fd2579236d258b,upper_austria_locations__a1be9a1da42a17cd12fd2579236d258b
hohenwarth,"Hohenwarth, Austria",47.99226,13.39373,,,,,,,space,"Hohenwarth, Austria",,upper_austria_locations,1de3261f528be463c10b0397e59b0155,upper_austria_locations__1de3261f528be463c10b0397e59b0155
hohenzell,"Hohenzell, Austria",48.1935257,13.5429276,,,,,,,Keyphrase,"Hohenzell, Austria",,upper_austria_locations,7893273740e0aee14549ddac53627473,upper_austria_locations__7893273740e0aee14549ddac53627473
hohnhart,"Hohnhart, Austria",48.1654621,13.2679459,,,,,,,space,"Hohnhart, Austria",,upper_austria_locations,132d8a51e96985432c151efd5d9b363a,upper_austria_locations__132d8a51e96985432c151efd5d9b363a
holzhausen,"Holzhausen, Austria",48.2235817,14.0967257,,,,,,,ForeignMinister,"Holzhausen, Austria",,upper_austria_locations,b10b172282eedd4db2bfb731ed0858b6,upper_austria_locations__b10b172282eedd4db2bfb731ed0858b6
holzheim,"Holzheim, Austria",48.2961,14.24647,,,,,,,Organization,"Holzheim, Austria",,upper_austria_locations,0594f8cbcbb1181ee06dcbb3a34791ec,upper_austria_locations__0594f8cbcbb1181ee06dcbb3a34791ec
holzoster,"Holzoster, Austria",48.06038,12.90549,,,,,,,Exec,"Holzoster, Austria",,upper_austria_locations,552b40f8c26667e076f020aa7ec59e74,upper_austria_locations__552b40f8c26667e076f020aa7ec59e74
holzwiesen,"Holzwiesen, Austria",48.336271,14.3996867,,,,,,,IndustryTerm,"Holzwiesen, Austria",,upper_austria_locations,9240237fcfd753298eeb21bec61d4f0c,upper_austria_locations__9240237fcfd753298eeb21bec61d4f0c
horbach,"Horbach, Austria",48.13113,13.75935,,,,,,,Media,"Horbach, Austria",,upper_austria_locations,97ce9920f0a8add3a6aa6a073ad306e0,upper_austria_locations__97ce9920f0a8add3a6aa6a073ad306e0
horbich,"Horbich, Austria",48.5189974,13.9147487,,,,,,,Shipping,"Horbich, Austria",,upper_austria_locations,c7d15708ea0df98eb105d85237330c12,upper_austria_locations__c7d15708ea0df98eb105d85237330c12
horgersteig,"Horgersteig, Austria",48.0490441,13.4783915,,,,,,,DiplomaticFacilities,"Horgersteig, Austria",,upper_austria_locations,0556be441a12e40d415dba2ff61a6e85,upper_austria_locations__0556be441a12e40d415dba2ff61a6e85
horndl,"Horndl, Austria",47.2666667,13.1,,,,,,,DiplomaticFacilities,"Horndl, Austria",,upper_austria_locations,85d89a66262b89a032183b12e3d5626b,upper_austria_locations__85d89a66262b89a032183b12e3d5626b
horsching,"Horsching, Austria",48.2269805,14.176168,,,,,,,FTO,"Horsching, Austria",,upper_austria_locations,ff8c47a1eaacb20750102d54f5b0a735,upper_austria_locations__ff8c47a1eaacb20750102d54f5b0a735
