keyword,caption_name,topic_id,type,groups,guid,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
kuparuk oilfield,Kuparuk oil field,188162;188132,o&g field,kuparuk oilfield;kuparuk oil field,,O&gField,Kuparuk oil field,,og_mentionee_v3,4b6bee99e8ba991aac6db05659fed218,og_mentionee_v3__33645d18c71c1194917e074ac14ff206
#kuparuk river,Kuparuk River field,188162;188132,o&g field,kuparuk river;kuparuk river field,,O&gField,Kuparuk River field,,og_mentionee_v3,e1084916f6f14df93643e860908f27fe,og_mentionee_v3__21e5ce88ef0fbd8c9872de510dd74c3f
kuparuk river oilfield,Kuparuk River field,188162;188132,o&g field,kuparuk river;kuparuk river field,,O&gField,Kuparuk River field,,og_mentionee_v3,a24c7852a7b8073923d2dfe74f182d1f,og_mentionee_v3__21e5ce88ef0fbd8c9872de510dd74c3f
#kurmangazy field,Kurmangazy oil field,188162;188132,o&g field,kurmangazy field;kurmangazy oil field,,O&gField,Kurmangazy oil field,,og_mentionee_v3,d59d31bdf38be2827b7a011cb6e0ceb8,og_mentionee_v3__1c3e74606bf33222b4c20d870b8232ac
kurmangazy field,Kurmangazy oil field,188162;188132,o&g field,kurmangazy field;kurmangazy oil field,,O&gField,Kurmangazy oil field,,og_mentionee_v3,24c56238bc8ff37e91178f8f22f9ab2a,og_mentionee_v3__1c3e74606bf33222b4c20d870b8232ac
#kurnell refinery,Kurnell refinery,188162;188132,refinery,kurnell refinery;kurnell refinery,,Refinery,Kurnell refinery,,og_mentionee_v3,d4c8247ec2f362bf07b7c9e80b7ae42d,og_mentionee_v3__dd224e2bf0821b9856198763a197aa6c
#kurnell-raffinerie,Kurnell refinery,188162;188132,refinery,kurnell-raffinerie;kurnell refinery,,Refinery,Kurnell refinery,,og_mentionee_v3,dfa9cdbf268b22ccd6ba0460c4ae7365,og_mentionee_v3__dd224e2bf0821b9856198763a197aa6c
kurnell refinery,Kurnell refinery,188162;188132,refinery,kurnell refinery;kurnell refinery,,Refinery,Kurnell refinery,,og_mentionee_v3,d1b38d96d6e580753c1373f11647ab37,og_mentionee_v3__dd224e2bf0821b9856198763a197aa6c
kurnell-raffinerie,Kurnell refinery,188162;188132,refinery,kurnell-raffinerie;kurnell refinery,,Refinery,Kurnell refinery,,og_mentionee_v3,5cf5e7e1ebdd8d36d465a35a096f6176,og_mentionee_v3__dd224e2bf0821b9856198763a197aa6c
#kutubu crude,Kutubu crude,188162;188132,industry term,kutubu crude;kutubu crude,,IndustryTerm,Kutubu crude,,og_mentionee_v3,f8f1f3c5dc0c2119c5433c305feec959,og_mentionee_v3__b4ccb0b16e723054680bbd70c094ae9d
kutubu crude,Kutubu crude,188162;188132,industry term,kutubu crude;kutubu crude,,IndustryTerm,Kutubu crude,,og_mentionee_v3,4f4d9ab10ebcce677e7523deb6d969bd,og_mentionee_v3__b4ccb0b16e723054680bbd70c094ae9d
#kuwait crude,Kuwait crude,188162;188132,industry term,kuwait crude;kuwait crude,,IndustryTerm,Kuwait crude,,og_mentionee_v3,205baf105ecceb0d1528c2d0549bf9ff,og_mentionee_v3__058cf2d4917a44065d9cafd6e00bebfd
kuwait crude,Kuwait crude,188162;188132,industry term,kuwait crude;kuwait crude,,IndustryTerm,Kuwait crude,,og_mentionee_v3,ad48f61336a2a2319fe363b8e7ff0734,og_mentionee_v3__058cf2d4917a44065d9cafd6e00bebfd
#hashem sayed hashem,Kuwait Petroleum CEO Hashim,188162;188132,exec,hashem sayed hashem;kuwait petroleum ceo hashim;kuwait petroleum,,Exec,Kuwait Petroleum CEO Hashim,,og_mentionee_v3,e978a822e8430c023e5baa9ee22934ab,og_mentionee_v3__61dc08be3ec9b4bb4d82207974b0a2ac
#hashim sayed hashim,Kuwait Petroleum CEO Hashim,188162;188132,exec,hashim sayed hashim;kuwait petroleum ceo hashim;kuwait petroleum,,Exec,Kuwait Petroleum CEO Hashim,,og_mentionee_v3,cfc15a91a247df736c02f937789d97cf,og_mentionee_v3__61dc08be3ec9b4bb4d82207974b0a2ac
hashem sayed hashem,Kuwait Petroleum CEO Hashim,188162;188132,exec,hashem sayed hashem;kuwait petroleum ceo hashim;kuwait petroleum,,Exec,Kuwait Petroleum CEO Hashim,,og_mentionee_v3,9e24c8cb655c620d95312fc2976adad6,og_mentionee_v3__61dc08be3ec9b4bb4d82207974b0a2ac
hashim sayed hashim,Kuwait Petroleum CEO Hashim,188162;188132,exec,hashim sayed hashim;kuwait petroleum ceo hashim;kuwait petroleum,,Exec,Kuwait Petroleum CEO Hashim,,og_mentionee_v3,f3eaf261e40b30b43476c3ae0fa73b41,og_mentionee_v3__61dc08be3ec9b4bb4d82207974b0a2ac
@moo_kw,Kuwaiti Oil Ministry,188162;188132;188121,energy ministry,energy ministry;kuwait;kuwaiti oil ministry;moo_kw,,EnergyMinistry,Kuwaiti Oil Ministry,,og_mentionee_v3,df52eb3adc42c9870fe8fb26d855b136,og_mentionee_v3__58c5f35e4d30ebff4c90054982265283
#kuwaiti oil ministry,Kuwaiti Oil Ministry,188162;188132;188121,energy ministry,energy ministry;,,EnergyMinistry,Kuwaiti Oil Ministry,,og_mentionee_v3,3c842b3c8e99647850f51cf08b348ed2,og_mentionee_v3__58c5f35e4d30ebff4c90054982265283
kuwaiti oil ministry,Kuwaiti Oil Ministry,188162;188132;188121,energy ministry,energy ministry;,,EnergyMinistry,Kuwaiti Oil Ministry,,og_mentionee_v3,b4e55723efe1789ba8f0c200d4827e9e,og_mentionee_v3__58c5f35e4d30ebff4c90054982265283
#kwinana refinery,Kwinana refinery,188162;188132,refinery,kwinana refinery;kwinana refinery,,Refinery,Kwinana refinery,,og_mentionee_v3,c7c2dae325bcd5b56f50f73b2d347d08,og_mentionee_v3__8d79bf94788403ee29fd1b5c942277de
kwinana refinery,Kwinana refinery,188162;188132,refinery,kwinana refinery;kwinana refinery,,Refinery,Kwinana refinery,,og_mentionee_v3,bcc4ae2498b68915ac86924be91932fa,og_mentionee_v3__8d79bf94788403ee29fd1b5c942277de
#la brea-parinas field,La Brea-Parinas oil field,188162;188132,o&g field,la brea-parinas field;la brea-parinas oil field,,O&gField,La Brea-Parinas oil field,,og_mentionee_v3,2696d0641caad6c8e28232bb2d15dce1,og_mentionee_v3__549e4df902d12f6ef20d2011c4b54242
#la brea-parinas oil field,La Brea-Parinas oil field,188162;188132,o&g field,la brea-parinas oil field;la brea-parinas oil field,,O&gField,La Brea-Parinas oil field,,og_mentionee_v3,5f26881008e50b0e4e21f4fcf72f7590,og_mentionee_v3__549e4df902d12f6ef20d2011c4b54242
#la brea-parinas oilfield,La Brea-Parinas oil field,188162;188132,o&g field,la brea-parinas oilfield;la brea-parinas oil field,,O&gField,La Brea-Parinas oil field,,og_mentionee_v3,d529de2439cd2d483363f938f8356248,og_mentionee_v3__549e4df902d12f6ef20d2011c4b54242
la brea-parinas field,La Brea-Parinas oil field,188162;188132,o&g field,la brea-parinas field;la brea-parinas oil field,,O&gField,La Brea-Parinas oil field,,og_mentionee_v3,9b66b8f8d44075d4061d3b02cb16977d,og_mentionee_v3__549e4df902d12f6ef20d2011c4b54242
la brea-parinas oil field,La Brea-Parinas oil field,188162;188132,o&g field,la brea-parinas oil field;la brea-parinas oil field,,O&gField,La Brea-Parinas oil field,,og_mentionee_v3,ac937f7be66e6e31d31d3371a82e3403,og_mentionee_v3__549e4df902d12f6ef20d2011c4b54242
la brea-parinas oilfield,La Brea-Parinas oil field,188162;188132,o&g field,la brea-parinas oilfield;la brea-parinas oil field,,O&gField,La Brea-Parinas oil field,,og_mentionee_v3,cf9ab3811d3ab3fc6a9f623f6cb5412a,og_mentionee_v3__549e4df902d12f6ef20d2011c4b54242
