handle,caption_name,location_lower,include_groups,entity_type,Lat,Lon,,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
rephartzler,US Representative Hartzler,missouri,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,37.9642529,-91.8318334,,,Legislator,US Representative Hartzler,,dgm_tsa_mentioner_entities,858401acc35115940c98bbe0840e4720,dgm_tsa_mentioner_entities__858401acc35115940c98bbe0840e4720
repstevechabot,US Representative Chabot,ohio,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,40.4172871,-82.907123,,,Legislator,US Representative Chabot,,dgm_tsa_mentioner_entities,4f835e2b588200fa2ad3e8c648fae0e5,dgm_tsa_mentioner_entities__4f835e2b588200fa2ad3e8c648fae0e5
repmaloney,US Representative Carolyn Maloney,new york,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,40.7127753,-74.0059728,,,Legislator,US Representative Carolyn Maloney,,dgm_tsa_mentioner_entities,92b4b4f91d41a9f48567e30115c02eed,dgm_tsa_mentioner_entities__92b4b4f91d41a9f48567e30115c02eed
cheribustos,US Representative Bustos,illinois,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,40.6331249,-89.3985283,,,Legislator,US Representative Bustos,,dgm_tsa_mentioner_entities,9b8f6e8ed0af11208e9f3cb84e089e64,dgm_tsa_mentioner_entities__9b8f6e8ed0af11208e9f3cb84e089e64
repjoewilson,US Representative Joe Wilson,south carolina,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,33.836081,-81.1637245,,,Legislator,US Representative Joe Wilson,,dgm_tsa_mentioner_entities,388f816c23e7c81c6de97963b09f325f,dgm_tsa_mentioner_entities__388f816c23e7c81c6de97963b09f325f
reptomreed,US Representative Reed,new york,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,40.7127753,-74.0059728,,,Legislator,US Representative Reed,,dgm_tsa_mentioner_entities,171d35e9931c2ea38bc190cf87600a2a,dgm_tsa_mentioner_entities__171d35e9931c2ea38bc190cf87600a2a
reppeterdefazio,US Representative DeFazio,oregon,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,43.8041334,-120.5542012,,,Legislator,US Representative DeFazio,,dgm_tsa_mentioner_entities,89761d0335dd08374f462e74f1e9366b,dgm_tsa_mentioner_entities__89761d0335dd08374f462e74f1e9366b
sanfordbishop,US Representative Sanford Bishop,georgia,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,32.1656221,-82.9000751,,,Legislator,US Representative Sanford Bishop,,dgm_tsa_mentioner_entities,91d3bd2e36c74bc0a1fa92ac44bb3f3b,dgm_tsa_mentioner_entities__91d3bd2e36c74bc0a1fa92ac44bb3f3b
repannaeshoo,US Representative Eshoo,california,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,36.778261,-119.4179324,,,Legislator,US Representative Eshoo,,dgm_tsa_mentioner_entities,912cad46e314f77afd974f84f4d0103b,dgm_tsa_mentioner_entities__912cad46e314f77afd974f84f4d0103b
repbarbaralee,US Representative Barbara Lee,california,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,36.778261,-119.4179324,,,Legislator,US Representative Barbara Lee,,dgm_tsa_mentioner_entities,75c9d16939a6d777eba2c51b7f70b38a,dgm_tsa_mentioner_entities__75c9d16939a6d777eba2c51b7f70b38a
sethmoulton,US Representative Moulton,massachusetts,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,42.4072107,-71.3824374,,,Legislator,US Representative Moulton,,dgm_tsa_mentioner_entities,ad6745347db3cfce316e5f91969bc60d,dgm_tsa_mentioner_entities__ad6745347db3cfce316e5f91969bc60d
stevenhorsford,US Representative Horsford,nevada,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,38.8026097,-116.419389,,,Legislator,US Representative Horsford,,dgm_tsa_mentioner_entities,5136b23627fa0dce942fc3246012ca5f,dgm_tsa_mentioner_entities__5136b23627fa0dce942fc3246012ca5f
repjimcosta,US Representative Costa,california,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,36.778261,-119.4179324,,,Legislator,US Representative Costa,,dgm_tsa_mentioner_entities,4f9a5bc68bfaa77937bf90c053ee6a8a,dgm_tsa_mentioner_entities__4f9a5bc68bfaa77937bf90c053ee6a8a
congpalazzo,US Representative Palazzo,mississippi,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,32.3546679,-89.3985283,,,Legislator,US Representative Palazzo,,dgm_tsa_mentioner_entities,58cfe512c7630d7e1428f872982d2100,dgm_tsa_mentioner_entities__58cfe512c7630d7e1428f872982d2100
repadriansmith,US Representative Adrian Smith,nebraska,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,41.4925374,-99.9018131,,,Legislator,US Representative Adrian Smith,,dgm_tsa_mentioner_entities,05e51f0ea41c25c69e11e8f93d642dbd,dgm_tsa_mentioner_entities__05e51f0ea41c25c69e11e8f93d642dbd
buddy_carter,US Representative Buddy Carter,georgia,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,32.1656221,-82.9000751,,,Legislator,US Representative Buddy Carter,,dgm_tsa_mentioner_entities,23ac796ce92a23eb45058eadd524bdc1,dgm_tsa_mentioner_entities__23ac796ce92a23eb45058eadd524bdc1
scottpeterssd,US Representative Peters,california,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,36.778261,-119.4179324,,,Legislator,US Representative Peters,,dgm_tsa_mentioner_entities,fb6f0eb1eb9925303b3d8c80236b36f9,dgm_tsa_mentioner_entities__fb6f0eb1eb9925303b3d8c80236b36f9
deb4congressnm,US Interior Secretary Haaland,new mexico,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,34.5199402,-105.8700901,,,Legislator,US Interior Secretary Haaland,,dgm_tsa_mentioner_entities,112eafbfc423376bf5787139a040150b,dgm_tsa_mentioner_entities__112eafbfc423376bf5787139a040150b
